OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_10232	9.741e-05	0.2379	1.404	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12879	0.0001196	0.2379	5.176	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14596	0.0001567	0.2379	6.096	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18813	0.0001919	0.2379	3.753	APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13472	0.0002105	0.2379	-25.51	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13478	0.0002146	0.2379	-16.99	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_16270	0.0002158	0.2379	7.653	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12934	0.000341	0.2974	7.321	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12077	0.0003828	0.2974	-84.72	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14985	0.0003852	0.2974	-17.87	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17342	0.0004632	0.3135	5.368	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_17230	0.0004873	0.3135	-19.41	AAUR,APUR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15181	0.0006473	0.321	55.92	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14174	0.0006739	0.321	11.33	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16538	0.0006962	0.321	2.261	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15397	0.0007071	0.321	159.6	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16820	0.0007129	0.321	-9.346	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14998	0.0008392	0.321	12.76	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18111	0.0008741	0.321	-13.51	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15239	0.0009119	0.321	-9.14	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14230	0.0009475	0.321	-4.677	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18634	0.001006	0.321	83.26	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_16253	0.001045	0.321	-13.55	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11448	0.001081	0.321	-25.92	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12970	0.00109	0.321	86.39	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_19115	0.001156	0.321	18.8	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15151	0.001163	0.321	17.06	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10693	0.001184	0.321	10.44	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17652	0.001227	0.321	-11.99	AAUR,APUR,AVIR,HLIG,LFIG,LMAR,LPAU,LVIE
OG_13037	0.001247	0.321	-16.29	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13397	0.001323	0.3227	5.966	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13728	0.001338	0.3227	3.634	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_19046	0.001488	0.3342	4.135	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13762	0.001503	0.3342	-26.29	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11878	0.00153	0.3342	9.37	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16981	0.001559	0.3342	2.235	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_19278	0.001661	0.3445	26.98	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LPAU,LVIE
OG_17143	0.001696	0.3445	20.08	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16826	0.001879	0.361	10	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10492	0.001889	0.361	-124.6	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10379	0.001918	0.361	-15.46	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13924	0.002164	0.3691	-25.5	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15773	0.002252	0.3691	-3.524	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
