OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_11146	0.0001513	0.5386	-24.2	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14865	0.0001769	0.5386	6.366	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11840	0.0003129	0.635	20.99	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12642	0.0006593	0.728	-70.61	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13807	0.0007858	0.728	3.921	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18696	0.0009975	0.728	-116.3	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15490	0.001081	0.728	-5.571	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16004	0.001251	0.728	5.061	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14338	0.001343	0.728	1.809	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12877	0.001397	0.728	-11.21	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_10081	0.001434	0.728	7.411	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15288	0.001506	0.728	10.73	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14028	0.001621	0.728	-7.935	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14506	0.001674	0.728	6.387	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16619	0.001942	0.7882	-2.991	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15912	0.002459	0.8598	100.5	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14596	0.002738	0.8598	14.98	AAUR,APUR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
