OG	Name.AAUR	Sociality.AAUR	antTPM.AAUR	headTPM.AAUR	dufTPM.AAUR	abdTPM.AAUR	Name.APUR	Sociality.APUR	antTPM.APUR	headTPM.APUR	dufTPM.APUR	abdTPM.APUR	Name.LCAL	Sociality.LCAL	antTPM.LCAL	headTPM.LCAL	dufTPM.LCAL	abdTPM.LCAL	Name.LFIG	Sociality.LFIG	antTPM.LFIG	headTPM.LFIG	dufTPM.LFIG	abdTPM.LFIG	Name.LLEU	Sociality.LLEU	antTPM.LLEU	headTPM.LLEU	dufTPM.LLEU	abdTPM.LLEU	Name.LMAR	Sociality.LMAR	antTPM.LMAR	headTPM.LMAR	dufTPM.LMAR	abdTPM.LMAR	Name.LPAU	Sociality.LPAU	antTPM.LPAU	headTPM.LPAU	dufTPM.LPAU	abdTPM.LPAU	Name.LVIE	Sociality.LVIE	antTPM.LVIE	headTPM.LVIE	dufTPM.LVIE	abdTPM.LVIE	TPMmax.8sp	TPMmax.4social	TPMmax.4solitary	tau.8sp4tissues	tau.4soc4tissues	tau.4sol4tissues
OG_15845	AAUR_06298-RA	soc	4.2344	2.2037	0.4504	1.1558	APUR_03887-RA	sol	4.5892	1.6084	0.4429	1.1058	LCAL_07133-RA	soc	3.9691	1.604	1.5208	1.2613	LFIG_04538-RA	sol	4.329	2.5105	1.0227	2.6138	LLEU_06600-RA	sol	3.7871	1.9949	3.4472	2.6729	LMAR_02136-RA	soc	6.8676	2.6798	0.2379	1.4226	LPAU_09274-RA	soc	2.4351	2.0461	0.9887	0.5922	LVIE_01699-RA	sol	2.0374	1.0241	0.4751	1.08	6.8676	6.8676	4.5892	0.7109	0.7398	0.562
OG_13311	AAUR_08765-RC	soc	13.0376	9.5344	12.8622	11.186	APUR_10913-RA	sol	12.794	9.7841	6.3335	10.133	LCAL_09434-RA	soc	22.3358	10.5932	11.8871	12.2959	LFIG_09490-RA	sol	13.9118	6.8109	15.3624	7.3979	LLEU_09271-RA	sol	19.383	16.8749	17.5741	15.7346	LMAR_08856-RA	soc	16.7214	12.8047	24.1724	10.1283	LPAU_08306-RC	soc	13.1782	7.9163	11.735	11.3172	LVIE_04163-RA	sol	14.4016	9.1672	12.7935	7.9849	24.1724	24.1724	19.383	0.4876	0.4828	0.391
OG_16868	AAUR_07706-RA	soc	0	4.2424	0	0.2416	APUR_00217-RA	sol	0	4.2364	0.0283	0.1021	LCAL_08003-RA	soc	2.9358	1.4628	0	0.1748	LFIG_08160-RA	sol	0.5616	1.3797	0.3154	0.155	LLEU_10461-RA	sol	0.5308	2.4998	0	0.0037	LMAR_09908-RA	soc	1.9253	1.0711	0	0.369	LPAU_04119-RA	soc	1.2238	1.1944	0.363	0.4816	LVIE_07967-RA	sol	0.0499	1.786	0	0.1177	4.2424	4.2424	4.2364	0.8235	0.8202	0.8815
OG_15373	AAUR_05473-RA	soc	18.7135	2.7656	0	0.6422	APUR_02478-RA	sol	84.688	6.5499	0.404	2.9308	LCAL_02922-RA	soc	24.2691	3.5891	0.0443	1.1864	LFIG_07217-RA	sol	14.0937	10.9306	1.0499	6.1353	LLEU_06163-RA	sol	22.009	2.7164	0.7435	3.5979	LMAR_08975-RA	soc	25.6045	3.8902	0.7018	0.7665	LPAU_18947-RA	soc	132.8225	18.5682	0.5578	6.5412	LVIE_05294-RA	sol	23.8347	10.544	1.7227	2.4141	132.8225	132.8225	84.688	0.9266	0.9459	0.9137
OG_16263	AAUR_02294-RA	soc	24.885	10.2122	17.1317	69.0645	APUR_01794-RA	sol	49.344	14.4328	5.4028	44.7439	LCAL_05116-RA	soc	32.6704	16.1723	21.0446	75.8715	LFIG_10582-RB	sol	25.2608	16.128	32.6945	54.5588	LLEU_04454-RA	sol	35.9389	27.0108	9.2908	112.1494	LMAR_09299-RA	soc	19.6994	16.9748	24.2784	66.129	LPAU_01624-RA	soc	22.8914	7.1349	36.1556	29.8729	LVIE_12084-RA	sol	27.434	8.2628	27.0527	57.9129	112.1494	75.8715	112.1494	0.7337	0.6359	0.7411
OG_10468	AAUR_06893-RA	soc	0	14.8655	0	0.3703	APUR_11632-RA	sol	0	19.411	0	0.4505	LCAL_06791-RA	soc	0	11.9227	0	0.0928	LFIG_00458-RA	sol	0	15.3429	0	0.0099	LLEU_01158-RA	sol	0	10.3498	0.0438	0.0037	LMAR_06106-RA	soc	0	20.0854	0	0.0045	LPAU_01780-RA	soc	0	6.4315	0	0.0078	LVIE_11162-RA	sol	0	13.886	0.6393	0.1816	20.0854	20.0854	19.411	0.849	0.8882	0.8595
OG_11378	AAUR_01164-RA	soc	613.2995	383.319	462.5189	417.8371	APUR_04794-RA	sol	477.6437	218.7609	492.6027	218.3096	LCAL_01739-RA	soc	695.1771	436.1038	719.064	496.7532	LFIG_01596-RA	sol	850.1465	282.3567	505.4886	241.9879	LLEU_03433-RA	sol	475.2068	391.5776	810.7113	463.4308	LMAR_00509-RA	soc	465.3978	469.7584	322.2759	395.1727	LPAU_05823-RA	soc	679.7067	462.1479	703.4698	493.8506	LVIE_02871-RA	sol	1169.8201	669.6954	719.064	624.8657	1169.8201	719.064	1169.8201	0.5682	0.3049	0.5759
OG_13724	AAUR_01053-RA	soc	170.314	222.4078	116.8662	113.8384	APUR_05908-RB	sol	57.2797	100.3085	96.1029	67.912	LCAL_01394-RA	soc	300.4946	395.6416	152.7142	211.6815	LFIG_02013-RA	sol	201.9637	248.2059	130.8397	146.8306	LLEU_03499-RA	sol	280.5075	332.8964	208.0615	257.756	LMAR_00114-RA	soc	369.6832	351.872	116.8662	203.9302	LPAU_01100-RB	soc	276.18	286.8472	227.3305	256.7222	LVIE_04994-RA	sol	225.6198	299.2747	162.4364	134.8139	395.6416	395.6416	332.8964	0.484	0.4308	0.4757
OG_10698	AAUR_04016-RA	soc	9.9512	25.8522	10.3054	12.0885	APUR_10392-RA	sol	12.4771	19.4481	9.7696	9.4083	LCAL_11415-RA	soc	4.5892	42.2526	0.2996	41.5291	LFIG_04955-RA	sol	19.4495	23.1337	11.5298	13.9454	LLEU_01953-RA	sol	18.5734	32.4142	11.2389	19.6591	LMAR_11999-RA	soc	9.8246	11.222	63.6166	5.9439	LPAU_10477-RA	soc	19.6512	24.0919	13.0069	14.7325	LVIE_01433-RA	sol	16.2498	20.3864	21.5542	12.6412	63.6166	63.6166	32.4142	0.7377	0.7429	0.5075
OG_15999	AAUR_06585-RA	soc	11.9045	11.6813	1.0786	8.7922	APUR_04167-RA	sol	3.9466	9.2522	5.9463	8.7922	LCAL_07080-RA	soc	19.2605	38.4394	9.576	32.7218	LFIG_04598-RA	sol	4.1923	11.0921	2.131	16.1305	LLEU_06854-RA	sol	1.3682	8.002	1.7545	57.6869	LMAR_02079-RA	soc	24.3743	24.6451	1.4865	23.1182	LPAU_09328-RA	soc	22.896	11.3167	9.1127	17.4934	LVIE_01766-RA	sol	4.9002	3.8503	1.9437	16.44	57.6869	38.4394	57.6869	0.7944	0.602	0.8847
