Species	Tot. length	Largest scaffold	N10 length	N10 number	N50 length	N50 number	N90 length	N90 number
APUR	304,283,628	15,436,641	10,672,764	3	3,127,818	24	146,456	134
LCAL	283,842,111	15,852,017	15,566,962	2	11,106,183	11	7,641	672
LMAL	276,356,024	24,117,772	17,745,610	2	13,453,691	9	975,305	23
LOEN	290,802,534	23,012,633	16,235,044	2	11,127,264	10	967,202	32
LVIE	287,167,640	23,343,689	16,942,357	2	5,119,798	14	5,381	1,200
HLIG	312,298,520	17,419,600	15,635,795	2	4,779,453	15	10,436	581
LLEU	283,650,161	27,371,161	20,289,172	2	12,125,545	9	355,488	36
LMAR	306,433,948	11,039,667	10,188,095	3	6,467,210	19	21,236	215
LPAU	378,389,323	22,645,087	12,528,215	3	1,548,541	41	3,907	5,575
LZEP	276,047,489	23,298,098	19,308,951	2	4,523,099	13	5,387	1,972
LALB	337,527,399	18,476,510	15,962,212	2	4,813,235	15	141,786	204
LFIG	318,857,596	15,247,764	8,422,116	3	2,462,014	34	5,292	1,700
AAUR	352,077,334	12,073,071	8,959,723	4	1,247,309	54	5,743	4,504
AVIR	469,330,841	2,137,112	901,313	39	127,334	670	2,342	25,197
HRUB	327,565,881	4,597,427	2,491,684	10	581,289	125	16,000	1,640
