Sample,Species,Group,Nest,Source,Tissue,Note
Zeph_33_FB,LZEP,W,F10,field,Fatbody,Nest
Zeph_36_FB,LZEP,Q,F2,field,Fatbody,Nest
Zeph_44_FB,LZEP,Q,L4,lab,Fatbody,Nest
Zeph_31_FB,LZEP,Q,F10,field,Fatbody,Nest
Zeph_29_FB,LZEP,Q,F10,field,Fatbody,Nest
Zeph_47_FB,LZEP,Q,L8,lab,Fatbody,Nest
Zeph_48_FB,LZEP,W,L8,lab,Fatbody,Nest
Zeph_50_FB,LZEP,Q,L11,lab,Fatbody,Nest
Zeph_49_FB,LZEP,W,L11,lab,Fatbody,Nest
Zeph_27_FB,LZEP,Q,F10,field,Fatbody,Nest
Zeph_27_brain,LZEP,Q,F10,field,Brain,Nest
Zeph_91_brain,LZEP,W,F9,field,Brain,Nest
Zeph_32_FB,LZEP,W,F10,field,Fatbody,Nest
Zeph_29_brain,LZEP,Q,F10,field,Brain,Nest
Zeph_46_brain,LZEP,W,L4,lab,Brain,Nest
Zeph_140_brain,LZEP,Q,F7,field,Brain,Nest_Replacement
Zeph_14_brain,LZEP,W,F10,field,Brain,Nest
Zeph_47_brain,LZEP,Q,L8,lab,Brain,Nest
Zeph_111_brain,LZEP,W,F7,field,Brain,Nest
Zeph_48_brain,LZEP,W,L8,lab,Brain,Nest
Zeph_46_FB,LZEP,W,L4,lab,Fatbody,Nest
Zeph_32_brain,LZEP,W,F10,field,Brain,Nest
Zeph_14_FB,LZEP,W,F10,field,Fatbody,Nest
Zeph_44_brain,LZEP,Q,L4,lab,Brain,Nest
Zeph_37_brain,LZEP,W,none,field,Brain,Foraging
Zeph_37_FB,LZEP,W,none,field,Fatbody,Foraging
Zeph_33_brain,LZEP,W,F10,field,Brain,Nest
Zeph_49_brain,LZEP,W,L11,lab,Brain,Nest
Zeph_31_brain,LZEP,Q,F10,field,Brain,Nest
Zeph_50_brain,LZEP,Q,L11,lab,Brain,Nest
