GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006974	0.00107913411647	0.43442856288556686	BP	p	cellular response to DNA damage stimulus	20/1197	119/3961	4	20	OG_10786, OG_10838, OG_11511, OG_12081, OG_12637, OG_13120, OG_13374, OG_13707, OG_13787, OG_14244, OG_14344, OG_14392, OG_14603, OG_15487, OG_15823, OG_16530, OG_16749, OG_17366, OG_20042, OG_20718
GO:0050808	0.0002865511624	0.43442856288556686	BP	e	synapse organization	48/1197	102/3961	3	48	OG_10039, OG_10097, OG_10223, OG_10244, OG_10289, OG_10401, OG_10412, OG_10431, OG_10735, OG_10758, OG_10789, OG_10887, OG_11023, OG_11387, OG_11390, OG_11524, OG_11527, OG_11626, OG_11630, OG_11820, OG_11823, OG_11984, OG_12026, OG_12146, OG_12220, OG_12467, OG_12539, OG_12859, OG_13271, OG_13538, OG_13804, OG_14121, OG_14135, OG_14231, OG_14525, OG_14647, OG_14761, OG_14806, OG_15170, OG_15487, OG_15549, OG_15623, OG_16155, OG_16734, OG_16806, OG_17150, OG_17805, OG_20358
GO:0071241	0.000935257400006	0.43442856288556686	BP	e	cellular response to inorganic substance	18/1197	30/3961	4	18	OG_10190, OG_10695, OG_11123, OG_11239, OG_11383, OG_11511, OG_11626, OG_12894, OG_13569, OG_14135, OG_14244, OG_14590, OG_14944, OG_15501, OG_16606, OG_16690, OG_18025, OG_19243
GO:0098742	0.000877975067446	0.43442856288556686	BP	e	cell-cell adhesion via plasma-membrane adhesion molecules	28/1197	54/3961	4	28	OG_10097, OG_10691, OG_10771, OG_10954, OG_10986, OG_11109, OG_11168, OG_11355, OG_11387, OG_11626, OG_11699, OG_12008, OG_12082, OG_12201, OG_12238, OG_12760, OG_13656, OG_13687, OG_13901, OG_14350, OG_14358, OG_15232, OG_15618, OG_16095, OG_16155, OG_17508, OG_17588, OG_19541
GO:0022610	0.000531904406865	0.43442856288556686	BP	e	biological adhesion	81/1197	194/3961	1	81	OG_10097, OG_10157, OG_10161, OG_10232, OG_10333, OG_10364, OG_10367, OG_10400, OG_10461, OG_10691, OG_10705, OG_10771, OG_10789, OG_10852, OG_10902, OG_10954, OG_10986, OG_11109, OG_11168, OG_11239, OG_11252, OG_11270, OG_11327, OG_11355, OG_11366, OG_11387, OG_11390, OG_11477, OG_11527, OG_11600, OG_11626, OG_11630, OG_11699, OG_11823, OG_11943, OG_12008, OG_12081, OG_12082, OG_12199, OG_12201, OG_12238, OG_12477, OG_12539, OG_12760, OG_13131, OG_13260, OG_13472, OG_13656, OG_13687, OG_13901, OG_13924, OG_14182, OG_14302, OG_14350, OG_14358, OG_14525, OG_14761, OG_14806, OG_14931, OG_14980, OG_15178, OG_15232, OG_15325, OG_15333, OG_15369, OG_15618, OG_16095, OG_16155, OG_16271, OG_16306, OG_17058, OG_17316, OG_17485, OG_17508, OG_17588, OG_17832, OG_18229, OG_19350, OG_19516, OG_19541, OG_20358
GO:0007155	0.000419314182741	0.43442856288556686	BP	e	cell adhesion	79/1197	187/3961	2	79	OG_10097, OG_10157, OG_10161, OG_10232, OG_10333, OG_10364, OG_10367, OG_10400, OG_10461, OG_10691, OG_10705, OG_10771, OG_10789, OG_10852, OG_10902, OG_10954, OG_10986, OG_11109, OG_11168, OG_11239, OG_11252, OG_11270, OG_11355, OG_11366, OG_11387, OG_11390, OG_11477, OG_11527, OG_11600, OG_11626, OG_11630, OG_11699, OG_11823, OG_11943, OG_12008, OG_12081, OG_12082, OG_12199, OG_12201, OG_12238, OG_12477, OG_12539, OG_12760, OG_13131, OG_13260, OG_13472, OG_13656, OG_13687, OG_13901, OG_13924, OG_14182, OG_14302, OG_14350, OG_14358, OG_14525, OG_14761, OG_14806, OG_14931, OG_15178, OG_15232, OG_15325, OG_15333, OG_15369, OG_15618, OG_16095, OG_16155, OG_16271, OG_16306, OG_17058, OG_17316, OG_17485, OG_17508, OG_17588, OG_17832, OG_18229, OG_19350, OG_19516, OG_19541, OG_20358
GO:0007157	0.0007040789553	0.43442856288556686	BP	e	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	11/1197	15/3961	5	11	OG_10691, OG_10986, OG_11109, OG_11355, OG_11626, OG_12201, OG_13656, OG_13901, OG_15618, OG_17588, OG_19541
GO:0051656	0.00470392504531	0.4627830421009942	BP	e	establishment of organelle localization	39/1197	88/3961	4	39	OG_10315, OG_10364, OG_10401, OG_10478, OG_10666, OG_10711, OG_10717, OG_10735, OG_10919, OG_11421, OG_11560, OG_11586, OG_11845, OG_12208, OG_12480, OG_12573, OG_12664, OG_13012, OG_13538, OG_13569, OG_13787, OG_14598, OG_14806, OG_14910, OG_15428, OG_15517, OG_15775, OG_15906, OG_16271, OG_16690, OG_17168, OG_17222, OG_17323, OG_17571, OG_17833, OG_17900, OG_18025, OG_18686, OG_19350
GO:0051493	0.0108636135812	0.4627830421009942	BP	e	regulation of cytoskeleton organization	52/1197	128/3961	6	52	OG_10197, OG_10245, OG_10275, OG_10383, OG_10662, OG_10686, OG_10823, OG_10839, OG_10870, OG_10879, OG_10907, OG_11096, OG_11116, OG_11221, OG_11421, OG_11494, OG_11984, OG_12336, OG_12790, OG_12833, OG_13007, OG_13271, OG_13790, OG_14121, OG_14231, OG_14302, OG_14453, OG_14525, OG_14641, OG_14717, OG_14933, OG_15019, OG_15325, OG_15370, OG_15618, OG_15688, OG_15906, OG_16248, OG_16324, OG_16369, OG_16450, OG_16583, OG_16764, OG_16778, OG_16855, OG_17473, OG_17588, OG_17634, OG_17833, OG_17900, OG_18572, OG_18813
GO:0006281	0.00461809837829	0.4627830421009942	BP	p	DNA repair	13/1197	80/3961	7	13	OG_10786, OG_10838, OG_11511, OG_12637, OG_13374, OG_13707, OG_13787, OG_14244, OG_14344, OG_14603, OG_16749, OG_17366, OG_20718
