GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0050793	9.16821987518e-05	0.0963187680296346	BP	e	regulation of developmental process	146/863	515/4004	3	146	OG_10097, OG_10221, OG_10245, OG_10264, OG_10274, OG_10283, OG_10315, OG_10318, OG_10340, OG_10412, OG_10413, OG_10525, OG_10547, OG_10560, OG_10686, OG_10717, OG_10767, OG_10818, OG_10846, OG_10881, OG_11041, OG_11052, OG_11059, OG_11135, OG_11218, OG_11221, OG_11233, OG_11239, OG_11240, OG_11242, OG_11309, OG_11310, OG_11354, OG_11367, OG_11421, OG_11545, OG_11586, OG_11600, OG_11751, OG_11840, OG_11886, OG_11908, OG_11984, OG_12032, OG_12080, OG_12098, OG_12118, OG_12146, OG_12190, OG_12298, OG_12303, OG_12318, OG_12325, OG_12452, OG_12491, OG_12513, OG_12684, OG_12777, OG_12876, OG_12880, OG_12909, OG_12927, OG_12981, OG_13056, OG_13110, OG_13258, OG_13312, OG_13362, OG_13365, OG_13394, OG_13468, OG_13491, OG_13538, OG_13656, OG_13892, OG_13924, OG_13929, OG_14019, OG_14062, OG_14105, OG_14164, OG_14254, OG_14312, OG_14350, OG_14358, OG_14378, OG_14418, OG_14422, OG_14478, OG_14584, OG_14663, OG_14687, OG_14761, OG_14806, OG_14825, OG_14870, OG_14886, OG_14927, OG_14951, OG_15077, OG_15079, OG_15126, OG_15127, OG_15232, OG_15237, OG_15257, OG_15306, OG_15325, OG_15348, OG_15432, OG_15450, OG_15463, OG_15620, OG_15652, OG_15683, OG_15755, OG_15811, OG_15846, OG_15867, OG_15919, OG_15978, OG_16149, OG_16288, OG_16292, OG_16348, OG_16372, OG_16456, OG_16519, OG_16634, OG_16680, OG_16718, OG_16734, OG_16855, OG_16910, OG_17076, OG_17378, OG_17387, OG_17508, OG_17594, OG_18097, OG_18173, OG_18255, OG_18462, OG_18519, OG_18757, OG_19651
GO:0051239	5.38283833846e-05	0.0963187680296346	BP	e	regulation of multicellular organismal process	155/863	547/4004	3	155	OG_10097, OG_10221, OG_10264, OG_10283, OG_10315, OG_10318, OG_10340, OG_10412, OG_10413, OG_10478, OG_10516, OG_10525, OG_10547, OG_10560, OG_10647, OG_10717, OG_10818, OG_10839, OG_10846, OG_10881, OG_10900, OG_10904, OG_10919, OG_11041, OG_11052, OG_11059, OG_11135, OG_11196, OG_11218, OG_11233, OG_11239, OG_11240, OG_11242, OG_11309, OG_11310, OG_11316, OG_11354, OG_11367, OG_11382, OG_11421, OG_11435, OG_11545, OG_11586, OG_11600, OG_11742, OG_11751, OG_11840, OG_11886, OG_11908, OG_11984, OG_12032, OG_12043, OG_12098, OG_12118, OG_12146, OG_12190, OG_12298, OG_12303, OG_12318, OG_12452, OG_12491, OG_12513, OG_12684, OG_12777, OG_12880, OG_12981, OG_13056, OG_13110, OG_13258, OG_13312, OG_13362, OG_13365, OG_13394, OG_13468, OG_13491, OG_13538, OG_13656, OG_13745, OG_13892, OG_13924, OG_13929, OG_14019, OG_14062, OG_14105, OG_14164, OG_14254, OG_14312, OG_14350, OG_14358, OG_14378, OG_14418, OG_14422, OG_14425, OG_14478, OG_14584, OG_14663, OG_14687, OG_14761, OG_14806, OG_14814, OG_14825, OG_14870, OG_14927, OG_14951, OG_15077, OG_15079, OG_15126, OG_15127, OG_15200, OG_15232, OG_15237, OG_15257, OG_15306, OG_15325, OG_15348, OG_15416, OG_15432, OG_15450, OG_15463, OG_15552, OG_15620, OG_15650, OG_15652, OG_15683, OG_15755, OG_15811, OG_15846, OG_15919, OG_16149, OG_16243, OG_16288, OG_16292, OG_16305, OG_16348, OG_16372, OG_16456, OG_16519, OG_16634, OG_16680, OG_16718, OG_16734, OG_16855, OG_16910, OG_16915, OG_16918, OG_17056, OG_17378, OG_17508, OG_17588, OG_17594, OG_18097, OG_18173, OG_18519, OG_18757, OG_20792
GO:0008593	0.00012612671501	0.0963187680296346	BP	e	regulation of Notch signaling pathway	24/863	53/4004	6	24	OG_10400, OG_10818, OG_10964, OG_11367, OG_11565, OG_11586, OG_11833, OG_12273, OG_12303, OG_12491, OG_12745, OG_13564, OG_13924, OG_14062, OG_14254, OG_14333, OG_14418, OG_14670, OG_14806, OG_16120, OG_16157, OG_16305, OG_16348, OG_16812
GO:0032501	0.000180508912805	0.10338647980882662	BP	e	multicellular organismal process	234/863	893/4004	1	234	OG_10015, OG_10044, OG_10066, OG_10097, OG_10152, OG_10221, OG_10226, OG_10245, OG_10264, OG_10274, OG_10283, OG_10318, OG_10333, OG_10340, OG_10377, OG_10381, OG_10400, OG_10412, OG_10413, OG_10446, OG_10519, OG_10525, OG_10531, OG_10547, OG_10560, OG_10588, OG_10607, OG_10624, OG_10647, OG_10667, OG_10669, OG_10686, OG_10736, OG_10741, OG_10760, OG_10767, OG_10782, OG_10814, OG_10818, OG_10870, OG_10876, OG_10884, OG_10900, OG_10904, OG_10908, OG_10931, OG_10950, OG_10964, OG_10998, OG_11003, OG_11010, OG_11041, OG_11059, OG_11109, OG_11115, OG_11120, OG_11135, OG_11142, OG_11144, OG_11196, OG_11218, OG_11239, OG_11242, OG_11348, OG_11354, OG_11367, OG_11382, OG_11435, OG_11499, OG_11545, OG_11565, OG_11571, OG_11586, OG_11600, OG_11705, OG_11707, OG_11733, OG_11742, OG_11751, OG_11758, OG_11775, OG_11815, OG_11820, OG_11896, OG_12043, OG_12063, OG_12080, OG_12098, OG_12111, OG_12128, OG_12146, OG_12190, OG_12244, OG_12277, OG_12298, OG_12303, OG_12325, OG_12350, OG_12358, OG_12449, OG_12452, OG_12464, OG_12467, OG_12477, OG_12491, OG_12576, OG_12644, OG_12745, OG_12805, OG_12828, OG_12927, OG_12981, OG_13110, OG_13134, OG_13178, OG_13250, OG_13258, OG_13312, OG_13362, OG_13365, OG_13468, OG_13488, OG_13491, OG_13528, OG_13553, OG_13560, OG_13607, OG_13608, OG_13618, OG_13619, OG_13656, OG_13745, OG_13823, OG_13842, OG_13924, OG_14067, OG_14080, OG_14105, OG_14140, OG_14254, OG_14330, OG_14350, OG_14422, OG_14543, OG_14642, OG_14656, OG_14657, OG_14674, OG_14687, OG_14707, OG_14712, OG_14747, OG_14751, OG_14761, OG_14771, OG_14806, OG_14837, OG_14870, OG_14951, OG_15077, OG_15126, OG_15232, OG_15237, OG_15257, OG_15306, OG_15325, OG_15348, OG_15355, OG_15363, OG_15416, OG_15432, OG_15450, OG_15545, OG_15552, OG_15620, OG_15622, OG_15650, OG_15683, OG_15713, OG_15775, OG_15846, OG_15900, OG_15906, OG_15978, OG_16041, OG_16066, OG_16088, OG_16272, OG_16288, OG_16292, OG_16305, OG_16348, OG_16372, OG_16391, OG_16392, OG_16455, OG_16456, OG_16605, OG_16680, OG_16684, OG_16855, OG_16905, OG_16910, OG_16915, OG_16918, OG_16924, OG_16949, OG_17016, OG_17137, OG_17143, OG_17198, OG_17331, OG_17378, OG_17435, OG_17588, OG_17597, OG_17716, OG_17728, OG_18097, OG_18173, OG_18197, OG_18246, OG_18255, OG_18385, OG_18422, OG_18462, OG_18470, OG_18519, OG_18757, OG_18810, OG_18990, OG_19227, OG_19469, OG_20792
GO:0045595	0.000282783187777	0.12957125663942096	BP	e	regulation of cell differentiation	92/863	306/4004	4	92	OG_10097, OG_10221, OG_10245, OG_10264, OG_10274, OG_10283, OG_10315, OG_10525, OG_10547, OG_10560, OG_10686, OG_10717, OG_10767, OG_10846, OG_10881, OG_11059, OG_11135, OG_11233, OG_11239, OG_11242, OG_11309, OG_11354, OG_11367, OG_11421, OG_11586, OG_11600, OG_11751, OG_11840, OG_11908, OG_11984, OG_12118, OG_12190, OG_12298, OG_12303, OG_12318, OG_12325, OG_12491, OG_12513, OG_12880, OG_12981, OG_13056, OG_13110, OG_13258, OG_13312, OG_13468, OG_13538, OG_13656, OG_13892, OG_13924, OG_13929, OG_14019, OG_14105, OG_14164, OG_14312, OG_14350, OG_14358, OG_14378, OG_14422, OG_14478, OG_14663, OG_14761, OG_14806, OG_14825, OG_14870, OG_15077, OG_15232, OG_15237, OG_15257, OG_15306, OG_15325, OG_15348, OG_15432, OG_15450, OG_15463, OG_15652, OG_15811, OG_15846, OG_15867, OG_16288, OG_16372, OG_16456, OG_16519, OG_16680, OG_16718, OG_16910, OG_17378, OG_17387, OG_17594, OG_18097, OG_18173, OG_18255, OG_18462
GO:2000026	0.000342478073918	0.13076954455777912	BP	e	regulation of multicellular organismal development	112/863	388/4004	4	112	OG_10097, OG_10221, OG_10264, OG_10283, OG_10315, OG_10318, OG_10340, OG_10412, OG_10413, OG_10525, OG_10547, OG_10717, OG_10818, OG_10846, OG_11052, OG_11059, OG_11135, OG_11218, OG_11233, OG_11239, OG_11240, OG_11242, OG_11309, OG_11310, OG_11354, OG_11367, OG_11421, OG_11545, OG_11586, OG_11600, OG_11751, OG_11840, OG_11886, OG_11908, OG_11984, OG_12032, OG_12098, OG_12118, OG_12146, OG_12190, OG_12298, OG_12303, OG_12318, OG_12491, OG_12684, OG_12777, OG_12880, OG_12981, OG_13056, OG_13110, OG_13258, OG_13362, OG_13365, OG_13394, OG_13468, OG_13491, OG_13656, OG_13892, OG_13924, OG_13929, OG_14019, OG_14062, OG_14105, OG_14164, OG_14254, OG_14312, OG_14350, OG_14358, OG_14378, OG_14422, OG_14478, OG_14663, OG_14687, OG_14806, OG_14825, OG_14870, OG_14927, OG_15077, OG_15079, OG_15126, OG_15127, OG_15232, OG_15237, OG_15257, OG_15306, OG_15325, OG_15348, OG_15432, OG_15450, OG_15463, OG_15652, OG_15755, OG_15811, OG_15846, OG_15919, OG_16149, OG_16288, OG_16292, OG_16348, OG_16372, OG_16456, OG_16519, OG_16634, OG_16680, OG_16910, OG_17378, OG_17508, OG_17594, OG_18097, OG_18173, OG_18519, OG_18757
GO:0030856	0.000899771407276	0.18286648512767686	BP	e	regulation of epithelial cell differentiation	10/863	17/4004	5	10	OG_10283, OG_11239, OG_11242, OG_11354, OG_12491, OG_13110, OG_14806, OG_15232, OG_15237, OG_15652
GO:0051129	0.00231476563453	0.18286648512767686	BP	e	negative regulation of cellular component organization	46/863	141/4004	5	46	OG_10023, OG_10097, OG_10245, OG_10525, OG_10532, OG_10647, OG_10717, OG_10839, OG_10846, OG_10870, OG_10964, OG_11133, OG_11300, OG_11421, OG_12684, OG_12876, OG_12880, OG_13110, OG_13271, OG_13362, OG_13892, OG_13929, OG_14193, OG_14302, OG_14312, OG_14422, OG_14722, OG_15325, OG_15363, OG_15450, OG_15683, OG_15755, OG_15846, OG_16047, OG_16288, OG_16292, OG_16372, OG_16455, OG_16634, OG_16684, OG_16850, OG_17094, OG_17378, OG_18097, OG_18553, OG_18757
GO:0048731	0.00174094876314	0.18286648512767686	BP	e	system development	58/863	185/4004	3	58	OG_10075, OG_10097, OG_10136, OG_10226, OG_10283, OG_10516, OG_10741, OG_10818, OG_10908, OG_10931, OG_10964, OG_10998, OG_11003, OG_11135, OG_11171, OG_11239, OG_11242, OG_11348, OG_11586, OG_12244, OG_12303, OG_12491, OG_12745, OG_12841, OG_12876, OG_12970, OG_13258, OG_13271, OG_13362, OG_13564, OG_13607, OG_13842, OG_13909, OG_13924, OG_14105, OG_14254, OG_14302, OG_14422, OG_14478, OG_14761, OG_14806, OG_14870, OG_15232, OG_15325, OG_15348, OG_15458, OG_15463, OG_15846, OG_15978, OG_16018, OG_16047, OG_16329, OG_17044, OG_17378, OG_17652, OG_18079, OG_18462, OG_19036
GO:0055072	0.00136007570095	0.18286648512767686	BP	e	iron ion homeostasis	9/863	15/4004	9	9	OG_11239, OG_11367, OG_13134, OG_14330, OG_14917, OG_15097, OG_15846, OG_16680, OG_17092
