GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0022610	4.12046716994e-07	0.0011887547785289453	BP	e	biological adhesion	98/1357	226/4860	1	98	OG_10136, OG_10152, OG_10161, OG_10214, OG_10225, OG_10232, OG_10304, OG_10333, OG_10335, OG_10348, OG_10368, OG_10437, OG_10461, OG_10516, OG_10523, OG_10608, OG_10652, OG_10660, OG_10691, OG_10705, OG_10762, OG_10771, OG_10789, OG_10790, OG_10843, OG_10880, OG_10902, OG_10954, OG_11030, OG_11059, OG_11080, OG_11109, OG_11126, OG_11187, OG_11239, OG_11245, OG_11252, OG_11269, OG_11327, OG_11355, OG_11366, OG_11387, OG_11446, OG_11462, OG_11477, OG_11506, OG_11527, OG_11542, OG_11600, OG_11626, OG_11630, OG_11687, OG_11699, OG_11751, OG_11766, OG_11943, OG_11988, OG_12081, OG_12082, OG_12102, OG_12201, OG_12226, OG_12238, OG_12436, OG_12477, OG_12510, OG_12685, OG_12755, OG_13472, OG_13656, OG_14173, OG_14216, OG_14302, OG_14349, OG_14350, OG_14761, OG_14806, OG_14879, OG_15146, OG_15232, OG_15251, OG_15325, OG_15492, OG_15871, OG_16154, OG_16306, OG_16428, OG_16803, OG_17055, OG_17500, OG_17588, OG_17832, OG_18519, OG_18680, OG_19333, OG_19541, OG_20588, OG_23137
GO:0007155	1.04714102813e-06	0.0015105009330714098	BP	e	cell adhesion	95/1357	221/4860	2	95	OG_10136, OG_10152, OG_10161, OG_10214, OG_10225, OG_10232, OG_10304, OG_10333, OG_10335, OG_10348, OG_10368, OG_10437, OG_10461, OG_10516, OG_10523, OG_10608, OG_10652, OG_10660, OG_10691, OG_10705, OG_10762, OG_10771, OG_10789, OG_10790, OG_10843, OG_10880, OG_10902, OG_10954, OG_11030, OG_11059, OG_11080, OG_11109, OG_11126, OG_11187, OG_11239, OG_11245, OG_11252, OG_11269, OG_11355, OG_11366, OG_11387, OG_11446, OG_11477, OG_11506, OG_11527, OG_11542, OG_11600, OG_11626, OG_11630, OG_11687, OG_11699, OG_11751, OG_11766, OG_11943, OG_11988, OG_12081, OG_12082, OG_12102, OG_12201, OG_12226, OG_12238, OG_12436, OG_12477, OG_12510, OG_12685, OG_12755, OG_13472, OG_13656, OG_14173, OG_14216, OG_14302, OG_14349, OG_14350, OG_14761, OG_14806, OG_14879, OG_15146, OG_15232, OG_15251, OG_15325, OG_15492, OG_15871, OG_16154, OG_16306, OG_16428, OG_16803, OG_17500, OG_17588, OG_17832, OG_18519, OG_18680, OG_19333, OG_19541, OG_20588, OG_23137
GO:0007156	2.50441512576e-06	0.002408412545935801	BP	e	homophilic cell adhesion via plasma membrane adhesion molecules	32/1357	55/4860	5	32	OG_10136, OG_10152, OG_10304, OG_10368, OG_10516, OG_10652, OG_10771, OG_10843, OG_10954, OG_11080, OG_11109, OG_11126, OG_11187, OG_11355, OG_11387, OG_11506, OG_11699, OG_11766, OG_11988, OG_12082, OG_12201, OG_12238, OG_13656, OG_14173, OG_14349, OG_14350, OG_15232, OG_16803, OG_17500, OG_17588, OG_20588, OG_23137
GO:0048731	1.50102264981e-05	0.010826125861742118	BP	e	system development	105/1357	263/4860	3	105	OG_10075, OG_10136, OG_10161, OG_10214, OG_10226, OG_10283, OG_10295, OG_10304, OG_10466, OG_10516, OG_10523, OG_10655, OG_10730, OG_10818, OG_10825, OG_10880, OG_10954, OG_10995, OG_10998, OG_11003, OG_11030, OG_11075, OG_11089, OG_11171, OG_11185, OG_11239, OG_11297, OG_11348, OG_11401, OG_11446, OG_11466, OG_11506, OG_11586, OG_11611, OG_11626, OG_11670, OG_11766, OG_11767, OG_12082, OG_12126, OG_12192, OG_12218, OG_12244, OG_12280, OG_12303, OG_12343, OG_12491, OG_12800, OG_12876, OG_12886, OG_12924, OG_12970, OG_12992, OG_13238, OG_13271, OG_13307, OG_13313, OG_13314, OG_13439, OG_13607, OG_13842, OG_13872, OG_13909, OG_13912, OG_14055, OG_14255, OG_14302, OG_14422, OG_14467, OG_14478, OG_14520, OG_14761, OG_14784, OG_14806, OG_14830, OG_14937, OG_15232, OG_15325, OG_15392, OG_15430, OG_15438, OG_15439, OG_15458, OG_15463, OG_15592, OG_15805, OG_15827, OG_15902, OG_15917, OG_15932, OG_15978, OG_16047, OG_16100, OG_16154, OG_16186, OG_16329, OG_16598, OG_16911, OG_17933, OG_18462, OG_19129, OG_19479, OG_19524, OG_19541, OG_20341
GO:0098742	2.55396599854e-05	0.014736383811579549	BP	e	cell-cell adhesion via plasma-membrane adhesion molecules	35/1357	67/4860	4	35	OG_10136, OG_10152, OG_10304, OG_10368, OG_10516, OG_10652, OG_10691, OG_10771, OG_10843, OG_10954, OG_11080, OG_11109, OG_11126, OG_11187, OG_11355, OG_11387, OG_11506, OG_11626, OG_11699, OG_11766, OG_11988, OG_12082, OG_12201, OG_12238, OG_13656, OG_14173, OG_14349, OG_14350, OG_15232, OG_16803, OG_17500, OG_17588, OG_19541, OG_20588, OG_23137
GO:0009888	5.69543458933e-05	0.02738554798369857	BP	e	tissue development	83/1357	203/4860	3	83	OG_10208, OG_10295, OG_10318, OG_10335, OG_10336, OG_10340, OG_10448, OG_10523, OG_10551, OG_10636, OG_10655, OG_10712, OG_10730, OG_10818, OG_10880, OG_10883, OG_10892, OG_10998, OG_11003, OG_11036, OG_11058, OG_11059, OG_11075, OG_11089, OG_11096, OG_11116, OG_11239, OG_11252, OG_11446, OG_11600, OG_11602, OG_11733, OG_11751, OG_11822, OG_11886, OG_12013, OG_12082, OG_12117, OG_12137, OG_12280, OG_12343, OG_12353, OG_12450, OG_12491, OG_12510, OG_12614, OG_12820, OG_13179, OG_13307, OG_13310, OG_14172, OG_14497, OG_14761, OG_14784, OG_15110, OG_15126, OG_15232, OG_15392, OG_15438, OG_15439, OG_15454, OG_15463, OG_15492, OG_15493, OG_15500, OG_15827, OG_16349, OG_16428, OG_16482, OG_16595, OG_16684, OG_16750, OG_16803, OG_16910, OG_17588, OG_17871, OG_17933, OG_18519, OG_18547, OG_18680, OG_18910, OG_19524, OG_19541
GO:0050808	8.78964125376e-05	0.036225878595845695	BP	e	synapse organization	50/1357	110/4860	3	50	OG_10039, OG_10152, OG_10223, OG_10225, OG_10244, OG_10304, OG_10412, OG_10431, OG_10653, OG_10735, OG_10758, OG_10789, OG_10790, OG_10880, OG_10887, OG_11030, OG_11186, OG_11387, OG_11396, OG_11506, OG_11513, OG_11527, OG_11573, OG_11626, OG_11630, OG_11687, OG_11767, OG_11820, OG_11984, OG_12220, OG_12226, OG_12540, OG_12685, OG_12780, OG_12859, OG_12876, OG_13271, OG_13538, OG_13842, OG_14150, OG_14647, OG_14761, OG_14806, OG_15623, OG_15871, OG_16288, OG_16423, OG_16806, OG_17805, OG_18428
GO:0034641	0.00010755010683	0.038785257275521255	BP	p	cellular nitrogen compound metabolic process	239/1357	1032/4860	3	239	OG_10075, OG_10084, OG_10133, OG_10190, OG_10220, OG_10264, OG_10283, OG_10295, OG_10314, OG_10317, OG_10340, OG_10360, OG_10361, OG_10396, OG_10432, OG_10433, OG_10436, OG_10449, OG_10458, OG_10470, OG_10475, OG_10504, OG_10505, OG_10520, OG_10540, OG_10585, OG_10598, OG_10599, OG_10611, OG_10626, OG_10636, OG_10638, OG_10640, OG_10711, OG_10742, OG_10752, OG_10776, OG_10798, OG_10829, OG_10840, OG_10846, OG_10878, OG_10887, OG_10892, OG_10898, OG_10918, OG_10919, OG_10999, OG_11029, OG_11050, OG_11123, OG_11157, OG_11188, OG_11225, OG_11240, OG_11293, OG_11297, OG_11338, OG_11382, OG_11432, OG_11445, OG_11467, OG_11471, OG_11477, OG_11497, OG_11565, OG_11566, OG_11725, OG_11729, OG_11759, OG_11767, OG_11802, OG_11807, OG_11817, OG_11831, OG_11890, OG_11923, OG_12004, OG_12038, OG_12072, OG_12118, OG_12178, OG_12183, OG_12192, OG_12216, OG_12217, OG_12257, OG_12287, OG_12303, OG_12339, OG_12343, OG_12393, OG_12416, OG_12429, OG_12450, OG_12504, OG_12633, OG_12674, OG_12678, OG_12749, OG_12820, OG_12859, OG_12878, OG_12886, OG_12944, OG_12968, OG_12989, OG_12992, OG_12999, OG_13021, OG_13064, OG_13197, OG_13207, OG_13212, OG_13222, OG_13289, OG_13310, OG_13313, OG_13587, OG_13609, OG_13676, OG_13680, OG_13692, OG_13707, OG_13709, OG_13745, OG_13750, OG_13771, OG_13783, OG_13843, OG_13859, OG_13909, OG_13912, OG_13929, OG_14002, OG_14124, OG_14216, OG_14240, OG_14330, OG_14336, OG_14378, OG_14467, OG_14481, OG_14497, OG_14542, OG_14555, OG_14587, OG_14603, OG_14627, OG_14638, OG_14642, OG_14656, OG_14729, OG_14768, OG_14769, OG_14806, OG_14842, OG_14925, OG_14944, OG_14986, OG_14990, OG_15042, OG_15043, OG_15161, OG_15195, OG_15246, OG_15288, OG_15373, OG_15380, OG_15437, OG_15438, OG_15439, OG_15440, OG_15454, OG_15458, OG_15469, OG_15500, OG_15655, OG_15658, OG_15667, OG_15686, OG_15693, OG_15697, OG_15805, OG_15839, OG_15848, OG_15903, OG_15975, OG_15978, OG_16047, OG_16092, OG_16108, OG_16118, OG_16137, OG_16175, OG_16192, OG_16272, OG_16347, OG_16416, OG_16615, OG_16669, OG_16676, OG_16684, OG_16711, OG_16742, OG_16757, OG_16913, OG_16943, OG_16968, OG_17159, OG_17162, OG_17235, OG_17435, OG_17448, OG_17561, OG_17763, OG_17814, OG_17831, OG_17904, OG_17936, OG_18056, OG_18097, OG_18147, OG_18150, OG_18199, OG_18259, OG_18277, OG_18516, OG_18525, OG_18882, OG_18910, OG_18975, OG_19035, OG_19264, OG_19524, OG_19710, OG_19903, OG_20528, OG_23770
GO:0070593	0.000121313991804	0.038887874039459785	BP	e	dendrite self-avoidance	12/1357	16/4860	4	12	OG_10314, OG_10368, OG_10771, OG_11387, OG_11699, OG_11766, OG_12238, OG_14349, OG_14350, OG_15592, OG_16062, OG_16803
GO:0032502	0.000157702333039	0.045497123081634665	BP	e	developmental process	487/1357	1545/4860	1	487	OG_10003, OG_10015, OG_10075, OG_10084, OG_10133, OG_10136, OG_10152, OG_10161, OG_10174, OG_10201, OG_10208, OG_10214, OG_10216, OG_10220, OG_10221, OG_10225, OG_10226, OG_10245, OG_10253, OG_10264, OG_10272, OG_10274, OG_10283, OG_10295, OG_10304, OG_10314, OG_10315, OG_10318, OG_10333, OG_10335, OG_10336, OG_10337, OG_10340, OG_10345, OG_10348, OG_10368, OG_10377, OG_10379, OG_10412, OG_10424, OG_10425, OG_10432, OG_10437, OG_10448, OG_10449, OG_10458, OG_10461, OG_10466, OG_10470, OG_10472, OG_10478, OG_10485, OG_10516, OG_10520, OG_10523, OG_10549, OG_10550, OG_10551, OG_10585, OG_10588, OG_10599, OG_10607, OG_10623, OG_10626, OG_10636, OG_10638, OG_10640, OG_10652, OG_10654, OG_10655, OG_10660, OG_10667, OG_10669, OG_10686, OG_10712, OG_10717, OG_10730, OG_10735, OG_10742, OG_10747, OG_10771, OG_10782, OG_10789, OG_10790, OG_10803, OG_10818, OG_10825, OG_10840, OG_10846, OG_10858, OG_10861, OG_10878, OG_10880, OG_10883, OG_10892, OG_10902, OG_10907, OG_10950, OG_10954, OG_10968, OG_10969, OG_10994, OG_10995, OG_10998, OG_11003, OG_11015, OG_11021, OG_11024, OG_11029, OG_11030, OG_11036, OG_11050, OG_11058, OG_11059, OG_11073, OG_11075, OG_11089, OG_11096, OG_11116, OG_11120, OG_11142, OG_11165, OG_11171, OG_11180, OG_11182, OG_11185, OG_11186, OG_11188, OG_11200, OG_11220, OG_11239, OG_11245, OG_11252, OG_11269, OG_11297, OG_11309, OG_11311, OG_11326, OG_11338, OG_11348, OG_11354, OG_11355, OG_11366, OG_11382, OG_11387, OG_11396, OG_11401, OG_11435, OG_11446, OG_11466, OG_11474, OG_11477, OG_11499, OG_11506, OG_11528, OG_11573, OG_11577, OG_11586, OG_11600, OG_11602, OG_11611, OG_11626, OG_11643, OG_11670, OG_11687, OG_11694, OG_11699, OG_11729, OG_11733, OG_11748, OG_11751, OG_11766, OG_11767, OG_11770, OG_11802, OG_11812, OG_11817, OG_11820, OG_11822, OG_11831, OG_11844, OG_11859, OG_11886, OG_11909, OG_11933, OG_11942, OG_11943, OG_11988, OG_12004, OG_12013, OG_12019, OG_12031, OG_12038, OG_12064, OG_12082, OG_12117, OG_12126, OG_12137, OG_12178, OG_12183, OG_12186, OG_12192, OG_12217, OG_12218, OG_12226, OG_12238, OG_12244, OG_12280, OG_12287, OG_12303, OG_12343, OG_12350, OG_12353, OG_12358, OG_12380, OG_12393, OG_12416, OG_12436, OG_12450, OG_12452, OG_12477, OG_12491, OG_12510, OG_12563, OG_12614, OG_12633, OG_12644, OG_12674, OG_12685, OG_12780, OG_12800, OG_12805, OG_12820, OG_12858, OG_12876, OG_12886, OG_12895, OG_12924, OG_12927, OG_12968, OG_12970, OG_12992, OG_13012, OG_13030, OG_13137, OG_13179, OG_13207, OG_13238, OG_13249, OG_13256, OG_13271, OG_13307, OG_13310, OG_13313, OG_13314, OG_13382, OG_13426, OG_13439, OG_13442, OG_13472, OG_13490, OG_13491, OG_13538, OG_13545, OG_13607, OG_13656, OG_13676, OG_13830, OG_13835, OG_13842, OG_13872, OG_13907, OG_13909, OG_13912, OG_13917, OG_13929, OG_14002, OG_14025, OG_14055, OG_14096, OG_14122, OG_14124, OG_14150, OG_14172, OG_14173, OG_14216, OG_14219, OG_14250, OG_14255, OG_14302, OG_14312, OG_14315, OG_14330, OG_14336, OG_14349, OG_14350, OG_14373, OG_14422, OG_14453, OG_14467, OG_14478, OG_14479, OG_14481, OG_14497, OG_14520, OG_14543, OG_14551, OG_14555, OG_14568, OG_14587, OG_14627, OG_14636, OG_14638, OG_14644, OG_14645, OG_14656, OG_14660, OG_14712, OG_14750, OG_14761, OG_14769, OG_14772, OG_14784, OG_14792, OG_14806, OG_14830, OG_14937, OG_14944, OG_14951, OG_14978, OG_15030, OG_15031, OG_15062, OG_15076, OG_15110, OG_15120, OG_15123, OG_15126, OG_15127, OG_15195, OG_15206, OG_15226, OG_15232, OG_15246, OG_15325, OG_15365, OG_15392, OG_15430, OG_15437, OG_15438, OG_15439, OG_15440, OG_15454, OG_15458, OG_15461, OG_15462, OG_15463, OG_15492, OG_15493, OG_15500, OG_15531, OG_15538, OG_15583, OG_15588, OG_15592, OG_15602, OG_15611, OG_15612, OG_15614, OG_15629, OG_15638, OG_15647, OG_15684, OG_15693, OG_15703, OG_15724, OG_15775, OG_15786, OG_15805, OG_15825, OG_15827, OG_15871, OG_15891, OG_15900, OG_15902, OG_15906, OG_15917, OG_15918, OG_15923, OG_15932, OG_15978, OG_16004, OG_16022, OG_16032, OG_16047, OG_16062, OG_16100, OG_16137, OG_16153, OG_16154, OG_16168, OG_16186, OG_16234, OG_16272, OG_16288, OG_16292, OG_16306, OG_16321, OG_16329, OG_16347, OG_16349, OG_16396, OG_16409, OG_16423, OG_16428, OG_16482, OG_16497, OG_16518, OG_16538, OG_16595, OG_16598, OG_16618, OG_16667, OG_16676, OG_16684, OG_16711, OG_16750, OG_16757, OG_16764, OG_16803, OG_16806, OG_16855, OG_16897, OG_16898, OG_16910, OG_16911, OG_16913, OG_16915, OG_16943, OG_16969, OG_16989, OG_17055, OG_17081, OG_17086, OG_17159, OG_17184, OG_17235, OG_17402, OG_17435, OG_17561, OG_17588, OG_17600, OG_17743, OG_17832, OG_17863, OG_17871, OG_17904, OG_17911, OG_17933, OG_17935, OG_18150, OG_18332, OG_18428, OG_18462, OG_18470, OG_18495, OG_18519, OG_18532, OG_18547, OG_18554, OG_18680, OG_18731, OG_18760, OG_18762, OG_18910, OG_19129, OG_19312, OG_19380, OG_19479, OG_19524, OG_19541, OG_19758, OG_20341, OG_20588, OG_20792, OG_23137, OG_23770
