GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007155	5.19448565286e-14	1.5069202878953726e-10	BP	e	cell adhesion	107/1209	227/4908	2	107	OG_10136, OG_10152, OG_10161, OG_10225, OG_10277, OG_10325, OG_10333, OG_10335, OG_10364, OG_10368, OG_10404, OG_10461, OG_10586, OG_10590, OG_10652, OG_10699, OG_10705, OG_10789, OG_10790, OG_10902, OG_10954, OG_10977, OG_11018, OG_11030, OG_11059, OG_11080, OG_11126, OG_11270, OG_11387, OG_11446, OG_11506, OG_11527, OG_11600, OG_11626, OG_11671, OG_11687, OG_11692, OG_11699, OG_11766, OG_11903, OG_11943, OG_12081, OG_12082, OG_12102, OG_12199, OG_12226, OG_12238, OG_12477, OG_12510, OG_12539, OG_12624, OG_12685, OG_12755, OG_12760, OG_12893, OG_13246, OG_13472, OG_13656, OG_13687, OG_13728, OG_13901, OG_14173, OG_14216, OG_14254, OG_14302, OG_14358, OG_14480, OG_14525, OG_14676, OG_14761, OG_14806, OG_14927, OG_14931, OG_15178, OG_15232, OG_15251, OG_15325, OG_15333, OG_15369, OG_15492, OG_15618, OG_15747, OG_15790, OG_15846, OG_15871, OG_16271, OG_16306, OG_16428, OG_16678, OG_16842, OG_16990, OG_16991, OG_17130, OG_17351, OG_17378, OG_17485, OG_17508, OG_17588, OG_17832, OG_18249, OG_18519, OG_18545, OG_19333, OG_19516, OG_19541, OG_20588, OG_21532
GO:0022610	2.40918748993e-13	3.4945264541420657e-10	BP	e	biological adhesion	108/1209	234/4908	1	108	OG_10136, OG_10152, OG_10161, OG_10225, OG_10277, OG_10325, OG_10333, OG_10335, OG_10364, OG_10368, OG_10404, OG_10461, OG_10586, OG_10590, OG_10652, OG_10699, OG_10705, OG_10789, OG_10790, OG_10902, OG_10954, OG_10977, OG_11018, OG_11030, OG_11059, OG_11080, OG_11126, OG_11270, OG_11387, OG_11446, OG_11506, OG_11527, OG_11600, OG_11626, OG_11671, OG_11687, OG_11692, OG_11699, OG_11766, OG_11903, OG_11943, OG_12081, OG_12082, OG_12102, OG_12199, OG_12226, OG_12238, OG_12477, OG_12510, OG_12539, OG_12624, OG_12685, OG_12755, OG_12760, OG_12893, OG_13246, OG_13472, OG_13656, OG_13687, OG_13728, OG_13901, OG_14173, OG_14216, OG_14254, OG_14302, OG_14358, OG_14480, OG_14525, OG_14676, OG_14761, OG_14806, OG_14927, OG_14931, OG_15178, OG_15232, OG_15251, OG_15325, OG_15333, OG_15369, OG_15492, OG_15618, OG_15747, OG_15790, OG_15846, OG_15871, OG_16271, OG_16306, OG_16428, OG_16678, OG_16842, OG_16990, OG_16991, OG_17055, OG_17130, OG_17351, OG_17378, OG_17485, OG_17508, OG_17588, OG_17832, OG_18249, OG_18519, OG_18545, OG_19333, OG_19516, OG_19541, OG_20588, OG_21532
GO:0048869	1.91296365414e-10	1.849835853548589e-07	BP	e	cellular developmental process	284/1209	850/4908	2	284	OG_10044, OG_10075, OG_10101, OG_10133, OG_10152, OG_10161, OG_10198, OG_10236, OG_10242, OG_10245, OG_10275, OG_10277, OG_10283, OG_10289, OG_10295, OG_10296, OG_10314, OG_10333, OG_10335, OG_10336, OG_10364, OG_10368, OG_10404, OG_10412, OG_10423, OG_10424, OG_10430, OG_10432, OG_10458, OG_10470, OG_10478, OG_10485, OG_10527, OG_10547, OG_10551, OG_10560, OG_10589, OG_10599, OG_10607, OG_10617, OG_10652, OG_10655, OG_10678, OG_10686, OG_10699, OG_10725, OG_10741, OG_10789, OG_10790, OG_10826, OG_10827, OG_10846, OG_10849, OG_10861, OG_10902, OG_10915, OG_10935, OG_10954, OG_10964, OG_10984, OG_10998, OG_11003, OG_11018, OG_11021, OG_11030, OG_11042, OG_11059, OG_11075, OG_11089, OG_11116, OG_11171, OG_11173, OG_11179, OG_11185, OG_11242, OG_11297, OG_11308, OG_11348, OG_11367, OG_11374, OG_11379, OG_11380, OG_11382, OG_11387, OG_11411, OG_11421, OG_11446, OG_11474, OG_11495, OG_11499, OG_11554, OG_11586, OG_11600, OG_11602, OG_11626, OG_11628, OG_11643, OG_11687, OG_11699, OG_11729, OG_11749, OG_11766, OG_11802, OG_11820, OG_11844, OG_11863, OG_11917, OG_11943, OG_12037, OG_12068, OG_12082, OG_12128, OG_12188, OG_12213, OG_12226, OG_12238, OG_12277, OG_12303, OG_12343, OG_12491, OG_12511, OG_12513, OG_12552, OG_12585, OG_12610, OG_12685, OG_12760, OG_12780, OG_12851, OG_12893, OG_12895, OG_12927, OG_12992, OG_13012, OG_13113, OG_13207, OG_13234, OG_13238, OG_13246, OG_13307, OG_13312, OG_13394, OG_13439, OG_13445, OG_13531, OG_13547, OG_13656, OG_13676, OG_13696, OG_13727, OG_13728, OG_13737, OG_13766, OG_13842, OG_13877, OG_13896, OG_13909, OG_14053, OG_14055, OG_14081, OG_14123, OG_14172, OG_14173, OG_14254, OG_14302, OG_14312, OG_14325, OG_14358, OG_14408, OG_14477, OG_14478, OG_14480, OG_14481, OG_14525, OG_14636, OG_14676, OG_14683, OG_14761, OG_14794, OG_14806, OG_14851, OG_14931, OG_14933, OG_14944, OG_14950, OG_15017, OG_15031, OG_15076, OG_15077, OG_15127, OG_15213, OG_15232, OG_15237, OG_15306, OG_15312, OG_15348, OG_15371, OG_15397, OG_15421, OG_15428, OG_15492, OG_15501, OG_15509, OG_15517, OG_15530, OG_15534, OG_15618, OG_15625, OG_15638, OG_15753, OG_15755, OG_15805, OG_15811, OG_15846, OG_15871, OG_15900, OG_15929, OG_15978, OG_15998, OG_16018, OG_16137, OG_16271, OG_16273, OG_16288, OG_16306, OG_16329, OG_16348, OG_16369, OG_16372, OG_16455, OG_16456, OG_16526, OG_16538, OG_16589, OG_16603, OG_16678, OG_16680, OG_16764, OG_16812, OG_16842, OG_16910, OG_16911, OG_16913, OG_16914, OG_16948, OG_16991, OG_17016, OG_17079, OG_17144, OG_17172, OG_17184, OG_17215, OG_17273, OG_17343, OG_17351, OG_17378, OG_17478, OG_17508, OG_17588, OG_17652, OG_17743, OG_17746, OG_17775, OG_17887, OG_17892, OG_17900, OG_17974, OG_18462, OG_18470, OG_18510, OG_18519, OG_18532, OG_18545, OG_18667, OG_18952, OG_19189, OG_19364, OG_19516, OG_19524, OG_19541, OG_19706, OG_19775, OG_20341, OG_20588
GO:0006928	6.01135948475e-10	4.359738466318375e-07	BP	e	movement of cell or subcellular component	178/1209	487/4908	2	178	OG_10044, OG_10152, OG_10170, OG_10198, OG_10225, OG_10236, OG_10242, OG_10245, OG_10277, OG_10283, OG_10289, OG_10294, OG_10295, OG_10336, OG_10345, OG_10351, OG_10368, OG_10375, OG_10423, OG_10424, OG_10430, OG_10446, OG_10458, OG_10467, OG_10481, OG_10489, OG_10515, OG_10547, OG_10551, OG_10607, OG_10617, OG_10622, OG_10652, OG_10655, OG_10669, OG_10678, OG_10699, OG_10714, OG_10818, OG_10825, OG_10846, OG_10849, OG_10870, OG_10915, OG_10919, OG_10950, OG_10954, OG_10977, OG_10998, OG_11003, OG_11030, OG_11080, OG_11208, OG_11242, OG_11270, OG_11308, OG_11348, OG_11374, OG_11387, OG_11395, OG_11411, OG_11421, OG_11446, OG_11555, OG_11602, OG_11658, OG_11671, OG_11687, OG_11699, OG_11729, OG_11749, OG_11766, OG_11833, OG_11845, OG_12037, OG_12082, OG_12208, OG_12226, OG_12238, OG_12270, OG_12343, OG_12552, OG_12585, OG_12610, OG_12624, OG_12685, OG_12763, OG_12780, OG_12853, OG_12893, OG_12895, OG_12992, OG_13007, OG_13030, OG_13207, OG_13238, OG_13245, OG_13246, OG_13307, OG_13344, OG_13696, OG_13728, OG_13878, OG_13901, OG_14123, OG_14173, OG_14215, OG_14254, OG_14302, OG_14312, OG_14358, OG_14396, OG_14408, OG_14480, OG_14676, OG_14784, OG_14794, OG_14927, OG_14931, OG_15110, OG_15127, OG_15164, OG_15232, OG_15306, OG_15325, OG_15383, OG_15428, OG_15459, OG_15492, OG_15500, OG_15501, OG_15618, OG_15621, OG_15625, OG_15681, OG_15712, OG_15753, OG_15755, OG_15775, OG_15846, OG_15871, OG_16018, OG_16254, OG_16266, OG_16273, OG_16306, OG_16369, OG_16428, OG_16456, OG_16538, OG_16555, OG_16603, OG_16678, OG_16756, OG_16842, OG_16911, OG_16948, OG_17044, OG_17144, OG_17273, OG_17351, OG_17378, OG_17522, OG_17604, OG_17743, OG_17900, OG_18043, OG_18462, OG_18519, OG_18521, OG_18952, OG_19078, OG_19516, OG_19524, OG_19541, OG_20010, OG_21532, OG_22591
GO:0009653	8.84589968393e-10	5.132390996616428e-07	BP	e	anatomical structure morphogenesis	222/1209	640/4908	2	222	OG_10044, OG_10133, OG_10136, OG_10152, OG_10236, OG_10245, OG_10277, OG_10283, OG_10289, OG_10295, OG_10325, OG_10333, OG_10336, OG_10345, OG_10364, OG_10368, OG_10404, OG_10423, OG_10424, OG_10430, OG_10458, OG_10461, OG_10485, OG_10547, OG_10551, OG_10560, OG_10599, OG_10617, OG_10655, OG_10669, OG_10678, OG_10685, OG_10686, OG_10699, OG_10725, OG_10741, OG_10744, OG_10817, OG_10818, OG_10846, OG_10861, OG_10902, OG_10915, OG_10954, OG_10964, OG_10998, OG_11003, OG_11018, OG_11030, OG_11075, OG_11089, OG_11142, OG_11165, OG_11185, OG_11208, OG_11220, OG_11242, OG_11291, OG_11308, OG_11374, OG_11380, OG_11387, OG_11411, OG_11421, OG_11446, OG_11495, OG_11506, OG_11586, OG_11602, OG_11626, OG_11658, OG_11664, OG_11687, OG_11699, OG_11729, OG_11749, OG_11766, OG_11780, OG_11844, OG_11859, OG_11917, OG_12037, OG_12068, OG_12082, OG_12188, OG_12191, OG_12213, OG_12226, OG_12238, OG_12298, OG_12303, OG_12343, OG_12350, OG_12467, OG_12491, OG_12610, OG_12685, OG_12687, OG_12771, OG_12780, OG_12853, OG_12893, OG_12927, OG_12979, OG_12992, OG_13007, OG_13207, OG_13238, OG_13246, OG_13307, OG_13395, OG_13488, OG_13656, OG_13687, OG_13696, OG_13714, OG_13727, OG_13728, OG_13737, OG_13766, OG_13842, OG_13896, OG_13901, OG_13944, OG_14055, OG_14097, OG_14172, OG_14173, OG_14216, OG_14254, OG_14302, OG_14312, OG_14358, OG_14408, OG_14477, OG_14480, OG_14525, OG_14636, OG_14676, OG_14761, OG_14784, OG_14794, OG_14806, OG_14931, OG_14933, OG_14944, OG_15076, OG_15077, OG_15213, OG_15232, OG_15306, OG_15312, OG_15348, OG_15397, OG_15421, OG_15428, OG_15437, OG_15487, OG_15492, OG_15531, OG_15612, OG_15618, OG_15625, OG_15662, OG_15753, OG_15755, OG_15846, OG_15858, OG_15871, OG_15919, OG_15929, OG_15998, OG_16076, OG_16153, OG_16288, OG_16306, OG_16348, OG_16369, OG_16409, OG_16428, OG_16456, OG_16538, OG_16603, OG_16678, OG_16680, OG_16842, OG_16855, OG_16911, OG_16913, OG_16948, OG_16992, OG_17016, OG_17044, OG_17144, OG_17172, OG_17184, OG_17215, OG_17273, OG_17351, OG_17378, OG_17508, OG_17588, OG_17634, OG_17743, OG_17775, OG_17856, OG_17887, OG_17892, OG_18121, OG_18462, OG_18470, OG_18510, OG_18519, OG_18659, OG_18952, OG_19189, OG_19364, OG_19524, OG_19541, OG_19706, OG_20588, OG_22591
GO:0007411	6.60449304042e-09	3.1932723850438755e-06	BP	e	axon guidance	80/1209	182/4908	4	80	OG_10044, OG_10198, OG_10225, OG_10236, OG_10277, OG_10289, OG_10336, OG_10351, OG_10368, OG_10515, OG_10547, OG_10652, OG_10655, OG_10699, OG_10714, OG_10818, OG_10825, OG_10846, OG_10849, OG_10998, OG_11030, OG_11080, OG_11242, OG_11270, OG_11308, OG_11348, OG_11374, OG_11387, OG_11395, OG_11411, OG_11421, OG_11602, OG_11699, OG_11766, OG_12037, OG_12082, OG_12226, OG_12238, OG_12610, OG_12624, OG_12685, OG_12992, OG_13207, OG_13245, OG_13696, OG_13728, OG_13901, OG_14254, OG_14312, OG_14358, OG_14408, OG_14480, OG_14676, OG_14794, OG_14927, OG_14931, OG_15127, OG_15232, OG_15306, OG_15492, OG_15618, OG_15621, OG_15625, OG_15681, OG_15755, OG_15846, OG_15871, OG_16254, OG_16456, OG_16555, OG_16603, OG_16842, OG_16911, OG_17044, OG_17144, OG_17351, OG_17378, OG_19078, OG_19541, OG_21532
GO:0097485	1.57594399583e-08	6.531162188412113e-06	BP	e	neuron projection guidance	82/1209	191/4908	3	82	OG_10044, OG_10198, OG_10225, OG_10236, OG_10277, OG_10289, OG_10336, OG_10351, OG_10368, OG_10515, OG_10547, OG_10652, OG_10655, OG_10699, OG_10714, OG_10818, OG_10825, OG_10846, OG_10849, OG_10998, OG_11030, OG_11080, OG_11242, OG_11270, OG_11308, OG_11348, OG_11374, OG_11387, OG_11395, OG_11411, OG_11421, OG_11602, OG_11699, OG_11729, OG_11766, OG_12037, OG_12082, OG_12226, OG_12238, OG_12610, OG_12624, OG_12685, OG_12992, OG_13207, OG_13245, OG_13696, OG_13728, OG_13901, OG_14254, OG_14312, OG_14358, OG_14408, OG_14480, OG_14676, OG_14794, OG_14927, OG_14931, OG_15127, OG_15232, OG_15306, OG_15325, OG_15492, OG_15618, OG_15621, OG_15625, OG_15681, OG_15755, OG_15846, OG_15871, OG_16254, OG_16456, OG_16555, OG_16603, OG_16842, OG_16911, OG_17044, OG_17144, OG_17351, OG_17378, OG_19078, OG_19541, OG_21532
GO:0098609	3.29178996808e-08	9.600099919291294e-06	BP	e	cell-cell adhesion	55/1209	114/4908	3	55	OG_10136, OG_10152, OG_10225, OG_10277, OG_10325, OG_10364, OG_10368, OG_10590, OG_10652, OG_10789, OG_10790, OG_10902, OG_10954, OG_11018, OG_11080, OG_11126, OG_11387, OG_11446, OG_11506, OG_11626, OG_11699, OG_11766, OG_11943, OG_12082, OG_12238, OG_12624, OG_12685, OG_12760, OG_12893, OG_13246, OG_13656, OG_13687, OG_13901, OG_14173, OG_14254, OG_14358, OG_14480, OG_14525, OG_14676, OG_14761, OG_14806, OG_14927, OG_15232, OG_15251, OG_15618, OG_15790, OG_16271, OG_16990, OG_16991, OG_17351, OG_17378, OG_17508, OG_17588, OG_19541, OG_20588
GO:0051239	3.30923816591e-08	9.600099919291294e-06	BP	e	regulation of multicellular organismal process	236/1209	712/4908	3	236	OG_10178, OG_10236, OG_10264, OG_10283, OG_10289, OG_10295, OG_10318, OG_10335, OG_10336, OG_10349, OG_10372, OG_10375, OG_10401, OG_10412, OG_10423, OG_10430, OG_10432, OG_10458, OG_10461, OG_10463, OG_10470, OG_10478, OG_10547, OG_10551, OG_10560, OG_10590, OG_10597, OG_10599, OG_10617, OG_10622, OG_10623, OG_10655, OG_10656, OG_10678, OG_10679, OG_10685, OG_10699, OG_10702, OG_10720, OG_10763, OG_10789, OG_10790, OG_10792, OG_10797, OG_10817, OG_10818, OG_10820, OG_10823, OG_10826, OG_10827, OG_10846, OG_10861, OG_10875, OG_10881, OG_10904, OG_10915, OG_10919, OG_11018, OG_11030, OG_11052, OG_11058, OG_11059, OG_11075, OG_11218, OG_11233, OG_11240, OG_11242, OG_11294, OG_11310, OG_11316, OG_11367, OG_11382, OG_11387, OG_11411, OG_11421, OG_11435, OG_11513, OG_11586, OG_11600, OG_11602, OG_11626, OG_11642, OG_11671, OG_11672, OG_11687, OG_11729, OG_11749, OG_11766, OG_11780, OG_11863, OG_11917, OG_11943, OG_12036, OG_12082, OG_12117, OG_12213, OG_12270, OG_12298, OG_12303, OG_12343, OG_12353, OG_12404, OG_12491, OG_12511, OG_12513, OG_12552, OG_12585, OG_12610, OG_12626, OG_12687, OG_12760, OG_12780, OG_12860, OG_12893, OG_12993, OG_13012, OG_13238, OG_13246, OG_13307, OG_13312, OG_13363, OG_13365, OG_13394, OG_13445, OG_13505, OG_13538, OG_13547, OG_13656, OG_13681, OG_13696, OG_13714, OG_13727, OG_13728, OG_13747, OG_13766, OG_13877, OG_13896, OG_14062, OG_14123, OG_14172, OG_14254, OG_14312, OG_14358, OG_14418, OG_14422, OG_14425, OG_14478, OG_14480, OG_14676, OG_14761, OG_14784, OG_14794, OG_14806, OG_14851, OG_14925, OG_14927, OG_14950, OG_15076, OG_15077, OG_15105, OG_15127, OG_15154, OG_15213, OG_15232, OG_15237, OG_15306, OG_15325, OG_15348, OG_15371, OG_15383, OG_15397, OG_15428, OG_15487, OG_15492, OG_15501, OG_15552, OG_15568, OG_15621, OG_15712, OG_15755, OG_15790, OG_15804, OG_15811, OG_15846, OG_15871, OG_15919, OG_15977, OG_16248, OG_16266, OG_16288, OG_16348, OG_16369, OG_16372, OG_16409, OG_16443, OG_16456, OG_16603, OG_16641, OG_16678, OG_16680, OG_16842, OG_16855, OG_16910, OG_16991, OG_16992, OG_17144, OG_17215, OG_17351, OG_17378, OG_17473, OG_17508, OG_17574, OG_17588, OG_17594, OG_17718, OG_17768, OG_17775, OG_18025, OG_18097, OG_18122, OG_18257, OG_18289, OG_18417, OG_18508, OG_18519, OG_18667, OG_18952, OG_19078, OG_19364, OG_19516, OG_19524, OG_19541, OG_19857, OG_20588, OG_20792, OG_22591
GO:0003008	3.06757590081e-08	9.600099919291294e-06	BP	e	system process	147/1209	402/4908	2	147	OG_10064, OG_10077, OG_10197, OG_10225, OG_10240, OG_10242, OG_10245, OG_10252, OG_10275, OG_10283, OG_10335, OG_10372, OG_10375, OG_10381, OG_10404, OG_10412, OG_10423, OG_10430, OG_10431, OG_10458, OG_10467, OG_10470, OG_10472, OG_10497, OG_10504, OG_10531, OG_10541, OG_10574, OG_10589, OG_10590, OG_10607, OG_10617, OG_10623, OG_10644, OG_10653, OG_10678, OG_10686, OG_10702, OG_10735, OG_10741, OG_10760, OG_10763, OG_10767, OG_10789, OG_10790, OG_10820, OG_10823, OG_10861, OG_10870, OG_10875, OG_10904, OG_10935, OG_10943, OG_10950, OG_10964, OG_11010, OG_11023, OG_11050, OG_11080, OG_11089, OG_11126, OG_11142, OG_11218, OG_11220, OG_11380, OG_11382, OG_11383, OG_11387, OG_11435, OG_11499, OG_11513, OG_11555, OG_11626, OG_11642, OG_11675, OG_11820, OG_11844, OG_11896, OG_12128, OG_12165, OG_12277, OG_12404, OG_12467, OG_12477, OG_12563, OG_12860, OG_12910, OG_13207, OG_13228, OG_13234, OG_13505, OG_13560, OG_13584, OG_13656, OG_13687, OG_13714, OG_13766, OG_13842, OG_13952, OG_14254, OG_14636, OG_14657, OG_14676, OG_14933, OG_15017, OG_15213, OG_15301, OG_15348, OG_15383, OG_15437, OG_15530, OG_15531, OG_15537, OG_15572, OG_15618, OG_15621, OG_15623, OG_15625, OG_15753, OG_15804, OG_16137, OG_16248, OG_16288, OG_16369, OG_16618, OG_16680, OG_16949, OG_16954, OG_16990, OG_16991, OG_17016, OG_17097, OG_17127, OG_17144, OG_17378, OG_17485, OG_17588, OG_17597, OG_17768, OG_17887, OG_18097, OG_18462, OG_18521, OG_18532, OG_18952, OG_19524, OG_19541
