Index	Focal_branch	Sister_branch
15	LPAU	LOEN
2	Mgen,AAUR,APUR,LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU,HLIG,HQUA,HRUB,AVIR	NMEL
20	LFIG,LMAR	LZEP,LVIE
36	Dnov	NMEL
23	LLEU	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE
26	HRUB	HQUA
28	HLIG	HQUA,HRUB
35	NMEL	Mgen,AAUR,APUR,LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU,HLIG,HQUA,HRUB,AVIR
8	LCAL,LALB,LMAL	LPAU,LOEN
17	LZEP,LVIE	LMAR,LFIG
10	LALB	LCAL
31	AAUR,APUR	Mgen
5	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU	HLIG,HQUA,HRUB
19	LZEP	LVIE
34	Mgen	AAUR,APUR
3	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU,HLIG,HQUA,HRUB,AVIR	AAUR,APUR,Mgen
6	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE	LLEU
27	HQUA	HRUB
12	LMAL	LCAL,LALB
22	LMAR	LFIG
18	LVIE	LZEP
13	LPAU,LOEN	LMAL,LCAL,LALB
24	HLIG,HQUA,HRUB	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU
16	LFIG,LMAR,LZEP,LVIE	LPAU,LOEN,LCAL,LALB,LMAL
14	LOEN	LPAU
9	LCAL,LALB	LMAL
32	APUR	AAUR
25	HQUA,HRUB	HLIG
7	LPAU,LOEN,LCAL,LALB,LMAL	LFIG,LMAR,LZEP,LVIE
30	Mgen,AAUR,APUR	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU,HLIG,HQUA,HRUB,AVIR
11	LCAL	LALB
21	LFIG	LMAR
33	AAUR	APUR
4	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU,HLIG,HQUA,HRUB	AVIR
29	AVIR	LPAU,LOEN,LCAL,LALB,LMAL,LFIG,LMAR,LZEP,LVIE,LLEU,HLIG,HQUA,HRUB
