species	#genes	#odb	#mcls	#mcl10	mclsp10	mclsp10thispara	mclsp10anypara	mcl4odb	mcl10odb	#orfs	#orf10	orfsp10	orfsp10thispara	orfsp10anypara	orf4odb	orf10odb	#omas	#oma10	omasp10	omasp10thispara	omasp10anypara	oma4odb	oma10odb
AAUR	12511	8260	11291	10277	10175	2502	4027	8196	8139	12511	10927	10773	2122	4179	8244	8181	10475	9303	9208	554	1271	7965	7760
APUR	11660	8310	10977	10140	10090	2267	3896	8249	8177	11660	10710	10589	1769	3977	8294	8232	10471	9475	9411	462	1257	8134	7923
AVIR	13487	7930	11520	10221	9930	2656	4055	7814	7741	13487	10810	10548	2266	4141	7867	7800	9922	8459	8391	352	1100	7311	7082
HLIG	11669	8242	11020	10151	10082	2214	3846	8195	8155	11669	10645	10559	1705	3905	8235	8199	10474	9345	9306	398	1171	8054	7856
HQUA	11969	8178	11321	10248	10187	2535	4032	8133	8088	11969	10772	10698	2045	4096	8170	8126	10651	9226	9152	366	1157	7942	7729
HRUB	11987	8207	11272	10255	10158	2287	3937	8160	8112	11987	10869	10778	1918	4128	8200	8162	10650	9386	9315	391	1195	7983	7795
LALB	11939	8187	11390	10152	10062	2192	3843	8143	8107	11939	10686	10581	1751	3938	8179	8159	10805	9346	9279	531	1255	7963	7780
LCAL	11970	8278	11476	10274	10178	2241	3888	8234	8189	11970	10743	10645	1659	3910	8264	8235	10988	9507	9438	441	1228	8105	7907
LFIG	12526	8369	11733	10546	10405	2519	4083	8327	8274	12526	11132	10982	2035	4216	8362	8320	11118	9671	9594	559	1333	8201	8004
LLEU	11386	8324	10863	10188	10042	2078	3800	8274	8213	11386	10686	10570	1563	3894	8314	8268	10356	9543	9460	429	1221	8168	7974
LMAL	11802	8207	11196	10162	10062	2173	3837	8163	8125	11802	10666	10521	1582	3858	8200	8165	10627	9443	9363	424	1197	8022	7864
LMAR	12321	8282	11485	10316	10172	2239	3912	8239	8188	12321	11090	10935	1942	4219	8279	8232	10898	9589	9488	452	1239	8111	7932
LOEN	11827	8290	11257	10180	10098	2212	3865	8249	8189	11827	10600	10524	1553	3838	8284	8249	10731	9516	9441	432	1225	8129	7947
LPAU	14982	8300	13130	10687	10515	2764	4247	8208	8152	14982	11672	11464	2784	4764	8253	8218	11467	9555	9393	606	1346	7967	7771
LVIE	12492	8307	11807	10425	10307	2432	4008	8248	8186	12492	11017	10916	2010	4173	8297	8257	11166	9571	9478	485	1266	8117	7901
LZEP	12589	8207	11619	10282	10191	2424	3986	8139	8074	12589	10834	10717	2023	4098	8194	8138	10882	9319	9241	484	1245	7924	7697
NMEL	11060	8309	10321	9805	9754	1978	3625	8243	8182	11060	10135	10079	1213	3490	8285	8226	9845	9182	9152	250	1057	8100	7885
