GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0018209	0.00879971166801	0.387271781085	BP	e	peptidyl-serine modification	3/42	24/2298	8	3	OG_11620, OG_14216, OG_15434
GO:0019827	0.0110210498175	0.387271781085	BP	e	stem cell population maintenance	3/42	26/2298	3	3	OG_13017, OG_16827, OG_17081
GO:0098727	0.0110210498175	0.387271781085	BP	e	maintenance of cell number	3/42	26/2298	2	3	OG_13017, OG_16827, OG_17081
GO:0016310	0.00587143534332	0.387271781085	BP	e	phosphorylation	8/42	155/2298	5	8	OG_11620, OG_13543, OG_13546, OG_13996, OG_14216, OG_15434, OG_15596, OG_16989
GO:0032501	0.0129090593695	0.387271781085	BP	e	multicellular organismal process	16/42	495/2298	1	16	OG_12172, OG_12205, OG_12399, OG_13017, OG_13209, OG_14101, OG_14751, OG_14976, OG_16069, OG_16070, OG_16486, OG_16827, OG_16989, OG_17081, OG_17567, OG_18698
GO:0018105	0.00686752401275	0.387271781085	BP	e	peptidyl-serine phosphorylation	3/42	22/2298	9	3	OG_11620, OG_14216, OG_15434
GO:0010564	0.0161975540875	0.416508533679	BP	e	regulation of cell cycle process	5/42	83/2298	5	5	OG_11620, OG_14216, OG_16070, OG_17190, OG_18955
GO:0016458	0.0194889024561	0.438500305262	BP	e	gene silencing	3/42	32/2298	7	3	OG_11734, OG_12205, OG_16486
GO:0010605	0.0321890320765	0.482835481148	BP	e	negative regulation of macromolecule metabolic process	9/42	232/2298	5	9	OG_11620, OG_11734, OG_12205, OG_13017, OG_15925, OG_16486, OG_16827, OG_17190, OG_18955
GO:0055065	0.0307343205874	0.482835481148	BP	e	metal ion homeostasis	3/42	38/2298	7	3	OG_12172, OG_12629, OG_16069
GO:0006796	0.0301259097471	0.482835481148	BP	e	phosphate-containing compound metabolic process	10/42	281/2298	4	10	OG_11620, OG_13543, OG_13546, OG_13996, OG_14216, OG_15434, OG_15596, OG_16989, OG_17567, OG_19004
GO:0006793	0.0306365721376	0.482835481148	BP	e	phosphorus metabolic process	10/42	282/2298	3	10	OG_11620, OG_13543, OG_13546, OG_13996, OG_14216, OG_15434, OG_15596, OG_16989, OG_17567, OG_19004
GO:0007165	0.0907919671318	0.534138606808	BP	e	signal transduction	11/42	375/2298	4	11	OG_11620, OG_13209, OG_13546, OG_13996, OG_14101, OG_14216, OG_15434, OG_15925, OG_16069, OG_16989, OG_18762
GO:0098771	0.0772866045795	0.534138606808	BP	e	inorganic ion homeostasis	3/42	55/2298	6	3	OG_12172, OG_12629, OG_16069
GO:0030154	0.121522628442	0.534138606808	BP	e	cell differentiation	6/42	168/2298	3	6	OG_12399, OG_13017, OG_16069, OG_16486, OG_17401, OG_18762
GO:0030162	0.0984263246495	0.534138606808	BP	e	regulation of proteolysis	3/42	61/2298	6	3	OG_14976, OG_15925, OG_18955
GO:0010243	0.121664904884	0.534138606808	BP	e	response to organonitrogen compound	3/42	67/2298	4	3	OG_12205, OG_14101, OG_16069
GO:0009892	0.0429185617163	0.534138606808	BP	e	negative regulation of metabolic process	9/42	254/2298	4	9	OG_11620, OG_11734, OG_12205, OG_13017, OG_15925, OG_16486, OG_16827, OG_17190, OG_18955
GO:0010629	0.050722719036	0.534138606808	BP	e	negative regulation of gene expression	6/42	149/2298	6	6	OG_11734, OG_12205, OG_13017, OG_16486, OG_16827, OG_17190
GO:0035556	0.0466615120293	0.534138606808	BP	e	intracellular signal transduction	6/42	146/2298	5	6	OG_11620, OG_13996, OG_14216, OG_15434, OG_15925, OG_16989
GO:0050789	0.0852797405918	0.534138606808	BP	e	regulation of biological process	26/42	1098/2298	2	26	OG_10739, OG_10924, OG_11620, OG_11734, OG_12172, OG_12205, OG_12399, OG_13017, OG_13209, OG_13543, OG_13546, OG_13996, OG_14101, OG_14216, OG_14976, OG_15434, OG_15925, OG_16069, OG_16070, OG_16486, OG_16827, OG_16989, OG_17190, OG_18698, OG_18762, OG_18955
GO:0065007	0.0610047333368	0.534138606808	BP	e	biological regulation	28/42	1190/2298	1	28	OG_10739, OG_10924, OG_11620, OG_11734, OG_12172, OG_12205, OG_12399, OG_12629, OG_13017, OG_13209, OG_13543, OG_13546, OG_13996, OG_14101, OG_14216, OG_14976, OG_15434, OG_15925, OG_16069, OG_16070, OG_16486, OG_16827, OG_16989, OG_17190, OG_17567, OG_18698, OG_18762, OG_18955
GO:0033044	0.080653640042	0.534138606808	BP	e	regulation of chromosome organization	3/42	56/2298	6	3	OG_13017, OG_17190, OG_18955
GO:0033043	0.0403652679933	0.534138606808	BP	e	regulation of organelle organization	6/42	141/2298	5	6	OG_10924, OG_11620, OG_13017, OG_15925, OG_17190, OG_18955
GO:0050801	0.113701252779	0.534138606808	BP	e	ion homeostasis	3/42	65/2298	5	3	OG_12172, OG_12629, OG_16069
GO:0051248	0.113041556464	0.534138606808	BP	e	negative regulation of protein metabolic process	4/42	102/2298	6	4	OG_11620, OG_13017, OG_15925, OG_18955
GO:0008380	0.0707486388621	0.534138606808	BP	e	RNA splicing	3/42	53/2298	8	3	OG_11734, OG_14788, OG_16827
GO:0032502	0.120384907324	0.534138606808	BP	e	developmental process	17/42	664/2298	1	17	OG_10924, OG_12172, OG_12399, OG_13017, OG_13209, OG_14216, OG_14976, OG_16069, OG_16486, OG_16827, OG_16989, OG_17081, OG_17401, OG_17567, OG_18698, OG_18762, OG_18955
GO:0035239	0.0911341868966	0.534138606808	BP	e	tube morphogenesis	3/42	59/2298	3	3	OG_10924, OG_13209, OG_14216
GO:0006974	0.113041556464	0.534138606808	BP	e	cellular response to DNA damage stimulus	4/42	102/2298	4	4	OG_10739, OG_11620, OG_13017, OG_14976
GO:0055080	0.0772866045795	0.534138606808	BP	e	cation homeostasis	3/42	55/2298	6	3	OG_12172, OG_12629, OG_16069
GO:0032269	0.107037428285	0.534138606808	BP	e	negative regulation of cellular protein metabolic process	4/42	100/2298	7	4	OG_11620, OG_13017, OG_15925, OG_18955
GO:0042493	0.10595183596	0.534138606808	BP	e	response to drug	3/42	63/2298	3	3	OG_12205, OG_14101, OG_15073
GO:0030036	0.080653640042	0.534138606808	BP	e	actin cytoskeleton organization	3/42	56/2298	5	3	OG_10924, OG_14216, OG_17567
GO:0007275	0.0574819737975	0.534138606808	BP	e	multicellular organism development	5/42	116/2298	3	5	OG_12172, OG_12399, OG_16486, OG_16989, OG_18698
GO:0006468	0.0954955716231	0.534138606808	BP	e	protein phosphorylation	4/42	96/2298	7	4	OG_11620, OG_14216, OG_15434, OG_16989
GO:0030029	0.0875785249686	0.534138606808	BP	e	actin filament-based process	3/42	58/2298	2	3	OG_10924, OG_14216, OG_17567
GO:0051649	0.109653838626	0.534138606808	BP	e	establishment of localization in cell	7/42	217/2298	3	7	OG_12629, OG_13209, OG_15073, OG_15925, OG_16070, OG_17567, OG_18955
GO:0070925	0.101187630785	0.534138606808	BP	e	organelle assembly	4/42	98/2298	4	4	OG_10924, OG_13209, OG_16070, OG_16827
GO:0051726	0.0786745938063	0.534138606808	BP	e	regulation of cell cycle	5/42	127/2298	4	5	OG_11620, OG_14216, OG_16070, OG_17190, OG_18955
GO:0006397	0.102160495085	0.534138606808	BP	e	mRNA processing	3/42	62/2298	8	3	OG_11734, OG_14788, OG_16827
GO:1901698	0.129832963882	0.556426988066	BP	e	response to nitrogen compound	3/42	69/2298	3	3	OG_12205, OG_14101, OG_16069
GO:0009607	0.138195483915	0.56534516147	BP	e	response to biotic stimulus	3/42	71/2298	2	3	OG_13017, OG_14101, OG_16069
GO:0080134	0.135217966414	0.56534516147	BP	e	regulation of response to stress	4/42	109/2298	4	4	OG_10739, OG_12205, OG_14216, OG_18762
GO:0048598	0.14244653593	0.56978614372	BP	e	embryonic morphogenesis	3/42	72/2298	3	3	OG_12399, OG_13209, OG_14216
GO:0060255	0.151230586845	0.579180970896	BP	e	regulation of macromolecule metabolic process	15/42	586/2298	4	15	OG_10739, OG_11620, OG_11734, OG_12205, OG_12399, OG_13017, OG_13543, OG_14216, OG_14976, OG_15925, OG_16486, OG_16827, OG_17190, OG_18762, OG_18955
GO:0046907	0.148397382228	0.579180970896	BP	e	intracellular transport	6/42	187/2298	4	6	OG_12629, OG_13209, OG_15073, OG_15925, OG_16070, OG_18955
GO:0048609	0.155566834908	0.583375630905	BP	e	multicellular organismal reproductive process	4/42	115/2298	2	4	OG_14101, OG_14976, OG_16486, OG_18698
GO:0033554	0.169644559089	0.623184094613	BP	e	cellular response to stress	6/42	198/2298	3	6	OG_10739, OG_11620, OG_13017, OG_14976, OG_15925, OG_16069
GO:0009887	0.177963769009	0.635828328499	BP	e	animal organ morphogenesis	3/42	80/2298	3	3	OG_12399, OG_14216, OG_14976
GO:0006950	0.186474526875	0.635828328499	BP	e	response to stress	9/42	332/2298	2	9	OG_10739, OG_11620, OG_12205, OG_13017, OG_14101, OG_14976, OG_15925, OG_16069, OG_18762
GO:0016071	0.187216118947	0.635828328499	BP	e	mRNA metabolic process	3/42	82/2298	7	3	OG_11734, OG_14788, OG_16827
GO:0007010	0.181787169009	0.635828328499	BP	e	cytoskeleton organization	5/42	143/2298	4	5	OG_10924, OG_13209, OG_14216, OG_16070, OG_17567
GO:0044271	0.191318855607	0.63772951869	BP	p	cellular nitrogen compound biosynthetic process	3/42	348/2298	4	3	OG_12399, OG_14216, OG_14788
GO:0002682	0.20609884134	0.674505298931	BP	e	regulation of immune system process	3/42	86/2298	3	3	OG_12205, OG_12399, OG_17190
GO:0009987	0.214215929304	0.688551201334	BP	e	cellular process	35/42	1693/2298	1	35	OG_10739, OG_10924, OG_11620, OG_11637, OG_11734, OG_12172, OG_12205, OG_12399, OG_12629, OG_13017, OG_13209, OG_13543, OG_13546, OG_13996, OG_14101, OG_14216, OG_14751, OG_14788, OG_14976, OG_15434, OG_15596, OG_15925, OG_16069, OG_16070, OG_16486, OG_16827, OG_16989, OG_17081, OG_17150, OG_17190, OG_17401, OG_17567, OG_18698, OG_18762, OG_19004
GO:0010468	0.223302600797	0.70516610778	BP	e	regulation of gene expression	11/42	420/2298	5	11	OG_11734, OG_12205, OG_12399, OG_13017, OG_13543, OG_14216, OG_16486, OG_16827, OG_17190, OG_18762, OG_18955
GO:1903047	0.230310920862	0.714758030261	BP	e	mitotic cell cycle process	3/42	91/2298	3	3	OG_11620, OG_14216, OG_16070
GO:0042592	0.236232334965	0.720708818537	BP	e	homeostatic process	5/42	171/2298	3	5	OG_12172, OG_12205, OG_12629, OG_14976, OG_16069
GO:0007049	0.245106023272	0.728429464198	BP	e	cell cycle	3/42	94/2298	2	3	OG_11620, OG_16486, OG_17567
GO:0048519	0.246856651756	0.728429464198	BP	e	negative regulation of biological process	12/42	477/2298	3	12	OG_11620, OG_11734, OG_12172, OG_12205, OG_12399, OG_13017, OG_15925, OG_16486, OG_16827, OG_17190, OG_18762, OG_18955
GO:0010646	0.262252973519	0.751065843451	BP	p	regulation of cell communication	3/42	323/2298	4	3	OG_12172, OG_13996, OG_15925
GO:0023051	0.262873045208	0.751065843451	BP	p	regulation of signaling	3/42	327/2298	3	3	OG_12172, OG_13996, OG_15925
GO:0050794	0.277442903695	0.768303425617	BP	e	regulation of cellular process	22/42	1013/2298	3	22	OG_10739, OG_10924, OG_11620, OG_12172, OG_12399, OG_13017, OG_13209, OG_13543, OG_13546, OG_13996, OG_14101, OG_14216, OG_14976, OG_15434, OG_15925, OG_16069, OG_16070, OG_16827, OG_16989, OG_17190, OG_18762, OG_18955
GO:0042221	0.27514573794	0.768303425617	BP	e	response to chemical	6/42	213/2298	2	6	OG_12172, OG_12205, OG_13017, OG_14101, OG_15073, OG_16069
GO:0019222	0.29659468198	0.796821533678	BP	e	regulation of metabolic process	15/42	641/2298	3	15	OG_10739, OG_11620, OG_11734, OG_12205, OG_12399, OG_13017, OG_13543, OG_14216, OG_14976, OG_15925, OG_16486, OG_16827, OG_17190, OG_18762, OG_18955
GO:0006996	0.29224327353	0.796821533678	BP	e	organelle organization	9/42	365/2298	3	9	OG_10924, OG_11620, OG_12205, OG_13209, OG_14216, OG_16069, OG_16070, OG_16827, OG_17567
