GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051603	0.00630503577792	0.221937259383	BP	e	proteolysis involved in cellular protein catabolic process	6/49	72/2058	6	6	OG_12469, OG_13408, OG_14471, OG_14592, OG_15601, OG_15635
GO:0006511	0.00322723424903	0.221937259383	BP	e	ubiquitin-dependent protein catabolic process	6/49	63/2058	8	6	OG_12469, OG_13408, OG_14471, OG_14592, OG_15601, OG_15635
GO:0019941	0.0034971669258	0.221937259383	BP	e	modification-dependent protein catabolic process	6/49	64/2058	7	6	OG_12469, OG_13408, OG_14471, OG_14592, OG_15601, OG_15635
GO:0034976	0.00556265997009	0.221937259383	BP	e	response to endoplasmic reticulum stress	4/49	31/2058	4	4	OG_11335, OG_14471, OG_15510, OG_15635
GO:0043632	0.00378366093114	0.221937259383	BP	e	modification-dependent macromolecule catabolic process	6/49	65/2058	6	6	OG_12469, OG_13408, OG_14471, OG_14592, OG_15601, OG_15635
GO:0045055	0.01421163444	0.41687461024	BP	e	regulated exocytosis	3/49	22/2058	7	3	OG_13674, OG_14592, OG_16238
GO:0030163	0.0292446276305	0.454915986818	BP	e	protein catabolic process	4/49	50/2058	5	4	OG_12469, OG_14471, OG_14592, OG_15635
GO:0044265	0.0210441042914	0.454915986818	BP	e	cellular macromolecule catabolic process	6/49	93/2058	5	6	OG_12469, OG_13408, OG_14471, OG_14592, OG_15601, OG_15635
GO:0051346	0.0328034524159	0.454915986818	BP	e	negative regulation of hydrolase activity	3/49	30/2058	5	3	OG_11663, OG_13408, OG_15601
GO:0006887	0.0387712488765	0.454915986818	BP	e	exocytosis	3/49	32/2058	6	3	OG_13674, OG_14592, OG_16238
GO:0010498	0.0255805708292	0.454915986818	BP	e	proteasomal protein catabolic process	4/49	48/2058	7	4	OG_12469, OG_14471, OG_14592, OG_15635
GO:0043086	0.0374726860824	0.454915986818	BP	e	negative regulation of catalytic activity	4/49	54/2058	4	4	OG_11663, OG_13408, OG_14944, OG_15601
