GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0046474	0.00270130386942	0.307835211852	BP	e	glycerophospholipid biosynthetic process	3/35	19/2284	7	3	OG_13868, OG_16802, OG_19274
GO:0045017	0.00535365585829	0.307835211852	BP	e	glycerolipid biosynthetic process	3/35	24/2284	6	3	OG_13868, OG_16802, OG_19274
GO:0008654	0.00830941354303	0.318527519149	BP	e	phospholipid biosynthetic process	3/35	28/2284	6	3	OG_13868, OG_16802, OG_19274
GO:0051052	0.0142546646255	0.327857286386	BP	e	regulation of DNA metabolic process	3/35	34/2284	6	3	OG_14447, OG_14481, OG_14556
GO:0006650	0.0120649657358	0.327857286386	BP	e	glycerophospholipid metabolic process	3/35	32/2284	6	3	OG_13868, OG_16802, OG_19274
GO:0019222	0.0875558641882	0.485197228246	BP	p	regulation of metabolic process	5/35	623/2284	3	5	OG_12654, OG_14447, OG_14481, OG_14556, OG_15854
GO:0048518	0.0425507337693	0.485197228246	BP	p	positive regulation of biological process	3/35	542/2284	3	3	OG_13247, OG_13508, OG_14481
GO:0046486	0.0337343690624	0.485197228246	BP	e	glycerolipid metabolic process	3/35	47/2284	5	3	OG_13868, OG_16802, OG_19274
GO:0006259	0.0679015721105	0.485197228246	BP	e	DNA metabolic process	4/35	102/2284	6	4	OG_13247, OG_14447, OG_14481, OG_14556
GO:0050789	0.0618908007682	0.485197228246	BP	p	regulation of biological process	11/35	1081/2284	2	11	OG_10924, OG_12654, OG_13247, OG_13508, OG_14008, OG_14447, OG_14481, OG_14556, OG_15854, OG_16306, OG_16959
GO:0050794	0.0384507592077	0.485197228246	BP	p	regulation of cellular process	9/35	993/2284	3	9	OG_10924, OG_12654, OG_13247, OG_13508, OG_14008, OG_14447, OG_14481, OG_14556, OG_16306
GO:0090407	0.0497156351291	0.485197228246	BP	e	organophosphate biosynthetic process	4/35	92/2284	5	4	OG_13783, OG_13868, OG_16802, OG_19274
GO:0009314	0.0754455067237	0.485197228246	BP	e	response to radiation	3/35	65/2284	3	3	OG_13247, OG_13935, OG_14447
GO:0022610	0.0928203393166	0.485197228246	BP	e	biological adhesion	3/35	71/2284	1	3	OG_13260, OG_16155, OG_16306
