GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0005975	0.000344977158114	0.0158689492732	BP	e	carbohydrate metabolic process	4/20	22/1195	3	4	OG_11918, OG_11935, OG_12693, OG_13502
GO:0080090	0.146043082776	0.77753356003	BP	p	regulation of primary metabolic process	3/20	372/1195	4	3	OG_11071, OG_16460, OG_18313
GO:0048585	0.208292547084	0.77753356003	BP	e	negative regulation of response to stimulus	3/20	95/1195	4	3	OG_13502, OG_14259, OG_18313
GO:0044260	0.145009825404	0.77753356003	BP	p	cellular macromolecule metabolic process	3/20	381/1195	4	3	OG_11071, OG_16156, OG_16460
GO:0016043	0.216047658581	0.77753356003	BP	p	cellular component organization	3/20	350/1195	2	3	OG_14626, OG_16156, OG_18313
GO:0065007	0.171083738173	0.77753356003	BP	p	biological regulation	9/20	722/1195	1	9	OG_11071, OG_11253, OG_11935, OG_13502, OG_14259, OG_14626, OG_16460, OG_18101, OG_18313
GO:0048518	0.216161911514	0.77753356003	BP	p	positive regulation of biological process	3/20	356/1195	3	3	OG_11071, OG_16460, OG_18313
GO:0032502	0.0376718905269	0.77753356003	BP	p	developmental process	3/20	446/1195	1	3	OG_11918, OG_13502, OG_14364
GO:0009987	0.12895788085	0.77753356003	BP	p	cellular process	11/20	858/1195	1	11	OG_11071, OG_11253, OG_11918, OG_11935, OG_13502, OG_14364, OG_14626, OG_16156, OG_16460, OG_18101, OG_18313
GO:0008150	0.114673763796	0.77753356003	BP	p	biological_process	14/20	1004/1195	0	14	OG_11071, OG_11253, OG_11918, OG_11935, OG_12693, OG_13358, OG_13502, OG_14259, OG_14364, OG_14626, OG_16156, OG_16460, OG_18101, OG_18313
GO:0051171	0.146043082776	0.77753356003	BP	p	regulation of nitrogen compound metabolic process	3/20	372/1195	4	3	OG_11071, OG_16460, OG_18313
GO:1901135	0.0746398694546	0.77753356003	BP	e	carbohydrate derivative metabolic process	3/20	60/1195	3	3	OG_11918, OG_11935, OG_13502
GO:0048856	0.219737745226	0.77753356003	BP	p	anatomical structure development	3/20	337/1195	2	3	OG_11918, OG_13502, OG_14364
GO:0060255	0.238689327814	0.784264934246	BP	p	regulation of macromolecule metabolic process	4/20	400/1195	4	4	OG_11071, OG_14259, OG_16460, OG_18313
GO:0019222	0.356016146737	0.837699762576	BP	p	regulation of metabolic process	5/20	429/1195	3	5	OG_11071, OG_14259, OG_14626, OG_16460, OG_18313
GO:0034641	0.314876347344	0.837699762576	BP	p	cellular nitrogen compound metabolic process	3/20	310/1195	3	3	OG_11935, OG_14364, OG_16460
GO:0050789	0.363496029689	0.837699762576	BP	p	regulation of biological process	9/20	678/1195	2	9	OG_11071, OG_11253, OG_11935, OG_13502, OG_14259, OG_14626, OG_16460, OG_18101, OG_18313
GO:1901360	0.313522914354	0.837699762576	BP	p	organic cyclic compound metabolic process	3/20	313/1195	3	3	OG_11935, OG_14364, OG_16460
GO:0006139	0.437060745692	0.837699762576	BP	p	nucleobase-containing compound metabolic process	3/20	286/1195	4	3	OG_11935, OG_14364, OG_16460
