GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0044283	2.6179317794e-05	0.00596888445703	BP	e	small molecule biosynthetic process	9/48	79/2272	3	9	OG_11754, OG_13282, OG_14065, OG_14485, OG_15661, OG_16485, OG_16724, OG_17107, OG_17195
GO:0000910	0.00136688626959	0.0485618347741	BP	e	cytokinesis	4/48	24/2272	3	4	OG_12177, OG_13012, OG_13537, OG_15468
GO:0016053	0.00161016450356	0.0485618347741	BP	e	organic acid biosynthetic process	5/48	42/2272	4	5	OG_13282, OG_14065, OG_14485, OG_15661, OG_17195
GO:0061640	0.00136688626959	0.0485618347741	BP	e	cytoskeleton-dependent cytokinesis	4/48	24/2272	4	4	OG_12177, OG_13012, OG_13537, OG_15468
GO:0046394	0.00144115898621	0.0485618347741	BP	e	carboxylic acid biosynthetic process	5/48	41/2272	6	5	OG_13282, OG_14065, OG_14485, OG_15661, OG_17195
GO:0000281	0.000432144546424	0.0485618347741	BP	e	mitotic cytokinesis	4/48	18/2272	5	4	OG_12177, OG_13012, OG_13537, OG_15468
GO:0046165	0.00170392402716	0.0485618347741	BP	e	alcohol biosynthetic process	3/48	12/2272	5	3	OG_11754, OG_16485, OG_16724
GO:0006694	0.000957545708907	0.0485618347741	BP	e	steroid biosynthetic process	3/48	10/2272	5	3	OG_12562, OG_14485, OG_16485
GO:0099643	0.00337013362118	0.0853767184032	BP	e	signal release from synapse	3/48	15/2272	7	3	OG_13012, OG_13537, OG_17298
GO:0008652	0.0048892244698	0.10134028901	BP	e	cellular amino acid biosynthetic process	3/48	17/2272	7	3	OG_13282, OG_14065, OG_15661
GO:1901607	0.0048892244698	0.10134028901	BP	e	alpha-amino acid biosynthetic process	3/48	17/2272	8	3	OG_13282, OG_14065, OG_15661
GO:0008202	0.00676346217097	0.118620721152	BP	e	steroid metabolic process	3/48	19/2272	4	3	OG_12562, OG_14485, OG_16485
GO:0023061	0.00676346217097	0.118620721152	BP	e	signal release	3/48	19/2272	6	3	OG_13012, OG_13537, OG_17298
GO:0090407	0.0099420770306	0.137898409365	BP	e	organophosphate biosynthetic process	6/48	89/2272	5	6	OG_11754, OG_13282, OG_14755, OG_16724, OG_17107, OG_17195
GO:0030865	0.0102818989439	0.137898409365	BP	e	cortical cytoskeleton organization	3/48	22/2272	5	3	OG_12177, OG_16335, OG_17298
GO:1901617	0.0102818989439	0.137898409365	BP	e	organic hydroxy compound biosynthetic process	3/48	22/2272	4	3	OG_11754, OG_16485, OG_16724
GO:0016310	0.0100365740814	0.137898409365	BP	e	phosphorylation	8/48	146/2272	5	8	OG_11754, OG_11913, OG_14584, OG_14755, OG_16223, OG_16724, OG_17107, OG_17195
GO:0015698	0.0146903366263	0.186077597266	BP	e	inorganic anion transport	3/48	25/2272	6	3	OG_12177, OG_13126, OG_16709
GO:0044281	0.0158772177181	0.18654164702	BP	e	small molecule metabolic process	11/48	249/2272	2	11	OG_11754, OG_13282, OG_14065, OG_14485, OG_14755, OG_15661, OG_16485, OG_16724, OG_16758, OG_17107, OG_17195
GO:0006887	0.0163633023702	0.18654164702	BP	e	exocytosis	3/48	26/2272	6	3	OG_13012, OG_13537, OG_17298
GO:0051186	0.0174132969771	0.189058652894	BP	e	cofactor metabolic process	5/48	73/2272	3	5	OG_13282, OG_14065, OG_14755, OG_15661, OG_17195
GO:0006732	0.0198168664977	0.205374798249	BP	e	coenzyme metabolic process	4/48	50/2272	4	4	OG_13282, OG_14755, OG_15661, OG_17195
GO:0019222	0.0209027356364	0.207209727178	BP	p	regulation of metabolic process	6/48	625/2272	3	6	OG_14870, OG_15281, OG_15359, OG_16284, OG_17840, OG_18389
GO:0044262	0.0220027768397	0.209026379977	BP	e	cellular carbohydrate metabolic process	3/48	29/2272	4	3	OG_11913, OG_16724, OG_17195
GO:0006820	0.0237723730829	0.216804042516	BP	e	anion transport	5/48	79/2272	5	5	OG_12177, OG_13126, OG_14065, OG_16709, OG_16752
GO:0046903	0.0305260610953	0.261602188458	BP	e	secretion	4/48	57/2272	4	4	OG_13012, OG_13537, OG_14065, OG_17298
GO:0009108	0.0309792065279	0.261602188458	BP	e	coenzyme biosynthetic process	3/48	33/2272	5	3	OG_14755, OG_15661, OG_17195
GO:0035295	0.033482842007	0.2726459992	BP	e	tube development	3/48	34/2272	3	3	OG_11754, OG_14870, OG_16485
GO:0060255	0.0432234431987	0.290019064027	BP	p	regulation of macromolecule metabolic process	6/48	570/2272	4	6	OG_14870, OG_15281, OG_15359, OG_16284, OG_17840, OG_18389
GO:0001505	0.044520470355	0.290019064027	BP	e	regulation of neurotransmitter levels	3/48	38/2272	3	3	OG_13012, OG_15661, OG_17298
GO:0022603	0.042291582885	0.290019064027	BP	e	regulation of anatomical structure morphogenesis	5/48	92/2272	4	5	OG_11400, OG_11751, OG_14870, OG_16223, OG_16335
GO:0006811	0.0401349478953	0.290019064027	BP	e	ion transport	7/48	154/2272	4	7	OG_11400, OG_12177, OG_13126, OG_14065, OG_16709, OG_16752, OG_17157
GO:0050808	0.044520470355	0.290019064027	BP	e	synapse organization	3/48	38/2272	3	3	OG_11400, OG_14065, OG_17298
GO:0031323	0.0431192865065	0.290019064027	BP	p	regulation of cellular metabolic process	6/48	572/2272	4	6	OG_14870, OG_15281, OG_15359, OG_16284, OG_17840, OG_18389
GO:0019752	0.0394553458514	0.290019064027	BP	e	carboxylic acid metabolic process	6/48	121/2272	5	6	OG_13282, OG_14065, OG_14485, OG_15661, OG_16758, OG_17195
GO:0043436	0.0482350516106	0.297232209925	BP	e	oxoacid metabolic process	6/48	127/2272	4	6	OG_13282, OG_14065, OG_14485, OG_15661, OG_16758, OG_17195
GO:0006082	0.0482350516106	0.297232209925	BP	e	organic acid metabolic process	6/48	127/2272	3	6	OG_13282, OG_14065, OG_14485, OG_15661, OG_16758, OG_17195
GO:1901362	0.0538302533958	0.298098184352	BP	e	organic cyclic compound biosynthetic process	11/48	302/2272	4	11	OG_12562, OG_13282, OG_13328, OG_14485, OG_14755, OG_15281, OG_15661, OG_16284, OG_16485, OG_17107, OG_17195
GO:0051188	0.0538494868913	0.298098184352	BP	e	cofactor biosynthetic process	3/48	41/2272	4	3	OG_14755, OG_15661, OG_17195
GO:0065008	0.0549128234332	0.298098184352	BP	e	regulation of biological quality	14/48	408/2272	2	14	OG_11400, OG_12043, OG_12177, OG_13012, OG_13126, OG_14065, OG_14485, OG_15661, OG_16223, OG_16485, OG_16752, OG_17157, OG_17195, OG_17298
GO:0008610	0.0531943270149	0.298098184352	BP	e	lipid biosynthetic process	4/48	68/2272	4	4	OG_12562, OG_14485, OG_16485, OG_16724
GO:0006066	0.0538494868913	0.298098184352	BP	e	alcohol metabolic process	3/48	41/2272	4	3	OG_11754, OG_16485, OG_16724
GO:0080090	0.0607805963255	0.322278510749	BP	p	regulation of primary metabolic process	6/48	548/2272	4	6	OG_14870, OG_15281, OG_15359, OG_16284, OG_17840, OG_18389
GO:0006810	0.064685580319	0.333813255963	BP	e	transport	15/48	451/2272	3	15	OG_11400, OG_11751, OG_12177, OG_13012, OG_13126, OG_13369, OG_13537, OG_14065, OG_14777, OG_16709, OG_16752, OG_17157, OG_17298, OG_18369, OG_18389
GO:0051241	0.0658841952558	0.333813255963	BP	e	negative regulation of multicellular organismal process	4/48	73/2272	4	4	OG_11751, OG_12043, OG_16335, OG_18389
GO:0051234	0.0717596590284	0.355678309967	BP	e	establishment of localization	15/48	468/2272	2	15	OG_11400, OG_11751, OG_12177, OG_13012, OG_13126, OG_13369, OG_13537, OG_14065, OG_14777, OG_16709, OG_16752, OG_17157, OG_17298, OG_18369, OG_18389
GO:0008104	0.0856735955283	0.362863443056	BP	e	protein localization	9/48	233/2272	3	9	OG_11751, OG_12177, OG_13012, OG_13537, OG_14777, OG_14870, OG_17298, OG_18369, OG_18389
GO:0009165	0.108222430385	0.362863443056	BP	e	nucleotide biosynthetic process	3/48	55/2272	8	3	OG_13282, OG_17107, OG_17195
GO:0044282	0.0994567269174	0.362863443056	BP	e	small molecule catabolic process	3/48	53/2272	3	3	OG_14065, OG_16724, OG_16758
GO:0033036	0.0921409514232	0.362863443056	BP	e	macromolecule localization	9/48	243/2272	2	9	OG_11751, OG_12177, OG_13012, OG_13537, OG_14777, OG_14870, OG_17298, OG_18369, OG_18389
GO:0032787	0.103801792523	0.362863443056	BP	e	monocarboxylic acid metabolic process	3/48	54/2272	6	3	OG_14485, OG_16758, OG_17195
GO:1901566	0.0943866016003	0.362863443056	BP	e	organonitrogen compound biosynthetic process	7/48	177/2272	4	7	OG_13282, OG_14065, OG_14755, OG_15359, OG_15661, OG_17107, OG_17195
GO:0098916	0.0910006746486	0.362863443056	BP	e	anterograde trans-synaptic signaling	3/48	51/2272	6	3	OG_11400, OG_13012, OG_13537
GO:0022604	0.0994567269174	0.362863443056	BP	e	regulation of cell morphogenesis	3/48	53/2272	5	3	OG_11400, OG_16223, OG_16335
GO:0009893	0.101378747387	0.362863443056	BP	p	positive regulation of metabolic process	3/48	343/2272	4	3	OG_14870, OG_15281, OG_17840
GO:0032940	0.0789286378912	0.362863443056	BP	e	secretion by cell	3/48	48/2272	5	3	OG_13012, OG_13537, OG_17298
GO:1901576	0.105711017632	0.362863443056	BP	e	organic substance biosynthetic process	15/48	481/2272	3	15	OG_11754, OG_12562, OG_13282, OG_13328, OG_14065, OG_14485, OG_14755, OG_15281, OG_15359, OG_15661, OG_16284, OG_16485, OG_16724, OG_17107, OG_17195
GO:0050793	0.0913576996652	0.362863443056	BP	e	regulation of developmental process	9/48	242/2272	3	9	OG_11400, OG_11751, OG_12177, OG_13012, OG_14584, OG_14870, OG_16223, OG_16335, OG_18389
GO:1901293	0.108222430385	0.362863443056	BP	e	nucleoside phosphate biosynthetic process	3/48	55/2272	7	3	OG_13282, OG_17107, OG_17195
GO:0099536	0.103801792523	0.362863443056	BP	e	synaptic signaling	3/48	54/2272	4	3	OG_11400, OG_13012, OG_13537
GO:1901605	0.0789286378912	0.362863443056	BP	e	alpha-amino acid metabolic process	3/48	48/2272	7	3	OG_13282, OG_14065, OG_15661
GO:0060627	0.0994567269174	0.362863443056	BP	e	regulation of vesicle-mediated transport	3/48	53/2272	5	3	OG_13537, OG_14584, OG_17298
GO:1903047	0.0988629001722	0.362863443056	BP	e	mitotic cell cycle process	4/48	84/2272	3	4	OG_12177, OG_13012, OG_13537, OG_15468
GO:0051171	0.0840129234684	0.362863443056	BP	p	regulation of nitrogen compound metabolic process	6/48	534/2272	4	6	OG_14870, OG_15281, OG_15359, OG_16284, OG_17840, OG_18389
GO:0007268	0.0910006746486	0.362863443056	BP	e	chemical synaptic transmission	3/48	51/2272	7	3	OG_11400, OG_13012, OG_13537
