GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007617	0.00757016519978	0.335082184586	BP	e	mating behavior	3/43	22/2272	4	3	OG_14101, OG_17990, OG_18698
GO:0060179	0.00495540536617	0.335082184586	BP	e	male mating behavior	3/43	19/2272	5	3	OG_14101, OG_17990, OG_18698
GO:0019098	0.00859185088681	0.335082184586	BP	e	reproductive behavior	3/43	23/2272	3	3	OG_14101, OG_17990, OG_18698
GO:0008049	0.00357050033205	0.335082184586	BP	e	male courtship behavior	3/43	17/2272	6	3	OG_14101, OG_17990, OG_18698
GO:0000398	0.0213829033052	0.370636990623	BP	e	mRNA splicing, via spliceosome	3/43	32/2272	11	3	OG_11734, OG_14788, OG_18191
GO:0000375	0.0213829033052	0.370636990623	BP	e	RNA splicing, via transesterification reactions	3/43	32/2272	9	3	OG_11734, OG_14788, OG_18191
GO:0008340	0.0196335061181	0.370636990623	BP	e	determination of adult lifespan	3/43	31/2272	2	3	OG_12394, OG_13986, OG_14751
GO:0042594	0.0136216992189	0.370636990623	BP	e	response to starvation	4/43	50/2272	5	4	OG_12394, OG_16612, OG_17990, OG_18077
GO:0000377	0.0213829033052	0.370636990623	BP	e	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	3/43	32/2272	10	3	OG_11734, OG_14788, OG_18191
GO:0031667	0.0310468685948	0.431470845918	BP	e	response to nutrient levels	4/43	64/2272	4	4	OG_12394, OG_16612, OG_17990, OG_18077
GO:0030154	0.0335747572842	0.431470845918	BP	e	cell differentiation	7/43	166/2272	3	7	OG_11912, OG_12380, OG_12399, OG_15631, OG_16612, OG_17339, OG_17751
GO:0009991	0.0359559038265	0.431470845918	BP	e	response to extracellular stimulus	4/43	67/2272	3	4	OG_12394, OG_16612, OG_17990, OG_18077
GO:0022414	0.0353376186575	0.431470845918	BP	e	reproductive process	10/43	280/2272	1	10	OG_12394, OG_14057, OG_14101, OG_16532, OG_16802, OG_17339, OG_17567, OG_17990, OG_18077, OG_18698
GO:0048609	0.0425160061383	0.473749782684	BP	e	multicellular organismal reproductive process	5/43	103/2272	2	5	OG_12394, OG_14101, OG_17339, OG_17990, OG_18698
GO:0008380	0.0575078023653	0.598081144599	BP	e	RNA splicing	3/43	47/2272	8	3	OG_11734, OG_14788, OG_18191
GO:0051347	0.0701364843187	0.643605385513	BP	e	positive regulation of transferase activity	3/43	51/2272	5	3	OG_12394, OG_16612, OG_18191
GO:0051179	0.0692552191582	0.643605385513	BP	p	localization	5/43	540/2272	1	5	OG_11631, OG_15073, OG_17335, OG_17567, OG_18698
GO:0048869	0.0796047301926	0.689907661669	BP	e	cellular developmental process	11/43	340/2272	2	11	OG_11912, OG_12380, OG_12394, OG_12399, OG_15631, OG_16526, OG_16612, OG_17181, OG_17339, OG_17427, OG_17751
GO:0090407	0.0850565705263	0.698359210637	BP	e	organophosphate biosynthetic process	4/43	89/2272	5	4	OG_11765, OG_13996, OG_14238, OG_16802
