GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051345	0.00585043525487	0.1863498657	BP	e	positive regulation of hydrolase activity	6/80	55/2624	5	6	OG_10939, OG_11984, OG_12810, OG_14000, OG_15263, OG_16766
GO:2000116	0.00177035337443	0.1863498657	BP	e	regulation of cysteine-type endopeptidase activity	4/80	18/2624	9	4	OG_10939, OG_13163, OG_15263, OG_16766
GO:0010950	0.00625981461008	0.1863498657	BP	e	positive regulation of endopeptidase activity	3/80	13/2624	10	3	OG_10939, OG_15263, OG_16766
GO:0010952	0.00625981461008	0.1863498657	BP	e	positive regulation of peptidase activity	3/80	13/2624	9	3	OG_10939, OG_15263, OG_16766
GO:0043933	0.00395482878037	0.1863498657	BP	e	protein-containing complex subunit organization	15/80	231/2624	3	15	OG_10939, OG_11713, OG_11984, OG_12307, OG_12325, OG_12487, OG_12645, OG_12810, OG_12812, OG_12932, OG_13353, OG_16191, OG_17356, OG_17479, OG_18869
GO:0052548	0.00456182619614	0.1863498657	BP	e	regulation of endopeptidase activity	4/80	23/2624	8	4	OG_10939, OG_13163, OG_15263, OG_16766
GO:2001235	0.00492249433907	0.1863498657	BP	e	positive regulation of apoptotic signaling pathway	3/80	12/2624	8	3	OG_10939, OG_13163, OG_16766
GO:0022904	0.00267579582841	0.1863498657	BP	e	respiratory electron transport chain	4/80	20/2624	5	4	OG_11713, OG_14858, OG_16766, OG_17447
GO:2001056	0.00625981461008	0.1863498657	BP	e	positive regulation of cysteine-type endopeptidase activity	3/80	13/2624	11	3	OG_10939, OG_15263, OG_16766
GO:0043281	0.00063565983315	0.1863498657	BP	e	regulation of cysteine-type endopeptidase activity involved in apoptotic process	4/80	14/2624	10	4	OG_10939, OG_13163, OG_15263, OG_16766
GO:0043280	0.00280617888994	0.1863498657	BP	e	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	3/80	10/2624	12	3	OG_10939, OG_15263, OG_16766
GO:0052547	0.00622217432502	0.1863498657	BP	e	regulation of peptidase activity	4/80	25/2624	7	4	OG_10939, OG_13163, OG_15263, OG_16766
GO:0065003	0.0043024144298	0.1863498657	BP	e	protein-containing complex assembly	14/80	205/2624	4	14	OG_10939, OG_11713, OG_11984, OG_12307, OG_12487, OG_12645, OG_12810, OG_12812, OG_12932, OG_13353, OG_16191, OG_17356, OG_17479, OG_18869
GO:0022900	0.00718548429817	0.198627315957	BP	e	electron transport chain	4/80	26/2624	4	4	OG_11713, OG_14858, OG_16766, OG_17447
GO:0043085	0.00776546304886	0.200348946661	BP	e	positive regulation of catalytic activity	9/80	116/2624	4	9	OG_10939, OG_11984, OG_12810, OG_13163, OG_14000, OG_14515, OG_15263, OG_16766, OG_17116
GO:0043068	0.00969232950781	0.22064303056	BP	e	positive regulation of programmed cell death	6/80	61/2624	6	6	OG_10939, OG_11984, OG_13163, OG_15263, OG_16766, OG_16819
GO:0090257	0.00953038500642	0.22064303056	BP	e	regulation of muscle system process	3/80	15/2624	5	3	OG_11984, OG_13163, OG_16695
GO:0010942	0.0104747712722	0.225207582352	BP	e	positive regulation of cell death	6/80	62/2624	5	6	OG_10939, OG_11984, OG_13163, OG_15263, OG_16766, OG_16819
GO:0045787	0.0119564988752	0.243535003405	BP	e	positive regulation of cell cycle	5/80	46/2624	5	5	OG_10939, OG_12650, OG_12932, OG_15870, OG_16819
GO:0031570	0.013632095995	0.263781057503	BP	e	DNA integrity checkpoint	3/80	17/2624	7	3	OG_12932, OG_16232, OG_17116
GO:2001233	0.0150519513872	0.264777508493	BP	e	regulation of apoptotic signaling pathway	4/80	32/2624	7	4	OG_10939, OG_13163, OG_16766, OG_16819
GO:0090068	0.0150519513872	0.264777508493	BP	e	positive regulation of cell cycle process	4/80	32/2624	6	4	OG_12650, OG_12932, OG_15870, OG_16819
GO:0006066	0.0167391083124	0.276771658124	BP	e	alcohol metabolic process	4/80	33/2624	4	4	OG_12325, OG_12345, OG_13166, OG_17216
GO:0043901	0.0185944783236	0.276771658124	BP	e	negative regulation of multi-organism process	3/80	19/2624	4	3	OG_10939, OG_12327, OG_14618
GO:0065004	0.0185944783236	0.276771658124	BP	e	protein-DNA complex assembly	3/80	19/2624	6	3	OG_12487, OG_12645, OG_12932
GO:0007346	0.0183016140357	0.276771658124	BP	e	regulation of mitotic cell cycle	7/80	90/2624	5	7	OG_10939, OG_12650, OG_12932, OG_14515, OG_15756, OG_16060, OG_16819
GO:0010564	0.0215709782232	0.306242673791	BP	e	regulation of cell cycle process	7/80	93/2624	5	7	OG_10939, OG_12650, OG_12932, OG_15870, OG_16060, OG_16232, OG_16819
GO:0045931	0.0244326710709	0.306242673791	BP	e	positive regulation of mitotic cell cycle	3/80	21/2624	6	3	OG_12650, OG_12932, OG_16819
GO:1901615	0.0245310668928	0.306242673791	BP	e	organic hydroxy compound metabolic process	5/80	55/2624	3	5	OG_12325, OG_12345, OG_13166, OG_16766, OG_17216
GO:0001709	0.0244326710709	0.306242673791	BP	e	cell fate determination	3/80	21/2624	3	3	OG_12650, OG_15870, OG_16691
GO:0051726	0.0229933037058	0.306242673791	BP	e	regulation of cell cycle	10/80	151/2624	4	10	OG_10939, OG_12650, OG_12932, OG_14515, OG_15756, OG_15870, OG_16060, OG_16232, OG_16819, OG_17116
GO:0043065	0.0263090340313	0.318174880316	BP	e	positive regulation of apoptotic process	5/80	56/2624	7	5	OG_10939, OG_11984, OG_13163, OG_15263, OG_16766
GO:0034470	0.0277384056964	0.325295848621	BP	e	ncRNA processing	8/80	120/2624	8	8	OG_11698, OG_14865, OG_14885, OG_15756, OG_16060, OG_17479, OG_17947, OG_18281
GO:0032102	0.0348352328423	0.385178145999	BP	e	negative regulation of response to external stimulus	3/80	24/2624	5	3	OG_13163, OG_14618, OG_16825
GO:0022607	0.0339251189518	0.385178145999	BP	e	cellular component assembly	18/80	370/2624	3	18	OG_10939, OG_11713, OG_11984, OG_12307, OG_12487, OG_12645, OG_12810, OG_12812, OG_12932, OG_13353, OG_14000, OG_14696, OG_15870, OG_16191, OG_17356, OG_17479, OG_18195, OG_18869
GO:0034622	0.0391532556237	0.409521889902	BP	e	cellular protein-containing complex assembly	9/80	144/2624	5	9	OG_11713, OG_12487, OG_12645, OG_12932, OG_13353, OG_16191, OG_17356, OG_17479, OG_18869
GO:0008610	0.0387078325141	0.409521889902	BP	e	lipid biosynthetic process	5/80	62/2624	4	5	OG_11572, OG_12345, OG_12810, OG_13166, OG_17216
