GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0042737	0.00417491829293	0.688861518333	BP	e	drug catabolic process	3/40	17/1996	4	3	OG_13571, OG_14770, OG_15903
GO:0008104	0.6151662783	1.0	BP	p	protein localization	3/40	225/1996	3	3	OG_12490, OG_13405, OG_15441
GO:0019220	0.750756592499	1.0	BP	e	regulation of phosphate metabolic process	3/40	136/1996	6	3	OG_11218, OG_12550, OG_14489
GO:0080090	0.85850947849	1.0	BP	p	regulation of primary metabolic process	10/40	546/1996	4	10	OG_11218, OG_11531, OG_11867, OG_12550, OG_13055, OG_13220, OG_13571, OG_14489, OG_15937, OG_18726
GO:0019222	0.604395402592	1.0	BP	e	regulation of metabolic process	14/40	615/1996	3	14	OG_11218, OG_11531, OG_11867, OG_12550, OG_12614, OG_13055, OG_13220, OG_13405, OG_13571, OG_14489, OG_15697, OG_15937, OG_17565, OG_18726
GO:0051049	0.7493029206	1.0	BP	e	regulation of transport	3/40	135/1996	4	3	OG_12270, OG_15354, OG_17565
GO:0048583	0.666883863505	1.0	BP	p	regulation of response to stimulus	5/40	330/1996	3	5	OG_11218, OG_12270, OG_12490, OG_13571, OG_16157
GO:0007165	1.0	1.0	BP	e	signal transduction	7/40	346/1996	4	7	OG_11218, OG_12216, OG_12270, OG_12614, OG_15354, OG_15937, OG_16949
GO:1901362	0.824072230791	1.0	BP	p	organic cyclic compound biosynthetic process	5/40	299/1996	4	5	OG_11867, OG_13055, OG_13220, OG_15697, OG_15903
GO:0071840	0.166686402372	1.0	BP	p	cellular component organization or biogenesis	8/40	612/1996	1	8	OG_12490, OG_12550, OG_13405, OG_13571, OG_15354, OG_15441, OG_17565, OG_18726
GO:1901361	0.0764153439341	1.0	BP	e	organic cyclic compound catabolic process	3/40	50/1996	4	3	OG_13220, OG_14770, OG_15903
GO:0051716	1.0	1.0	BP	e	cellular response to stimulus	5/40	246/1996	2	5	OG_12214, OG_12490, OG_12550, OG_12614, OG_15937
GO:0010604	0.488881690217	1.0	BP	e	positive regulation of macromolecule metabolic process	7/40	278/1996	5	7	OG_11218, OG_11531, OG_11867, OG_12550, OG_14489, OG_15937, OG_18726
GO:0043207	0.167901535473	1.0	BP	e	response to external biotic stimulus	3/40	71/1996	3	3	OG_12214, OG_12490, OG_18726
GO:0009966	0.644406039599	1.0	BP	p	regulation of signal transduction	4/40	271/1996	5	4	OG_11218, OG_12270, OG_13571, OG_16157
GO:0048869	0.675677687185	1.0	BP	e	cellular developmental process	8/40	352/1996	2	8	OG_11531, OG_11867, OG_12214, OG_12490, OG_12550, OG_15354, OG_17565, OG_18726
GO:0055085	0.485037042657	1.0	BP	e	transmembrane transport	3/40	111/1996	4	3	OG_11218, OG_16949, OG_18088
GO:0048513	1.0	1.0	BP	p	animal organ development	4/40	203/1996	3	4	OG_11867, OG_12490, OG_15354, OG_18726
GO:0048518	0.592429158247	1.0	BP	p	positive regulation of biological process	9/40	544/1996	3	9	OG_11218, OG_11531, OG_11867, OG_12270, OG_12550, OG_14489, OG_15354, OG_15937, OG_18726
GO:0048519	0.849131169509	1.0	BP	p	negative regulation of biological process	8/40	456/1996	3	8	OG_11218, OG_11867, OG_12490, OG_12550, OG_13220, OG_13405, OG_14489, OG_15354
GO:0046483	0.275367744863	1.0	BP	p	heterocycle metabolic process	7/40	514/1996	3	7	OG_11867, OG_11889, OG_12550, OG_13055, OG_13220, OG_15697, OG_17007
GO:0042127	0.455574567851	1.0	BP	e	regulation of cell population proliferation	3/40	102/1996	4	3	OG_11218, OG_14489, OG_15354
GO:0060255	0.593959630568	1.0	BP	e	regulation of macromolecule metabolic process	13/40	561/1996	4	13	OG_11218, OG_11531, OG_11867, OG_12550, OG_12614, OG_13055, OG_13220, OG_13571, OG_14489, OG_15697, OG_15937, OG_17565, OG_18726
GO:0045184	1.0	1.0	BP	p	establishment of protein localization	3/40	164/1996	4	3	OG_12490, OG_13405, OG_15441
GO:0003006	0.55476245333	1.0	BP	e	developmental process involved in reproduction	4/40	159/1996	2	4	OG_11867, OG_12214, OG_17565, OG_18726
GO:0032268	0.792110279186	1.0	BP	p	regulation of cellular protein metabolic process	3/40	202/1996	6	3	OG_11218, OG_12550, OG_13220
