GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1901360	0.0104667918856	0.0885040472817	BP	e	organic cyclic compound metabolic process	18/43	451/1866	3	18	OG_11284, OG_11406, OG_11783, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14348, OG_14646, OG_15214, OG_15240, OG_15970, OG_17243, OG_17351
GO:0060255	0.00903918116391	0.0885040472817	BP	e	regulation of macromolecule metabolic process	20/43	520/1866	4	20	OG_11783, OG_12066, OG_12091, OG_12474, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_13344, OG_13433, OG_14321, OG_14343, OG_14441, OG_14646, OG_15240, OG_15970, OG_17351, OG_17708, OG_18472
GO:0046483	0.00544066193141	0.0885040472817	BP	e	heterocycle metabolic process	18/43	431/1866	3	18	OG_11284, OG_11406, OG_11783, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14348, OG_14646, OG_15214, OG_15240, OG_15970, OG_17243, OG_17351
GO:0009890	0.00929060678727	0.0885040472817	BP	e	negative regulation of biosynthetic process	8/43	133/1866	5	8	OG_11783, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_15970, OG_17351
GO:0010629	0.00183540146345	0.0885040472817	BP	e	negative regulation of gene expression	10/43	153/1866	6	10	OG_11783, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_13433, OG_14646, OG_15970, OG_17351
GO:0006807	0.00466742794113	0.0885040472817	BP	e	nitrogen compound metabolic process	27/43	773/1866	2	27	OG_11284, OG_11406, OG_11652, OG_11783, OG_12091, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14343, OG_14348, OG_14441, OG_14646, OG_15214, OG_15240, OG_15529, OG_15970, OG_16075, OG_16768, OG_17243, OG_17351, OG_17550, OG_17771
GO:0008152	0.00292613634218	0.0885040472817	BP	e	metabolic process	31/43	914/1866	1	31	OG_11284, OG_11406, OG_11652, OG_11783, OG_11821, OG_12091, OG_12474, OG_12691, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14343, OG_14348, OG_14441, OG_14646, OG_15214, OG_15240, OG_15529, OG_15868, OG_15970, OG_16075, OG_16768, OG_16853, OG_17243, OG_17351, OG_17550, OG_17771
GO:0010558	0.00739320340315	0.0885040472817	BP	e	negative regulation of macromolecule biosynthetic process	8/43	128/1866	6	8	OG_11783, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_15970, OG_17351
GO:0006139	0.00444470708166	0.0885040472817	BP	e	nucleobase-containing compound metabolic process	18/43	416/1866	4	18	OG_11284, OG_11406, OG_11783, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14348, OG_14646, OG_15214, OG_15240, OG_15970, OG_17243, OG_17351
GO:0006725	0.00954585236844	0.0885040472817	BP	e	cellular aromatic compound metabolic process	18/43	439/1866	3	18	OG_11284, OG_11406, OG_11783, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14348, OG_14646, OG_15214, OG_15240, OG_15970, OG_17243, OG_17351
GO:1903507	0.0107157366664	0.0885040472817	BP	e	negative regulation of nucleic acid-templated transcription	7/43	109/1866	9	7	OG_11783, OG_12691, OG_12728, OG_12948, OG_12992, OG_15970, OG_17351
GO:0045892	0.00970830676472	0.0885040472817	BP	e	negative regulation of transcription, DNA-templated	7/43	107/1866	10	7	OG_11783, OG_12691, OG_12728, OG_12948, OG_12992, OG_15970, OG_17351
GO:0051253	0.00362621687214	0.0885040472817	BP	e	negative regulation of RNA metabolic process	8/43	114/1866	7	8	OG_11783, OG_12691, OG_12728, OG_12948, OG_12992, OG_13433, OG_15970, OG_17351
GO:0051252	0.00808794759794	0.0885040472817	BP	e	regulation of RNA metabolic process	15/43	340/1866	6	15	OG_11783, OG_12091, OG_12474, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_13433, OG_14321, OG_14441, OG_15240, OG_15970, OG_17351, OG_17708
GO:0051254	0.00630370300841	0.0885040472817	BP	e	positive regulation of RNA metabolic process	9/43	152/1866	7	9	OG_11783, OG_12091, OG_12474, OG_12691, OG_12754, OG_12948, OG_14441, OG_15970, OG_17708
GO:0043170	0.00635733372336	0.0885040472817	BP	e	macromolecule metabolic process	25/43	701/1866	3	25	OG_11284, OG_11652, OG_11783, OG_12091, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14343, OG_14348, OG_14441, OG_14646, OG_15240, OG_15529, OG_15970, OG_16075, OG_16768, OG_17243, OG_17351, OG_17550, OG_17771
GO:0031327	0.00849195920463	0.0885040472817	BP	e	negative regulation of cellular biosynthetic process	8/43	131/1866	6	8	OG_11783, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_15970, OG_17351
GO:0090304	0.00580390805062	0.0885040472817	BP	e	nucleic acid metabolic process	16/43	365/1866	5	16	OG_11284, OG_11783, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14348, OG_14646, OG_15240, OG_15970, OG_17243, OG_17351
GO:2000113	0.00672348454583	0.0885040472817	BP	e	negative regulation of cellular macromolecule biosynthetic process	8/43	126/1866	7	8	OG_11783, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_15970, OG_17351
GO:0071704	0.00474966285805	0.0885040472817	BP	e	organic substance metabolic process	29/43	849/1866	2	29	OG_11284, OG_11406, OG_11652, OG_11783, OG_12091, OG_12474, OG_12691, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14343, OG_14348, OG_14441, OG_14646, OG_15214, OG_15240, OG_15529, OG_15970, OG_16075, OG_16768, OG_16853, OG_17243, OG_17351, OG_17550, OG_17771
GO:0010468	0.00714678440125	0.0885040472817	BP	e	regulation of gene expression	17/43	399/1866	5	17	OG_11783, OG_12091, OG_12474, OG_12691, OG_12728, OG_12754, OG_12948, OG_12992, OG_13433, OG_14321, OG_14343, OG_14441, OG_14646, OG_15240, OG_15970, OG_17351, OG_17708
GO:0045935	0.0103341493365	0.0885040472817	BP	e	positive regulation of nucleobase-containing compound metabolic process	9/43	164/1866	6	9	OG_11783, OG_12091, OG_12474, OG_12691, OG_12754, OG_12948, OG_14441, OG_15970, OG_17708
GO:0045934	0.00580738627604	0.0885040472817	BP	e	negative regulation of nucleobase-containing compound metabolic process	8/43	123/1866	6	8	OG_11783, OG_12691, OG_12728, OG_12948, OG_12992, OG_13433, OG_15970, OG_17351
GO:0006915	0.00503054481369	0.0885040472817	BP	e	apoptotic process	5/43	50/1866	4	5	OG_11783, OG_14441, OG_16075, OG_17550, OG_18472
GO:1902679	0.0107157366664	0.0885040472817	BP	e	negative regulation of RNA biosynthetic process	7/43	109/1866	8	7	OG_11783, OG_12691, OG_12728, OG_12948, OG_12992, OG_15970, OG_17351
GO:0044238	0.0046603523917	0.0885040472817	BP	e	primary metabolic process	28/43	810/1866	2	28	OG_11284, OG_11406, OG_11652, OG_11783, OG_12091, OG_12474, OG_12726, OG_12728, OG_12754, OG_12948, OG_12992, OG_14001, OG_14321, OG_14343, OG_14348, OG_14441, OG_14646, OG_15214, OG_15240, OG_15529, OG_15970, OG_16075, OG_16768, OG_16853, OG_17243, OG_17351, OG_17550, OG_17771
