GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008090	3.26909504412e-05	0.00856502901559	BP	e	retrograde axonal transport	3/44	4/2125	9	3	OG_11248, OG_15752, OG_17632
GO:0098930	0.000431754442181	0.0565598319257	BP	e	axonal transport	3/44	8/2125	8	3	OG_11248, OG_15752, OG_17632
GO:0008088	0.00160035546101	0.139764376928	BP	e	axo-dendritic transport	3/44	12/2125	7	3	OG_11248, OG_15752, OG_17632
GO:0120034	0.00257212561821	0.168474227993	BP	e	positive regulation of plasma membrane bounded cell projection assembly	3/44	14/2125	8	3	OG_12555, OG_14944, OG_15752
GO:0060491	0.0171322723685	0.187821210589	BP	e	regulation of cell projection assembly	3/44	27/2125	6	3	OG_12555, OG_14944, OG_15752
GO:0031346	0.00776110196875	0.187821210589	BP	e	positive regulation of cell projection organization	4/44	39/2125	6	4	OG_12555, OG_14944, OG_15752, OG_17632
GO:0009199	0.00636913741224	0.187821210589	BP	e	ribonucleoside triphosphate metabolic process	3/44	19/2125	8	3	OG_11871, OG_13275, OG_14944
GO:0048522	0.0169945811796	0.187821210589	BP	e	positive regulation of cellular process	17/44	484/2125	4	17	OG_11248, OG_11616, OG_11723, OG_11783, OG_12555, OG_12734, OG_12798, OG_13579, OG_14089, OG_14591, OG_14944, OG_15180, OG_15712, OG_15752, OG_15975, OG_17435, OG_17632
GO:0009205	0.005441583084	0.187821210589	BP	e	purine ribonucleoside triphosphate metabolic process	3/44	18/2125	9	3	OG_11871, OG_13275, OG_14944
GO:0046034	0.00384408083983	0.187821210589	BP	e	ATP metabolic process	3/44	16/2125	10	3	OG_11871, OG_13275, OG_14944
GO:0006163	0.0138608358698	0.187821210589	BP	e	purine nucleotide metabolic process	4/44	46/2125	8	4	OG_11723, OG_11871, OG_13275, OG_14944
GO:0009141	0.012377745334	0.187821210589	BP	e	nucleoside triphosphate metabolic process	3/44	24/2125	7	3	OG_11871, OG_13275, OG_14944
GO:0009144	0.005441583084	0.187821210589	BP	e	purine nucleoside triphosphate metabolic process	3/44	18/2125	8	3	OG_11871, OG_13275, OG_14944
GO:0120039	0.0118819921084	0.187821210589	BP	e	plasma membrane bounded cell projection morphogenesis	4/44	44/2125	6	4	OG_12798, OG_14944, OG_15752, OG_17632
GO:0120032	0.0171322723685	0.187821210589	BP	e	regulation of plasma membrane bounded cell projection assembly	3/44	27/2125	7	3	OG_12555, OG_14944, OG_15752
GO:0098660	0.0172049963898	0.187821210589	BP	e	inorganic ion transmembrane transport	4/44	49/2125	6	4	OG_11513, OG_13275, OG_14944, OG_16605
GO:0009150	0.0138608358698	0.187821210589	BP	e	purine ribonucleotide metabolic process	4/44	46/2125	9	4	OG_11723, OG_11871, OG_13275, OG_14944
GO:0048812	0.0118819921084	0.187821210589	BP	e	neuron projection morphogenesis	4/44	44/2125	7	4	OG_12798, OG_14944, OG_15752, OG_17632
GO:0006753	0.0126692166412	0.187821210589	BP	e	nucleoside phosphate metabolic process	5/44	69/2125	6	5	OG_11723, OG_11871, OG_13275, OG_14944, OG_15975
GO:0048858	0.0128468938219	0.187821210589	BP	e	cell projection morphogenesis	4/44	45/2125	5	4	OG_12798, OG_14944, OG_15752, OG_17632
GO:0009108	0.0171322723685	0.187821210589	BP	e	coenzyme biosynthetic process	3/44	27/2125	5	3	OG_11723, OG_11871, OG_15975
GO:0051301	0.00868795753814	0.187821210589	BP	e	cell division	5/44	63/2125	2	5	OG_12555, OG_15752, OG_17435, OG_17632, OG_18322
GO:0009117	0.0119328177541	0.187821210589	BP	e	nucleotide metabolic process	5/44	68/2125	7	5	OG_11723, OG_11871, OG_13275, OG_14944, OG_15975
GO:0032990	0.0172049963898	0.187821210589	BP	e	cell part morphogenesis	4/44	49/2125	4	4	OG_12798, OG_14944, OG_15752, OG_17632
GO:0009259	0.0196937267834	0.191102089528	BP	e	ribonucleotide metabolic process	4/44	51/2125	8	4	OG_11723, OG_11871, OG_13275, OG_14944
GO:0072521	0.018422978734	0.191102089528	BP	e	purine-containing compound metabolic process	4/44	50/2125	4	4	OG_11723, OG_11871, OG_13275, OG_14944
GO:0019693	0.0196937267834	0.191102089528	BP	e	ribose phosphate metabolic process	4/44	51/2125	5	4	OG_11723, OG_11871, OG_13275, OG_14944
GO:0044093	0.0218891259417	0.203115558792	BP	e	positive regulation of molecular function	7/44	139/2125	3	7	OG_11513, OG_12798, OG_13579, OG_14089, OG_14944, OG_15712, OG_15752
GO:0010970	0.0227779381783	0.203115558792	BP	e	transport along microtubule	3/44	30/2125	6	3	OG_11248, OG_15752, OG_17632
GO:0055086	0.0240327569563	0.203115558792	BP	e	nucleobase-containing small molecule metabolic process	5/44	81/2125	5	5	OG_11723, OG_11871, OG_13275, OG_14944, OG_15975
GO:0032989	0.0240327569563	0.203115558792	BP	e	cellular component morphogenesis	5/44	81/2125	3	5	OG_12798, OG_14944, OG_15183, OG_15752, OG_17632
GO:0099111	0.0248595810538	0.203537819878	BP	e	microtubule-based transport	3/44	31/2125	4	3	OG_11248, OG_15752, OG_17632
GO:0051188	0.0270412165564	0.208376433464	BP	e	cofactor biosynthetic process	3/44	32/2125	4	3	OG_11723, OG_11871, OG_15975
GO:0044089	0.0268590110874	0.208376433464	BP	e	positive regulation of cellular component biogenesis	4/44	56/2125	4	4	OG_12555, OG_12798, OG_14944, OG_15752
GO:0030705	0.0293227090493	0.219501422026	BP	e	cytoskeleton-dependent intracellular transport	3/44	33/2125	5	3	OG_11248, OG_15752, OG_17632
GO:0010647	0.0307749734556	0.223973417927	BP	e	positive regulation of cell communication	7/44	149/2125	5	7	OG_11248, OG_12798, OG_14089, OG_15180, OG_15712, OG_15975, OG_17632
GO:0023056	0.0317816211905	0.225048236538	BP	e	positive regulation of signaling	7/44	150/2125	4	7	OG_11248, OG_12798, OG_14089, OG_15180, OG_15712, OG_15975, OG_17632
GO:0048518	0.0357849494583	0.246727809423	BP	e	positive regulation of biological process	18/44	556/2125	3	18	OG_11248, OG_11513, OG_11616, OG_11723, OG_11783, OG_12555, OG_12734, OG_12798, OG_13579, OG_14089, OG_14591, OG_14944, OG_15180, OG_15712, OG_15752, OG_15975, OG_17435, OG_17632
GO:0044419	0.0367631097588	0.246972686072	BP	e	interspecies interaction between organisms	3/44	36/2125	2	3	OG_14591, OG_17281, OG_17632
GO:0009987	0.0404255850009	0.264787581756	BP	e	cellular process	38/44	1547/2125	1	38	OG_11248, OG_11253, OG_11513, OG_11616, OG_11723, OG_11783, OG_11871, OG_12555, OG_12559, OG_12734, OG_12798, OG_13121, OG_13122, OG_13275, OG_13579, OG_14089, OG_14591, OG_14944, OG_15178, OG_15180, OG_15183, OG_15712, OG_15719, OG_15752, OG_15964, OG_15975, OG_16123, OG_16290, OG_16359, OG_16605, OG_16621, OG_16759, OG_17281, OG_17435, OG_17632, OG_17956, OG_18322, OG_18434
GO:1901137	0.0432920424865	0.273751605886	BP	e	carbohydrate derivative biosynthetic process	4/44	65/2125	4	4	OG_11723, OG_11871, OG_14944, OG_16359
GO:0034622	0.0438838452183	0.273751605886	BP	e	cellular protein-containing complex assembly	5/44	95/2125	5	5	OG_12559, OG_12798, OG_13579, OG_14591, OG_18434
GO:0031344	0.0520872329156	0.284309479664	BP	e	regulation of cell projection organization	4/44	69/2125	5	4	OG_12555, OG_14944, OG_15752, OG_17632
GO:0120035	0.0520872329156	0.284309479664	BP	e	regulation of plasma membrane bounded cell projection organization	4/44	69/2125	6	4	OG_12555, OG_14944, OG_15752, OG_17632
GO:0098662	0.0480527621402	0.284309479664	BP	e	inorganic cation transmembrane transport	3/44	40/2125	7	3	OG_11513, OG_13275, OG_14944
GO:0006732	0.0511143542671	0.284309479664	BP	e	coenzyme metabolic process	3/44	41/2125	4	3	OG_11723, OG_11871, OG_15975
GO:0051640	0.0498021305228	0.284309479664	BP	e	organelle localization	4/44	68/2125	3	4	OG_11248, OG_15752, OG_17632, OG_17956
GO:0001934	0.0520872329156	0.284309479664	BP	e	positive regulation of protein phosphorylation	4/44	69/2125	9	4	OG_11248, OG_12798, OG_13579, OG_14089
GO:0034220	0.0568294683808	0.303863688077	BP	e	ion transmembrane transport	4/44	71/2125	5	4	OG_11513, OG_13275, OG_14944, OG_16605
GO:0033674	0.0608566376165	0.31888878111	BP	e	positive regulation of kinase activity	3/44	44/2125	9	3	OG_12798, OG_13579, OG_14089
GO:0009165	0.0678039331115	0.331446971516	BP	e	nucleotide biosynthetic process	3/44	46/2125	8	3	OG_11723, OG_11871, OG_15975
GO:0051656	0.0751006867537	0.331446971516	BP	e	establishment of organelle localization	3/44	48/2125	4	3	OG_11248, OG_15752, OG_17632
GO:0019725	0.0809641457139	0.331446971516	BP	e	cellular homeostasis	4/44	80/2125	4	4	OG_13275, OG_14944, OG_15964, OG_16605
GO:0051704	0.0737823621624	0.331446971516	BP	e	multi-organism process	5/44	110/2125	1	5	OG_11994, OG_14591, OG_17281, OG_17435, OG_17632
GO:0042327	0.0696797038039	0.331446971516	BP	e	positive regulation of phosphorylation	4/44	76/2125	8	4	OG_11248, OG_12798, OG_13579, OG_14089
GO:0019637	0.0692702205696	0.331446971516	BP	e	organophosphate metabolic process	5/44	108/2125	4	5	OG_11723, OG_11871, OG_13275, OG_14944, OG_15975
