GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048584	0.00286481465083	0.0795175372072	BP	e	positive regulation of response to stimulus	10/49	191/2533	4	10	OG_12355, OG_12873, OG_13067, OG_13474, OG_14126, OG_14515, OG_15638, OG_15865, OG_16266, OG_16711
GO:0009967	0.00162568339907	0.0795175372072	BP	e	positive regulation of signal transduction	9/49	147/2533	6	9	OG_12355, OG_12873, OG_13067, OG_13474, OG_14515, OG_15638, OG_15865, OG_16266, OG_16711
GO:0090263	0.00319230988788	0.0795175372072	BP	e	positive regulation of canonical Wnt signaling pathway	3/49	16/2533	8	3	OG_13474, OG_16266, OG_16711
GO:0030177	0.00319230988788	0.0795175372072	BP	e	positive regulation of Wnt signaling pathway	3/49	16/2533	7	3	OG_13474, OG_16266, OG_16711
GO:0065008	0.00132129680134	0.0795175372072	BP	e	regulation of biological quality	19/49	484/2533	2	19	OG_11742, OG_12014, OG_12550, OG_12685, OG_12875, OG_12914, OG_13067, OG_13474, OG_14126, OG_14515, OG_15046, OG_15404, OG_15865, OG_16266, OG_16605, OG_16711, OG_16976, OG_16991, OG_17951
GO:0071241	0.00213234526418	0.0795175372072	BP	e	cellular response to inorganic substance	3/49	14/2533	4	3	OG_13067, OG_14126, OG_15404
GO:0023056	0.00306608807397	0.0795175372072	BP	e	positive regulation of signaling	9/49	161/2533	4	9	OG_12355, OG_12873, OG_13067, OG_13474, OG_14515, OG_15638, OG_15865, OG_16266, OG_16711
GO:0010647	0.000808417360067	0.0795175372072	BP	e	positive regulation of cell communication	10/49	162/2533	5	10	OG_12355, OG_12873, OG_13067, OG_13474, OG_14515, OG_15404, OG_15638, OG_15865, OG_16266, OG_16711
GO:0097327	0.000742441294042	0.0795175372072	BP	e	response to antineoplastic agent	3/49	10/2533	4	3	OG_13067, OG_13474, OG_14126
GO:0006875	0.0016611406464	0.0795175372072	BP	e	cellular metal ion homeostasis	5/49	46/2533	8	5	OG_11742, OG_12875, OG_13067, OG_15404, OG_17951
GO:0055065	0.0031412740364	0.0795175372072	BP	e	metal ion homeostasis	5/49	53/2533	7	5	OG_11742, OG_12875, OG_13067, OG_15404, OG_17951
GO:0098771	0.00810154742888	0.105705904548	BP	e	inorganic ion homeostasis	5/49	66/2533	6	5	OG_11742, OG_12875, OG_13067, OG_15404, OG_17951
GO:0003012	0.00615447614373	0.105705904548	BP	e	muscle system process	3/49	20/2533	3	3	OG_13067, OG_15404, OG_16605
GO:0006873	0.0050231311644	0.105705904548	BP	e	cellular ion homeostasis	5/49	59/2533	6	5	OG_11742, OG_12875, OG_13067, OG_15404, OG_17951
