GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0097659	0.00107161315834	0.0639395851143	BP	e	nucleic acid-templated transcription	11/34	190/1622	8	11	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0006351	0.00102414257436	0.0639395851143	BP	e	transcription, DNA-templated	11/34	189/1622	9	11	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0009719	0.000744698403972	0.0639395851143	BP	e	response to endogenous stimulus	6/34	55/1622	2	6	OG_13864, OG_14305, OG_14475, OG_16626, OG_16684, OG_17561
GO:0010033	0.00251474425836	0.0641562762499	BP	e	response to organic substance	8/34	120/1622	3	8	OG_13864, OG_14305, OG_14471, OG_14475, OG_15873, OG_16626, OG_16684, OG_17561
GO:0019438	0.00295942247588	0.0641562762499	BP	e	aromatic compound biosynthetic process	12/34	248/1622	4	12	OG_11729, OG_12487, OG_12561, OG_12919, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0018130	0.00306518493625	0.0641562762499	BP	e	heterocycle biosynthetic process	12/34	249/1622	4	12	OG_11729, OG_12487, OG_12561, OG_12919, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0032774	0.00158817637043	0.0641562762499	BP	e	RNA biosynthetic process	11/34	199/1622	7	11	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0046883	0.00322573456005	0.0641562762499	BP	e	regulation of hormone secretion	3/34	15/1622	7	3	OG_13864, OG_14857, OG_16626
GO:0009725	0.00180507894619	0.0641562762499	BP	e	response to hormone	5/34	44/1622	4	5	OG_13864, OG_14475, OG_16626, OG_16684, OG_17561
GO:0007088	0.00554098862793	0.0826530803666	BP	e	regulation of mitotic nuclear division	3/34	18/1622	7	3	OG_12561, OG_15693, OG_18955
GO:0042593	0.00468427746714	0.0826530803666	BP	e	glucose homeostasis	3/34	17/1622	6	3	OG_13864, OG_16626, OG_19054
GO:0033500	0.00554098862793	0.0826530803666	BP	e	carbohydrate homeostasis	3/34	18/1622	5	3	OG_13864, OG_16626, OG_19054
GO:1901362	0.00708986903216	0.0877001623957	BP	e	organic cyclic compound biosynthetic process	12/34	262/1622	4	12	OG_11729, OG_12487, OG_12561, OG_12919, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0034654	0.0110387243842	0.0877001623957	BP	e	nucleobase-containing compound biosynthetic process	11/34	238/1622	5	11	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0033044	0.0111401355582	0.0877001623957	BP	e	regulation of chromosome organization	4/34	43/1622	6	4	OG_15693, OG_15757, OG_16684, OG_18955
GO:0033043	0.00735674210233	0.0877001623957	BP	e	regulation of organelle organization	7/34	113/1622	5	7	OG_11475, OG_12561, OG_14305, OG_15693, OG_15757, OG_16684, OG_18955
GO:0034645	0.00880978037826	0.0877001623957	BP	e	cellular macromolecule biosynthetic process	12/34	275/1622	5	12	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14475, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0051783	0.00752210258493	0.0877001623957	BP	e	regulation of nuclear division	3/34	20/1622	6	3	OG_12561, OG_15693, OG_18955
GO:1903508	0.0116984935423	0.0877001623957	BP	e	positive regulation of nucleic acid-templated transcription	8/34	154/1622	9	8	OG_11729, OG_12487, OG_12561, OG_14857, OG_15757, OG_16684, OG_17561, OG_18955
GO:0045893	0.0108336046976	0.0877001623957	BP	e	positive regulation of transcription, DNA-templated	8/34	152/1622	10	8	OG_11729, OG_12487, OG_12561, OG_14857, OG_15757, OG_16684, OG_17561, OG_18955
GO:1902680	0.0116984935423	0.0877001623957	BP	e	positive regulation of RNA biosynthetic process	8/34	154/1622	8	8	OG_11729, OG_12487, OG_12561, OG_14857, OG_15757, OG_16684, OG_17561, OG_18955
GO:0034401	0.00987430740889	0.0877001623957	BP	e	chromatin organization involved in regulation of transcription	3/34	22/1622	4	3	OG_15757, OG_16626, OG_16684
GO:0050896	0.0117586809916	0.0877001623957	BP	e	response to stimulus	14/34	362/1622	1	14	OG_11729, OG_12561, OG_13864, OG_14305, OG_14471, OG_14475, OG_14857, OG_15693, OG_15847, OG_15873, OG_16626, OG_16684, OG_17561, OG_17645
GO:0009059	0.0108500394154	0.0877001623957	BP	e	macromolecule biosynthetic process	12/34	285/1622	4	12	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14475, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0051049	0.0127978465702	0.0881082513871	BP	e	regulation of transport	6/34	96/1622	4	6	OG_13060, OG_13864, OG_14857, OG_16626, OG_17645, OG_19054
GO:0044271	0.0124062345328	0.0881082513871	BP	e	cellular nitrogen compound biosynthetic process	12/34	291/1622	4	12	OG_11729, OG_12487, OG_12561, OG_12919, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561
GO:0016070	0.0150850322034	0.10000817646	BP	e	RNA metabolic process	13/34	327/1622	6	13	OG_11698, OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561, OG_17694
GO:0010638	0.0163091147097	0.103841372041	BP	e	positive regulation of organelle organization	4/34	48/1622	6	4	OG_12561, OG_14305, OG_15693, OG_16684
GO:0051254	0.0168234625095	0.103841372041	BP	e	positive regulation of RNA metabolic process	8/34	164/1622	7	8	OG_11729, OG_12487, OG_12561, OG_14857, OG_15757, OG_16684, OG_17561, OG_18955
GO:0051716	0.0296274253897	0.107300779058	BP	e	cellular response to stimulus	9/34	202/1622	2	9	OG_11729, OG_12561, OG_13864, OG_14305, OG_14471, OG_15693, OG_15847, OG_16626, OG_17645
GO:0003002	0.0289785781328	0.107300779058	BP	e	regionalization	4/34	57/1622	3	4	OG_11729, OG_14857, OG_16463, OG_16684
GO:2001141	0.0285653026659	0.107300779058	BP	e	regulation of RNA biosynthetic process	12/34	320/1622	7	12	OG_11729, OG_12487, OG_12561, OG_13613, OG_13864, OG_14857, OG_15757, OG_15873, OG_16626, OG_16684, OG_17561, OG_18955
GO:0018205	0.0275707134556	0.107300779058	BP	e	peptidyl-lysine modification	3/34	32/1622	8	3	OG_11729, OG_15757, OG_16684
GO:0033554	0.0299012695209	0.107300779058	BP	e	cellular response to stress	7/34	148/1622	3	7	OG_11729, OG_12561, OG_13864, OG_14471, OG_15693, OG_15847, OG_17645
GO:0009891	0.0265574258924	0.107300779058	BP	e	positive regulation of biosynthetic process	8/34	178/1622	5	8	OG_11729, OG_12487, OG_12561, OG_14857, OG_15757, OG_16684, OG_17561, OG_18955
