GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0042127	0.0559316856079	0.887915509025	BP	e	regulation of cell population proliferation	4/26	69/1210	4	4	OG_11642, OG_13502, OG_15422, OG_18163
GO:0010564	0.0421704154321	0.887915509025	BP	e	regulation of cell cycle process	3/26	37/1210	5	3	OG_12550, OG_14251, OG_18163
GO:0007399	0.0243421962944	0.887915509025	BP	e	nervous system development	3/26	30/1210	4	3	OG_14046, OG_15422, OG_18609
GO:1903047	0.045139583226	0.887915509025	BP	e	mitotic cell cycle process	3/26	38/1210	3	3	OG_12550, OG_14251, OG_18163
GO:0070925	0.0513872896443	0.887915509025	BP	e	organelle assembly	3/26	40/1210	4	3	OG_12737, OG_14251, OG_18163
GO:0006796	0.0409038992145	0.887915509025	BP	e	phosphate-containing compound metabolic process	6/26	123/1210	4	6	OG_12301, OG_13147, OG_13607, OG_14251, OG_15215, OG_15422
GO:0006793	0.0423470298648	0.887915509025	BP	e	phosphorus metabolic process	6/26	124/1210	3	6	OG_12301, OG_13147, OG_13607, OG_14251, OG_15215, OG_15422
GO:0006259	0.0513872896443	0.887915509025	BP	e	DNA metabolic process	3/26	40/1210	6	3	OG_12550, OG_14125, OG_18163
GO:0042327	0.084372021311	0.940266158444	BP	e	positive regulation of phosphorylation	3/26	49/1210	8	3	OG_12301, OG_12550, OG_14251
GO:0033554	0.103651387545	0.940266158444	BP	e	cellular response to stress	4/26	85/1210	3	4	OG_12301, OG_12550, OG_14125, OG_15426
GO:0010562	0.101399107953	0.940266158444	BP	e	positive regulation of phosphorus metabolic process	3/26	53/1210	6	3	OG_12301, OG_12550, OG_14251
GO:0048731	0.0749161118653	0.940266158444	BP	e	system development	4/26	76/1210	3	4	OG_13607, OG_14046, OG_15422, OG_18609
GO:0045937	0.101399107953	0.940266158444	BP	e	positive regulation of phosphate metabolic process	3/26	53/1210	7	3	OG_12301, OG_12550, OG_14251
GO:0001934	0.084372021311	0.940266158444	BP	e	positive regulation of protein phosphorylation	3/26	49/1210	9	3	OG_12301, OG_12550, OG_14251
GO:0044237	0.113209140504	0.958504056267	BP	e	cellular metabolic process	16/26	552/1210	2	16	OG_12301, OG_12550, OG_13028, OG_13147, OG_13502, OG_13607, OG_14046, OG_14125, OG_14251, OG_15215, OG_15422, OG_15426, OG_15991, OG_17076, OG_18163, OG_18609
GO:0044281	0.140848338941	0.964397287536	BP	e	small molecule metabolic process	4/26	95/1210	2	4	OG_13147, OG_13502, OG_15215, OG_15426
GO:0031401	0.144279909159	0.964397287536	BP	e	positive regulation of protein modification process	3/26	62/1210	8	3	OG_12301, OG_12550, OG_14251
GO:1901135	0.124498113153	0.964397287536	BP	e	carbohydrate derivative metabolic process	3/26	58/1210	3	3	OG_13147, OG_13502, OG_15215
GO:0051726	0.139233827435	0.964397287536	BP	e	regulation of cell cycle	3/26	61/1210	4	3	OG_12550, OG_14251, OG_18163
GO:0071840	0.187087589539	0.9769828495	BP	p	cellular component organization or biogenesis	4/26	349/1210	1	4	OG_12550, OG_12737, OG_14251, OG_18163
GO:0042325	0.192319458563	0.9769828495	BP	e	regulation of phosphorylation	3/26	71/1210	7	3	OG_12301, OG_12550, OG_14251
GO:0016043	0.18648222232	0.9769828495	BP	p	cellular component organization	4/26	342/1210	2	4	OG_12550, OG_12737, OG_14251, OG_18163
GO:0030154	0.170833577628	0.9769828495	BP	e	cell differentiation	5/26	120/1210	3	5	OG_12550, OG_14046, OG_15422, OG_17076, OG_18163
