GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051054	0.00161950600049	0.210535780064	BP	e	positive regulation of DNA metabolic process	3/28	11/1210	7	3	OG_13875, OG_14244, OG_14974
GO:0051052	0.0111718450239	0.679228009239	BP	e	regulation of DNA metabolic process	3/28	21/1210	6	3	OG_13875, OG_14244, OG_14974
GO:0045935	0.0156744925209	0.679228009239	BP	e	positive regulation of nucleobase-containing compound metabolic process	8/28	149/1210	6	8	OG_11531, OG_12343, OG_12916, OG_13875, OG_14119, OG_14244, OG_14974, OG_17128
GO:0010604	0.0772740380395	0.980631881629	BP	e	positive regulation of macromolecule metabolic process	9/28	220/1210	5	9	OG_11531, OG_12343, OG_12573, OG_12916, OG_13875, OG_14119, OG_14244, OG_14974, OG_17128
GO:0070727	0.157960736302	0.980631881629	BP	e	cellular macromolecule localization	3/28	60/1210	3	3	OG_11686, OG_13875, OG_14414
GO:0044093	0.181039731993	0.980631881629	BP	e	positive regulation of molecular function	3/28	64/1210	3	3	OG_12573, OG_13875, OG_14974
GO:0045184	0.16937589972	0.980631881629	BP	e	establishment of protein localization	3/28	62/1210	4	3	OG_11686, OG_13875, OG_18579
GO:1901564	0.117823614388	0.980631881629	BP	p	organonitrogen compound metabolic process	3/28	288/1210	3	3	OG_11040, OG_14655, OG_15367
GO:0009893	0.0833282667961	0.980631881629	BP	e	positive regulation of metabolic process	9/28	227/1210	4	9	OG_11531, OG_12343, OG_12573, OG_12916, OG_13875, OG_14119, OG_14244, OG_14974, OG_17128
GO:0065009	0.0624439817539	0.980631881629	BP	e	regulation of molecular function	6/28	126/1210	2	6	OG_12343, OG_12573, OG_13875, OG_14974, OG_15706, OG_16592
GO:0016477	0.175178003853	0.980631881629	BP	e	cell migration	3/28	63/1210	4	3	OG_12343, OG_14414, OG_17043
GO:0050790	0.153411074834	0.980631881629	BP	e	regulation of catalytic activity	4/28	91/1210	3	4	OG_12343, OG_12573, OG_13875, OG_14974
GO:0046907	0.0899018522494	0.980631881629	BP	e	intracellular transport	4/28	75/1210	4	4	OG_11686, OG_12573, OG_13875, OG_14414
GO:0015833	0.141348822485	0.980631881629	BP	e	peptide transport	3/28	57/1210	6	3	OG_11686, OG_13875, OG_18579
GO:0043085	0.120259784091	0.980631881629	BP	e	positive regulation of catalytic activity	3/28	53/1210	4	3	OG_12573, OG_13875, OG_14974
GO:0042886	0.157960736302	0.980631881629	BP	e	amide transport	3/28	60/1210	5	3	OG_11686, OG_13875, OG_18579
GO:0009987	0.135791286732	0.980631881629	BP	p	cellular process	17/28	885/1210	1	17	OG_11040, OG_11531, OG_11686, OG_12343, OG_12573, OG_12916, OG_13875, OG_14119, OG_14244, OG_14406, OG_14414, OG_14974, OG_15367, OG_16592, OG_16949, OG_17043, OG_17128
GO:0031325	0.0730188613769	0.980631881629	BP	e	positive regulation of cellular metabolic process	9/28	213/1210	5	9	OG_11531, OG_12343, OG_12573, OG_12916, OG_13875, OG_14119, OG_14244, OG_14974, OG_17128
GO:0034613	0.141348822485	0.980631881629	BP	e	cellular protein localization	3/28	57/1210	4	3	OG_11686, OG_13875, OG_14414
GO:0015031	0.141348822485	0.980631881629	BP	e	protein transport	3/28	57/1210	7	3	OG_11686, OG_13875, OG_18579
GO:0009628	0.108054266955	0.980631881629	BP	e	response to abiotic stimulus	4/28	80/1210	2	4	OG_12343, OG_13875, OG_14244, OG_14414
