GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0019637	0.00261111520656	0.219224825586	BP	e	organophosphate metabolic process	5/23	76/1727	4	5	OG_12046, OG_13147, OG_13289, OG_14561, OG_19274
GO:0006644	0.00662964232408	0.219224825586	BP	e	phospholipid metabolic process	3/23	30/1727	5	3	OG_12046, OG_14561, OG_19274
GO:0006796	0.00705276828206	0.219224825586	BP	e	phosphate-containing compound metabolic process	7/23	181/1727	4	7	OG_12046, OG_13147, OG_13289, OG_14561, OG_15393, OG_17752, OG_19274
GO:0006793	0.00749486583201	0.219224825586	BP	e	phosphorus metabolic process	7/23	183/1727	3	7	OG_12046, OG_13147, OG_13289, OG_14561, OG_15393, OG_17752, OG_19274
GO:0050789	0.0200302586549	0.390590043771	BP	p	regulation of biological process	6/23	878/1727	2	6	OG_11474, OG_13289, OG_13445, OG_13929, OG_15393, OG_18163
GO:0006629	0.0184952812148	0.390590043771	BP	e	lipid metabolic process	4/23	79/1727	3	4	OG_12046, OG_14561, OG_16485, OG_19274
GO:0050794	0.0563789632366	0.737837835484	BP	p	regulation of cellular process	6/23	818/1727	3	6	OG_11474, OG_13289, OG_13445, OG_13929, OG_15393, OG_18163
GO:0030154	0.0464255046429	0.737837835484	BP	e	cell differentiation	5/23	153/1727	3	5	OG_11453, OG_11474, OG_13929, OG_15393, OG_18163
GO:0044255	0.0567567565757	0.737837835484	BP	e	cellular lipid metabolic process	3/23	67/1727	4	3	OG_12046, OG_14561, OG_19274
GO:0080090	0.158622259946	0.96900587014	BP	p	regulation of primary metabolic process	3/23	468/1727	4	3	OG_13445, OG_13929, OG_18163
GO:0019222	0.253284794918	0.96900587014	BP	p	regulation of metabolic process	4/23	529/1727	3	4	OG_11474, OG_13445, OG_13929, OG_18163
GO:0044281	0.416284904474	0.96900587014	BP	e	small molecule metabolic process	3/23	134/1727	2	3	OG_13147, OG_13289, OG_16485
GO:1901362	0.157634488725	0.96900587014	BP	e	organic cyclic compound biosynthetic process	6/23	271/1727	4	6	OG_13147, OG_13289, OG_13445, OG_13929, OG_16485, OG_18163
GO:0048869	0.418490370729	0.96900587014	BP	e	cellular developmental process	6/23	327/1727	2	6	OG_11453, OG_11474, OG_13445, OG_13929, OG_15393, OG_18163
GO:0048518	0.474855641284	0.96900587014	BP	p	positive regulation of biological process	4/23	439/1727	3	4	OG_11474, OG_13445, OG_13929, OG_18163
GO:0048519	0.324528920772	0.96900587014	BP	p	negative regulation of biological process	3/23	398/1727	3	3	OG_11474, OG_13445, OG_13929
GO:0060255	0.108127377392	0.96900587014	BP	p	regulation of macromolecule metabolic process	3/23	494/1727	4	3	OG_13445, OG_13929, OG_18163
GO:0045184	0.251099535036	0.96900587014	BP	e	establishment of protein localization	3/23	131/1727	4	3	OG_12794, OG_13378, OG_14500
GO:0019438	0.371313099368	0.96900587014	BP	e	aromatic compound biosynthetic process	5/23	257/1727	4	5	OG_13147, OG_13289, OG_13445, OG_13929, OG_18163
GO:0009891	0.472422503057	0.96900587014	BP	e	positive regulation of biosynthetic process	3/23	163/1727	5	3	OG_13445, OG_13929, OG_18163
GO:1901576	0.309639646891	0.96900587014	BP	e	organic substance biosynthetic process	7/23	374/1727	3	7	OG_13147, OG_13289, OG_13445, OG_13929, OG_16485, OG_18163, OG_19274
GO:1901575	0.111867943012	0.96900587014	BP	e	organic substance catabolic process	4/23	141/1727	3	4	OG_11474, OG_12046, OG_13289, OG_14561
GO:0065007	0.143550340268	0.96900587014	BP	p	biological regulation	9/23	946/1727	1	9	OG_11474, OG_13147, OG_13289, OG_13378, OG_13445, OG_13929, OG_15393, OG_16485, OG_18163
GO:0065008	0.285875442211	0.96900587014	BP	e	regulation of biological quality	6/23	313/1727	2	6	OG_11474, OG_13147, OG_13378, OG_13929, OG_16485, OG_18163
GO:0018130	0.365768541567	0.96900587014	BP	e	heterocycle biosynthetic process	5/23	252/1727	4	5	OG_13147, OG_13289, OG_13445, OG_13929, OG_18163
GO:0009889	0.447758685909	0.96900587014	BP	p	regulation of biosynthetic process	3/23	358/1727	4	3	OG_13445, OG_13929, OG_18163
GO:0008152	0.214938068695	0.96900587014	BP	e	metabolic process	15/23	897/1727	1	15	OG_11474, OG_12046, OG_13147, OG_13289, OG_13378, OG_13445, OG_13929, OG_14561, OG_14758, OG_15391, OG_15393, OG_16485, OG_17752, OG_18163, OG_19274
GO:0034654	0.357432042881	0.96900587014	BP	e	nucleobase-containing compound biosynthetic process	5/23	243/1727	5	5	OG_13147, OG_13289, OG_13445, OG_13929, OG_18163
GO:0044271	0.407458610647	0.96900587014	BP	e	cellular nitrogen compound biosynthetic process	5/23	282/1727	4	5	OG_13147, OG_13289, OG_13445, OG_13929, OG_18163
GO:0046907	0.430986197316	0.96900587014	BP	e	intracellular transport	3/23	143/1727	4	3	OG_12794, OG_13378, OG_14500
GO:0010557	0.452517748518	0.96900587014	BP	e	positive regulation of macromolecule biosynthetic process	3/23	154/1727	6	3	OG_13445, OG_13929, OG_18163
GO:0044249	0.305855211721	0.96900587014	BP	e	cellular biosynthetic process	7/23	370/1727	3	7	OG_13147, OG_13289, OG_13445, OG_13929, OG_16485, OG_18163, OG_19274
GO:0015833	0.222053540018	0.96900587014	BP	e	peptide transport	3/23	123/1727	6	3	OG_12794, OG_13378, OG_14500
GO:0042886	0.232854905033	0.96900587014	BP	e	amide transport	3/23	126/1727	5	3	OG_12794, OG_13378, OG_14500
GO:1903508	0.430986197316	0.96900587014	BP	e	positive regulation of nucleic acid-templated transcription	3/23	143/1727	9	3	OG_13445, OG_13929, OG_18163
GO:0009987	0.480361884343	0.96900587014	BP	p	cellular process	15/23	1253/1727	1	15	OG_11453, OG_11474, OG_12046, OG_13147, OG_13289, OG_13378, OG_13445, OG_13929, OG_14561, OG_15391, OG_15393, OG_16485, OG_17752, OG_18163, OG_19274
GO:0045893	0.430986197316	0.96900587014	BP	e	positive regulation of transcription, DNA-templated	3/23	143/1727	10	3	OG_13445, OG_13929, OG_18163
GO:0051094	0.173488217053	0.96900587014	BP	e	positive regulation of developmental process	3/23	109/1727	4	3	OG_11474, OG_13445, OG_13929
GO:1901135	0.128907434756	0.96900587014	BP	e	carbohydrate derivative metabolic process	3/23	95/1727	3	3	OG_13147, OG_13289, OG_19274
GO:0051254	0.450421846181	0.96900587014	BP	e	positive regulation of RNA metabolic process	3/23	153/1727	7	3	OG_13445, OG_13929, OG_18163
GO:1902680	0.430986197316	0.96900587014	BP	e	positive regulation of RNA biosynthetic process	3/23	143/1727	8	3	OG_13445, OG_13929, OG_18163
GO:0045944	0.173488217053	0.96900587014	BP	e	positive regulation of transcription by RNA polymerase II	3/23	109/1727	11	3	OG_13445, OG_13929, OG_18163
