GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:2001234	0.0142250463243	0.592173529428	BP	e	negative regulation of apoptotic signaling pathway	3/72	17/2322	8	3	OG_12060, OG_12797, OG_14193
GO:2001233	0.0195123687646	0.592173529428	BP	e	regulation of apoptotic signaling pathway	4/72	34/2322	7	4	OG_12060, OG_12797, OG_14193, OG_16038
GO:0048585	0.02970372969	0.592173529428	BP	e	negative regulation of response to stimulus	10/72	161/2322	4	10	OG_11401, OG_12060, OG_12405, OG_12761, OG_12797, OG_13808, OG_14193, OG_14447, OG_17755, OG_17963
GO:0032147	0.0362771941665	0.592173529428	BP	e	activation of protein kinase activity	3/72	24/2322	11	3	OG_12797, OG_16038, OG_17755
GO:0007219	0.025466016273	0.592173529428	BP	e	Notch signaling pathway	3/72	21/2322	6	3	OG_11401, OG_14911, OG_18111
GO:0009968	0.0180324255491	0.592173529428	BP	e	negative regulation of signal transduction	9/72	131/2322	6	9	OG_11401, OG_12060, OG_12405, OG_12761, OG_12797, OG_13808, OG_14193, OG_17755, OG_17963
GO:0007600	0.0318743265466	0.592173529428	BP	e	sensory perception	5/72	58/2322	4	5	OG_13286, OG_15003, OG_15481, OG_17439, OG_19088
GO:0007283	0.0362348790567	0.592173529428	BP	e	spermatogenesis	4/72	41/2322	5	4	OG_12797, OG_13038, OG_13111, OG_16385
GO:0018209	0.0193920827338	0.592173529428	BP	e	peptidyl-serine modification	3/72	19/2322	8	3	OG_16038, OG_16223, OG_16385
GO:1901342	0.0166957655786	0.592173529428	BP	e	regulation of vasculature development	3/72	18/2322	5	3	OG_12060, OG_17439, OG_17963
GO:0045165	0.0193920827338	0.592173529428	BP	e	cell fate commitment	3/72	19/2322	3	3	OG_12797, OG_15768, OG_17439
GO:0008593	0.0215246490547	0.592173529428	BP	e	regulation of Notch signaling pathway	4/72	35/2322	6	4	OG_11401, OG_12761, OG_17497, OG_17755
GO:0023057	0.0396995058359	0.592173529428	BP	e	negative regulation of signaling	9/72	143/2322	4	9	OG_11401, OG_12060, OG_12405, OG_12761, OG_12797, OG_13808, OG_14193, OG_17755, OG_17963
GO:0010648	0.0396995058359	0.592173529428	BP	e	negative regulation of cell communication	9/72	143/2322	5	9	OG_11401, OG_12060, OG_12405, OG_12761, OG_12797, OG_13808, OG_14193, OG_17755, OG_17963
GO:0043408	0.0409334294382	0.592173529428	BP	e	regulation of MAPK cascade	5/72	62/2322	9	5	OG_12797, OG_13111, OG_16038, OG_17003, OG_17755
GO:0090287	0.025466016273	0.592173529428	BP	e	regulation of cellular response to growth factor stimulus	3/72	21/2322	4	3	OG_11834, OG_13808, OG_17963
GO:1904018	0.00653964426506	0.592173529428	BP	e	positive regulation of vasculature development	3/72	13/2322	6	3	OG_12060, OG_17439, OG_17963
GO:0008284	0.0103725724546	0.592173529428	BP	e	positive regulation of cell population proliferation	6/72	61/2322	5	6	OG_11401, OG_12797, OG_15768, OG_17439, OG_17755, OG_17963
GO:0048232	0.0421671553463	0.592173529428	BP	e	male gamete generation	4/72	43/2322	4	4	OG_12797, OG_13038, OG_13111, OG_16385
GO:0045861	0.0403288868996	0.592173529428	BP	e	negative regulation of proteolysis	3/72	25/2322	8	3	OG_11401, OG_13111, OG_16038
GO:0018105	0.0166957655786	0.592173529428	BP	e	peptidyl-serine phosphorylation	3/72	18/2322	9	3	OG_16038, OG_16223, OG_16385
GO:0007276	0.0300109524227	0.592173529428	BP	e	gamete generation	6/72	77/2322	3	6	OG_11401, OG_12797, OG_13038, OG_13111, OG_16281, OG_16385
GO:0022008	0.00813972083795	0.592173529428	BP	e	neurogenesis	3/72	14/2322	4	3	OG_12945, OG_15768, OG_17439
GO:0048468	0.0653632213055	0.681042596183	BP	e	cell development	8/72	134/2322	3	8	OG_11401, OG_12797, OG_16281, OG_16385, OG_17343, OG_17755, OG_17963, OG_19113
GO:0061024	0.0542683608244	0.681042596183	BP	e	membrane organization	5/72	67/2322	3	5	OG_11401, OG_11694, OG_13038, OG_14193, OG_19113
GO:0007163	0.0592702449662	0.681042596183	BP	e	establishment or maintenance of cell polarity	4/72	48/2322	2	4	OG_11401, OG_12797, OG_15003, OG_16281
GO:0051098	0.0537911990943	0.681042596183	BP	e	regulation of binding	3/72	28/2322	3	3	OG_13111, OG_15768, OG_17755
GO:0043066	0.0633571311783	0.681042596183	BP	e	negative regulation of apoptotic process	5/72	70/2322	7	5	OG_12060, OG_12797, OG_14193, OG_16038, OG_17439
GO:0043069	0.0633571311783	0.681042596183	BP	e	negative regulation of programmed cell death	5/72	70/2322	6	5	OG_12060, OG_12797, OG_14193, OG_16038, OG_17439
GO:0030182	0.058702548327	0.681042596183	BP	e	neuron differentiation	3/72	29/2322	4	3	OG_12797, OG_15768, OG_17439
GO:0042221	0.0624780190115	0.681042596183	BP	e	response to chemical	12/72	222/2322	2	12	OG_12060, OG_12324, OG_13038, OG_13792, OG_14447, OG_15352, OG_16038, OG_17003, OG_17755, OG_17963, OG_18111, OG_19271
GO:0043067	0.0735563490535	0.688895814178	BP	e	regulation of programmed cell death	8/72	139/2322	5	8	OG_12060, OG_12797, OG_13038, OG_14193, OG_16038, OG_17439, OG_17755, OG_17963
GO:0042981	0.0700996840553	0.688895814178	BP	e	regulation of apoptotic process	8/72	137/2322	6	8	OG_12060, OG_12797, OG_13038, OG_14193, OG_16038, OG_17439, OG_17755, OG_17963
GO:0060562	0.0746481532391	0.688895814178	BP	e	epithelial tube morphogenesis	3/72	32/2322	5	3	OG_11401, OG_12797, OG_15481
GO:0048729	0.0732612728312	0.688895814178	BP	e	tissue morphogenesis	5/72	73/2322	3	5	OG_11401, OG_12797, OG_15481, OG_15768, OG_17634
GO:0048609	0.0824509957331	0.739768656161	BP	e	multicellular organismal reproductive process	7/72	112/2322	2	7	OG_11401, OG_12797, OG_13038, OG_13111, OG_15481, OG_16281, OG_16385
GO:0001505	0.118248874715	0.742361674065	BP	e	regulation of neurotransmitter levels	3/72	39/2322	3	3	OG_12014, OG_17003, OG_19113
GO:0051716	0.13776817393	0.742361674065	BP	e	cellular response to stimulus	13/72	280/2322	2	13	OG_12060, OG_12324, OG_12797, OG_13630, OG_13792, OG_14447, OG_15156, OG_16038, OG_17497, OG_17755, OG_17963, OG_18111, OG_19271
