GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0034470	0.00936081388984	0.869559695674	BP	e	ncRNA processing	4/23	83/2219	8	4	OG_14012, OG_14973, OG_15377, OG_18351
GO:0034660	0.0258858173299	0.869559695674	BP	e	ncRNA metabolic process	4/23	112/2219	7	4	OG_14012, OG_14973, OG_15377, OG_18351
GO:0006396	0.0263502938083	0.869559695674	BP	e	RNA processing	5/23	169/2219	7	5	OG_14012, OG_14973, OG_15377, OG_18351, OG_18567
GO:0008104	1.0	1.0	BP	e	protein localization	3/23	284/2219	3	3	OG_12921, OG_16406, OG_16746
GO:0080090	0.64325107959	1.0	BP	p	regulation of primary metabolic process	5/23	617/2219	4	5	OG_14012, OG_14800, OG_14973, OG_16266, OG_16396
GO:0019222	0.658138164038	1.0	BP	p	regulation of metabolic process	6/23	698/2219	3	6	OG_14012, OG_14800, OG_14973, OG_16266, OG_16396, OG_16463
GO:0048583	0.397351470701	1.0	BP	e	regulation of response to stimulus	5/23	354/2219	3	5	OG_12921, OG_16266, OG_16406, OG_16746, OG_18478
GO:0044281	0.497948440773	1.0	BP	e	small molecule metabolic process	3/23	223/2219	2	3	OG_14075, OG_14800, OG_15377
GO:1901362	0.543207848615	1.0	BP	e	organic cyclic compound biosynthetic process	4/23	303/2219	4	4	OG_14012, OG_14800, OG_15377, OG_16266
GO:0071840	0.372208795581	1.0	BP	p	cellular component organization or biogenesis	5/23	706/2219	1	5	OG_12921, OG_14012, OG_14358, OG_16266, OG_16406
GO:0051716	1.0	1.0	BP	p	cellular response to stimulus	3/23	309/2219	2	3	OG_14800, OG_16746, OG_18478
GO:0009966	0.530994564112	1.0	BP	e	regulation of signal transduction	4/23	291/2219	5	4	OG_12921, OG_16266, OG_16746, OG_18478
GO:0048869	0.38251781034	1.0	BP	e	cellular developmental process	5/23	341/2219	2	5	OG_12921, OG_14012, OG_14075, OG_14358, OG_16406
GO:0018193	0.0897301223207	1.0	BP	e	peptidyl-amino acid modification	3/23	104/2219	7	3	OG_15377, OG_16406, OG_18478
GO:0048518	0.475419648477	1.0	BP	p	positive regulation of biological process	4/23	565/2219	3	4	OG_14075, OG_14800, OG_16266, OG_16746
GO:0048519	0.80188669715	1.0	BP	p	negative regulation of biological process	4/23	502/2219	3	4	OG_14973, OG_16266, OG_16463, OG_18351
GO:0033036	0.533885232167	1.0	BP	e	macromolecule localization	4/23	294/2219	2	4	OG_12921, OG_14973, OG_16406, OG_16746
GO:0060255	0.498866601393	1.0	BP	p	regulation of macromolecule metabolic process	5/23	646/2219	4	5	OG_14012, OG_14800, OG_14973, OG_16266, OG_16396
GO:0045184	0.477360185222	1.0	BP	e	establishment of protein localization	3/23	212/2219	4	3	OG_12921, OG_16406, OG_16746
GO:2001141	0.769779323609	1.0	BP	e	regulation of RNA biosynthetic process	4/23	339/2219	7	4	OG_14012, OG_14800, OG_16266, OG_16396
GO:0046483	0.636075673808	1.0	BP	e	heterocycle metabolic process	7/23	580/2219	3	7	OG_14012, OG_14800, OG_14973, OG_15377, OG_16266, OG_18351, OG_18567
GO:1901564	0.253404182754	1.0	BP	p	organonitrogen compound metabolic process	4/23	674/2219	3	4	OG_15377, OG_16387, OG_16406, OG_18478
GO:0019538	0.624759983267	1.0	BP	p	protein metabolic process	4/23	529/2219	4	4	OG_15377, OG_16387, OG_16406, OG_18478
GO:0034641	1.0	1.0	BP	e	cellular nitrogen compound metabolic process	7/23	657/2219	3	7	OG_14012, OG_14800, OG_14973, OG_15377, OG_16266, OG_18351, OG_18567
GO:0019438	1.0	1.0	BP	e	aromatic compound biosynthetic process	3/23	286/2219	4	3	OG_14012, OG_14800, OG_16266
GO:0022607	1.0	1.0	BP	p	cellular component assembly	3/23	300/2219	3	3	OG_12921, OG_14012, OG_16406
GO:0006928	0.426418101873	1.0	BP	e	movement of cell or subcellular component	3/23	180/2219	2	3	OG_12921, OG_14358, OG_16266
GO:0008152	1.0	1.0	BP	e	metabolic process	13/23	1250/2219	1	13	OG_11911, OG_13498, OG_14012, OG_14075, OG_14800, OG_14973, OG_15377, OG_16266, OG_16387, OG_16406, OG_18351, OG_18478, OG_18567
GO:0006807	0.834477065041	1.0	BP	p	nitrogen compound metabolic process	10/23	1055/2219	2	10	OG_14012, OG_14800, OG_14973, OG_15377, OG_16266, OG_16387, OG_16406, OG_18351, OG_18478, OG_18567
GO:0050789	0.676351795196	1.0	BP	e	regulation of biological process	13/23	1120/2219	2	13	OG_12921, OG_14012, OG_14075, OG_14358, OG_14800, OG_14973, OG_16266, OG_16396, OG_16406, OG_16463, OG_16746, OG_18351, OG_18478
GO:0097659	0.440533300635	1.0	BP	e	nucleic acid-templated transcription	3/23	190/2219	8	3	OG_14012, OG_14800, OG_16266
GO:1901576	1.0	1.0	BP	e	organic substance biosynthetic process	5/23	474/2219	3	5	OG_14012, OG_14075, OG_14800, OG_15377, OG_16266
GO:0044260	1.0	1.0	BP	p	cellular macromolecule metabolic process	8/23	775/2219	4	8	OG_14012, OG_14800, OG_14973, OG_15377, OG_16266, OG_16387, OG_16406, OG_18478
GO:0006886	0.148254829489	1.0	BP	e	intracellular protein transport	3/23	130/2219	8	3	OG_12921, OG_16406, OG_16746
