GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0019220	0.201423272821	0.778363991765	BP	e	regulation of phosphate metabolic process	5/40	161/2265	6	5	OG_12522, OG_14478, OG_16463, OG_16737, OG_17086
GO:0080090	0.100681838876	0.778363991765	BP	e	regulation of primary metabolic process	15/40	585/2265	4	15	OG_11419, OG_11927, OG_12423, OG_12522, OG_12739, OG_14478, OG_14729, OG_14776, OG_15873, OG_15950, OG_15960, OG_15961, OG_16737, OG_17086, OG_18575
GO:0019222	0.159523559219	0.778363991765	BP	e	regulation of metabolic process	16/40	663/2265	3	16	OG_11419, OG_11927, OG_12423, OG_12522, OG_12739, OG_14478, OG_14729, OG_14776, OG_15873, OG_15950, OG_15960, OG_15961, OG_16463, OG_16737, OG_17086, OG_18575
GO:1901362	0.169383450199	0.778363991765	BP	e	organic cyclic compound biosynthetic process	9/40	328/2265	4	9	OG_11541, OG_12420, OG_12522, OG_13320, OG_14729, OG_15873, OG_15950, OG_15960, OG_18278
GO:0010604	0.0968615491483	0.778363991765	BP	e	positive regulation of macromolecule metabolic process	9/40	301/2265	5	9	OG_11419, OG_11927, OG_12739, OG_14478, OG_14729, OG_14776, OG_15961, OG_16737, OG_17086
GO:0009967	0.188102444207	0.778363991765	BP	e	positive regulation of signal transduction	5/40	153/2265	6	5	OG_11927, OG_12522, OG_14478, OG_16737, OG_17086
GO:0060255	0.150567264143	0.778363991765	BP	e	regulation of macromolecule metabolic process	15/40	613/2265	4	15	OG_11419, OG_11927, OG_12423, OG_12522, OG_12739, OG_14478, OG_14729, OG_14776, OG_15873, OG_15950, OG_15960, OG_15961, OG_16737, OG_17086, OG_18575
GO:0045859	0.132117432697	0.778363991765	BP	e	regulation of protein kinase activity	3/40	72/2265	9	3	OG_12522, OG_14478, OG_17086
GO:0019827	0.0111299066439	0.778363991765	BP	e	stem cell population maintenance	3/40	27/2265	3	3	OG_12522, OG_15906, OG_18575
GO:0019438	0.102427790138	0.778363991765	BP	e	aromatic compound biosynthetic process	9/40	307/2265	4	9	OG_11541, OG_12420, OG_12522, OG_13320, OG_14729, OG_15873, OG_15950, OG_15960, OG_18278
GO:0009896	0.0650814245135	0.778363991765	BP	e	positive regulation of catabolic process	3/40	53/2265	5	3	OG_11419, OG_12739, OG_16737
