GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0010038	0.00598133717338	0.141299245613	BP	e	response to metal ion	3/33	20/1709	4	3	OG_11266, OG_14135, OG_16803
GO:0016054	0.0089322064206	0.141299245613	BP	e	organic acid catabolic process	3/33	23/1709	4	3	OG_12392, OG_16241, OG_17803
GO:0098916	0.00982951273833	0.141299245613	BP	e	anterograde trans-synaptic signaling	4/33	45/1709	6	4	OG_10502, OG_12467, OG_14135, OG_17286
GO:0046395	0.0089322064206	0.141299245613	BP	e	carboxylic acid catabolic process	3/33	23/1709	6	3	OG_12392, OG_16241, OG_17803
GO:0099536	0.00982951273833	0.141299245613	BP	e	synaptic signaling	4/33	45/1709	4	4	OG_10502, OG_12467, OG_14135, OG_17286
GO:0099537	0.00982951273833	0.141299245613	BP	e	trans-synaptic signaling	4/33	45/1709	5	4	OG_10502, OG_12467, OG_14135, OG_17286
GO:0007268	0.00982951273833	0.141299245613	BP	e	chemical synaptic transmission	4/33	45/1709	7	4	OG_10502, OG_12467, OG_14135, OG_17286
GO:0009719	0.00432966974474	0.141299245613	BP	e	response to endogenous stimulus	5/33	58/1709	2	5	OG_13249, OG_14135, OG_16803, OG_17086, OG_17561
GO:0010035	0.015472290498	0.197701489697	BP	e	response to inorganic substance	3/33	28/1709	3	3	OG_11266, OG_14135, OG_16803
GO:0007267	0.0173255540025	0.199243871029	BP	e	cell-cell signaling	4/33	53/1709	3	4	OG_10502, OG_12467, OG_14135, OG_17286
GO:0023052	0.0221349668152	0.231411016704	BP	e	signaling	4/33	57/1709	1	4	OG_10502, OG_12467, OG_14135, OG_17286
GO:0007154	0.0255483481017	0.244838335975	BP	e	cell communication	5/33	89/1709	2	5	OG_10502, OG_12467, OG_13249, OG_14135, OG_17286
GO:0060249	0.0349560676146	0.267996518379	BP	e	anatomical structure homeostasis	3/33	38/1709	4	3	OG_11934, OG_12467, OG_12549
GO:0044282	0.0303684928347	0.267996518379	BP	e	small molecule catabolic process	3/33	36/1709	3	3	OG_12392, OG_16241, OG_17803
GO:0009725	0.0349560676146	0.267996518379	BP	e	response to hormone	3/33	38/1709	4	3	OG_16803, OG_17086, OG_17561
GO:0019752	0.0411677286519	0.295893049686	BP	e	carboxylic acid metabolic process	4/33	69/1709	5	4	OG_12392, OG_16241, OG_16803, OG_17803
GO:0043436	0.0555764805928	0.301207964918	BP	e	oxoacid metabolic process	4/33	76/1709	4	4	OG_12392, OG_16241, OG_16803, OG_17803
GO:0010033	0.0620323952965	0.301207964918	BP	e	response to organic substance	5/33	113/1709	3	5	OG_13249, OG_14135, OG_16803, OG_17086, OG_17561
GO:1901565	0.0578351770498	0.301207964918	BP	e	organonitrogen compound catabolic process	4/33	77/1709	4	4	OG_11028, OG_14744, OG_16241, OG_17803
GO:0010243	0.0597649062207	0.301207964918	BP	e	response to organonitrogen compound	3/33	47/1709	4	3	OG_13249, OG_14135, OG_16803
GO:0050789	0.0530495570085	0.301207964918	BP	p	regulation of biological process	11/33	864/1709	2	11	OG_10502, OG_11859, OG_11934, OG_12549, OG_13249, OG_14135, OG_15850, OG_16803, OG_17086, OG_17561, OG_18498
GO:0044248	0.0628607926785	0.301207964918	BP	e	cellular catabolic process	6/33	150/1709	3	6	OG_11028, OG_12392, OG_13249, OG_14744, OG_16241, OG_17803
GO:1901700	0.0625018328313	0.301207964918	BP	e	response to oxygen-containing compound	4/33	79/1709	3	4	OG_13249, OG_14135, OG_16803, OG_17086
GO:0006082	0.0555764805928	0.301207964918	BP	e	organic acid metabolic process	4/33	76/1709	3	4	OG_12392, OG_16241, OG_16803, OG_17803
GO:1901698	0.0661683912294	0.304374599655	BP	e	response to nitrogen compound	3/33	49/1709	3	3	OG_13249, OG_14135, OG_16803
GO:0048518	0.0715865499341	0.316632817016	BP	p	positive regulation of biological process	4/33	451/1709	3	4	OG_11859, OG_13249, OG_17086, OG_17561
GO:0055114	0.103658118856	0.441506802535	BP	e	oxidation-reduction process	4/33	94/1709	2	4	OG_11266, OG_12392, OG_16241, OG_17803
GO:0034220	0.110710131314	0.443854004604	BP	e	ion transmembrane transport	3/33	61/1709	5	3	OG_12467, OG_14135, OG_17286
GO:0042221	0.111928401161	0.443854004604	BP	e	response to chemical	6/33	153/1709	2	6	OG_11266, OG_13249, OG_14135, OG_16803, OG_17086, OG_17561
GO:0050794	0.116876938567	0.448028264507	BP	p	regulation of cellular process	11/33	804/1709	3	11	OG_10502, OG_11859, OG_11934, OG_12549, OG_13249, OG_14135, OG_15850, OG_16803, OG_17086, OG_17561, OG_18498
GO:0050896	0.137137452914	0.506137703437	BP	e	response to stimulus	11/33	379/1709	1	11	OG_11266, OG_11934, OG_12392, OG_12467, OG_13249, OG_14135, OG_15704, OG_16241, OG_16803, OG_17086, OG_17561
GO:0009056	0.140838317478	0.506137703437	BP	e	catabolic process	6/33	175/1709	2	6	OG_11028, OG_12392, OG_13249, OG_14744, OG_16241, OG_17803
GO:0048522	0.147365889917	0.513547798196	BP	p	positive regulation of cellular process	4/33	401/1709	4	4	OG_11859, OG_13249, OG_17086, OG_17561
GO:0007610	0.158416560277	0.535820718584	BP	e	behavior	4/33	110/1709	1	4	OG_10502, OG_12467, OG_13663, OG_16241
GO:0051234	0.180120982618	0.591826085745	BP	p	establishment of localization	3/33	325/1709	2	3	OG_12467, OG_14135, OG_17286
GO:1901575	0.208468114118	0.647941435772	BP	e	organic substance catabolic process	5/33	152/1709	3	5	OG_11028, OG_12392, OG_14744, OG_16241, OG_17803
GO:0009887	0.203355788573	0.647941435772	BP	e	animal organ morphogenesis	3/33	81/1709	3	3	OG_11859, OG_12467, OG_16803
GO:0044260	0.243536507577	0.722892236028	BP	p	cellular macromolecule metabolic process	6/33	479/1709	4	6	OG_11028, OG_11934, OG_14621, OG_17086, OG_17561, OG_19285
GO:0006810	0.251440777749	0.722892236028	BP	p	transport	3/33	308/1709	3	3	OG_12467, OG_14135, OG_17286
GO:0070887	0.249972414835	0.722892236028	BP	e	cellular response to chemical stimulus	3/33	90/1709	3	3	OG_11266, OG_13249, OG_14135
