GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0120039	0.00144007514936	0.0533180056141	BP	e	plasma membrane bounded cell projection morphogenesis	5/26	58/1709	6	5	OG_11687, OG_13737, OG_13842, OG_17439, OG_18027
GO:0043254	0.0010034679745	0.0533180056141	BP	e	regulation of protein complex assembly	4/26	31/1709	5	4	OG_11687, OG_13983, OG_17126, OG_17600
GO:0032990	0.00195065874198	0.0533180056141	BP	e	cell part morphogenesis	5/26	62/1709	4	5	OG_11687, OG_13737, OG_13842, OG_17439, OG_18027
GO:0048812	0.00144007514936	0.0533180056141	BP	e	neuron projection morphogenesis	5/26	58/1709	7	5	OG_11687, OG_13737, OG_13842, OG_17439, OG_18027
GO:0032989	0.00176836430395	0.0533180056141	BP	e	cellular component morphogenesis	6/26	90/1709	3	6	OG_11687, OG_13737, OG_13842, OG_17439, OG_17600, OG_18027
GO:0048858	0.00155710211963	0.0533180056141	BP	e	cell projection morphogenesis	5/26	59/1709	5	5	OG_11687, OG_13737, OG_13842, OG_17439, OG_18027
GO:0010941	0.00565163222203	0.129840873017	BP	e	regulation of cell death	6/26	113/1709	4	6	OG_13842, OG_13860, OG_13983, OG_14656, OG_15365, OG_17439
GO:0044087	0.00633370112279	0.129840873017	BP	e	regulation of cellular component biogenesis	5/26	81/1709	3	5	OG_11687, OG_13983, OG_15365, OG_17126, OG_17600
GO:0007409	0.00879050092641	0.160182461326	BP	e	axonogenesis	3/26	29/1709	8	3	OG_11687, OG_17439, OG_18027
GO:0080090	0.0226077939297	0.19514095813	BP	e	regulation of primary metabolic process	12/26	439/1709	4	12	OG_12593, OG_13737, OG_13842, OG_13860, OG_13983, OG_14656, OG_15365, OG_17126, OG_17439, OG_17531, OG_17600, OG_18027
GO:0060255	0.0132370010541	0.19514095813	BP	e	regulation of macromolecule metabolic process	13/26	465/1709	4	13	OG_12593, OG_13737, OG_13842, OG_13860, OG_13983, OG_14656, OG_15104, OG_15365, OG_17126, OG_17439, OG_17531, OG_17600, OG_18027
GO:0060548	0.0143845310244	0.19514095813	BP	e	negative regulation of cell death	4/26	64/1709	5	4	OG_13842, OG_13983, OG_14656, OG_17439
GO:0016192	0.0185668739409	0.19514095813	BP	e	vesicle-mediated transport	5/26	105/1709	4	5	OG_11687, OG_13610, OG_14323, OG_15673, OG_17600
GO:0032535	0.0212734612414	0.19514095813	BP	e	regulation of cellular component size	3/26	40/1709	4	3	OG_11687, OG_13983, OG_14656
GO:0012501	0.0195050386946	0.19514095813	BP	e	programmed cell death	4/26	70/1709	3	4	OG_13860, OG_14656, OG_15365, OG_18027
GO:0033043	0.0178690357801	0.19514095813	BP	e	regulation of organelle organization	5/26	104/1709	5	5	OG_11687, OG_13737, OG_13983, OG_17126, OG_17600
GO:0030030	0.0215415078038	0.19514095813	BP	e	cell projection organization	5/26	109/1709	3	5	OG_11687, OG_13737, OG_13842, OG_17439, OG_18027
GO:0008219	0.0224446460182	0.19514095813	BP	e	cell death	4/26	73/1709	2	4	OG_13860, OG_14656, OG_15365, OG_18027
GO:0051171	0.0218634444636	0.19514095813	BP	e	regulation of nitrogen compound metabolic process	12/26	436/1709	4	12	OG_12593, OG_13737, OG_13842, OG_13860, OG_13983, OG_14656, OG_15365, OG_17126, OG_17439, OG_17531, OG_17600, OG_18027
GO:0019222	0.0265993781553	0.20407956828	BP	e	regulation of metabolic process	13/26	493/1709	3	13	OG_12593, OG_13737, OG_13842, OG_13860, OG_13983, OG_14656, OG_15104, OG_15365, OG_17126, OG_17439, OG_17531, OG_17600, OG_18027
GO:0090066	0.026772133774	0.20407956828	BP	e	regulation of anatomical structure size	4/26	77/1709	3	4	OG_11687, OG_13983, OG_14656, OG_18027
GO:0051128	0.0273765274522	0.20407956828	BP	e	regulation of cellular component organization	7/26	203/1709	4	7	OG_11687, OG_13737, OG_13983, OG_15365, OG_17126, OG_17439, OG_17600
GO:0048869	0.0310553176301	0.221437917015	BP	e	cellular developmental process	9/26	294/1709	2	9	OG_11687, OG_12593, OG_13737, OG_13842, OG_14656, OG_15365, OG_17439, OG_17600, OG_18027
GO:0042981	0.0489377205931	0.252920976109	BP	e	regulation of apoptotic process	4/26	93/1709	6	4	OG_13983, OG_14656, OG_15365, OG_17439
GO:0016070	0.0496861356512	0.252920976109	BP	e	RNA metabolic process	8/26	266/1709	6	8	OG_12593, OG_13587, OG_13737, OG_14656, OG_15104, OG_17126, OG_17439, OG_18027
GO:0006139	0.0509532556648	0.252920976109	BP	e	nucleobase-containing compound metabolic process	10/26	369/1709	4	10	OG_12593, OG_13587, OG_13737, OG_14656, OG_14753, OG_15104, OG_17126, OG_17439, OG_17531, OG_18027
GO:0051336	0.0464035272897	0.252920976109	BP	e	regulation of hydrolase activity	3/26	54/1709	4	3	OG_13842, OG_15365, OG_15673
GO:0031323	0.0405880161152	0.252920976109	BP	e	regulation of cellular metabolic process	12/26	454/1709	4	12	OG_12593, OG_13737, OG_13842, OG_13860, OG_13983, OG_14656, OG_15365, OG_17126, OG_17439, OG_17531, OG_17600, OG_18027
GO:0090304	0.0377183643875	0.252920976109	BP	e	nucleic acid metabolic process	9/26	309/1709	5	9	OG_12593, OG_13587, OG_13737, OG_14656, OG_15104, OG_17126, OG_17439, OG_17531, OG_18027
GO:0043067	0.0539770375843	0.252920976109	BP	e	regulation of programmed cell death	4/26	96/1709	5	4	OG_13983, OG_14656, OG_15365, OG_17439
GO:0043066	0.0421817934835	0.252920976109	BP	e	negative regulation of apoptotic process	3/26	52/1709	7	3	OG_13983, OG_14656, OG_17439
GO:0043069	0.0442668246249	0.252920976109	BP	e	negative regulation of programmed cell death	3/26	53/1709	6	3	OG_13983, OG_14656, OG_17439
GO:0019219	0.0434710774541	0.252920976109	BP	e	regulation of nucleobase-containing compound metabolic process	9/26	319/1709	5	9	OG_12593, OG_13737, OG_13983, OG_14656, OG_17126, OG_17439, OG_17531, OG_17600, OG_18027
GO:0006915	0.0485915743784	0.252920976109	BP	e	apoptotic process	3/26	55/1709	4	3	OG_13860, OG_15365, OG_18027
GO:0001934	0.0531202746233	0.252920976109	BP	e	positive regulation of protein phosphorylation	3/26	57/1709	9	3	OG_13860, OG_13983, OG_14656
GO:0046483	0.057751646295	0.263090833122	BP	e	heterocycle metabolic process	10/26	383/1709	3	10	OG_12593, OG_13587, OG_13737, OG_14656, OG_14753, OG_15104, OG_17126, OG_17439, OG_17531, OG_18027
GO:0042327	0.0653132863634	0.26778447409	BP	e	positive regulation of phosphorylation	3/26	62/1709	8	3	OG_13860, OG_13983, OG_14656
GO:0010562	0.0653132863634	0.26778447409	BP	e	positive regulation of phosphorus metabolic process	3/26	62/1709	6	3	OG_13860, OG_13983, OG_14656
GO:0006725	0.0626675094241	0.26778447409	BP	e	cellular aromatic compound metabolic process	10/26	391/1709	3	10	OG_12593, OG_13587, OG_13737, OG_14656, OG_14753, OG_15104, OG_17126, OG_17439, OG_17531, OG_18027
GO:0045937	0.0653132863634	0.26778447409	BP	e	positive regulation of phosphate metabolic process	3/26	62/1709	7	3	OG_13860, OG_13983, OG_14656
GO:0048518	0.0733709213306	0.293483685322	BP	e	positive regulation of biological process	11/26	451/1709	3	11	OG_11687, OG_12593, OG_13737, OG_13860, OG_13983, OG_14323, OG_14656, OG_15365, OG_17439, OG_17531, OG_18027
GO:0045184	0.0769159510773	0.300338475635	BP	e	establishment of protein localization	4/26	108/1709	4	4	OG_13610, OG_14323, OG_17600, OG_18579
GO:0008104	0.0923392707945	0.3132488561	BP	e	protein localization	5/26	162/1709	3	5	OG_13610, OG_14323, OG_15673, OG_17600, OG_18579
GO:0097659	0.100174924947	0.3132488561	BP	e	nucleic acid-templated transcription	5/26	166/1709	8	5	OG_12593, OG_13737, OG_14656, OG_17439, OG_18027
GO:1901360	0.101050592414	0.3132488561	BP	e	organic cyclic compound metabolic process	10/26	407/1709	3	10	OG_12593, OG_13587, OG_13737, OG_14656, OG_14753, OG_15104, OG_17126, OG_17439, OG_17531, OG_18027
GO:0050790	0.0969631403498	0.3132488561	BP	e	regulation of catalytic activity	4/26	117/1709	3	4	OG_13842, OG_13860, OG_15365, OG_15673
GO:0044271	0.0841975566717	0.3132488561	BP	e	cellular nitrogen compound biosynthetic process	7/26	245/1709	4	7	OG_12593, OG_13587, OG_13737, OG_14656, OG_14753, OG_17439, OG_18027
GO:0006351	0.0981837094259	0.3132488561	BP	e	transcription, DNA-templated	5/26	165/1709	9	5	OG_12593, OG_13737, OG_14656, OG_17439, OG_18027
GO:0034641	0.103142916033	0.3132488561	BP	e	cellular nitrogen compound metabolic process	10/26	411/1709	3	10	OG_12593, OG_13587, OG_13737, OG_14656, OG_14753, OG_15104, OG_17126, OG_17439, OG_17531, OG_18027
GO:0032268	0.100174924947	0.3132488561	BP	e	regulation of cellular protein metabolic process	5/26	166/1709	6	5	OG_13842, OG_13860, OG_13983, OG_14656, OG_15365
GO:0071702	0.0962139753723	0.3132488561	BP	e	organic substance transport	5/26	164/1709	4	5	OG_13610, OG_15974, OG_16131, OG_17600, OG_18579
GO:0010468	0.0921854691764	0.3132488561	BP	e	regulation of gene expression	9/26	359/1709	5	9	OG_12593, OG_13737, OG_13983, OG_14656, OG_15104, OG_17126, OG_17439, OG_17600, OG_18027
GO:0001932	0.102450149914	0.3132488561	BP	e	regulation of protein phosphorylation	3/26	75/1709	8	3	OG_13860, OG_13983, OG_14656
GO:0048522	0.0983949918099	0.3132488561	BP	e	positive regulation of cellular process	10/26	401/1709	4	10	OG_11687, OG_12593, OG_13860, OG_13983, OG_14323, OG_14656, OG_15365, OG_17439, OG_17531, OG_18027
GO:0031401	0.105606487772	0.314899345357	BP	e	positive regulation of protein modification process	3/26	76/1709	8	3	OG_13860, OG_13983, OG_14656
GO:0071840	0.129780925524	0.335040693184	BP	e	cellular component organization or biogenesis	11/26	491/1709	1	11	OG_11687, OG_13587, OG_13737, OG_13842, OG_13983, OG_14656, OG_15365, OG_17439, OG_17531, OG_17600, OG_18027
GO:0042325	0.128773329563	0.335040693184	BP	e	regulation of phosphorylation	3/26	83/1709	7	3	OG_13860, OG_13983, OG_14656
GO:0019438	0.136486287888	0.335040693184	BP	e	aromatic compound biosynthetic process	6/26	222/1709	4	6	OG_12593, OG_13737, OG_14656, OG_14753, OG_17439, OG_18027
GO:0065008	0.138179112721	0.335040693184	BP	e	regulation of biological quality	8/26	331/1709	2	8	OG_11687, OG_13610, OG_13983, OG_14656, OG_15104, OG_17126, OG_17439, OG_18027
GO:0018130	0.140761599078	0.335040693184	BP	e	heterocycle biosynthetic process	6/26	225/1709	4	6	OG_12593, OG_13737, OG_14656, OG_14753, OG_17439, OG_18027
GO:0051130	0.149999146091	0.335040693184	BP	e	positive regulation of cellular component organization	3/26	89/1709	5	3	OG_11687, OG_13983, OG_15365
GO:0006810	0.11713757014	0.335040693184	BP	e	transport	8/26	308/1709	3	8	OG_11687, OG_13610, OG_14323, OG_15673, OG_15974, OG_16131, OG_17600, OG_18579
GO:0009889	0.140492220888	0.335040693184	BP	e	regulation of biosynthetic process	8/26	333/1709	4	8	OG_12593, OG_13737, OG_13983, OG_14656, OG_17126, OG_17439, OG_17600, OG_18027
GO:0034654	0.123878596002	0.335040693184	BP	e	nucleobase-containing compound biosynthetic process	6/26	212/1709	5	6	OG_12593, OG_13737, OG_14656, OG_14753, OG_17439, OG_18027
GO:0051234	0.131692204912	0.335040693184	BP	e	establishment of localization	8/26	325/1709	2	8	OG_11687, OG_13610, OG_14323, OG_15673, OG_15974, OG_16131, OG_17600, OG_18579
GO:0050896	0.150424487926	0.335040693184	BP	e	response to stimulus	9/26	379/1709	1	9	OG_13842, OG_13983, OG_14323, OG_14656, OG_15104, OG_15673, OG_17439, OG_17531, OG_18027
GO:0010556	0.127751597946	0.335040693184	BP	e	regulation of macromolecule biosynthetic process	8/26	321/1709	5	8	OG_12593, OG_13737, OG_13983, OG_14656, OG_17126, OG_17439, OG_17600, OG_18027
GO:0023056	0.152382614343	0.335040693184	BP	e	positive regulation of signaling	4/26	138/1709	4	4	OG_13983, OG_14323, OG_14656, OG_17439
GO:0034645	0.131134887674	0.335040693184	BP	e	cellular macromolecule biosynthetic process	6/26	218/1709	5	6	OG_12593, OG_13587, OG_13737, OG_14656, OG_17439, OG_18027
GO:0010647	0.149493741993	0.335040693184	BP	e	positive regulation of cell communication	4/26	137/1709	5	4	OG_13983, OG_14323, OG_14656, OG_17439
GO:0031326	0.135940936099	0.335040693184	BP	e	regulation of cellular biosynthetic process	8/26	329/1709	5	8	OG_12593, OG_13737, OG_13983, OG_14656, OG_17126, OG_17439, OG_17600, OG_18027
GO:2000112	0.124124556614	0.335040693184	BP	e	regulation of cellular macromolecule biosynthetic process	8/26	317/1709	6	8	OG_12593, OG_13737, OG_13983, OG_14656, OG_17126, OG_17439, OG_17600, OG_18027
GO:0071705	0.149493741993	0.335040693184	BP	e	nitrogen compound transport	4/26	137/1709	4	4	OG_13610, OG_15974, OG_17600, OG_18579
GO:0009059	0.1532198292	0.335040693184	BP	e	macromolecule biosynthetic process	6/26	233/1709	4	6	OG_12593, OG_13587, OG_13737, OG_14656, OG_17439, OG_18027
GO:0051726	0.14279378664	0.335040693184	BP	e	regulation of cell cycle	3/26	87/1709	4	3	OG_13860, OG_17439, OG_17531
GO:0009653	0.158274132953	0.341538918478	BP	e	anatomical structure morphogenesis	6/26	236/1709	2	6	OG_11687, OG_13737, OG_13842, OG_17439, OG_17600, OG_18027
GO:0051173	0.16175555237	0.344518319334	BP	e	positive regulation of nitrogen compound metabolic process	6/26	238/1709	5	6	OG_12593, OG_13860, OG_13983, OG_14656, OG_17531, OG_18027
GO:0019220	0.172327450728	0.346053848625	BP	e	regulation of phosphate metabolic process	3/26	95/1709	6	3	OG_13860, OG_13983, OG_14656
GO:0033036	0.174638952414	0.346053848625	BP	e	macromolecule localization	5/26	172/1709	2	5	OG_13610, OG_14323, OG_15673, OG_17600, OG_18579
GO:2001141	0.181467262084	0.346053848625	BP	e	regulation of RNA biosynthetic process	7/26	286/1709	7	7	OG_12593, OG_13737, OG_13983, OG_14656, OG_17439, OG_17600, OG_18027
GO:0006355	0.179415839904	0.346053848625	BP	e	regulation of transcription, DNA-templated	7/26	284/1709	9	7	OG_12593, OG_13737, OG_13983, OG_14656, OG_17439, OG_17600, OG_18027
GO:0032774	0.173588125176	0.346053848625	BP	e	RNA biosynthetic process	5/26	171/1709	7	5	OG_12593, OG_13737, OG_14656, OG_17439, OG_18027
GO:0051246	0.178018884522	0.346053848625	BP	e	regulation of protein metabolic process	5/26	175/1709	5	5	OG_13842, OG_13860, OG_13983, OG_14656, OG_15365
GO:1903506	0.180429161545	0.346053848625	BP	e	regulation of nucleic acid-templated transcription	7/26	285/1709	8	7	OG_12593, OG_13737, OG_13983, OG_14656, OG_17439, OG_17600, OG_18027
GO:0051094	0.164771688589	0.346053848625	BP	e	positive regulation of developmental process	3/26	93/1709	4	3	OG_11687, OG_13983, OG_17439
GO:0051174	0.172327450728	0.346053848625	BP	e	regulation of phosphorus metabolic process	3/26	95/1709	5	3	OG_13860, OG_13983, OG_14656
GO:0015833	0.187749424778	0.349896655268	BP	e	peptide transport	3/26	99/1709	6	3	OG_13610, OG_17600, OG_18579
GO:0015031	0.187749424778	0.349896655268	BP	e	protein transport	3/26	99/1709	7	3	OG_13610, OG_17600, OG_18579
GO:0051704	0.199565193666	0.367738109677	BP	e	multi-organism process	3/26	102/1709	1	3	OG_13737, OG_17439, OG_18027
GO:0051240	0.207550517342	0.369128284661	BP	e	positive regulation of multicellular organismal process	3/26	104/1709	4	3	OG_11687, OG_13983, OG_17439
GO:0042886	0.211573529013	0.369128284661	BP	e	amide transport	3/26	105/1709	5	3	OG_13610, OG_17600, OG_18579
GO:0032270	0.207550517342	0.369128284661	BP	e	positive regulation of cellular protein metabolic process	3/26	104/1709	7	3	OG_13860, OG_13983, OG_14656
GO:0009628	0.207550517342	0.369128284661	BP	e	response to abiotic stimulus	3/26	104/1709	2	3	OG_13842, OG_15104, OG_17531
GO:0048523	0.209342213961	0.369128284661	BP	e	negative regulation of cellular process	8/26	337/1709	4	8	OG_13842, OG_13860, OG_13983, OG_14656, OG_15365, OG_17126, OG_17439, OG_17531
GO:0006508	0.215615850713	0.372221047547	BP	e	proteolysis	3/26	106/1709	5	3	OG_14323, OG_15365, OG_17531
GO:0051247	0.219676794364	0.375281190372	BP	e	positive regulation of protein metabolic process	3/26	107/1709	6	3	OG_13860, OG_13983, OG_14656
GO:0046907	0.227851813957	0.385233994731	BP	e	intracellular transport	3/26	109/1709	4	3	OG_13610, OG_15673, OG_17600
GO:0007610	0.23196453306	0.388185545121	BP	e	behavior	3/26	110/1709	1	3	OG_13842, OG_15104, OG_17439
GO:1901362	0.246492642583	0.404247933836	BP	e	organic cyclic compound biosynthetic process	6/26	239/1709	4	6	OG_12593, OG_13737, OG_14656, OG_14753, OG_17439, OG_18027
GO:0031399	0.244395476278	0.404247933836	BP	e	regulation of protein modification process	3/26	113/1709	7	3	OG_13860, OG_13983, OG_14656
GO:0010604	0.251336686097	0.407117858857	BP	e	positive regulation of macromolecule metabolic process	6/26	245/1709	5	6	OG_12593, OG_13860, OG_13983, OG_14656, OG_17531, OG_18027
GO:0031325	0.253207448801	0.407117858857	BP	e	positive regulation of cellular metabolic process	6/26	247/1709	5	6	OG_12593, OG_13860, OG_13983, OG_14656, OG_17531, OG_18027
GO:0009893	0.271050407015	0.423594004361	BP	e	positive regulation of metabolic process	6/26	262/1709	4	6	OG_12593, OG_13860, OG_13983, OG_14656, OG_17531, OG_18027
GO:0016043	0.269928807093	0.423594004361	BP	e	cellular component organization	10/26	478/1709	2	10	OG_11687, OG_13737, OG_13842, OG_13983, OG_14656, OG_15365, OG_17439, OG_17531, OG_17600, OG_18027
GO:0051172	0.271203478402	0.423594004361	BP	e	negative regulation of nitrogen compound metabolic process	4/26	145/1709	5	4	OG_13842, OG_15365, OG_17126, OG_17439
GO:0048584	0.277213661452	0.428896608284	BP	e	positive regulation of response to stimulus	4/26	149/1709	4	4	OG_13983, OG_14323, OG_14656, OG_17531
GO:0045935	0.282186817666	0.432510636423	BP	e	positive regulation of nucleobase-containing compound metabolic process	4/26	152/1709	6	4	OG_12593, OG_13983, OG_17531, OG_18027
GO:0031324	0.295225042918	0.448304694801	BP	e	negative regulation of cellular metabolic process	4/26	159/1709	5	4	OG_13842, OG_15365, OG_17126, OG_17439
GO:0051252	0.298315659493	0.448841909696	BP	e	regulation of RNA metabolic process	7/26	307/1709	6	7	OG_12593, OG_13737, OG_13983, OG_14656, OG_17439, OG_17600, OG_18027
GO:0065009	0.301381836216	0.449332919449	BP	e	regulation of molecular function	4/26	162/1709	2	4	OG_13842, OG_13860, OG_15365, OG_15673
GO:0010605	0.32897659333	0.466314926206	BP	e	negative regulation of macromolecule metabolic process	4/26	174/1709	5	4	OG_13842, OG_15365, OG_17126, OG_17439
GO:0048513	0.326512440645	0.466314926206	BP	e	animal organ development	4/26	173/1709	3	4	OG_14656, OG_15365, OG_17439, OG_18027
