GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0090087	0.0106902352012	0.263692468296	BP	e	regulation of peptide transport	4/38	51/2193	5	4	OG_11741, OG_13896, OG_15578, OG_17637
GO:0033157	0.00276169984637	0.263692468296	BP	e	regulation of intracellular protein transport	3/38	17/2193	7	3	OG_11741, OG_15578, OG_17637
GO:0032386	0.0058298483381	0.263692468296	BP	e	regulation of intracellular transport	4/38	43/2193	5	4	OG_11741, OG_13559, OG_15578, OG_17637
GO:0051223	0.00742711312669	0.263692468296	BP	e	regulation of protein transport	4/38	46/2193	6	4	OG_11741, OG_13896, OG_15578, OG_17637
GO:0070201	0.00929108111109	0.263692468296	BP	e	regulation of establishment of protein localization	4/38	49/2193	5	4	OG_11741, OG_13896, OG_15578, OG_17637
GO:0045087	0.00948227680686	0.263692468296	BP	e	innate immune response	3/38	26/2193	4	3	OG_12074, OG_13896, OG_14055
GO:0048666	0.0154455733322	0.326563550452	BP	e	neuron development	3/38	31/2193	4	3	OG_11741, OG_13896, OG_15638
GO:0048878	0.0221620613965	0.364442787409	BP	e	chemical homeostasis	5/38	95/2193	4	5	OG_15382, OG_17178, OG_17354, OG_17637, OG_18781
GO:1903827	0.0198417913089	0.364442787409	BP	e	regulation of cellular protein localization	3/38	34/2193	5	3	OG_11741, OG_15578, OG_17637
GO:0006955	0.0485986773363	0.513757446127	BP	e	immune response	3/38	48/2193	2	3	OG_12074, OG_13896, OG_14055
GO:0032880	0.0403085715777	0.513757446127	BP	e	regulation of protein localization	4/38	76/2193	4	4	OG_11741, OG_13896, OG_15578, OG_17637
GO:0006873	0.0461012012136	0.513757446127	BP	e	cellular ion homeostasis	3/38	47/2193	6	3	OG_17178, OG_17354, OG_18781
GO:0030003	0.043670354996	0.513757446127	BP	e	cellular cation homeostasis	3/38	46/2193	7	3	OG_17178, OG_17354, OG_18781
GO:0060341	0.0437269030269	0.513757446127	BP	e	regulation of cellular localization	4/38	78/2193	4	4	OG_11741, OG_13559, OG_15578, OG_17637
GO:0098771	0.0592429727393	0.534020327528	BP	e	inorganic ion homeostasis	3/38	52/2193	6	3	OG_17178, OG_17354, OG_18781
GO:1901564	0.0643740467818	0.534020327528	BP	p	organonitrogen compound metabolic process	5/38	580/2193	3	5	OG_12074, OG_13355, OG_15382, OG_15769, OG_17637
GO:0055080	0.0592429727393	0.534020327528	BP	e	cation homeostasis	3/38	52/2193	6	3	OG_17178, OG_17354, OG_18781
GO:0055082	0.0649484182129	0.534020327528	BP	e	cellular chemical homeostasis	3/38	54/2193	5	3	OG_17178, OG_17354, OG_18781
GO:0051707	0.077095782091	0.570508787473	BP	e	response to other organism	3/38	58/2193	4	3	OG_12074, OG_14055, OG_17981
GO:0050801	0.077095782091	0.570508787473	BP	e	ion homeostasis	3/38	58/2193	5	3	OG_17178, OG_17354, OG_18781
GO:0006952	0.0935907217598	0.602235948715	BP	e	defense response	3/38	63/2193	3	3	OG_12074, OG_13896, OG_14055
GO:0010556	0.0862468304675	0.602235948715	BP	e	regulation of macromolecule biosynthetic process	11/38	393/2193	5	11	OG_11338, OG_12074, OG_13220, OG_13896, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_18556
GO:0031326	0.0933049271635	0.602235948715	BP	e	regulation of cellular biosynthetic process	11/38	403/2193	5	11	OG_11338, OG_12074, OG_13220, OG_13896, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_18556
GO:0042592	0.104039152945	0.641574776494	BP	e	homeostatic process	5/38	146/2193	3	5	OG_15382, OG_17178, OG_17354, OG_17637, OG_18781
GO:0051049	0.178480414572	0.682163489206	BP	e	regulation of transport	5/38	149/2193	4	5	OG_11741, OG_13559, OG_13896, OG_15578, OG_17637
GO:0043207	0.118920326369	0.682163489206	BP	e	response to external biotic stimulus	3/38	70/2193	3	3	OG_12074, OG_14055, OG_17981
GO:0019725	0.158997397564	0.682163489206	BP	e	cellular homeostasis	3/38	80/2193	4	3	OG_17178, OG_17354, OG_18781
GO:2001141	0.178708388054	0.682163489206	BP	e	regulation of RNA biosynthetic process	9/38	346/2193	7	9	OG_11338, OG_12074, OG_13220, OG_14832, OG_15382, OG_15578, OG_15716, OG_16460, OG_18556
GO:0009607	0.126594588066	0.682163489206	BP	e	response to biotic stimulus	3/38	72/2193	2	3	OG_12074, OG_14055, OG_17981
GO:0009894	0.184851582733	0.682163489206	BP	e	regulation of catabolic process	3/38	86/2193	4	3	OG_15382, OG_15769, OG_17637
GO:0034660	0.163222054293	0.682163489206	BP	e	ncRNA metabolic process	3/38	81/2193	7	3	OG_15769, OG_17257, OG_17573
GO:0009889	0.137739938345	0.682163489206	BP	e	regulation of biosynthetic process	11/38	410/2193	4	11	OG_11338, OG_12074, OG_13220, OG_13896, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_18556
GO:0008152	0.189836008945	0.682163489206	BP	p	metabolic process	15/38	1121/2193	1	15	OG_11338, OG_12074, OG_13220, OG_13355, OG_14832, OG_15382, OG_15578, OG_15769, OG_16147, OG_16460, OG_16599, OG_17257, OG_17573, OG_17637, OG_18556
GO:0016071	0.167481881045	0.682163489206	BP	e	mRNA metabolic process	3/38	82/2193	7	3	OG_13220, OG_15578, OG_17257
GO:0010558	0.157479676518	0.682163489206	BP	e	negative regulation of macromolecule biosynthetic process	4/38	122/2193	6	4	OG_13220, OG_15382, OG_15716, OG_15769
GO:0031329	0.138439099871	0.682163489206	BP	e	regulation of cellular catabolic process	3/38	75/2193	5	3	OG_15382, OG_15769, OG_17637
GO:0032879	0.184026879074	0.682163489206	BP	e	regulation of localization	7/38	243/2193	3	7	OG_11741, OG_13559, OG_13896, OG_15382, OG_15578, OG_17354, OG_17637
GO:0032269	0.198196148891	0.682163489206	BP	e	negative regulation of cellular protein metabolic process	3/38	89/2193	7	3	OG_13220, OG_15382, OG_15769
GO:0051252	0.129175573274	0.682163489206	BP	e	regulation of RNA metabolic process	10/38	374/2193	6	10	OG_11338, OG_12074, OG_13220, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_18556
GO:2000112	0.195550477034	0.682163489206	BP	e	regulation of cellular macromolecule biosynthetic process	10/38	390/2193	6	10	OG_11338, OG_12074, OG_13220, OG_13896, OG_14832, OG_15578, OG_15716, OG_15769, OG_16460, OG_18556
GO:0006468	0.167481881045	0.682163489206	BP	e	protein phosphorylation	3/38	82/2193	7	3	OG_12074, OG_15382, OG_17637
GO:0019219	0.194332291687	0.682163489206	BP	e	regulation of nucleobase-containing compound metabolic process	10/38	388/2193	5	10	OG_11338, OG_12074, OG_13220, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_18556
GO:1903506	0.178708388054	0.682163489206	BP	e	regulation of nucleic acid-templated transcription	9/38	346/2193	8	9	OG_11338, OG_12074, OG_13220, OG_14832, OG_15382, OG_15578, OG_15716, OG_16460, OG_18556
GO:0051248	0.211781307154	0.712355305882	BP	e	negative regulation of protein metabolic process	3/38	92/2193	6	3	OG_13220, OG_15382, OG_15769
GO:0048583	0.259420828436	0.729671233871	BP	p	regulation of response to stimulus	3/38	329/2193	3	3	OG_13896, OG_15382, OG_15638
GO:0051704	0.253706043349	0.729671233871	BP	e	multi-organism process	3/38	101/2193	1	3	OG_12074, OG_14055, OG_17981
GO:0019538	0.314320700022	0.729671233871	BP	p	protein metabolic process	5/38	456/2193	4	5	OG_12074, OG_13355, OG_15382, OG_15769, OG_17637
GO:0002376	0.253706043349	0.729671233871	BP	e	immune system process	3/38	101/2193	1	3	OG_12074, OG_13896, OG_14055
GO:0009892	0.289147912083	0.729671233871	BP	e	negative regulation of metabolic process	6/38	235/2193	4	6	OG_13220, OG_15382, OG_15716, OG_15769, OG_17257, OG_17637
GO:0009890	0.27603071249	0.729671233871	BP	e	negative regulation of biosynthetic process	4/38	127/2193	5	4	OG_13220, OG_15382, OG_15716, OG_15769
GO:0010629	0.31542055806	0.729671233871	BP	e	negative regulation of gene expression	4/38	146/2193	6	4	OG_13220, OG_15716, OG_15769, OG_17257
GO:0044265	0.253706043349	0.729671233871	BP	e	cellular macromolecule catabolic process	3/38	101/2193	5	3	OG_13220, OG_15769, OG_17257
GO:0016070	0.267895273076	0.729671233871	BP	e	RNA metabolic process	9/38	364/2193	6	9	OG_11338, OG_13220, OG_14832, OG_15578, OG_15769, OG_16460, OG_17257, OG_17573, OG_18556
GO:0032774	0.270977171203	0.729671233871	BP	e	RNA biosynthetic process	6/38	223/2193	7	6	OG_11338, OG_13220, OG_14832, OG_15578, OG_16460, OG_18556
GO:0009653	0.305720417097	0.729671233871	BP	e	anatomical structure morphogenesis	6/38	244/2193	2	6	OG_11338, OG_11741, OG_13896, OG_14055, OG_15183, OG_17637
GO:0051246	0.273667572241	0.729671233871	BP	e	regulation of protein metabolic process	6/38	225/2193	5	6	OG_12074, OG_13220, OG_13896, OG_15382, OG_15578, OG_15769
GO:0032502	0.282950576726	0.729671233871	BP	e	developmental process	14/38	636/2193	1	14	OG_11338, OG_11741, OG_12074, OG_12126, OG_13567, OG_13896, OG_14055, OG_14832, OG_15183, OG_15382, OG_15638, OG_15769, OG_17637, OG_17981
GO:0032501	0.315533506539	0.729671233871	BP	p	multicellular organismal process	5/38	446/2193	1	5	OG_12074, OG_14832, OG_15769, OG_17637, OG_17981
GO:0055085	0.292463484959	0.729671233871	BP	e	transmembrane transport	4/38	136/2193	4	4	OG_13961, OG_15716, OG_17178, OG_17354
GO:0031327	0.273004123181	0.729671233871	BP	e	negative regulation of cellular biosynthetic process	4/38	125/2193	6	4	OG_13220, OG_15382, OG_15716, OG_15769
GO:0010468	0.304297463289	0.729671233871	BP	e	regulation of gene expression	10/38	432/2193	5	10	OG_11338, OG_12074, OG_13220, OG_14832, OG_15578, OG_15716, OG_15769, OG_16460, OG_17257, OG_18556
GO:0048856	0.231359318969	0.729671233871	BP	e	anatomical structure development	11/38	463/2193	2	11	OG_11741, OG_12074, OG_12126, OG_13567, OG_13896, OG_14055, OG_14832, OG_15638, OG_15769, OG_17637, OG_17981
GO:0006396	0.277633600279	0.729671233871	BP	e	RNA processing	4/38	128/2193	7	4	OG_15578, OG_15769, OG_17257, OG_17573
GO:0048522	0.237553185958	0.729671233871	BP	p	positive regulation of cellular process	5/38	473/2193	4	5	OG_13567, OG_15382, OG_15638, OG_15769, OG_18556
GO:0065007	0.328709524084	0.731376702497	BP	e	biological regulation	23/38	1144/2193	1	23	OG_11338, OG_11741, OG_12074, OG_13220, OG_13559, OG_13567, OG_13896, OG_14449, OG_14832, OG_15382, OG_15578, OG_15638, OG_15716, OG_15769, OG_16460, OG_16599, OG_17178, OG_17257, OG_17354, OG_17573, OG_17637, OG_18556, OG_18781
GO:0071704	0.331096209914	0.731376702497	BP	p	organic substance metabolic process	15/38	1042/2193	2	15	OG_11338, OG_12074, OG_13220, OG_13355, OG_14832, OG_15382, OG_15578, OG_15769, OG_16147, OG_16460, OG_16599, OG_17257, OG_17573, OG_17637, OG_18556
GO:0044238	0.328927789548	0.731376702497	BP	p	primary metabolic process	14/38	986/2193	2	14	OG_11338, OG_12074, OG_13220, OG_13355, OG_14832, OG_15382, OG_15578, OG_15769, OG_16147, OG_16460, OG_17257, OG_17573, OG_17637, OG_18556
GO:0009605	0.336701131757	0.732820110295	BP	e	response to external stimulus	4/38	154/2193	2	4	OG_12074, OG_14055, OG_17637, OG_17981
GO:0080090	0.349741004061	0.75016911016	BP	e	regulation of primary metabolic process	12/38	552/2193	4	12	OG_11338, OG_12074, OG_13220, OG_13896, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_17637, OG_18556
GO:0071840	0.366996998117	0.76588585816	BP	p	cellular component organization or biogenesis	8/38	628/2193	1	8	OG_11741, OG_14055, OG_15183, OG_15382, OG_15716, OG_17257, OG_17637, OG_18504
GO:0006355	0.367418215739	0.76588585816	BP	e	regulation of transcription, DNA-templated	8/38	345/2193	9	8	OG_11338, OG_12074, OG_13220, OG_14832, OG_15578, OG_15716, OG_16460, OG_18556
GO:0010605	0.419906625936	0.776827257982	BP	e	negative regulation of macromolecule metabolic process	5/38	218/2193	5	5	OG_13220, OG_15382, OG_15716, OG_15769, OG_17257
GO:0044248	0.391609188791	0.776827257982	BP	e	cellular catabolic process	5/38	203/2193	3	5	OG_13220, OG_15769, OG_16147, OG_16599, OG_17257
GO:0050789	0.416128905973	0.776827257982	BP	e	regulation of biological process	21/38	1059/2193	2	21	OG_11338, OG_11741, OG_12074, OG_13220, OG_13559, OG_13567, OG_13896, OG_14449, OG_14832, OG_15382, OG_15578, OG_15638, OG_15716, OG_15769, OG_16460, OG_17257, OG_17354, OG_17573, OG_17637, OG_18556, OG_18781
GO:0097659	0.398473777725	0.776827257982	BP	e	nucleic acid-templated transcription	5/38	207/2193	8	5	OG_11338, OG_13220, OG_14832, OG_15578, OG_16460
GO:1901575	0.391609188791	0.776827257982	BP	e	organic substance catabolic process	5/38	203/2193	3	5	OG_13220, OG_15769, OG_16147, OG_16599, OG_17257
GO:0006351	0.398473777725	0.776827257982	BP	e	transcription, DNA-templated	5/38	207/2193	9	5	OG_11338, OG_13220, OG_14832, OG_15578, OG_16460
GO:0032268	0.407777410735	0.776827257982	BP	e	regulation of cellular protein metabolic process	5/38	212/2193	6	5	OG_13220, OG_13896, OG_15382, OG_15578, OG_15769
GO:0031324	0.40396364782	0.776827257982	BP	e	negative regulation of cellular metabolic process	5/38	210/2193	5	5	OG_13220, OG_15382, OG_15716, OG_15769, OG_17637
GO:0044237	0.413360218512	0.776827257982	BP	p	cellular metabolic process	15/38	1031/2193	2	15	OG_11338, OG_12074, OG_13220, OG_13355, OG_14832, OG_15382, OG_15578, OG_15769, OG_16147, OG_16460, OG_16599, OG_17257, OG_17573, OG_17637, OG_18556
GO:0048646	0.429344549695	0.784481399443	BP	e	anatomical structure formation involved in morphogenesis	3/38	107/2193	2	3	OG_11741, OG_15382, OG_15769
GO:0019222	0.466011030966	0.787533887058	BP	e	regulation of metabolic process	13/38	616/2193	3	13	OG_11338, OG_12074, OG_13220, OG_13896, OG_14832, OG_15382, OG_15578, OG_15716, OG_15769, OG_16460, OG_17257, OG_17637, OG_18556
