GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0034765	0.00429248109006	0.748319166259	BP	e	regulation of ion transmembrane transport	4/54	32/2528	6	4	OG_13169, OG_15804, OG_16561, OG_16959
GO:0034762	0.00728533713651	0.748319166259	BP	e	regulation of transmembrane transport	4/54	37/2528	5	4	OG_13169, OG_15804, OG_16561, OG_16959
GO:0006605	0.0187610544412	0.748319166259	BP	e	protein targeting	3/54	27/2528	9	3	OG_15918, OG_16058, OG_16561
GO:0072594	0.019353081886	0.748319166259	BP	e	establishment of protein localization to organelle	4/54	49/2528	6	4	OG_14746, OG_15918, OG_16058, OG_16561
GO:1904062	0.0135798051497	0.748319166259	BP	e	regulation of cation transmembrane transport	3/54	24/2528	7	3	OG_15804, OG_16561, OG_16959
GO:0043269	0.0114118532034	0.748319166259	BP	e	regulation of ion transport	4/54	42/2528	5	4	OG_13169, OG_15804, OG_16561, OG_16959
GO:0008104	0.83002548861	1.0	BP	e	protein localization	7/54	298/2528	3	7	OG_14746, OG_15918, OG_16058, OG_16484, OG_16561, OG_17394, OG_18659
GO:0019220	0.784508479428	1.0	BP	e	regulation of phosphate metabolic process	4/54	173/2528	6	4	OG_12643, OG_15779, OG_15918, OG_15986
GO:0080090	1.0	1.0	BP	e	regulation of primary metabolic process	14/54	655/2528	4	14	OG_11236, OG_12041, OG_12457, OG_12643, OG_13805, OG_14090, OG_14746, OG_15779, OG_15918, OG_15986, OG_16913, OG_18667, OG_18685, OG_18787
GO:0019222	0.762089033264	1.0	BP	e	regulation of metabolic process	17/54	736/2528	3	17	OG_11236, OG_12041, OG_12457, OG_12643, OG_13169, OG_13805, OG_14090, OG_14746, OG_15779, OG_15918, OG_15986, OG_16058, OG_16561, OG_16913, OG_18667, OG_18685, OG_18787
GO:0051049	0.392869203702	1.0	BP	e	regulation of transport	5/54	163/2528	4	5	OG_13169, OG_15804, OG_15918, OG_16561, OG_16959
GO:0048585	1.0	1.0	BP	p	negative regulation of response to stimulus	3/54	171/2528	4	3	OG_12041, OG_15779, OG_15918
GO:0048584	1.0	1.0	BP	p	positive regulation of response to stimulus	4/54	203/2528	4	4	OG_12457, OG_13557, OG_15465, OG_15918
GO:0048583	1.0	1.0	BP	p	regulation of response to stimulus	8/54	393/2528	3	8	OG_12041, OG_12457, OG_13557, OG_15465, OG_15779, OG_15804, OG_15918, OG_18685
GO:0007163	0.0696431470674	1.0	BP	e	establishment or maintenance of cell polarity	3/54	45/2528	2	3	OG_13149, OG_13557, OG_14130
GO:0007165	1.0	1.0	BP	e	signal transduction	8/54	369/2528	4	8	OG_11236, OG_12041, OG_12199, OG_12457, OG_13557, OG_16706, OG_17394, OG_18685
GO:0007166	1.0	1.0	BP	p	cell surface receptor signaling pathway	3/54	162/2528	5	3	OG_11236, OG_12457, OG_13557
GO:0010556	1.0	1.0	BP	p	regulation of macromolecule biosynthetic process	9/54	436/2528	5	9	OG_11236, OG_12041, OG_12457, OG_14090, OG_14746, OG_16913, OG_18667, OG_18685, OG_18787
GO:1901362	0.699775565453	1.0	BP	e	organic cyclic compound biosynthetic process	9/54	378/2528	4	9	OG_12041, OG_12457, OG_12911, OG_12919, OG_14090, OG_16058, OG_16913, OG_18667, OG_18685
GO:0051716	0.674001973809	1.0	BP	p	cellular response to stimulus	5/54	299/2528	2	5	OG_11236, OG_12041, OG_12214, OG_15986, OG_18787
GO:0010605	0.368113105373	1.0	BP	e	negative regulation of macromolecule metabolic process	8/54	270/2528	5	8	OG_11236, OG_12041, OG_12457, OG_15779, OG_15918, OG_18667, OG_18685, OG_18787
GO:0010604	0.236266816206	1.0	BP	e	positive regulation of macromolecule metabolic process	11/54	364/2528	5	11	OG_12041, OG_12643, OG_13805, OG_15779, OG_15918, OG_15986, OG_16058, OG_16913, OG_18667, OG_18685, OG_18787
