GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009611	0.0247809655506	0.569614251734	BP	e	response to wounding	3/66	23/2361	3	3	OG_13842, OG_14929, OG_15350
GO:0008406	0.00746517789078	0.569614251734	BP	e	gonad development	3/66	15/2361	4	3	OG_13814, OG_15827, OG_15943
GO:0014070	0.0280975639869	0.569614251734	BP	e	response to organic cyclic compound	4/66	42/2361	4	4	OG_13814, OG_15629, OG_15943, OG_19227
GO:0009893	0.0132204187105	0.569614251734	BP	p	positive regulation of metabolic process	3/66	345/2361	4	3	OG_15350, OG_15629, OG_18456
GO:0006338	0.0277661454552	0.569614251734	BP	e	chromatin remodeling	3/66	24/2361	4	3	OG_14619, OG_15943, OG_19227
GO:1901135	0.0154276797459	0.569614251734	BP	e	carbohydrate derivative metabolic process	8/66	118/2361	3	8	OG_11751, OG_12417, OG_13289, OG_13872, OG_13900, OG_15629, OG_15650, OG_17107
GO:0031325	0.0274700170284	0.569614251734	BP	p	positive regulation of cellular metabolic process	3/66	317/2361	5	3	OG_15350, OG_15629, OG_18456
GO:0072528	0.0107199897902	0.569614251734	BP	e	pyrimidine-containing compound biosynthetic process	3/66	17/2361	5	3	OG_13900, OG_14755, OG_17107
GO:0072527	0.0169297707468	0.569614251734	BP	e	pyrimidine-containing compound metabolic process	3/66	20/2361	4	3	OG_13900, OG_14755, OG_17107
GO:0007229	0.00293303869876	0.569614251734	BP	e	integrin-mediated signaling pathway	3/66	11/2361	6	3	OG_11751, OG_15618, OG_18745
GO:0009058	0.0228955487081	0.569614251734	BP	e	biosynthetic process	22/66	510/2361	2	22	OG_11834, OG_11876, OG_12417, OG_13289, OG_13322, OG_13747, OG_13890, OG_13900, OG_14485, OG_14498, OG_14619, OG_14755, OG_14929, OG_15340, OG_15650, OG_15943, OG_16868, OG_17107, OG_18148, OG_18180, OG_18456, OG_19227
GO:0034404	0.0342863418306	0.58814263294	BP	e	nucleobase-containing small molecule biosynthetic process	3/66	26/2361	6	3	OG_13289, OG_13900, OG_17107
GO:0048608	0.0342863418306	0.58814263294	BP	e	reproductive structure development	3/66	26/2361	3	3	OG_13814, OG_15827, OG_15943
GO:0007166	0.0495650722699	0.601005860174	BP	e	cell surface receptor signaling pathway	9/66	169/2361	5	9	OG_11751, OG_12781, OG_13814, OG_13872, OG_14373, OG_15350, OG_15618, OG_17917, OG_18745
GO:1901576	0.045140825968	0.601005860174	BP	e	organic substance biosynthetic process	21/66	499/2361	3	21	OG_11876, OG_12417, OG_13289, OG_13322, OG_13747, OG_13890, OG_13900, OG_14485, OG_14498, OG_14619, OG_14755, OG_14929, OG_15340, OG_15650, OG_15943, OG_16868, OG_17107, OG_18148, OG_18180, OG_18456, OG_19227
GO:0009719	0.0509376709977	0.601005860174	BP	e	response to endogenous stimulus	5/66	73/2361	2	5	OG_13814, OG_15629, OG_15943, OG_18130, OG_19227
GO:1901700	0.0512067773242	0.601005860174	BP	e	response to oxygen-containing compound	6/66	97/2361	3	6	OG_13814, OG_15629, OG_15943, OG_18130, OG_18148, OG_19227
GO:0043062	0.0378190937138	0.601005860174	BP	e	extracellular structure organization	3/66	27/2361	3	3	OG_11178, OG_11751, OG_11834
GO:0006790	0.0489975272183	0.601005860174	BP	e	sulfur compound metabolic process	4/66	50/2361	3	4	OG_13872, OG_14755, OG_15650, OG_15927
