GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0070646	0.000134781908531	0.0289781103342	BP	e	protein modification by small protein removal	4/41	13/1828	8	4	OG_15224, OG_15306, OG_16256, OG_16264
GO:0016579	0.0015262080936	0.091872816236	BP	e	protein deubiquitination	3/41	11/1828	9	3	OG_15224, OG_16256, OG_16264
GO:0001701	0.00200332855284	0.091872816236	BP	e	in utero embryonic development	3/41	12/1828	7	3	OG_15224, OG_15306, OG_17308
GO:0031098	0.00256389254612	0.091872816236	BP	e	stress-activated protein kinase signaling cascade	3/41	13/1828	6	3	OG_12301, OG_15224, OG_19325
GO:0043009	0.00200332855284	0.091872816236	BP	e	chordate embryonic development	3/41	12/1828	6	3	OG_15224, OG_15306, OG_17308
GO:0045944	0.00243320983958	0.091872816236	BP	e	positive regulation of transcription by RNA polymerase II	7/41	86/1828	11	7	OG_12863, OG_14771, OG_16264, OG_16329, OG_16918, OG_18643, OG_19325
GO:0023014	0.00791010050123	0.130995518833	BP	e	signal transduction by protein phosphorylation	3/41	19/1828	8	3	OG_12301, OG_15224, OG_19325
GO:0070647	0.0127098105016	0.130995518833	BP	e	protein modification by small protein conjugation or removal	5/41	64/1828	7	5	OG_15224, OG_15306, OG_16256, OG_16264, OG_17308
GO:0051051	0.0119979330782	0.130995518833	BP	e	negative regulation of transport	3/41	22/1828	5	3	OG_12301, OG_14259, OG_16918
GO:0010628	0.00494682402651	0.130995518833	BP	e	positive regulation of gene expression	9/41	151/1828	6	9	OG_12863, OG_14017, OG_14771, OG_15306, OG_16264, OG_16329, OG_16918, OG_18643, OG_19325
GO:0043412	0.0114415824727	0.130995518833	BP	e	macromolecule modification	12/41	263/1828	4	12	OG_12301, OG_14161, OG_15113, OG_15124, OG_15224, OG_15306, OG_15730, OG_16256, OG_16264, OG_16918, OG_17308, OG_19325
GO:0010557	0.0110300055841	0.130995518833	BP	e	positive regulation of macromolecule biosynthetic process	8/41	141/1828	6	8	OG_12863, OG_14771, OG_15306, OG_16264, OG_16329, OG_16918, OG_18643, OG_19325
