GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:2001234	0.00294370867769	0.402569289512	BP	e	negative regulation of apoptotic signaling pathway	3/43	13/1828	8	3	OG_13814, OG_14342, OG_16505
GO:2001233	0.0173949692999	0.402569289512	BP	e	regulation of apoptotic signaling pathway	3/43	24/1828	7	3	OG_13814, OG_14342, OG_16505
GO:0010035	0.00903755773336	0.402569289512	BP	e	response to inorganic substance	3/43	19/1828	3	3	OG_12417, OG_12438, OG_13914
GO:0035556	0.0144020476638	0.402569289512	BP	e	intracellular signal transduction	7/43	113/1828	5	7	OG_13622, OG_13814, OG_14343, OG_16472, OG_16560, OG_17238, OG_18899
GO:0046677	0.00548645063696	0.402569289512	BP	e	response to antibiotic	3/43	16/1828	3	3	OG_13814, OG_13914, OG_15748
GO:1901701	0.0168269889198	0.402569289512	BP	e	cellular response to oxygen-containing compound	4/43	43/1828	4	4	OG_12438, OG_13814, OG_13914, OG_15748
GO:0009636	0.0154711663475	0.402569289512	BP	e	response to toxic substance	3/43	23/1828	3	3	OG_13814, OG_13914, OG_15748
GO:0009968	0.0270334633759	0.486602340766	BP	e	negative regulation of signal transduction	6/43	100/1828	6	6	OG_13079, OG_13814, OG_14342, OG_16472, OG_16505, OG_17900
GO:1901700	0.0247037965986	0.486602340766	BP	e	response to oxygen-containing compound	5/43	72/1828	3	5	OG_12438, OG_13814, OG_13914, OG_15748, OG_15873
GO:0033043	0.0377037270206	0.509000314778	BP	e	regulation of organelle organization	6/43	108/1828	5	6	OG_12902, OG_13622, OG_14342, OG_16428, OG_17900, OG_17903
GO:0023057	0.0362401847786	0.509000314778	BP	e	negative regulation of signaling	6/43	107/1828	4	6	OG_13079, OG_13814, OG_14342, OG_16472, OG_16505, OG_17900
GO:0010648	0.0362401847786	0.509000314778	BP	e	negative regulation of cell communication	6/43	107/1828	5	6	OG_13079, OG_13814, OG_14342, OG_16472, OG_16505, OG_17900
GO:0042493	0.04704506372	0.586253870972	BP	e	response to drug	3/43	35/1828	3	3	OG_13814, OG_13914, OG_15748
GO:0051336	0.0524480285393	0.606898615955	BP	e	regulation of hydrolase activity	4/43	61/1828	4	4	OG_12902, OG_14342, OG_16472, OG_18899
GO:0080090	0.0783932336304	0.609562101095	BP	p	regulation of primary metabolic process	6/43	473/1828	4	6	OG_13622, OG_14342, OG_14591, OG_15577, OG_15873, OG_16505
GO:0048585	0.0602783299796	0.609562101095	BP	e	negative regulation of response to stimulus	6/43	121/1828	4	6	OG_13079, OG_13814, OG_14342, OG_16472, OG_16505, OG_17900
GO:0044093	0.0712342907911	0.609562101095	BP	e	positive regulation of molecular function	5/43	96/1828	3	5	OG_12902, OG_13622, OG_14342, OG_14343, OG_18899
GO:0010638	0.0914192854524	0.609562101095	BP	e	positive regulation of organelle organization	3/43	46/1828	6	3	OG_13622, OG_14342, OG_17903
GO:0007049	0.10088554008	0.609562101095	BP	e	cell cycle	3/43	48/1828	2	3	OG_12902, OG_13622, OG_16428
GO:0007186	0.0961032615541	0.609562101095	BP	e	G protein-coupled receptor signaling pathway	3/43	47/1828	5	3	OG_15748, OG_16472, OG_16560
GO:0051129	0.105763604351	0.609562101095	BP	e	negative regulation of cellular component organization	3/43	49/1828	5	3	OG_14342, OG_16428, OG_17903
GO:0043085	0.089404717986	0.609562101095	BP	e	positive regulation of catalytic activity	4/43	73/1828	4	4	OG_12902, OG_13622, OG_14342, OG_18899
GO:0010564	0.0823560729775	0.609562101095	BP	e	regulation of cell cycle process	3/43	44/1828	5	3	OG_13622, OG_13814, OG_17900
GO:0008284	0.0655142028304	0.609562101095	BP	e	positive regulation of cell population proliferation	3/43	40/1828	5	3	OG_13622, OG_13814, OG_16560
GO:0044255	0.089404717986	0.609562101095	BP	e	cellular lipid metabolic process	4/43	73/1828	4	4	OG_12030, OG_12417, OG_13921, OG_17903
GO:0051171	0.109119141554	0.609562101095	BP	p	regulation of nitrogen compound metabolic process	6/43	467/1828	4	6	OG_13622, OG_14342, OG_14591, OG_15577, OG_15873, OG_16505
GO:0042221	0.0821553230105	0.609562101095	BP	e	response to chemical	7/43	151/1828	2	7	OG_12417, OG_12438, OG_13814, OG_13914, OG_14343, OG_15748, OG_15873
GO:0051726	0.107766740316	0.609562101095	BP	e	regulation of cell cycle	4/43	78/1828	4	4	OG_13622, OG_13814, OG_16505, OG_17900
GO:0006259	0.0727485460229	0.609562101095	BP	e	DNA metabolic process	4/43	68/1828	6	4	OG_13622, OG_14001, OG_17238, OG_18270
GO:0060255	0.119662276535	0.646176293289	BP	p	regulation of macromolecule metabolic process	7/43	495/1828	4	7	OG_13622, OG_14342, OG_14343, OG_14591, OG_15577, OG_15873, OG_16505
GO:0051716	0.130951836703	0.671083373211	BP	e	cellular response to stimulus	8/43	200/1828	2	8	OG_12438, OG_13622, OG_13814, OG_13914, OG_14343, OG_15748, OG_15847, OG_17238
GO:0033554	0.136702168617	0.671083373211	BP	e	cellular response to stress	6/43	140/1828	3	6	OG_12438, OG_13622, OG_13814, OG_13914, OG_15847, OG_17238
GO:0032501	0.133221863834	0.671083373211	BP	p	multicellular organismal process	5/43	391/1828	1	5	OG_12311, OG_14343, OG_15748, OG_16505, OG_18270
GO:0009894	0.188635123129	0.703980778721	BP	e	regulation of catabolic process	3/43	64/1828	4	3	OG_13622, OG_17903, OG_18143
GO:0006810	0.161255232237	0.703980778721	BP	p	transport	4/43	337/1828	3	4	OG_12902, OG_14343, OG_16594, OG_17900
GO:0050790	0.186230861625	0.703980778721	BP	e	regulation of catalytic activity	5/43	114/1828	3	5	OG_12902, OG_13622, OG_14342, OG_16472, OG_18899
GO:0050896	0.180793244617	0.703980778721	BP	e	response to stimulus	12/43	365/1828	1	12	OG_12311, OG_12417, OG_12438, OG_13622, OG_13814, OG_13914, OG_14343, OG_15748, OG_15847, OG_15873, OG_17238, OG_18270
GO:0023051	0.191204655949	0.703980778721	BP	e	regulation of signaling	9/43	261/1828	3	9	OG_13079, OG_13814, OG_14342, OG_14343, OG_14591, OG_16472, OG_16505, OG_17900, OG_17903
GO:0010646	0.187874896151	0.703980778721	BP	e	regulation of cell communication	9/43	259/1828	4	9	OG_13079, OG_13814, OG_14342, OG_14343, OG_14591, OG_16472, OG_16505, OG_17900, OG_17903
GO:0006974	0.164993960285	0.703980778721	BP	e	cellular response to DNA damage stimulus	3/43	60/1828	4	3	OG_13622, OG_13814, OG_17238
GO:0032502	0.182142122114	0.703980778721	BP	p	developmental process	9/43	572/1828	1	9	OG_12311, OG_13622, OG_13814, OG_14342, OG_14343, OG_16428, OG_16505, OG_16560, OG_17900
GO:0034622	0.170815301582	0.703980778721	BP	e	cellular protein-containing complex assembly	3/43	61/1828	5	3	OG_13511, OG_14342, OG_14591
GO:0043066	0.153545331102	0.703980778721	BP	e	negative regulation of apoptotic process	3/43	58/1828	7	3	OG_13814, OG_14342, OG_16505
GO:0043069	0.159236402203	0.703980778721	BP	e	negative regulation of programmed cell death	3/43	59/1828	6	3	OG_13814, OG_14342, OG_16505
GO:0051179	0.198753141925	0.71551131093	BP	p	localization	6/43	416/1828	1	6	OG_12902, OG_14342, OG_14343, OG_16594, OG_17900, OG_18899
GO:0007165	0.206129051838	0.725932747777	BP	e	signal transduction	10/43	294/1828	4	10	OG_13622, OG_13814, OG_14343, OG_15748, OG_16472, OG_16560, OG_17238, OG_17900, OG_18270, OG_18899
GO:0009966	0.233484371326	0.728861511474	BP	e	regulation of signal transduction	8/43	224/1828	5	8	OG_13079, OG_13814, OG_14342, OG_14591, OG_16472, OG_16505, OG_17900, OG_17903
GO:0060548	0.231950948394	0.728861511474	BP	e	negative regulation of cell death	3/43	71/1828	5	3	OG_13814, OG_14342, OG_16505
GO:0034660	0.213125840999	0.728861511474	BP	e	ncRNA metabolic process	3/43	68/1828	7	3	OG_13079, OG_14342, OG_14591
GO:0009889	0.242953837158	0.728861511474	BP	p	regulation of biosynthetic process	5/43	360/1828	4	5	OG_14342, OG_14591, OG_15577, OG_15873, OG_16505
GO:0051234	0.24259863945	0.728861511474	BP	p	establishment of localization	5/43	357/1828	2	5	OG_12902, OG_14342, OG_14343, OG_16594, OG_17900
