GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0042136	0.000457339173475	0.0978705831237	BP	e	neurotransmitter biosynthetic process	3/52	7/2116	5	3	OG_12845, OG_15661, OG_15903
GO:0042133	0.00336561175266	0.360120457535	BP	e	neurotransmitter metabolic process	3/52	13/2116	4	3	OG_12845, OG_15661, OG_15903
GO:0006473	0.0136236420146	0.468801805484	BP	e	protein acetylation	3/52	21/2116	8	3	OG_13154, OG_14922, OG_15367
GO:0006475	0.0118810373208	0.468801805484	BP	e	internal protein amino acid acetylation	3/52	20/2116	9	3	OG_13154, OG_14922, OG_15367
GO:0048511	0.0175253011396	0.468801805484	BP	e	rhythmic process	3/52	23/2116	1	3	OG_13104, OG_13154, OG_18787
GO:0043543	0.0175253011396	0.468801805484	BP	e	protein acylation	3/52	23/2116	7	3	OG_13154, OG_14922, OG_15367
GO:0007623	0.00880392750653	0.468801805484	BP	e	circadian rhythm	3/52	18/2116	2	3	OG_13104, OG_13154, OG_18787
GO:0048856	0.0149183589787	0.468801805484	BP	p	anatomical structure development	4/52	444/2116	2	4	OG_13312, OG_14335, OG_14589, OG_15458
GO:0006338	0.0219891643111	0.470568116258	BP	e	chromatin remodeling	3/52	25/2116	4	3	OG_14342, OG_14922, OG_15458
GO:0017144	0.0199647296054	0.470568116258	BP	e	drug metabolic process	5/52	65/2116	3	5	OG_12602, OG_12845, OG_15661, OG_15903, OG_16600
GO:0051604	0.024433297255	0.475338692052	BP	e	protein maturation	3/52	26/2116	5	3	OG_14571, OG_15367, OG_16202
GO:0001505	0.0604964991443	0.719236156493	BP	e	regulation of neurotransmitter levels	3/52	37/2116	3	3	OG_12845, OG_15661, OG_15903
GO:0018193	0.0571992077547	0.719236156493	BP	e	peptidyl-amino acid modification	5/52	86/2116	7	5	OG_12472, OG_13154, OG_14335, OG_14922, OG_15367
GO:1901564	0.0530431315827	0.719236156493	BP	e	organonitrogen compound metabolic process	20/52	550/2116	3	20	OG_12390, OG_12472, OG_12602, OG_13154, OG_13247, OG_14335, OG_14571, OG_14589, OG_14922, OG_15200, OG_15314, OG_15367, OG_15388, OG_15661, OG_15736, OG_15903, OG_16202, OG_16479, OG_16600, OG_18359
GO:0043603	0.0461229936226	0.719236156493	BP	e	cellular amide metabolic process	5/52	81/2116	4	5	OG_14571, OG_15388, OG_15661, OG_16202, OG_18359
GO:0006518	0.0546052872529	0.719236156493	BP	e	peptide metabolic process	4/52	59/2116	5	4	OG_14571, OG_15388, OG_16202, OG_18359
GO:0044057	0.0604964991443	0.719236156493	BP	e	regulation of system process	3/52	37/2116	4	3	OG_13312, OG_15200, OG_16202
GO:0006325	0.0420893108424	0.719236156493	BP	e	chromatin organization	5/52	79/2116	3	5	OG_13154, OG_14342, OG_14922, OG_15458, OG_17669
GO:0009968	0.0682703668473	0.730492925266	BP	e	negative regulation of signal transduction	6/52	119/2116	6	6	OG_12390, OG_12405, OG_14342, OG_14922, OG_15736, OG_18655
GO:0006807	0.0654942824975	0.730492925266	BP	e	nitrogen compound metabolic process	29/52	909/2116	2	29	OG_12390, OG_12472, OG_12602, OG_12845, OG_13104, OG_13154, OG_13247, OG_14335, OG_14342, OG_14571, OG_14589, OG_14922, OG_15200, OG_15314, OG_15367, OG_15388, OG_15458, OG_15661, OG_15736, OG_15903, OG_15988, OG_16202, OG_16479, OG_16600, OG_16973, OG_17825, OG_18163, OG_18359, OG_18787
GO:0034641	0.0813860279984	0.829362380555	BP	e	cellular nitrogen compound metabolic process	20/52	576/2116	3	20	OG_12602, OG_12845, OG_13104, OG_13247, OG_14335, OG_14342, OG_14571, OG_14922, OG_15388, OG_15458, OG_15661, OG_15903, OG_15988, OG_16202, OG_16600, OG_16973, OG_17825, OG_18163, OG_18359, OG_18787
GO:0051049	0.230308759734	0.869703678239	BP	e	regulation of transport	5/52	125/2116	4	5	OG_12390, OG_13169, OG_15200, OG_15736, OG_16202
GO:0061024	0.193649556387	0.869703678239	BP	e	membrane organization	3/52	62/2116	3	3	OG_12390, OG_14589, OG_16064
GO:0008104	0.135134759644	0.869703678239	BP	e	protein localization	8/52	192/2116	3	8	OG_12390, OG_14342, OG_14511, OG_14589, OG_15200, OG_15736, OG_17394, OG_17669
GO:0044283	0.232496037557	0.869703678239	BP	e	small molecule biosynthetic process	3/52	68/2116	3	3	OG_15314, OG_15661, OG_15903
GO:0010605	0.148208847672	0.869703678239	BP	e	negative regulation of macromolecule metabolic process	8/52	201/2116	5	8	OG_13104, OG_13312, OG_14335, OG_14342, OG_14922, OG_17669, OG_18655, OG_18787
GO:0051046	0.11712745386	0.869703678239	BP	e	regulation of secretion	3/52	49/2116	5	3	OG_12390, OG_15200, OG_16202
GO:0044093	0.206624629083	0.869703678239	BP	e	positive regulation of molecular function	5/52	117/2116	3	5	OG_14342, OG_15200, OG_15736, OG_18655, OG_18787
GO:0033036	0.153425717921	0.869703678239	BP	e	macromolecule localization	8/52	204/2116	2	8	OG_12390, OG_14342, OG_14511, OG_14589, OG_15200, OG_15736, OG_17394, OG_17669
GO:0048585	0.143021100395	0.869703678239	BP	e	negative regulation of response to stimulus	6/52	136/2116	4	6	OG_12390, OG_12405, OG_14342, OG_14922, OG_15736, OG_18655
GO:0051050	0.174925024156	0.869703678239	BP	e	positive regulation of transport	3/52	59/2116	5	3	OG_12390, OG_15200, OG_15736
GO:0060548	0.113861055808	0.869703678239	BP	e	negative regulation of cell death	4/52	76/2116	5	4	OG_13247, OG_14342, OG_15200, OG_18655
GO:0045184	0.159745168558	0.869703678239	BP	e	establishment of protein localization	6/52	143/2116	4	6	OG_12390, OG_14342, OG_14511, OG_14589, OG_15736, OG_17394
GO:0030162	0.168807071433	0.869703678239	BP	e	regulation of proteolysis	3/52	58/2116	6	3	OG_14342, OG_15736, OG_18655
GO:0055114	0.196599925374	0.869703678239	BP	e	oxidation-reduction process	5/52	113/2116	2	5	OG_12845, OG_15388, OG_15661, OG_15903, OG_18359
GO:0019538	0.217112699199	0.869703678239	BP	e	protein metabolic process	14/52	421/2116	4	14	OG_12390, OG_12472, OG_13154, OG_13247, OG_14335, OG_14571, OG_14589, OG_14922, OG_15200, OG_15367, OG_15736, OG_16202, OG_16479, OG_18359
GO:1901990	0.111817804977	0.869703678239	BP	e	regulation of mitotic cell cycle phase transition	3/52	48/2116	7	3	OG_13312, OG_18163, OG_18655
GO:0022607	0.0974548729837	0.869703678239	BP	e	cellular component assembly	11/52	281/2116	3	11	OG_12390, OG_12472, OG_13312, OG_14342, OG_14589, OG_16064, OG_16225, OG_16479, OG_17394, OG_17669, OG_18163
GO:0006886	0.158115016326	0.869703678239	BP	e	intracellular protein transport	4/52	86/2116	8	4	OG_12390, OG_14589, OG_15736, OG_17394
GO:0090066	0.168807071433	0.869703678239	BP	e	regulation of anatomical structure size	3/52	58/2116	3	3	OG_13312, OG_15388, OG_18163
GO:0006364	0.0915863662811	0.869703678239	BP	e	rRNA processing	3/52	44/2116	9	3	OG_14342, OG_15988, OG_16973
GO:0065008	0.126233730325	0.869703678239	BP	e	regulation of biological quality	13/52	348/2116	2	13	OG_12845, OG_13169, OG_13312, OG_14342, OG_14589, OG_15200, OG_15388, OG_15661, OG_15736, OG_15903, OG_16064, OG_16202, OG_18163
GO:0050793	0.198077012436	0.869703678239	BP	p	regulation of developmental process	3/52	262/2116	3	3	OG_12390, OG_13312, OG_16204
GO:1901987	0.12802784887	0.869703678239	BP	e	regulation of cell cycle phase transition	3/52	51/2116	6	3	OG_13312, OG_18163, OG_18655
GO:0043412	0.224193736194	0.869703678239	BP	e	macromolecule modification	10/52	290/2116	4	10	OG_12390, OG_12472, OG_13154, OG_13247, OG_14335, OG_14922, OG_15200, OG_15367, OG_15736, OG_15988
GO:0016072	0.11712745386	0.869703678239	BP	e	rRNA metabolic process	3/52	49/2116	8	3	OG_14342, OG_15988, OG_16973
GO:0044248	0.210816699984	0.869703678239	BP	e	cellular catabolic process	7/52	184/2116	3	7	OG_12390, OG_13104, OG_13154, OG_14589, OG_15314, OG_15903, OG_16479
GO:0023057	0.129364129443	0.869703678239	BP	e	negative regulation of signaling	6/52	129/2116	4	6	OG_12390, OG_12405, OG_14342, OG_14922, OG_15736, OG_18655
GO:0010648	0.129364129443	0.869703678239	BP	e	negative regulation of cell communication	6/52	129/2116	5	6	OG_12390, OG_12405, OG_14342, OG_14922, OG_15736, OG_18655
GO:0032270	0.227103959109	0.869703678239	BP	e	positive regulation of cellular protein metabolic process	5/52	124/2116	7	5	OG_14342, OG_15200, OG_15736, OG_18655, OG_18787
GO:0032501	0.143777098194	0.869703678239	BP	p	multicellular organismal process	5/52	388/2116	1	5	OG_13312, OG_14194, OG_15736, OG_16202, OG_16225
GO:0043066	0.193649556387	0.869703678239	BP	e	negative regulation of apoptotic process	3/52	62/2116	7	3	OG_14342, OG_15200, OG_18655
GO:0043069	0.206411147134	0.869703678239	BP	e	negative regulation of programmed cell death	3/52	64/2116	6	3	OG_14342, OG_15200, OG_18655
GO:0044267	0.233798994811	0.869703678239	BP	e	cellular protein metabolic process	11/52	316/2116	5	11	OG_12390, OG_12472, OG_13154, OG_13247, OG_14335, OG_14571, OG_14922, OG_15200, OG_15367, OG_15736, OG_18359
GO:0070925	0.144203289894	0.869703678239	BP	e	organelle assembly	4/52	83/2116	4	4	OG_12390, OG_16064, OG_17394, OG_18163
GO:0009056	0.235714081018	0.869703678239	BP	e	catabolic process	8/52	212/2116	2	8	OG_12390, OG_13104, OG_13154, OG_14589, OG_15314, OG_15903, OG_16479, OG_18004
GO:0051276	0.181106791976	0.869703678239	BP	e	chromosome organization	3/52	60/2116	4	3	OG_12602, OG_14922, OG_18163
GO:0044237	0.205697174165	0.869703678239	BP	e	cellular metabolic process	29/52	986/2116	2	29	OG_12390, OG_12472, OG_12602, OG_12845, OG_13104, OG_13154, OG_13247, OG_14335, OG_14342, OG_14571, OG_14589, OG_14922, OG_15200, OG_15314, OG_15367, OG_15388, OG_15458, OG_15661, OG_15736, OG_15903, OG_15988, OG_16202, OG_16479, OG_16600, OG_16973, OG_17825, OG_18163, OG_18359, OG_18787
GO:1901566	0.250848075564	0.885003872908	BP	e	organonitrogen compound biosynthetic process	5/52	131/2116	4	5	OG_15314, OG_15661, OG_15903, OG_16600, OG_18359
GO:0009892	0.248680175457	0.885003872908	BP	e	negative regulation of metabolic process	8/52	222/2116	4	8	OG_13104, OG_13312, OG_14335, OG_14342, OG_14922, OG_17669, OG_18655, OG_18787
GO:0050794	0.258960989376	0.885003872908	BP	p	regulation of cellular process	19/52	953/2116	3	19	OG_12390, OG_12405, OG_12602, OG_13169, OG_13247, OG_13312, OG_13796, OG_14194, OG_14342, OG_14922, OG_15200, OG_15458, OG_15736, OG_16204, OG_17394, OG_17669, OG_18163, OG_18655, OG_18787
GO:0071704	0.264674055449	0.885003872908	BP	e	organic substance metabolic process	29/52	1016/2116	2	29	OG_12390, OG_12472, OG_12602, OG_13104, OG_13154, OG_13247, OG_14335, OG_14342, OG_14571, OG_14589, OG_14922, OG_15200, OG_15314, OG_15367, OG_15388, OG_15458, OG_15661, OG_15736, OG_15903, OG_15988, OG_16202, OG_16479, OG_16600, OG_16973, OG_17825, OG_18004, OG_18163, OG_18359, OG_18787
GO:0006396	0.26403646926	0.885003872908	BP	e	RNA processing	6/52	150/2116	7	6	OG_13104, OG_14342, OG_15988, OG_16973, OG_17825, OG_18787
GO:0006397	0.259177126904	0.885003872908	BP	e	mRNA processing	3/52	72/2116	8	3	OG_13104, OG_17825, OG_18787
GO:0036211	0.280229175358	0.906014948783	BP	e	protein modification process	9/52	259/2116	5	9	OG_12390, OG_12472, OG_13154, OG_13247, OG_14335, OG_14922, OG_15200, OG_15367, OG_15736
GO:0034613	0.283658885834	0.906014948783	BP	e	cellular protein localization	4/52	92/2116	4	4	OG_14342, OG_14589, OG_15200, OG_17394
GO:0006464	0.280229175358	0.906014948783	BP	e	cellular protein modification process	9/52	259/2116	6	9	OG_12390, OG_12472, OG_13154, OG_13247, OG_14335, OG_14922, OG_15200, OG_15367, OG_15736
GO:0034660	0.288910660064	0.909218841966	BP	e	ncRNA metabolic process	4/52	94/2116	7	4	OG_14335, OG_14342, OG_15988, OG_16973
GO:0007610	0.303804903145	0.938734709448	BP	e	behavior	4/52	99/2116	1	4	OG_13154, OG_14589, OG_15388, OG_17669
GO:1901565	0.307062755427	0.938734709448	BP	e	organonitrogen compound catabolic process	4/52	100/2116	4	4	OG_13154, OG_15314, OG_15903, OG_16479
GO:0070727	0.317343033008	0.943214014774	BP	e	cellular macromolecule localization	4/52	103/2116	3	4	OG_14342, OG_14589, OG_15200, OG_17394
GO:0034622	0.317343033008	0.943214014774	BP	e	cellular protein-containing complex assembly	4/52	103/2116	5	4	OG_12472, OG_13312, OG_14342, OG_16479
GO:0007165	0.33175434004	0.959397686062	BP	p	signal transduction	5/52	332/2116	4	5	OG_12390, OG_14194, OG_15200, OG_15736, OG_17394
GO:0009059	0.329100878711	0.959397686062	BP	p	macromolecule biosynthetic process	5/52	321/2116	4	5	OG_14342, OG_14922, OG_15458, OG_18163, OG_18359
GO:0042127	0.347997625032	0.96458191427	BP	e	regulation of cell population proliferation	4/52	111/2116	4	4	OG_14922, OG_16204, OG_17669, OG_18163
GO:0034470	0.426167474561	0.96458191427	BP	e	ncRNA processing	3/52	74/2116	8	3	OG_14342, OG_15988, OG_16973
GO:0003006	0.380420936725	0.96458191427	BP	e	developmental process involved in reproduction	5/52	136/2116	2	5	OG_13312, OG_14335, OG_14511, OG_14589, OG_15736
GO:0015833	0.377020077549	0.96458191427	BP	e	peptide transport	5/52	134/2116	6	5	OG_12390, OG_14511, OG_14589, OG_15736, OG_17394
GO:0010629	0.378679834124	0.96458191427	BP	e	negative regulation of gene expression	5/52	135/2116	6	5	OG_13104, OG_13312, OG_14335, OG_14922, OG_18787
