GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0015914	0.000197939384346	0.0296343610052	BP	e	phospholipid transport	3/43	5/1533	7	3	OG_11327, OG_14699, OG_15084
GO:0046164	0.000665940696747	0.0296343610052	BP	e	alcohol catabolic process	3/43	7/1533	5	3	OG_11327, OG_12803, OG_12882
GO:0008202	0.000586012622826	0.0296343610052	BP	e	steroid metabolic process	4/43	15/1533	4	4	OG_11327, OG_12803, OG_14699, OG_15084
GO:0015748	0.000665940696747	0.0296343610052	BP	e	organophosphate ester transport	3/43	7/1533	5	3	OG_11327, OG_14699, OG_15084
GO:1901616	0.00153642470965	0.0455805997196	BP	e	organic hydroxy compound catabolic process	3/43	9/1533	4	3	OG_11327, OG_12803, OG_12882
GO:0016125	0.00153642470965	0.0455805997196	BP	e	sterol metabolic process	3/43	9/1533	5	3	OG_11327, OG_14699, OG_15084
GO:0015711	0.00512290643313	0.101319705011	BP	e	organic anion transport	4/43	26/1533	6	4	OG_11327, OG_14699, OG_15084, OG_16414
GO:1901615	0.00484804201277	0.101319705011	BP	e	organic hydroxy compound metabolic process	5/43	41/1533	3	5	OG_11327, OG_12803, OG_12882, OG_14699, OG_15084
GO:0005975	0.00434653711555	0.101319705011	BP	e	carbohydrate metabolic process	5/43	40/1533	3	5	OG_12628, OG_12882, OG_13564, OG_14759, OG_16147
GO:0044282	0.00765491035088	0.123870367496	BP	e	small molecule catabolic process	4/43	29/1533	3	4	OG_11327, OG_12803, OG_12882, OG_14759
GO:0008654	0.00739636271123	0.123870367496	BP	e	phospholipid biosynthetic process	3/43	15/1533	6	3	OG_12882, OG_14699, OG_15084
GO:0006820	0.00973559498573	0.144411325622	BP	e	anion transport	4/43	31/1533	5	4	OG_11327, OG_14699, OG_15084, OG_16414
GO:0051604	0.0125080689757	0.171264329052	BP	e	protein maturation	3/43	18/1533	5	3	OG_13318, OG_13572, OG_18313
GO:0044262	0.0145659183941	0.172848898277	BP	e	cellular carbohydrate metabolic process	3/43	19/1533	4	3	OG_12882, OG_14759, OG_16147
