GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0035051	0.00070190238666	0.167250949783	BP	e	cardiocyte differentiation	3/65	7/2293	4	3	OG_12256, OG_13254, OG_13696
GO:0007464	0.00110033519594	0.167250949783	BP	e	R3/R4 cell fate commitment	3/65	8/2293	8	3	OG_11766, OG_16499, OG_18028
GO:0007568	0.00407923458592	0.41336243804	BP	e	aging	4/65	24/2293	2	4	OG_11354, OG_12256, OG_13195, OG_16618
GO:0044281	0.0310539421957	0.415975439278	BP	e	small molecule metabolic process	12/65	226/2293	2	12	OG_11765, OG_12602, OG_13513, OG_13864, OG_14069, OG_14324, OG_15426, OG_16286, OG_16287, OG_16853, OG_17268, OG_17860
GO:0009615	0.0355091069355	0.415975439278	BP	e	response to virus	3/65	26/2293	5	3	OG_14398, OG_16287, OG_17918
GO:0042752	0.0256848903221	0.415975439278	BP	e	regulation of circadian rhythm	3/65	23/2293	3	3	OG_13864, OG_14425, OG_15426
GO:0043436	0.0218584790147	0.415975439278	BP	e	oxoacid metabolic process	8/65	124/2293	4	8	OG_13513, OG_14069, OG_14324, OG_15426, OG_16286, OG_16287, OG_16853, OG_17268
GO:0051707	0.0349284419929	0.415975439278	BP	e	response to other organism	5/65	65/2293	4	5	OG_14398, OG_14626, OG_16287, OG_17918, OG_18028
GO:0001752	0.0111286564045	0.415975439278	BP	e	compound eye photoreceptor fate commitment	3/65	17/2293	7	3	OG_11766, OG_16499, OG_18028
GO:0046552	0.0111286564045	0.415975439278	BP	e	photoreceptor cell fate commitment	3/65	17/2293	5	3	OG_11766, OG_16499, OG_18028
GO:0032940	0.0257297662845	0.415975439278	BP	e	secretion by cell	5/65	60/2293	5	5	OG_12256, OG_12841, OG_13672, OG_13696, OG_15445
GO:0048663	0.0152308429029	0.415975439278	BP	e	neuron fate commitment	3/65	19/2293	4	3	OG_11766, OG_16499, OG_18028
GO:0045055	0.0256848903221	0.415975439278	BP	e	regulated exocytosis	3/65	23/2293	7	3	OG_12841, OG_13672, OG_13696
GO:0050795	0.0200798302651	0.415975439278	BP	e	regulation of behavior	3/65	21/2293	3	3	OG_13254, OG_14425, OG_15426
GO:0001775	0.0355091069355	0.415975439278	BP	e	cell activation	3/65	26/2293	2	3	OG_11354, OG_13672, OG_13696
GO:0044271	0.0369451870411	0.415975439278	BP	e	cellular nitrogen compound biosynthetic process	17/65	366/2293	4	17	OG_11152, OG_11765, OG_12140, OG_12256, OG_12389, OG_13195, OG_13864, OG_15099, OG_15832, OG_16286, OG_16287, OG_16499, OG_17128, OG_17860, OG_17918, OG_18028, OG_18734
GO:0006357	0.0249412801037	0.415975439278	BP	e	regulation of transcription by RNA polymerase II	11/65	200/2293	10	11	OG_11152, OG_11354, OG_12140, OG_12256, OG_13195, OG_13864, OG_14397, OG_15832, OG_16499, OG_17128, OG_18028
GO:0032774	0.0164340809115	0.415975439278	BP	e	RNA biosynthetic process	12/65	214/2293	7	12	OG_11152, OG_12140, OG_12256, OG_12389, OG_13195, OG_13864, OG_15099, OG_15832, OG_16499, OG_17128, OG_17918, OG_18028
GO:0000122	0.0310342486147	0.415975439278	BP	e	negative regulation of transcription by RNA polymerase II	5/65	63/2293	11	5	OG_11152, OG_11354, OG_13864, OG_16499, OG_17128
GO:0006082	0.0218584790147	0.415975439278	BP	e	organic acid metabolic process	8/65	124/2293	3	8	OG_13513, OG_14069, OG_14324, OG_15426, OG_16286, OG_16287, OG_16853, OG_17268
GO:0008284	0.0257297662845	0.415975439278	BP	e	positive regulation of cell population proliferation	5/65	60/2293	5	5	OG_11354, OG_12256, OG_13195, OG_13696, OG_16287
GO:0019752	0.0158448738121	0.415975439278	BP	e	carboxylic acid metabolic process	8/65	117/2293	5	8	OG_13513, OG_14069, OG_14324, OG_15426, OG_16286, OG_16287, OG_16853, OG_17268
GO:0042706	0.0111286564045	0.415975439278	BP	e	eye photoreceptor cell fate commitment	3/65	17/2293	6	3	OG_11766, OG_16499, OG_18028
GO:0051272	0.0271276711676	0.415975439278	BP	e	positive regulation of cellular component movement	4/65	41/2293	5	4	OG_11766, OG_13672, OG_13696, OG_16499
GO:0040017	0.0366965514297	0.415975439278	BP	e	positive regulation of locomotion	4/65	45/2293	4	4	OG_11766, OG_13672, OG_13696, OG_16499
GO:2000027	0.0355091069355	0.415975439278	BP	e	regulation of animal organ morphogenesis	3/65	26/2293	5	3	OG_11766, OG_13254, OG_16499
GO:0002252	0.0271276711676	0.415975439278	BP	e	immune effector process	4/65	41/2293	2	4	OG_13672, OG_13696, OG_14398, OG_17918
GO:0007298	0.0470047148505	0.431409653545	BP	e	border follicle cell migration	3/65	29/2293	8	3	OG_13506, OG_13696, OG_16499
GO:0042127	0.0466952091998	0.431409653545	BP	e	regulation of cell population proliferation	7/65	118/2293	4	7	OG_11354, OG_12140, OG_12256, OG_13195, OG_13254, OG_13696, OG_16287
GO:0046903	0.0483817602414	0.431409653545	BP	e	secretion	5/65	71/2293	4	5	OG_12256, OG_12841, OG_13672, OG_13696, OG_15445
GO:0001709	0.0429902650208	0.431409653545	BP	e	cell fate determination	3/65	28/2293	3	3	OG_13696, OG_15832, OG_16499
GO:0048608	0.0429902650208	0.431409653545	BP	e	reproductive structure development	3/65	28/2293	3	3	OG_12256, OG_16499, OG_18028
GO:0034976	0.0470047148505	0.431409653545	BP	e	response to endoplasmic reticulum stress	3/65	29/2293	4	3	OG_15099, OG_15426, OG_16618
GO:0006520	0.0510879852882	0.431409653545	BP	e	cellular amino acid metabolic process	4/65	50/2293	6	4	OG_14324, OG_16286, OG_16287, OG_17268
GO:0048729	0.050886535506	0.431409653545	BP	e	tissue morphogenesis	5/65	72/2293	3	5	OG_11354, OG_11766, OG_12256, OG_15832, OG_16499
GO:0005975	0.0459525025592	0.431409653545	BP	e	carbohydrate metabolic process	5/65	70/2293	3	5	OG_12693, OG_13513, OG_13864, OG_16853, OG_16972
GO:0031175	0.0555686370622	0.433150401716	BP	e	neuron projection development	3/65	31/2293	5	3	OG_11766, OG_13254, OG_13506
GO:0007623	0.0555686370622	0.433150401716	BP	e	circadian rhythm	3/65	31/2293	2	3	OG_13864, OG_14425, OG_18713
