GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1903725	2.1640690155e-05	0.00246703867767	BP	e	regulation of phospholipid metabolic process	3/28	4/1532	7	3	OG_11421, OG_12882, OG_18952
GO:0019216	7.89982922699e-05	0.00450290265938	BP	e	regulation of lipid metabolic process	4/28	14/1532	5	4	OG_11421, OG_12882, OG_12982, OG_18952
GO:0009895	0.00174108669305	0.0496209707519	BP	e	negative regulation of catabolic process	3/28	14/1532	5	3	OG_11421, OG_12882, OG_18952
GO:0031330	0.00174108669305	0.0496209707519	BP	e	negative regulation of cellular catabolic process	3/28	14/1532	6	3	OG_11421, OG_12882, OG_18952
GO:0035107	0.0145413899612	0.303255238644	BP	e	appendage morphogenesis	3/28	29/1532	3	3	OG_10926, OG_11680, OG_16297
GO:0098662	0.0159608020339	0.303255238644	BP	e	inorganic cation transmembrane transport	3/28	30/1532	7	3	OG_12282, OG_14698, OG_18952
GO:0009887	0.0191856778307	0.312452467529	BP	e	animal organ morphogenesis	5/28	88/1532	3	5	OG_10926, OG_11421, OG_11680, OG_16297, OG_18952
GO:0098655	0.0224030884773	0.319244010802	BP	e	cation transmembrane transport	3/28	34/1532	6	3	OG_12282, OG_14698, OG_18952
GO:0098660	0.03007997803	0.342911749542	BP	e	inorganic ion transmembrane transport	3/28	38/1532	6	3	OG_12282, OG_14698, OG_18952
GO:0044057	0.03007997803	0.342911749542	BP	e	regulation of system process	3/28	38/1532	4	3	OG_11421, OG_12882, OG_18952
GO:0031329	0.0464686415952	0.481584103805	BP	e	regulation of cellular catabolic process	3/28	45/1532	5	3	OG_11421, OG_12882, OG_18952
GO:0050789	0.0557826434229	0.489170873093	BP	p	regulation of biological process	8/28	722/1532	2	8	OG_11421, OG_12882, OG_12982, OG_15266, OG_15493, OG_16075, OG_16297, OG_18952
GO:0050794	0.0541825308679	0.489170873093	BP	p	regulation of cellular process	7/28	666/1532	3	7	OG_11421, OG_12882, OG_15266, OG_15493, OG_16075, OG_16297, OG_18952
GO:0009894	0.0664863501153	0.505296260876	BP	e	regulation of catabolic process	3/28	52/1532	4	3	OG_11421, OG_12882, OG_18952
GO:0006812	0.0634132020491	0.505296260876	BP	e	cation transport	3/28	51/1532	5	3	OG_12282, OG_14698, OG_18952
GO:0034220	0.0828674259716	0.590430410048	BP	e	ion transmembrane transport	3/28	57/1532	5	3	OG_12282, OG_14698, OG_18952
GO:0009886	0.104625666165	0.68203015194	BP	e	post-embryonic animal morphogenesis	3/28	63/1532	3	3	OG_10926, OG_11680, OG_16297
GO:0033043	0.107688971359	0.68203015194	BP	e	regulation of organelle organization	4/28	101/1532	5	4	OG_11421, OG_12882, OG_16075, OG_16297
GO:0051241	0.132604140832	0.755843602742	BP	e	negative regulation of multicellular organismal process	3/28	70/1532	4	3	OG_11421, OG_12882, OG_16297
GO:0051093	0.132604140832	0.755843602742	BP	e	negative regulation of developmental process	3/28	70/1532	4	3	OG_11421, OG_12882, OG_16297
GO:0019637	0.141057686639	0.765741727469	BP	e	organophosphate metabolic process	3/28	72/1532	4	3	OG_12882, OG_13147, OG_18952
GO:0019220	0.214558607261	0.873560043848	BP	e	regulation of phosphate metabolic process	3/28	88/1532	6	3	OG_11421, OG_12882, OG_18952
GO:0065007	0.186284633926	0.873560043848	BP	p	biological regulation	11/28	797/1532	1	11	OG_10926, OG_11421, OG_12882, OG_12982, OG_13147, OG_14698, OG_15266, OG_15493, OG_16075, OG_16297, OG_18952
GO:0006811	0.209711547221	0.873560043848	BP	e	ion transport	3/28	87/1532	4	3	OG_12282, OG_14698, OG_18952
GO:0051174	0.214558607261	0.873560043848	BP	e	regulation of phosphorus metabolic process	3/28	88/1532	5	3	OG_11421, OG_12882, OG_18952
GO:0006796	0.21104980713	0.873560043848	BP	e	phosphate-containing compound metabolic process	5/28	163/1532	4	5	OG_11421, OG_11680, OG_12882, OG_13147, OG_18952
GO:0006793	0.213316772215	0.873560043848	BP	e	phosphorus metabolic process	5/28	164/1532	3	5	OG_11421, OG_11680, OG_12882, OG_13147, OG_18952
GO:0006396	0.214558607261	0.873560043848	BP	e	RNA processing	3/28	88/1532	7	3	OG_14965, OG_14986, OG_16973
GO:0016310	0.244163501528	0.927821305806	BP	e	phosphorylation	3/28	94/1532	5	3	OG_11421, OG_11680, OG_18952
GO:0048522	0.24196783168	0.927821305806	BP	p	positive regulation of cellular process	3/28	321/1532	4	3	OG_11421, OG_12882, OG_18952
GO:0048518	0.269427642687	0.990798427946	BP	p	positive regulation of biological process	4/28	383/1532	3	4	OG_11421, OG_12882, OG_12982, OG_18952
GO:0044281	0.738298859862	0.999503865962	BP	e	small molecule metabolic process	3/28	141/1532	2	3	OG_12882, OG_13147, OG_18952
GO:1901576	0.632736502637	0.999503865962	BP	p	organic substance biosynthetic process	4/28	300/1532	3	4	OG_12882, OG_13147, OG_16297, OG_17665
GO:1901362	0.787583052058	0.999503865962	BP	p	organic cyclic compound biosynthetic process	3/28	212/1532	4	3	OG_13147, OG_16297, OG_17665
GO:0048869	0.81226899577	0.999503865962	BP	e	cellular developmental process	6/28	305/1532	2	6	OG_11421, OG_11680, OG_12882, OG_15803, OG_16075, OG_18952
GO:0071840	0.83371767702	0.999503865962	BP	p	cellular component organization or biogenesis	7/28	431/1532	1	7	OG_11421, OG_11680, OG_12882, OG_14483, OG_16075, OG_16297, OG_16973
GO:0048519	0.486956764339	0.999503865962	BP	p	negative regulation of biological process	4/28	320/1532	3	4	OG_11421, OG_12882, OG_16297, OG_18952
GO:0060255	0.827353559727	0.999503865962	BP	p	regulation of macromolecule metabolic process	6/28	395/1532	4	6	OG_11421, OG_12882, OG_15266, OG_15493, OG_16297, OG_18952
GO:0048583	0.788722158767	0.999503865962	BP	p	regulation of response to stimulus	3/28	231/1532	3	3	OG_11421, OG_12882, OG_18952
GO:0003006	0.735927309169	0.999503865962	BP	e	developmental process involved in reproduction	3/28	139/1532	2	3	OG_10926, OG_11421, OG_16297
GO:0046483	0.819329804077	0.999503865962	BP	e	heterocycle metabolic process	7/28	346/1532	3	7	OG_11938, OG_13147, OG_14965, OG_14986, OG_16297, OG_16973, OG_17665
GO:1901564	0.826902891125	0.999503865962	BP	p	organonitrogen compound metabolic process	6/28	391/1532	3	6	OG_11421, OG_12882, OG_13147, OG_16075, OG_16597, OG_18952
GO:0009892	0.54223198958	0.999503865962	BP	e	negative regulation of metabolic process	4/28	170/1532	4	4	OG_11421, OG_12882, OG_16297, OG_18952
GO:0006807	0.846355459941	0.999503865962	BP	e	nitrogen compound metabolic process	12/28	615/1532	2	12	OG_11421, OG_11938, OG_12882, OG_13147, OG_14965, OG_14986, OG_16075, OG_16297, OG_16597, OG_16973, OG_17665, OG_18952
GO:0044267	0.585018857781	0.999503865962	BP	e	cellular protein metabolic process	5/28	220/1532	5	5	OG_11421, OG_12882, OG_16075, OG_16597, OG_18952
GO:1901575	0.730467995069	0.999503865962	BP	e	organic substance catabolic process	3/28	134/1532	3	3	OG_12882, OG_16075, OG_17296
GO:0010646	0.787734467231	0.999503865962	BP	p	regulation of cell communication	3/28	211/1532	4	3	OG_11421, OG_12882, OG_18952
GO:0016043	0.529278602886	0.999503865962	BP	p	cellular component organization	6/28	424/1532	2	6	OG_11421, OG_11680, OG_12882, OG_14483, OG_16075, OG_16297
GO:0065003	0.414832402724	0.999503865962	BP	e	protein-containing complex assembly	3/28	96/1532	4	3	OG_11421, OG_12882, OG_14483
GO:0065008	0.817375341534	0.999503865962	BP	e	regulation of biological quality	6/28	315/1532	2	6	OG_10926, OG_11421, OG_12882, OG_13147, OG_14698, OG_18952
GO:0050793	0.776172216105	0.999503865962	BP	e	regulation of developmental process	4/28	198/1532	3	4	OG_11421, OG_12882, OG_16297, OG_18952
GO:0006810	0.463274322084	0.999503865962	BP	e	transport	7/28	291/1532	3	7	OG_11421, OG_12282, OG_12805, OG_12882, OG_14698, OG_15803, OG_18952
GO:0009889	0.804771168638	0.999503865962	BP	p	regulation of biosynthetic process	4/28	271/1532	4	4	OG_12982, OG_15493, OG_16297, OG_18952
GO:0043412	0.574315343435	0.999503865962	BP	e	macromolecule modification	5/28	209/1532	4	5	OG_11421, OG_12882, OG_16075, OG_16597, OG_18952
GO:0036211	0.377286890298	0.999503865962	BP	e	protein modification process	5/28	188/1532	5	5	OG_11421, OG_12882, OG_16075, OG_16597, OG_18952
GO:0008150	0.799007827338	0.999503865962	BP	p	biological_process	23/28	1278/1532	0	23	OG_10926, OG_11421, OG_11680, OG_11938, OG_12282, OG_12805, OG_12882, OG_12982, OG_13147, OG_14483, OG_14698, OG_14965, OG_14986, OG_15266, OG_15493, OG_15803, OG_16075, OG_16297, OG_16597, OG_16973, OG_17296, OG_17665, OG_18952
GO:0051239	0.777855185041	0.999503865962	BP	e	regulation of multicellular organismal process	4/28	200/1532	3	4	OG_11421, OG_12882, OG_16297, OG_18952
GO:0051234	0.471194301875	0.999503865962	BP	e	establishment of localization	7/28	300/1532	2	7	OG_11421, OG_12282, OG_12805, OG_12882, OG_14698, OG_15803, OG_18952
GO:0016070	0.432109852611	0.999503865962	BP	e	RNA metabolic process	6/28	244/1532	6	6	OG_11938, OG_14965, OG_14986, OG_16297, OG_16973, OG_17665
GO:0044271	0.7873414125	0.999503865962	BP	p	cellular nitrogen compound biosynthetic process	3/28	223/1532	4	3	OG_13147, OG_16297, OG_17665
GO:0022414	0.787346270542	0.999503865962	BP	p	reproductive process	3/28	214/1532	1	3	OG_10926, OG_11421, OG_16297
GO:0050896	0.81792981918	0.999503865962	BP	p	response to stimulus	5/28	318/1532	1	5	OG_11421, OG_12882, OG_15493, OG_16075, OG_18952
GO:0008152	0.849173433926	0.999503865962	BP	e	metabolic process	15/28	767/1532	1	15	OG_11421, OG_11680, OG_11938, OG_12882, OG_13147, OG_14483, OG_14965, OG_14986, OG_16075, OG_16297, OG_16597, OG_16973, OG_17296, OG_17665, OG_18952
GO:0030154	0.29993252989	0.999503865962	BP	e	cell differentiation	4/28	134/1532	3	4	OG_11421, OG_11680, OG_15803, OG_18952
GO:0051128	0.773779756225	0.999503865962	BP	e	regulation of cellular component organization	4/28	195/1532	4	4	OG_11421, OG_12882, OG_16075, OG_16297
GO:0044249	0.633172339093	0.999503865962	BP	p	cellular biosynthetic process	4/28	294/1532	3	4	OG_12882, OG_13147, OG_16297, OG_17665
GO:0022607	0.399547531963	0.999503865962	BP	e	cellular component assembly	5/28	200/1532	3	5	OG_11421, OG_11680, OG_12882, OG_14483, OG_16075
GO:0023051	0.787346270542	0.999503865962	BP	p	regulation of signaling	3/28	214/1532	3	3	OG_11421, OG_12882, OG_18952
GO:0009653	0.403782919831	0.999503865962	BP	e	anatomical structure morphogenesis	5/28	202/1532	2	5	OG_10926, OG_11421, OG_11680, OG_16297, OG_18952
GO:0006139	0.641482206899	0.999503865962	BP	e	nucleobase-containing compound metabolic process	7/28	326/1532	4	7	OG_11938, OG_13147, OG_14965, OG_14986, OG_16297, OG_16973, OG_17665
GO:0043933	0.459154973238	0.999503865962	BP	e	protein-containing complex subunit organization	3/28	114/1532	3	3	OG_11421, OG_12882, OG_14483
