GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0098656	0.00025290915893	0.0394538287931	BP	e	anion transmembrane transport	4/30	18/1606	6	4	OG_12165, OG_13171, OG_16752, OG_16848
GO:0055085	0.00143218324644	0.111710293222	BP	e	transmembrane transport	7/30	96/1606	4	7	OG_12165, OG_12529, OG_13171, OG_15442, OG_15834, OG_16752, OG_16848
GO:0006820	0.00384917468999	0.200157083879	BP	e	anion transport	4/30	36/1606	5	4	OG_12165, OG_13171, OG_16752, OG_16848
GO:0008150	0.00571071686311	0.222717957661	BP	e	biological_process	30/30	1331/1606	0	30	OG_11616, OG_11863, OG_11871, OG_12165, OG_12184, OG_12241, OG_12317, OG_12326, OG_12355, OG_12529, OG_12915, OG_13171, OG_14661, OG_14683, OG_14718, OG_14934, OG_15442, OG_15477, OG_15647, OG_15834, OG_16064, OG_16138, OG_16288, OG_16752, OG_16848, OG_17113, OG_17128, OG_17841, OG_18277, OG_19269
GO:0030111	0.0102566476517	0.266672838944	BP	e	regulation of Wnt signaling pathway	3/30	25/1606	6	3	OG_11616, OG_14683, OG_16288
GO:0034220	0.0100988231774	0.266672838944	BP	e	ion transmembrane transport	4/30	47/1606	5	4	OG_12165, OG_13171, OG_16752, OG_16848
GO:0007154	0.0137128866657	0.305601474264	BP	e	cell communication	5/30	79/1606	2	5	OG_12165, OG_12326, OG_14718, OG_15834, OG_16064
GO:0098916	0.0297988255408	0.406646594731	BP	e	anterograde trans-synaptic signaling	3/30	37/1606	6	3	OG_12165, OG_14718, OG_15834
GO:0010629	0.0304624859339	0.406646594731	BP	e	negative regulation of gene expression	6/30	131/1606	6	6	OG_11616, OG_11863, OG_12184, OG_12355, OG_17128, OG_17841
GO:0099536	0.0364939251682	0.406646594731	BP	e	synaptic signaling	3/30	40/1606	4	3	OG_12165, OG_14718, OG_15834
GO:0099537	0.0364939251682	0.406646594731	BP	e	trans-synaptic signaling	3/30	40/1606	5	3	OG_12165, OG_14718, OG_15834
GO:0023057	0.0321593545746	0.406646594731	BP	e	negative regulation of signaling	5/30	98/1606	4	5	OG_11616, OG_12326, OG_12355, OG_14683, OG_16288
GO:0010648	0.0321593545746	0.406646594731	BP	e	negative regulation of cell communication	5/30	98/1606	5	5	OG_11616, OG_12326, OG_12355, OG_14683, OG_16288
GO:0007268	0.0297988255408	0.406646594731	BP	e	chemical synaptic transmission	3/30	37/1606	7	3	OG_12165, OG_14718, OG_15834
GO:0009890	0.0562945813671	0.413697979752	BP	e	negative regulation of biosynthetic process	5/30	114/1606	5	5	OG_11616, OG_11863, OG_12184, OG_12326, OG_17128
GO:0006811	0.0583420227856	0.413697979752	BP	e	ion transport	4/30	80/1606	4	4	OG_12165, OG_13171, OG_16752, OG_16848
GO:0010558	0.0462639044306	0.413697979752	BP	e	negative regulation of macromolecule biosynthetic process	5/30	108/1606	6	5	OG_11616, OG_11863, OG_12184, OG_12326, OG_17128
GO:0031327	0.0528183113551	0.413697979752	BP	e	negative regulation of cellular biosynthetic process	5/30	112/1606	6	5	OG_11616, OG_11863, OG_12184, OG_12326, OG_17128
GO:2000113	0.0431843732295	0.413697979752	BP	e	negative regulation of cellular macromolecule biosynthetic process	5/30	106/1606	7	5	OG_11616, OG_11863, OG_12184, OG_12326, OG_17128
GO:0045934	0.0478529361939	0.413697979752	BP	e	negative regulation of nucleobase-containing compound metabolic process	5/30	109/1606	6	5	OG_11616, OG_11863, OG_12184, OG_12326, OG_17128
GO:0007267	0.0548799517709	0.413697979752	BP	e	cell-cell signaling	3/30	47/1606	3	3	OG_12165, OG_14718, OG_15834
GO:0098657	0.0548799517709	0.413697979752	BP	e	import into cell	3/30	47/1606	4	3	OG_14718, OG_16064, OG_16752
GO:0010605	0.071950365898	0.459148837968	BP	e	negative regulation of macromolecule metabolic process	7/30	183/1606	5	7	OG_11616, OG_11863, OG_12184, OG_12326, OG_12355, OG_17128, OG_17841
GO:0023052	0.0735815445461	0.459148837968	BP	e	signaling	3/30	53/1606	1	3	OG_12165, OG_14718, OG_15834
GO:0051179	0.0704569300424	0.459148837968	BP	e	localization	11/30	351/1606	1	11	OG_12165, OG_12184, OG_12529, OG_13171, OG_14718, OG_15442, OG_15834, OG_16064, OG_16288, OG_16752, OG_16848
GO:0009968	0.082833228045	0.484981555882	BP	e	negative regulation of signal transduction	4/30	90/1606	6	4	OG_11616, OG_12326, OG_12355, OG_14683
GO:0009892	0.0839391154412	0.484981555882	BP	e	negative regulation of metabolic process	7/30	197/1606	4	7	OG_11616, OG_11863, OG_12184, OG_12326, OG_12355, OG_17128, OG_17841
GO:0045892	0.0910590270785	0.507328865152	BP	e	negative regulation of transcription, DNA-templated	4/30	93/1606	10	4	OG_11616, OG_11863, OG_12184, OG_17128
GO:1903507	0.099675258561	0.518311344517	BP	e	negative regulation of nucleic acid-templated transcription	4/30	96/1606	9	4	OG_11616, OG_11863, OG_12184, OG_17128
GO:1902679	0.099675258561	0.518311344517	BP	e	negative regulation of RNA biosynthetic process	4/30	96/1606	8	4	OG_11616, OG_11863, OG_12184, OG_17128
GO:0048585	0.12123669916	0.591028908405	BP	e	negative regulation of response to stimulus	4/30	103/1606	4	4	OG_11616, OG_12326, OG_12355, OG_14683
GO:0051253	0.118035643121	0.591028908405	BP	e	negative regulation of RNA metabolic process	4/30	102/1606	7	4	OG_11616, OG_11863, OG_12184, OG_17128
GO:0051726	0.135037654346	0.638359820545	BP	e	regulation of cell cycle	3/30	69/1606	4	3	OG_11616, OG_12184, OG_12326
GO:0006810	0.151436780912	0.68977584468	BP	e	transport	9/30	301/1606	3	9	OG_12165, OG_12529, OG_13171, OG_14718, OG_15442, OG_15834, OG_16064, OG_16752, OG_16848
GO:0051234	0.15475740105	0.68977584468	BP	e	establishment of localization	9/30	306/1606	2	9	OG_12165, OG_12529, OG_13171, OG_14718, OG_15442, OG_15834, OG_16064, OG_16752, OG_16848
GO:0023051	0.203877526041	0.775729123473	BP	e	regulation of signaling	7/30	245/1606	3	7	OG_11616, OG_12326, OG_12355, OG_14683, OG_16288, OG_16752, OG_19269
GO:0010646	0.202188815554	0.775729123473	BP	e	regulation of cell communication	7/30	244/1606	4	7	OG_11616, OG_12326, OG_12355, OG_14683, OG_16288, OG_16752, OG_19269
GO:0040008	0.185056660839	0.775729123473	BP	e	regulation of growth	3/30	80/1606	3	3	OG_12326, OG_12355, OG_16752
GO:0006357	0.196363889945	0.775729123473	BP	e	regulation of transcription by RNA polymerase II	5/30	152/1606	10	5	OG_11616, OG_11863, OG_14934, OG_17128, OG_19269
GO:0034613	0.189844069914	0.775729123473	BP	e	cellular protein localization	3/30	81/1606	4	3	OG_12184, OG_15442, OG_16288
GO:0048856	0.200390014801	0.775729123473	BP	p	anatomical structure development	4/30	383/1606	2	4	OG_12355, OG_14683, OG_15647, OG_17841
GO:0070727	0.219243063833	0.777316317226	BP	e	cellular macromolecule localization	3/30	87/1606	3	3	OG_12184, OG_15442, OG_16288
GO:0045944	0.214269410928	0.777316317226	BP	e	positive regulation of transcription by RNA polymerase II	3/30	86/1606	11	3	OG_11863, OG_17128, OG_19269
