GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006835	0.000265467138708	0.0390236693901	BP	e	dicarboxylic acid transport	3/48	7/2347	8	3	OG_12481, OG_16128, OG_16680
GO:0006855	0.000153907290215	0.0390236693901	BP	e	drug transmembrane transport	3/48	6/2347	5	3	OG_12481, OG_16128, OG_16680
GO:0051239	0.000457290894902	0.0448145077004	BP	e	regulation of multicellular organismal process	14/48	261/2347	3	14	OG_11944, OG_12481, OG_12531, OG_12780, OG_12973, OG_13864, OG_14271, OG_14966, OG_16680, OG_16855, OG_16897, OG_17056, OG_18313, OG_18487
GO:1905039	0.00118119657247	0.0694543584612	BP	e	carboxylic acid transmembrane transport	3/48	11/2347	8	3	OG_12481, OG_16128, OG_16680
GO:1903825	0.00118119657247	0.0694543584612	BP	e	organic acid transmembrane transport	3/48	11/2347	6	3	OG_12481, OG_16128, OG_16680
GO:0023051	0.00292657484089	0.11299783544	BP	e	regulation of signaling	15/48	344/2347	3	15	OG_11944, OG_12481, OG_12531, OG_12614, OG_12780, OG_13864, OG_14078, OG_14271, OG_14966, OG_16128, OG_16680, OG_16855, OG_16897, OG_17056, OG_18487
GO:0062012	0.00249548828723	0.11299783544	BP	e	regulation of small molecule metabolic process	3/48	14/2347	4	3	OG_13864, OG_14966, OG_18487
GO:0015893	0.00307477103238	0.11299783544	BP	e	drug transport	3/48	15/2347	4	3	OG_12481, OG_16128, OG_16680
GO:0010720	0.0050530777532	0.124350272551	BP	e	positive regulation of cell development	5/48	56/2347	6	5	OG_11944, OG_12531, OG_12973, OG_14271, OG_16680
GO:0009790	0.00506438581843	0.124350272551	BP	e	embryo development	4/48	35/2347	4	4	OG_14966, OG_16215, OG_16855, OG_18487
GO:0009792	0.00506438581843	0.124350272551	BP	e	embryo development ending in birth or egg hatching	4/48	35/2347	5	4	OG_14966, OG_16215, OG_16855, OG_18487
GO:0051241	0.00507552132863	0.124350272551	BP	e	negative regulation of multicellular organismal process	6/48	80/2347	4	6	OG_11944, OG_13864, OG_14271, OG_16897, OG_18313, OG_18487
GO:0090092	0.00618241058716	0.12983062233	BP	e	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3/48	19/2347	6	3	OG_12780, OG_16680, OG_18487
GO:0051726	0.00593251183982	0.12983062233	BP	e	regulation of cell cycle	8/48	138/2347	4	8	OG_11492, OG_12931, OG_13864, OG_14271, OG_14966, OG_15468, OG_16897, OG_18487
GO:0043408	0.00679565290064	0.131745419466	BP	e	regulation of MAPK cascade	5/48	60/2347	9	5	OG_16128, OG_16855, OG_16897, OG_17056, OG_18487
GO:0098656	0.00716981874645	0.131745419466	BP	e	anion transmembrane transport	3/48	20/2347	6	3	OG_12481, OG_16128, OG_16680
GO:0031346	0.0124092589654	0.134053241334	BP	e	positive regulation of cell projection organization	4/48	45/2347	6	4	OG_11944, OG_12973, OG_14271, OG_14966
GO:0042325	0.0116720070879	0.134053241334	BP	e	regulation of phosphorylation	7/48	124/2347	7	7	OG_12931, OG_16128, OG_16656, OG_16855, OG_16897, OG_17056, OG_18487
GO:0009890	0.013222938771	0.134053241334	BP	e	negative regulation of biosynthetic process	7/48	127/2347	5	7	OG_12886, OG_12931, OG_13359, OG_13864, OG_13969, OG_16897, OG_18487
GO:0010558	0.0111859721379	0.134053241334	BP	e	negative regulation of macromolecule biosynthetic process	7/48	123/2347	6	7	OG_12886, OG_12931, OG_13359, OG_13864, OG_13969, OG_16897, OG_18487
GO:0010646	0.0109740827039	0.134053241334	BP	e	regulation of cell communication	14/48	342/2347	4	14	OG_11944, OG_12481, OG_12531, OG_12780, OG_13864, OG_14078, OG_14271, OG_14966, OG_16128, OG_16680, OG_16855, OG_16897, OG_17056, OG_18487
GO:0051248	0.0116374797605	0.134053241334	BP	e	negative regulation of protein metabolic process	6/48	95/2347	6	6	OG_13359, OG_13864, OG_13969, OG_16680, OG_16897, OG_18487
GO:0050769	0.010589955162	0.134053241334	BP	e	positive regulation of neurogenesis	4/48	43/2347	7	4	OG_12531, OG_12973, OG_14271, OG_16680
GO:0045595	0.0122373250586	0.134053241334	BP	e	regulation of cell differentiation	8/48	156/2347	4	8	OG_11944, OG_12531, OG_12780, OG_12973, OG_14271, OG_14966, OG_16680, OG_18487
GO:0032269	0.0105273562963	0.134053241334	BP	e	negative regulation of cellular protein metabolic process	6/48	93/2347	7	6	OG_13359, OG_13864, OG_13969, OG_16680, OG_16897, OG_18487
GO:0032268	0.0129708350068	0.134053241334	BP	e	regulation of cellular protein metabolic process	11/48	242/2347	6	11	OG_13359, OG_13864, OG_13969, OG_14966, OG_16128, OG_16680, OG_16855, OG_16897, OG_17056, OG_18313, OG_18487
