GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007526	0.00313428152287	0.32568627854	BP	e	larval somatic muscle development	3/41	14/1844	5	3	OG_10939, OG_12074, OG_16299
GO:0043901	0.00467492265847	0.32568627854	BP	e	negative regulation of multi-organism process	3/41	16/1844	4	3	OG_10939, OG_11614, OG_14618
GO:0060968	0.00313428152287	0.32568627854	BP	e	regulation of gene silencing	3/41	14/1844	6	3	OG_11614, OG_13737, OG_14023
GO:0048569	0.00894637563608	0.334033832363	BP	e	post-embryonic animal organ development	3/41	20/1844	4	3	OG_10939, OG_12074, OG_16299
GO:0043900	0.0127859840139	0.334033832363	BP	e	regulation of multi-organism process	4/41	42/1844	3	4	OG_10939, OG_11614, OG_13737, OG_14618
GO:0022613	0.0102776742066	0.334033832363	BP	e	ribonucleoprotein complex biogenesis	3/41	21/1844	3	3	OG_13079, OG_14661, OG_15441
GO:0043603	0.00938532152909	0.334033832363	BP	e	cellular amide metabolic process	5/41	60/1844	4	5	OG_11565, OG_12342, OG_14661, OG_15441, OG_16213
GO:0044085	0.0117184377519	0.334033832363	BP	e	cellular component biogenesis	3/41	22/1844	2	3	OG_13079, OG_14661, OG_15441
GO:0051345	0.015017874899	0.34874842821	BP	e	positive regulation of hydrolase activity	4/41	44/1844	5	4	OG_10939, OG_12089, OG_14638, OG_16556
GO:0051656	0.0502426097979	0.36142108651	BP	e	establishment of organelle localization	3/41	38/1844	4	3	OG_11565, OG_14638, OG_15441
GO:0071840	0.0349804815624	0.36142108651	BP	e	cellular component organization or biogenesis	18/41	526/1844	1	18	OG_10939, OG_11565, OG_12069, OG_12342, OG_13079, OG_13553, OG_13737, OG_14638, OG_14661, OG_15120, OG_15183, OG_15441, OG_16213, OG_16283, OG_16299, OG_16556, OG_16712, OG_17109
GO:0043043	0.0297890192877	0.36142108651	BP	e	peptide biosynthetic process	3/41	31/1844	6	3	OG_12342, OG_14661, OG_15441
GO:0051704	0.0481694170269	0.36142108651	BP	e	multi-organism process	5/41	91/1844	1	5	OG_10939, OG_12074, OG_13737, OG_15754, OG_16299
GO:0051056	0.0273212894391	0.36142108651	BP	e	regulation of small GTPase mediated signal transduction	3/41	30/1844	7	3	OG_12089, OG_14638, OG_15120
GO:0030162	0.028051832421	0.36142108651	BP	e	regulation of proteolysis	4/41	53/1844	6	4	OG_10939, OG_12074, OG_14920, OG_17746
GO:0007525	0.0227317032716	0.36142108651	BP	e	somatic muscle development	3/41	28/1844	4	3	OG_10939, OG_12074, OG_16299
GO:0006163	0.0536079123531	0.36142108651	BP	e	purine nucleotide metabolic process	3/41	39/1844	8	3	OG_12121, OG_13861, OG_16213
