GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0015849	0.0210720962582	0.862211541672	BP	e	organic acid transport	3/40	28/1851	5	3	OG_12290, OG_12694, OG_15996
GO:0120036	0.0361767080422	0.862211541672	BP	e	plasma membrane bounded cell projection organization	4/40	59/1851	4	4	OG_12184, OG_13258, OG_15984, OG_16589
GO:0048646	0.0131412040309	0.862211541672	BP	e	anatomical structure formation involved in morphogenesis	6/40	93/1851	2	6	OG_12047, OG_12184, OG_13258, OG_13552, OG_16837, OG_19038
GO:0050877	0.0279742200428	0.862211541672	BP	e	nervous system process	5/40	81/1851	3	5	OG_12694, OG_15269, OG_15984, OG_16837, OG_17908
GO:0051604	0.0352084968142	0.862211541672	BP	e	protein maturation	3/40	34/1851	5	3	OG_11834, OG_15367, OG_16837
GO:0046942	0.0210720962582	0.862211541672	BP	e	carboxylic acid transport	3/40	28/1851	7	3	OG_12290, OG_12694, OG_15996
GO:0080090	0.209437583185	0.974599643792	BP	p	regulation of primary metabolic process	7/40	512/1851	4	7	OG_12184, OG_12711, OG_13258, OG_13970, OG_15984, OG_17126, OG_19038
GO:0019222	0.730992642746	0.974599643792	BP	p	regulation of metabolic process	11/40	573/1851	3	11	OG_12184, OG_12290, OG_12694, OG_12711, OG_13258, OG_13970, OG_15984, OG_16589, OG_17126, OG_17908, OG_19038
GO:0051049	0.352881769322	0.974599643792	BP	e	regulation of transport	4/40	128/1851	4	4	OG_12047, OG_13559, OG_15269, OG_16837
GO:0048468	0.527206754799	0.974599643792	BP	e	cell development	4/40	133/1851	3	4	OG_13258, OG_15984, OG_16589, OG_19038
GO:0007610	0.50428641323	0.974599643792	BP	e	behavior	3/40	108/1851	1	3	OG_15269, OG_16837, OG_17908
GO:0006820	0.0827926008653	0.974599643792	BP	e	anion transport	3/40	48/1851	5	3	OG_12290, OG_12694, OG_15996
GO:0007165	0.529069057681	0.974599643792	BP	p	signal transduction	5/40	318/1851	4	5	OG_12047, OG_12184, OG_15120, OG_15478, OG_17551
GO:1901360	0.27526312141	0.974599643792	BP	p	organic cyclic compound metabolic process	7/40	475/1851	3	7	OG_13258, OG_13720, OG_13970, OG_16427, OG_17059, OG_17113, OG_17126
GO:0051716	0.801743227908	0.974599643792	BP	e	cellular response to stimulus	5/40	213/1851	2	5	OG_12184, OG_12688, OG_17059, OG_17113, OG_19038
GO:0010605	0.797627503876	0.974599643792	BP	e	negative regulation of macromolecule metabolic process	5/40	206/1851	5	5	OG_12184, OG_13970, OG_15984, OG_17126, OG_19038
GO:0010604	0.502683027964	0.974599643792	BP	p	positive regulation of macromolecule metabolic process	4/40	273/1851	5	4	OG_12711, OG_13258, OG_17908, OG_19038
GO:0009966	0.634963523789	0.974599643792	BP	e	regulation of signal transduction	6/40	239/1851	5	6	OG_11834, OG_15120, OG_15269, OG_15984, OG_16837, OG_17994
GO:0018193	0.424430705049	0.974599643792	BP	e	peptidyl-amino acid modification	3/40	84/1851	7	3	OG_15269, OG_15367, OG_17908
GO:0048518	0.717241876094	0.974599643792	BP	p	positive regulation of biological process	9/40	489/1851	3	9	OG_11834, OG_12711, OG_13258, OG_13559, OG_15120, OG_15269, OG_16837, OG_17908, OG_19038
GO:0046483	0.357351616543	0.974599643792	BP	p	heterocycle metabolic process	7/40	449/1851	3	7	OG_13258, OG_13720, OG_13970, OG_16427, OG_17059, OG_17113, OG_17126
GO:0030154	0.780679290765	0.974599643792	BP	e	cell differentiation	4/40	169/1851	3	4	OG_12047, OG_13258, OG_15984, OG_16837
GO:0051050	0.12765302591	0.974599643792	BP	e	positive regulation of transport	3/40	58/1851	5	3	OG_13559, OG_15269, OG_16837
