GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0060079	0.000145161615386	0.0360000806157	BP	e	excitatory postsynaptic potential	3/37	6/1834	5	3	OG_13163, OG_16949, OG_17217
GO:0060078	0.00039523019914	0.0490085446934	BP	e	regulation of postsynaptic membrane potential	3/37	8/1834	4	3	OG_13163, OG_16949, OG_17217
GO:0031099	0.000823562414128	0.0680811595679	BP	e	regeneration	3/37	10/1834	3	3	OG_13038, OG_14467, OG_14517
GO:0007186	0.00125197579145	0.0776224990699	BP	e	G protein-coupled receptor signaling pathway	5/37	42/1834	5	5	OG_12083, OG_13038, OG_13163, OG_16560, OG_17217
GO:0010038	0.00236244970052	0.10088130767	BP	e	response to metal ion	3/37	14/1834	4	3	OG_14770, OG_16606, OG_17217
GO:0006950	0.00284745626487	0.10088130767	BP	e	response to stress	12/37	254/1834	2	12	OG_11300, OG_11934, OG_12105, OG_12291, OG_13163, OG_13807, OG_14467, OG_14770, OG_14800, OG_15450, OG_16414, OG_16606
GO:0050808	0.00264237643329	0.10088130767	BP	e	synapse organization	4/37	30/1834	3	4	OG_12083, OG_13807, OG_15372, OG_15401
GO:0009636	0.00336843686921	0.104421542946	BP	e	response to toxic substance	4/37	32/1834	3	4	OG_13163, OG_16606, OG_16949, OG_17217
GO:0050896	0.00401683070493	0.110686001647	BP	e	response to stimulus	16/37	405/1834	1	16	OG_11300, OG_11934, OG_12105, OG_12291, OG_13038, OG_13163, OG_13807, OG_14467, OG_14770, OG_14800, OG_15450, OG_16378, OG_16414, OG_16606, OG_16949, OG_17217
GO:0007188	0.00500900599029	0.117718675858	BP	e	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	3/37	18/1834	7	3	OG_12083, OG_13163, OG_16560
GO:0007187	0.00586602517493	0.117718675858	BP	e	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	3/37	19/1834	6	3	OG_12083, OG_13163, OG_16560
GO:0012501	0.00533140211228	0.117718675858	BP	e	programmed cell death	5/37	58/1834	3	5	OG_12105, OG_12291, OG_13163, OG_13807, OG_16606
GO:0008219	0.00617073704094	0.117718675858	BP	e	cell death	5/37	60/1834	2	5	OG_12105, OG_12291, OG_13163, OG_13807, OG_16606
GO:0007165	0.0126055535417	0.208411818556	BP	e	signal transduction	12/37	300/1834	4	12	OG_12083, OG_12105, OG_13038, OG_13163, OG_13807, OG_14517, OG_15372, OG_15450, OG_16393, OG_16560, OG_16949, OG_17217
GO:0035556	0.0120568209601	0.208411818556	BP	e	intracellular signal transduction	7/37	128/1834	5	7	OG_12105, OG_13163, OG_13807, OG_15372, OG_15450, OG_16393, OG_16560
GO:0043066	0.0155319672338	0.240745492124	BP	e	negative regulation of apoptotic process	4/37	49/1834	7	4	OG_12105, OG_13163, OG_14517, OG_16606
GO:0043069	0.0166414827123	0.24276986545	BP	e	negative regulation of programmed cell death	4/37	50/1834	6	4	OG_12105, OG_13163, OG_14517, OG_16606
GO:0031344	0.0243482895993	0.290665892001	BP	e	regulation of cell projection organization	4/37	56/1834	5	4	OG_13807, OG_13851, OG_14467, OG_15450
GO:0010035	0.021102436808	0.290665892001	BP	e	response to inorganic substance	3/37	30/1834	3	3	OG_14770, OG_16606, OG_17217
GO:0120035	0.0243482895993	0.290665892001	BP	e	regulation of plasma membrane bounded cell projection organization	4/37	56/1834	6	4	OG_13807, OG_13851, OG_14467, OG_15450
GO:0050877	0.0256876069556	0.290665892001	BP	e	nervous system process	5/37	85/1834	3	5	OG_12083, OG_13163, OG_13807, OG_16949, OG_17217
GO:0042221	0.0257848775162	0.290665892001	BP	e	response to chemical	8/37	183/1834	2	8	OG_13038, OG_13163, OG_14770, OG_14800, OG_16378, OG_16606, OG_16949, OG_17217
GO:0006820	0.0392716889137	0.295132692442	BP	e	anion transport	3/37	38/1834	5	3	OG_12348, OG_16414, OG_17217
GO:0060548	0.0289000781893	0.295132692442	BP	e	negative regulation of cell death	4/37	59/1834	5	4	OG_12105, OG_13163, OG_14517, OG_16606
GO:0098916	0.0392716889137	0.295132692442	BP	e	anterograde trans-synaptic signaling	3/37	38/1834	6	3	OG_13163, OG_16949, OG_17217
GO:0042391	0.0294329946376	0.295132692442	BP	e	regulation of membrane potential	3/37	34/1834	3	3	OG_13163, OG_16949, OG_17217
GO:0007005	0.0392716889137	0.295132692442	BP	e	mitochondrion organization	3/37	38/1834	4	3	OG_12348, OG_13778, OG_16606
GO:0006952	0.030523602557	0.295132692442	BP	e	defense response	4/37	60/1834	3	4	OG_12291, OG_13163, OG_13807, OG_15450
GO:0099536	0.0392716889137	0.295132692442	BP	e	synaptic signaling	3/37	38/1834	4	3	OG_13163, OG_16949, OG_17217
GO:0099537	0.0392716889137	0.295132692442	BP	e	trans-synaptic signaling	3/37	38/1834	5	3	OG_13163, OG_16949, OG_17217
GO:0050767	0.0347620001938	0.295132692442	BP	e	regulation of neurogenesis	5/37	92/1834	6	5	OG_13807, OG_13851, OG_14467, OG_14517, OG_15450
GO:0050769	0.0392716889137	0.295132692442	BP	e	positive regulation of neurogenesis	3/37	38/1834	7	3	OG_13807, OG_14467, OG_14517
GO:0007268	0.0392716889137	0.295132692442	BP	e	chemical synaptic transmission	3/37	38/1834	7	3	OG_13163, OG_16949, OG_17217
GO:0042981	0.0407524411822	0.297253100388	BP	e	regulation of apoptotic process	5/37	96/1834	6	5	OG_12105, OG_13038, OG_13163, OG_14517, OG_16606
GO:0007610	0.0439730850173	0.302925696786	BP	e	behavior	5/37	98/1834	1	5	OG_12083, OG_13163, OG_13807, OG_15401, OG_17217
GO:0016043	0.0439215524122	0.302925696786	BP	e	cellular component organization	17/37	547/1834	2	17	OG_11300, OG_11934, OG_12083, OG_12105, OG_12348, OG_13038, OG_13163, OG_13309, OG_13778, OG_13807, OG_13851, OG_14467, OG_15372, OG_15401, OG_15450, OG_16606, OG_17217
GO:0051656	0.0505883894738	0.308108742493	BP	e	establishment of organelle localization	3/37	42/1834	4	3	OG_11300, OG_13309, OG_13807
GO:0071840	0.0488983841248	0.308108742493	BP	e	cellular component organization or biogenesis	17/37	565/1834	1	17	OG_11300, OG_11934, OG_12083, OG_12105, OG_12348, OG_13038, OG_13163, OG_13309, OG_13778, OG_13807, OG_13851, OG_14467, OG_15372, OG_15401, OG_15450, OG_16606, OG_17217
GO:0018193	0.0664392372595	0.308108742493	BP	e	peptidyl-amino acid modification	4/37	77/1834	7	4	OG_11300, OG_13807, OG_15377, OG_16606
GO:0010720	0.0667312008718	0.308108742493	BP	e	positive regulation of cell development	3/37	47/1834	6	3	OG_13807, OG_14467, OG_14517
GO:0010975	0.053642785692	0.308108742493	BP	e	regulation of neuron projection development	3/37	43/1834	8	3	OG_13851, OG_14467, OG_15450
GO:0010033	0.0627928676796	0.308108742493	BP	e	response to organic substance	6/37	143/1834	3	6	OG_13038, OG_13163, OG_14770, OG_14800, OG_16378, OG_17217
GO:0003008	0.0708153158149	0.308108742493	BP	e	system process	5/37	112/1834	2	5	OG_12083, OG_13163, OG_13807, OG_16949, OG_17217
GO:0120039	0.070215230106	0.308108742493	BP	e	plasma membrane bounded cell projection morphogenesis	3/37	48/1834	6	3	OG_12348, OG_13163, OG_13851
GO:0051962	0.0633307298149	0.308108742493	BP	e	positive regulation of nervous system development	3/37	46/1834	6	3	OG_13807, OG_14467, OG_14517
GO:0048812	0.0667312008718	0.308108742493	BP	e	neuron projection morphogenesis	3/37	47/1834	7	3	OG_12348, OG_13163, OG_13851
GO:0032101	0.0600150555919	0.308108742493	BP	e	regulation of response to external stimulus	3/37	45/1834	4	3	OG_13163, OG_13851, OG_14467
GO:0051129	0.0664392372595	0.308108742493	BP	e	negative regulation of cellular component organization	4/37	77/1834	5	4	OG_11300, OG_14467, OG_15450, OG_16606
GO:0060284	0.0665173992395	0.308108742493	BP	e	regulation of cell development	5/37	110/1834	5	5	OG_13807, OG_13851, OG_14467, OG_14517, OG_15450
GO:0008284	0.0633307298149	0.308108742493	BP	e	positive regulation of cell population proliferation	3/37	46/1834	5	3	OG_13807, OG_14517, OG_16560
GO:0048858	0.070215230106	0.308108742493	BP	e	cell projection morphogenesis	3/37	48/1834	5	3	OG_12348, OG_13163, OG_13851
GO:0010941	0.0708153158149	0.308108742493	BP	e	regulation of cell death	5/37	112/1834	4	5	OG_12105, OG_13038, OG_13163, OG_14517, OG_16606
GO:0043065	0.0667312008718	0.308108742493	BP	e	positive regulation of apoptotic process	3/37	47/1834	7	3	OG_13038, OG_13163, OG_16606
GO:0043067	0.0490894987308	0.308108742493	BP	e	regulation of programmed cell death	5/37	101/1834	5	5	OG_12105, OG_13038, OG_13163, OG_14517, OG_16606
GO:0051960	0.0665173992395	0.308108742493	BP	e	regulation of nervous system development	5/37	110/1834	5	5	OG_13807, OG_13851, OG_14467, OG_14517, OG_15450
GO:0006915	0.0600150555919	0.308108742493	BP	e	apoptotic process	3/37	45/1834	4	3	OG_12105, OG_12291, OG_13163
GO:0044089	0.0667312008718	0.308108742493	BP	e	positive regulation of cellular component biogenesis	3/37	47/1834	4	3	OG_13309, OG_13807, OG_15450
GO:0007154	0.0744020401618	0.312740778985	BP	e	cell communication	4/37	80/1834	2	4	OG_13163, OG_14800, OG_16949, OG_17217
GO:0007267	0.0737815298585	0.312740778985	BP	e	cell-cell signaling	3/37	49/1834	3	3	OG_13163, OG_16949, OG_17217
GO:0006468	0.0771618667344	0.314792363832	BP	e	protein phosphorylation	4/37	81/1834	7	4	OG_11300, OG_13163, OG_13309, OG_13807
GO:0032990	0.0774287669103	0.314792363832	BP	e	cell part morphogenesis	3/37	50/1834	4	3	OG_12348, OG_13163, OG_13851
GO:0043068	0.0811555657945	0.324622263178	BP	e	positive regulation of programmed cell death	3/37	51/1834	6	3	OG_13038, OG_13163, OG_16606
GO:0032989	0.085752946269	0.337567153567	BP	e	cellular component morphogenesis	4/37	84/1834	3	4	OG_12348, OG_13163, OG_13807, OG_13851
GO:0023052	0.092799011142	0.343494847212	BP	e	signaling	3/37	54/1834	1	3	OG_13163, OG_16949, OG_17217
GO:0048609	0.0917358312198	0.343494847212	BP	e	multicellular organismal reproductive process	4/37	86/1834	2	4	OG_12083, OG_13038, OG_13309, OG_13807
GO:1901137	0.092799011142	0.343494847212	BP	e	carbohydrate derivative biosynthetic process	3/37	54/1834	4	3	OG_13163, OG_15450, OG_16378
GO:0010942	0.092799011142	0.343494847212	BP	e	positive regulation of cell death	3/37	54/1834	5	3	OG_13038, OG_13163, OG_16606
GO:0042493	0.0968295667686	0.353143125862	BP	e	response to drug	3/37	55/1834	3	3	OG_13163, OG_16606, OG_17217
GO:0009058	0.0996983347354	0.357588651166	BP	e	biosynthetic process	12/37	383/1834	2	12	OG_11934, OG_12105, OG_12422, OG_13163, OG_13851, OG_14467, OG_14517, OG_14770, OG_14800, OG_15377, OG_15450, OG_16378
GO:0051640	0.100932280571	0.357588651166	BP	e	organelle localization	3/37	56/1834	3	3	OG_11300, OG_13309, OG_13807
GO:0090407	0.105105586415	0.367129372266	BP	e	organophosphate biosynthetic process	3/37	57/1834	5	3	OG_13163, OG_15377, OG_16378
GO:0051716	0.120625911854	0.370833680883	BP	e	cellular response to stimulus	8/37	224/1834	2	8	OG_11934, OG_12105, OG_13163, OG_14467, OG_14800, OG_16378, OG_16606, OG_17217
GO:0097485	0.136159641937	0.370833680883	BP	e	neuron projection guidance	3/37	64/1834	3	3	OG_13309, OG_13851, OG_14467
GO:0048869	0.116582351817	0.370833680883	BP	e	cellular developmental process	10/37	309/1834	2	10	OG_12291, OG_12348, OG_13163, OG_13309, OG_13807, OG_13851, OG_14467, OG_14517, OG_15450, OG_16560
GO:0045664	0.126974748979	0.370833680883	BP	e	regulation of neuron differentiation	3/37	62/1834	7	3	OG_13851, OG_14467, OG_15450
GO:0010243	0.131537629718	0.370833680883	BP	e	response to organonitrogen compound	3/37	63/1834	4	3	OG_13163, OG_14800, OG_17217
GO:0009891	0.143548521632	0.370833680883	BP	e	positive regulation of biosynthetic process	6/37	168/1834	5	6	OG_12105, OG_13163, OG_13851, OG_14467, OG_14612, OG_14800
GO:0006928	0.129908212733	0.370833680883	BP	e	movement of cell or subcellular component	6/37	160/1834	2	6	OG_12763, OG_13309, OG_13851, OG_14467, OG_14517, OG_15450
GO:0006807	0.130315371779	0.370833680883	BP	e	nitrogen compound metabolic process	21/37	794/1834	2	21	OG_11300, OG_11934, OG_12105, OG_12291, OG_12422, OG_13163, OG_13309, OG_13807, OG_13846, OG_13851, OG_14467, OG_14517, OG_14612, OG_14770, OG_14800, OG_15377, OG_15401, OG_15450, OG_15477, OG_16378, OG_16606
GO:0051130	0.142676051204	0.370833680883	BP	e	positive regulation of cellular component organization	4/37	101/1834	5	4	OG_13309, OG_13807, OG_15450, OG_16606
GO:0006811	0.142676051204	0.370833680883	BP	e	ion transport	4/37	101/1834	4	4	OG_12348, OG_16414, OG_16949, OG_17217
GO:0016070	0.128600540118	0.370833680883	BP	e	RNA metabolic process	10/37	322/1834	6	10	OG_11934, OG_12105, OG_13846, OG_13851, OG_14467, OG_14517, OG_14800, OG_15377, OG_15401, OG_15477
GO:0051128	0.125121439802	0.370833680883	BP	e	regulation of cellular component organization	8/37	230/1834	4	8	OG_11300, OG_13309, OG_13807, OG_13851, OG_14467, OG_14517, OG_15450, OG_16606
GO:0044249	0.142754743094	0.370833680883	BP	e	cellular biosynthetic process	11/37	363/1834	3	11	OG_11934, OG_12105, OG_12422, OG_13163, OG_13851, OG_14467, OG_14517, OG_14800, OG_15377, OG_15450, OG_16378
GO:0007411	0.122472675034	0.370833680883	BP	e	axon guidance	3/37	61/1834	4	3	OG_13309, OG_13851, OG_14467
GO:0007049	0.113657600329	0.370833680883	BP	e	cell cycle	3/37	59/1834	2	3	OG_11300, OG_12105, OG_13309
GO:0009987	0.13813624901	0.370833680883	BP	e	cellular process	31/37	1326/1834	1	31	OG_11300, OG_11934, OG_12083, OG_12105, OG_12291, OG_12348, OG_12422, OG_12763, OG_13038, OG_13163, OG_13309, OG_13778, OG_13807, OG_13846, OG_13851, OG_14467, OG_14517, OG_14612, OG_14770, OG_14800, OG_15372, OG_15377, OG_15401, OG_15450, OG_15477, OG_16378, OG_16393, OG_16560, OG_16606, OG_16949, OG_17217
GO:0045596	0.140839102896	0.370833680883	BP	e	negative regulation of cell differentiation	3/37	65/1834	5	3	OG_14467, OG_14517, OG_15450
