GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048589	0.0868637928348	0.646186283152	BP	e	developmental growth	3/36	59/2007	2	3	OG_12892, OG_14806, OG_15829
GO:0019637	0.0820297857778	0.646186283152	BP	e	organophosphate metabolic process	4/36	93/2007	4	4	OG_11765, OG_14806, OG_15214, OG_15648
GO:1901135	0.0437046324341	0.646186283152	BP	e	carbohydrate derivative metabolic process	5/36	110/2007	3	5	OG_11765, OG_14806, OG_15214, OG_15648, OG_17850
GO:0009890	0.061575988741	0.646186283152	BP	e	negative regulation of biosynthetic process	5/36	121/2007	5	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0032259	0.0703999317471	0.646186283152	BP	e	methylation	3/36	54/2007	2	3	OG_15599, OG_17083, OG_18075
GO:0070201	0.0672979861823	0.646186283152	BP	e	regulation of establishment of protein localization	3/36	53/2007	5	3	OG_13341, OG_15829, OG_18291
GO:0043414	0.0424379180761	0.646186283152	BP	e	macromolecule methylation	3/36	44/2007	5	3	OG_15599, OG_17083, OG_18075
GO:0006753	0.0767975195498	0.646186283152	BP	e	nucleoside phosphate metabolic process	3/36	56/2007	6	3	OG_11765, OG_14806, OG_15214
GO:0010558	0.0513723065231	0.646186283152	BP	e	negative regulation of macromolecule biosynthetic process	5/36	115/2007	6	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0016311	0.023406406562	0.646186283152	BP	e	dephosphorylation	3/36	35/2007	5	3	OG_11765, OG_15590, OG_18291
GO:0009314	0.0500970255894	0.646186283152	BP	e	response to radiation	3/36	47/2007	3	3	OG_14800, OG_14806, OG_17850
GO:0009416	0.023406406562	0.646186283152	BP	e	response to light stimulus	3/36	35/2007	4	3	OG_14800, OG_14806, OG_17850
GO:0000122	0.00726033420112	0.646186283152	BP	e	negative regulation of transcription by RNA polymerase II	5/36	70/2007	11	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:1903507	0.0342251243861	0.646186283152	BP	e	negative regulation of nucleic acid-templated transcription	5/36	103/2007	9	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0045892	0.0329882379439	0.646186283152	BP	e	negative regulation of transcription, DNA-templated	5/36	102/2007	10	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0051253	0.0451778282789	0.646186283152	BP	e	negative regulation of RNA metabolic process	5/36	111/2007	7	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0031327	0.0580527293953	0.646186283152	BP	e	negative regulation of cellular biosynthetic process	5/36	119/2007	6	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0022402	0.0896443398592	0.646186283152	BP	e	cell cycle process	5/36	135/2007	2	5	OG_12892, OG_14806, OG_15590, OG_17083, OG_18075
GO:0040007	0.0868637928348	0.646186283152	BP	e	growth	3/36	59/2007	1	3	OG_12892, OG_14806, OG_15829
GO:2000113	0.0497782739012	0.646186283152	BP	e	negative regulation of cellular macromolecule biosynthetic process	5/36	114/2007	7	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0045934	0.061575988741	0.646186283152	BP	e	negative regulation of nucleobase-containing compound metabolic process	5/36	121/2007	6	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:1902679	0.0342251243861	0.646186283152	BP	e	negative regulation of RNA biosynthetic process	5/36	103/2007	8	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0009117	0.0735667531676	0.646186283152	BP	e	nucleotide metabolic process	3/36	55/2007	7	3	OG_11765, OG_14806, OG_15214
GO:0040017	0.0354291565506	0.646186283152	BP	e	positive regulation of locomotion	3/36	41/2007	4	3	OG_13341, OG_13737, OG_15829
GO:1901576	0.103590834766	0.653502998731	BP	e	organic substance biosynthetic process	12/36	439/2007	3	12	OG_11765, OG_12691, OG_13373, OG_13737, OG_14800, OG_15284, OG_15648, OG_16811, OG_17083, OG_17128, OG_17379, OG_17850
GO:0044249	0.0975485475108	0.653502998731	BP	e	cellular biosynthetic process	12/36	428/2007	3	12	OG_11765, OG_12691, OG_13373, OG_13737, OG_14800, OG_15284, OG_15648, OG_16811, OG_17083, OG_17128, OG_17379, OG_17850
GO:0007017	0.109546745452	0.653502998731	BP	e	microtubule-based process	4/36	103/2007	2	4	OG_14806, OG_15590, OG_17501, OG_18075
GO:0009058	0.109277510406	0.653502998731	BP	e	biosynthetic process	12/36	447/2007	2	12	OG_11765, OG_12691, OG_13373, OG_13737, OG_14800, OG_15284, OG_15648, OG_16811, OG_17083, OG_17128, OG_17379, OG_17850
GO:0006996	0.104752759236	0.653502998731	BP	e	organelle organization	9/36	307/2007	3	9	OG_12750, OG_12892, OG_13373, OG_14806, OG_15829, OG_16811, OG_16861, OG_17501, OG_18075
GO:0044281	0.131282204762	0.658178966623	BP	e	small molecule metabolic process	6/36	181/2007	2	6	OG_11765, OG_12691, OG_12892, OG_14800, OG_14806, OG_15214
GO:0042127	0.140766599798	0.658178966623	BP	e	regulation of cell population proliferation	4/36	113/2007	4	4	OG_12892, OG_14806, OG_17083, OG_18291
GO:0034654	0.139690638591	0.658178966623	BP	e	nucleobase-containing compound biosynthetic process	8/36	274/2007	5	8	OG_11765, OG_13373, OG_13737, OG_14800, OG_15284, OG_16811, OG_17083, OG_17128
GO:0009628	0.140766599798	0.658178966623	BP	e	response to abiotic stimulus	4/36	113/2007	2	4	OG_14800, OG_14806, OG_17379, OG_17850
GO:0055086	0.136343034786	0.658178966623	BP	e	nucleobase-containing small molecule metabolic process	3/36	72/2007	5	3	OG_11765, OG_14806, OG_15214
GO:0051301	0.132232439059	0.658178966623	BP	e	cell division	3/36	71/2007	2	3	OG_12892, OG_13373, OG_15590
GO:0006357	0.134139781778	0.658178966623	BP	e	regulation of transcription by RNA polymerase II	6/36	183/2007	10	6	OG_12691, OG_12892, OG_14800, OG_14806, OG_17083, OG_17128
GO:0040012	0.128168360699	0.658178966623	BP	e	regulation of locomotion	3/36	70/2007	3	3	OG_13341, OG_13737, OG_15829
GO:0097659	0.161848758681	0.699995881295	BP	e	nucleic acid-templated transcription	6/36	199/2007	8	6	OG_13373, OG_13737, OG_14800, OG_15284, OG_17083, OG_17128
GO:0006351	0.161848758681	0.699995881295	BP	e	transcription, DNA-templated	6/36	199/2007	9	6	OG_13373, OG_13737, OG_14800, OG_15284, OG_17083, OG_17128
GO:0009059	0.160555843187	0.699995881295	BP	e	macromolecule biosynthetic process	9/36	316/2007	4	9	OG_13373, OG_13737, OG_14800, OG_15284, OG_16811, OG_17083, OG_17128, OG_17379, OG_17850
GO:0032880	0.166320412955	0.701791010761	BP	e	regulation of protein localization	3/36	79/2007	4	3	OG_13341, OG_15829, OG_18291
GO:0010629	0.187107286266	0.727636847948	BP	e	negative regulation of gene expression	5/36	151/2007	6	5	OG_12691, OG_12892, OG_14806, OG_17083, OG_17128
GO:0044271	0.178653894637	0.727636847948	BP	e	cellular nitrogen compound biosynthetic process	9/36	336/2007	4	9	OG_11765, OG_13373, OG_13737, OG_14800, OG_15284, OG_16811, OG_17083, OG_17128, OG_17379
GO:0048609	0.193475693674	0.727636847948	BP	e	multicellular organismal reproductive process	3/36	85/2007	2	3	OG_14806, OG_15599, OG_17379
GO:0051093	0.193475693674	0.727636847948	BP	e	negative regulation of developmental process	3/36	85/2007	4	3	OG_13341, OG_13373, OG_14806
