GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0035152	0.000628941756581	0.125788351316	BP	e	regulation of tube architecture, open tracheal system	4/47	20/2255	3	4	OG_11400, OG_14928, OG_15618, OG_15825
GO:0048870	0.00132424958813	0.132424958813	BP	e	cell motility	8/47	107/2255	3	8	OG_12178, OG_13695, OG_15412, OG_15618, OG_15827, OG_16263, OG_16969, OG_18525
GO:0040011	0.00577627510709	0.385085007139	BP	e	locomotion	8/47	135/2255	1	8	OG_12178, OG_13695, OG_15412, OG_15618, OG_15827, OG_16263, OG_16969, OG_18525
GO:0001505	0.0348465513269	0.394421971342	BP	e	regulation of neurotransmitter levels	3/47	35/2255	3	3	OG_11589, OG_13384, OG_15825
GO:0007605	0.0232364836291	0.394421971342	BP	e	sensory perception of sound	3/47	30/2255	6	3	OG_11400, OG_11844, OG_17505
GO:0016197	0.0323229136729	0.394421971342	BP	e	endosomal transport	3/47	34/2255	5	3	OG_14928, OG_16841, OG_18525
GO:0006928	0.0158579722486	0.394421971342	BP	e	movement of cell or subcellular component	9/47	193/2255	2	9	OG_12034, OG_12178, OG_13695, OG_15412, OG_15618, OG_15827, OG_16263, OG_16969, OG_18525
GO:0050954	0.0275773993256	0.394421971342	BP	e	sensory perception of mechanical stimulus	3/47	32/2255	5	3	OG_11400, OG_11844, OG_17505
GO:0016477	0.0139416698047	0.394421971342	BP	e	cell migration	6/47	97/2255	4	6	OG_12178, OG_13695, OG_15618, OG_15827, OG_16263, OG_16969
GO:0048646	0.037193596406	0.394421971342	BP	e	anatomical structure formation involved in morphogenesis	6/47	121/2255	2	6	OG_12013, OG_13695, OG_14717, OG_14928, OG_15618, OG_15825
GO:0009887	0.0312236710795	0.394421971342	BP	e	animal organ morphogenesis	5/47	86/2255	3	5	OG_11400, OG_13695, OG_15618, OG_15827, OG_17505
GO:0055065	0.0374700872775	0.394421971342	BP	e	metal ion homeostasis	3/47	36/2255	7	3	OG_11400, OG_15827, OG_16341
GO:0009790	0.0348465513269	0.394421971342	BP	e	embryo development	3/47	35/2255	4	3	OG_11400, OG_12034, OG_16969
GO:0009792	0.0348465513269	0.394421971342	BP	e	embryo development ending in birth or egg hatching	3/47	35/2255	5	3	OG_11400, OG_12034, OG_16969
GO:0097435	0.03263854411	0.394421971342	BP	e	supramolecular fiber organization	4/47	59/2255	3	4	OG_11844, OG_12013, OG_15618, OG_16263
GO:0006875	0.0323229136729	0.394421971342	BP	e	cellular metal ion homeostasis	3/47	34/2255	8	3	OG_11400, OG_15827, OG_16341
GO:0008038	0.0253562608692	0.394421971342	BP	e	neuron recognition	3/47	31/2255	3	3	OG_12178, OG_15618, OG_17505
GO:1902903	0.0323229136729	0.394421971342	BP	e	regulation of supramolecular fiber organization	3/47	34/2255	5	3	OG_13695, OG_14717, OG_15618
GO:0008037	0.0374700872775	0.394421971342	BP	e	cell recognition	3/47	36/2255	2	3	OG_12178, OG_15618, OG_17505
GO:0090066	0.0443557308157	0.443557308157	BP	e	regulation of anatomical structure size	4/47	65/2255	3	4	OG_11400, OG_11844, OG_12178, OG_13695
GO:0098771	0.0841600084257	0.480914333861	BP	e	inorganic ion homeostasis	3/47	50/2255	6	3	OG_11400, OG_15827, OG_16341
GO:0051493	0.0802458083438	0.480914333861	BP	e	regulation of cytoskeleton organization	3/47	49/2255	6	3	OG_13695, OG_14717, OG_15618
GO:0007600	0.0632366417566	0.480914333861	BP	e	sensory perception	4/47	73/2255	4	4	OG_11400, OG_11844, OG_15618, OG_17505
