GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007610	0.0274491469229	0.244372916865	BP	e	behavior	5/30	110/1882	1	5	OG_11571, OG_12607, OG_13605, OG_17435, OG_18952
GO:0031344	0.0220781013023	0.244372916865	BP	e	regulation of cell projection organization	4/30	69/1882	5	4	OG_13238, OG_13254, OG_13464, OG_18897
GO:0043067	0.0181523321717	0.244372916865	BP	e	regulation of programmed cell death	5/30	99/1882	5	5	OG_12607, OG_13238, OG_15443, OG_16615, OG_18952
GO:0060548	0.0278029067092	0.244372916865	BP	e	negative regulation of cell death	4/30	74/1882	5	4	OG_12607, OG_15443, OG_16615, OG_18952
GO:0010033	0.0134736762386	0.244372916865	BP	e	response to organic substance	6/30	128/1882	3	6	OG_13238, OG_13464, OG_15673, OG_16328, OG_16615, OG_18952
GO:0042391	0.0197160960097	0.244372916865	BP	e	regulation of membrane potential	3/30	37/1882	3	3	OG_11571, OG_12607, OG_14938
GO:0120035	0.0220781013023	0.244372916865	BP	e	regulation of plasma membrane bounded cell projection organization	4/30	69/1882	6	4	OG_13238, OG_13254, OG_13464, OG_18897
GO:0120031	0.0226987563498	0.244372916865	BP	e	plasma membrane bounded cell projection assembly	3/30	39/1882	5	3	OG_13238, OG_13254, OG_18897
GO:0034220	0.0265927342564	0.244372916865	BP	e	ion transmembrane transport	4/30	73/1882	5	4	OG_11571, OG_12607, OG_14938, OG_18952
GO:0070887	0.020438064174	0.244372916865	BP	e	cellular response to chemical stimulus	5/30	102/1882	3	5	OG_13238, OG_15673, OG_16328, OG_16615, OG_18952
GO:0042221	0.0187048968193	0.244372916865	BP	e	response to chemical	7/30	178/1882	2	7	OG_13238, OG_13464, OG_15673, OG_16328, OG_16615, OG_18156, OG_18952
GO:0009719	0.0122402739935	0.244372916865	BP	e	response to endogenous stimulus	4/30	58/1882	2	4	OG_13238, OG_15673, OG_16328, OG_18952
GO:0071495	0.0197160960097	0.244372916865	BP	e	cellular response to endogenous stimulus	3/30	37/1882	3	3	OG_13238, OG_15673, OG_18952
GO:1901701	0.00953796850368	0.244372916865	BP	e	cellular response to oxygen-containing compound	4/30	54/1882	4	4	OG_13238, OG_16328, OG_16615, OG_18952
GO:0055085	0.0111688655321	0.244372916865	BP	e	transmembrane transport	6/30	123/1882	4	6	OG_11571, OG_12607, OG_14938, OG_16328, OG_18714, OG_18952
GO:0010941	0.0264976875745	0.244372916865	BP	e	regulation of cell death	5/30	109/1882	4	5	OG_12607, OG_13238, OG_15443, OG_16615, OG_18952
GO:0071310	0.018074084095	0.244372916865	BP	e	cellular response to organic substance	4/30	65/1882	4	4	OG_13238, OG_15673, OG_16615, OG_18952
GO:0043269	0.0226987563498	0.244372916865	BP	e	regulation of ion transport	3/30	39/1882	5	3	OG_11571, OG_16328, OG_18952
GO:0043069	0.018074084095	0.244372916865	BP	e	negative regulation of programmed cell death	4/30	65/1882	6	4	OG_12607, OG_15443, OG_16615, OG_18952
GO:0030031	0.0293686558252	0.24522827614	BP	e	cell projection assembly	3/30	43/1882	4	3	OG_13238, OG_13254, OG_18897
GO:0099177	0.0369754084822	0.265985450531	BP	e	regulation of trans-synaptic signaling	3/30	47/1882	5	3	OG_12607, OG_13238, OG_18952
GO:0010975	0.0455068017818	0.265985450531	BP	e	regulation of neuron projection development	3/30	51/1882	8	3	OG_13238, OG_13464, OG_18897
GO:0098662	0.0349863929548	0.265985450531	BP	e	inorganic cation transmembrane transport	3/30	46/1882	7	3	OG_11571, OG_14938, OG_18952
