GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007447	9.35036196075e-05	0.00902717086969	BP	e	imaginal disc pattern formation	4/33	15/1882	4	4	OG_12702, OG_14870, OG_15787, OG_17886
GO:0019438	0.000199495488833	0.00902717086969	BP	e	aromatic compound biosynthetic process	13/33	258/1882	4	13	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15458, OG_15787, OG_15929, OG_17128
GO:0018130	0.000199495488833	0.00902717086969	BP	e	heterocycle biosynthetic process	13/33	258/1882	4	13	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15458, OG_15787, OG_15929, OG_17128
GO:0044271	0.000179364506881	0.00902717086969	BP	e	cellular nitrogen compound biosynthetic process	14/33	293/1882	4	14	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15101, OG_15458, OG_15787, OG_15929, OG_17128
GO:1901362	0.000462733601149	0.0109118135273	BP	e	organic cyclic compound biosynthetic process	13/33	280/1882	4	13	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15458, OG_15787, OG_15929, OG_17128
GO:0007450	0.000542576363237	0.0109118135273	BP	e	dorsal/ventral pattern formation, imaginal disc	3/33	10/1882	5	3	OG_12702, OG_15787, OG_17886
GO:0048190	0.000542576363237	0.0109118135273	BP	e	wing disc dorsal/ventral pattern formation	3/33	10/1882	6	3	OG_12702, OG_15787, OG_17886
GO:0034654	0.000422828232174	0.0109118135273	BP	e	nucleobase-containing compound biosynthetic process	12/33	240/1882	5	12	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_15458, OG_15787, OG_15929, OG_17128
GO:0035282	0.000542576363237	0.0109118135273	BP	e	segmentation	3/33	10/1882	4	3	OG_14870, OG_15787, OG_17886
GO:0035222	0.000737133705634	0.013342120072	BP	e	wing disc pattern formation	3/33	11/1882	5	3	OG_12702, OG_15787, OG_17886
GO:1901576	0.000828201826541	0.0136276846004	BP	e	organic substance biosynthetic process	16/33	409/1882	3	16	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14019, OG_14023, OG_14143, OG_15101, OG_15447, OG_15458, OG_15787, OG_15929, OG_17128
GO:0003002	0.000994556974387	0.0138472932588	BP	e	regionalization	5/33	46/1882	3	5	OG_12702, OG_14870, OG_15787, OG_16855, OG_17886
GO:0009058	0.000951993291036	0.0138472932588	BP	e	biosynthetic process	16/33	419/1882	2	16	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14019, OG_14023, OG_14143, OG_15101, OG_15447, OG_15458, OG_15787, OG_15929, OG_17128
GO:0006357	0.00114631658939	0.0148202359057	BP	e	regulation of transcription by RNA polymerase II	9/33	159/1882	10	9	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886
GO:0000122	0.00133244953665	0.0160782244089	BP	e	negative regulation of transcription by RNA polymerase II	5/33	49/1882	11	5	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886
GO:0044249	0.00172434227804	0.0195066220203	BP	e	cellular biosynthetic process	15/33	397/1882	3	15	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14019, OG_14023, OG_14143, OG_15101, OG_15458, OG_15787, OG_15929, OG_17128
GO:0045944	0.00188986693306	0.0201215244049	BP	e	positive regulation of transcription by RNA polymerase II	6/33	78/1882	11	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0097659	0.00228160712015	0.0204668890102	BP	e	nucleic acid-templated transcription	9/33	175/1882	8	9	OG_11839, OG_12249, OG_12683, OG_12702, OG_14023, OG_15458, OG_15787, OG_15929, OG_17128
GO:0009953	0.0023561150547	0.0204668890102	BP	e	dorsal/ventral pattern formation	3/33	16/1882	4	3	OG_12702, OG_15787, OG_17886
GO:0032774	0.00267476793808	0.0204668890102	BP	e	RNA biosynthetic process	9/33	179/1882	7	9	OG_11839, OG_12249, OG_12683, OG_12702, OG_14023, OG_15458, OG_15787, OG_15929, OG_17128
GO:1903507	0.00277351376593	0.0204668890102	BP	e	negative regulation of nucleic acid-templated transcription	6/33	84/1882	9	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0045892	0.00245008366479	0.0204668890102	BP	e	negative regulation of transcription, DNA-templated	6/33	82/1882	10	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0006351	0.00219101227924	0.0204668890102	BP	e	transcription, DNA-templated	9/33	174/1882	9	9	OG_11839, OG_12249, OG_12683, OG_12702, OG_14023, OG_15458, OG_15787, OG_15929, OG_17128
GO:0048749	0.00282691837158	0.0204668890102	BP	e	compound eye development	3/33	17/1882	6	3	OG_14870, OG_15787, OG_17886
GO:1902679	0.00277351376593	0.0204668890102	BP	e	negative regulation of RNA biosynthetic process	6/33	84/1882	8	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:2001141	0.00418634944481	0.0252576416504	BP	e	regulation of RNA biosynthetic process	11/33	268/1882	7	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0006355	0.00406311445012	0.0252576416504	BP	e	regulation of transcription, DNA-templated	11/33	267/1882	9	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:1903506	0.00418634944481	0.0252576416504	BP	e	regulation of nucleic acid-templated transcription	11/33	268/1882	8	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0051253	0.00393935070342	0.0252576416504	BP	e	negative regulation of RNA metabolic process	6/33	90/1882	7	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:2000113	0.00393935070342	0.0252576416504	BP	e	negative regulation of cellular macromolecule biosynthetic process	6/33	90/1882	7	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0010558	0.00439949877234	0.0256873960579	BP	e	negative regulation of macromolecule biosynthetic process	6/33	92/1882	6	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0019827	0.00527062828429	0.0272566776988	BP	e	stem cell population maintenance	3/33	21/1882	3	3	OG_15787, OG_17886, OG_18990
GO:0098727	0.00527062828429	0.0272566776988	BP	e	maintenance of cell number	3/33	21/1882	2	3	OG_15787, OG_17886, OG_18990
GO:1901137	0.00504520755126	0.0272566776988	BP	e	carbohydrate derivative biosynthetic process	5/33	66/1882	4	5	OG_11607, OG_11871, OG_13147, OG_14019, OG_15447
GO:0031327	0.00516346260313	0.0272566776988	BP	e	negative regulation of cellular biosynthetic process	6/33	95/1882	6	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0009890	0.00543876531089	0.0273449033686	BP	e	negative regulation of biosynthetic process	6/33	96/1882	5	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0045934	0.00572480395361	0.0280051220433	BP	e	negative regulation of nucleobase-containing compound metabolic process	6/33	97/1882	6	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0007389	0.00649808702858	0.0309514145309	BP	e	pattern specification process	5/33	70/1882	2	5	OG_12702, OG_14870, OG_15787, OG_16855, OG_17886
GO:0016052	0.00685245951228	0.0318024403006	BP	e	carbohydrate catabolic process	3/33	23/1882	4	3	OG_11607, OG_11871, OG_15447
GO:0007423	0.00761214330669	0.0344376312212	BP	e	sensory organ development	4/33	46/1882	4	4	OG_14870, OG_15787, OG_15929, OG_17886
GO:0034645	0.00780078939264	0.0344376312212	BP	e	cellular macromolecule biosynthetic process	10/33	249/1882	5	10	OG_11839, OG_12249, OG_12683, OG_12702, OG_14023, OG_15101, OG_15458, OG_15787, OG_15929, OG_17128
GO:0046483	0.00948095820269	0.0406228852975	BP	e	heterocycle metabolic process	14/33	418/1882	3	14	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15283, OG_15458, OG_15787, OG_15929, OG_17128
GO:0045893	0.00965074070603	0.0406228852975	BP	e	positive regulation of transcription, DNA-templated	6/33	108/1882	10	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:1902680	0.0105330806839	0.0423663911952	BP	e	positive regulation of RNA biosynthetic process	6/33	110/1882	8	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:1903508	0.0105330806839	0.0423663911952	BP	e	positive regulation of nucleic acid-templated transcription	6/33	110/1882	9	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0051252	0.0109107988343	0.0429316215002	BP	e	regulation of RNA metabolic process	11/33	284/1882	6	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0006725	0.0112241243134	0.0432248191644	BP	e	cellular aromatic compound metabolic process	14/33	431/1882	3	14	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15283, OG_15458, OG_15787, OG_15929, OG_17128
GO:2000112	0.011966275196	0.0451228293849	BP	e	regulation of cellular macromolecule biosynthetic process	11/33	293/1882	6	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0010556	0.0122667313384	0.0452199851995	BP	e	regulation of macromolecule biosynthetic process	11/33	295/1882	5	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0034641	0.0126252177677	0.0452199851995	BP	e	cellular nitrogen compound metabolic process	15/33	465/1882	3	15	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15101, OG_15283, OG_15458, OG_15787, OG_15929, OG_17128
GO:0051254	0.0129913769634	0.0452199851995	BP	e	positive regulation of RNA metabolic process	6/33	115/1882	7	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0019219	0.0129416980266	0.0452199851995	BP	e	regulation of nucleobase-containing compound metabolic process	11/33	299/1882	5	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0031326	0.0143673100416	0.0484367377067	BP	e	regulation of cellular biosynthetic process	11/33	306/1882	5	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0001654	0.0144507394263	0.0484367377067	BP	e	eye development	3/33	30/1882	5	3	OG_14870, OG_15787, OG_17886
GO:0051172	0.0148627613556	0.0489119964612	BP	e	negative regulation of nitrogen compound metabolic process	7/33	154/1882	5	7	OG_11620, OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0010629	0.0158338933679	0.0494126672343	BP	e	negative regulation of gene expression	6/33	120/1882	6	6	OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0009889	0.01558318948	0.0494126672343	BP	e	regulation of biosynthetic process	11/33	311/1882	4	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0006139	0.015696801195	0.0494126672343	BP	e	nucleobase-containing compound metabolic process	13/33	396/1882	4	13	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_15283, OG_15458, OG_15787, OG_15929, OG_17128
GO:0016070	0.0184537683114	0.0547562633502	BP	e	RNA metabolic process	10/33	265/1882	6	10	OG_11839, OG_12249, OG_12683, OG_12702, OG_14023, OG_15283, OG_15458, OG_15787, OG_15929, OG_17128
GO:0045935	0.0184036878834	0.0547562633502	BP	e	positive regulation of nucleobase-containing compound metabolic process	6/33	124/1882	6	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0009059	0.0181057815937	0.0547562633502	BP	e	macromolecule biosynthetic process	10/33	263/1882	4	10	OG_11839, OG_12249, OG_12683, OG_12702, OG_14023, OG_15101, OG_15458, OG_15787, OG_15929, OG_17128
GO:0006325	0.0191354691321	0.0558632244018	BP	e	chromatin organization	4/33	60/1882	3	4	OG_11839, OG_15458, OG_15929, OG_18990
GO:1901360	0.0215608606706	0.0619446949425	BP	e	organic cyclic compound metabolic process	14/33	453/1882	3	14	OG_11607, OG_11839, OG_11871, OG_12249, OG_12683, OG_12702, OG_13147, OG_14023, OG_14143, OG_15283, OG_15458, OG_15787, OG_15929, OG_17128
GO:0010557	0.0220083679589	0.0622424156338	BP	e	positive regulation of macromolecule biosynthetic process	6/33	129/1882	6	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0031324	0.0224838755555	0.0626089457776	BP	e	negative regulation of cellular metabolic process	7/33	167/1882	5	7	OG_11620, OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0006164	0.0236633866736	0.0639264625063	BP	e	purine nucleotide biosynthetic process	3/33	36/1882	9	3	OG_11607, OG_11871, OG_13147
GO:0009152	0.0236633866736	0.0639264625063	BP	e	purine ribonucleotide biosynthetic process	3/33	36/1882	10	3	OG_11607, OG_11871, OG_13147
GO:0010628	0.0252219104416	0.0663546936416	BP	e	positive regulation of gene expression	6/33	133/1882	6	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0050769	0.0254474694452	0.0663546936416	BP	e	positive regulation of neurogenesis	3/33	37/1882	7	3	OG_12702, OG_15787, OG_17886
GO:0051094	0.025662036215	0.0663546936416	BP	e	positive regulation of developmental process	5/33	98/1882	4	5	OG_12702, OG_14870, OG_15787, OG_16855, OG_17886
GO:0009260	0.0273028326434	0.0674890784266	BP	e	ribonucleotide biosynthetic process	3/33	38/1882	9	3	OG_11607, OG_11871, OG_13147
GO:0090407	0.0275922199092	0.0674890784266	BP	e	organophosphate biosynthetic process	4/33	67/1882	5	4	OG_11607, OG_11871, OG_13147, OG_15447
GO:0046390	0.0273028326434	0.0674890784266	BP	e	ribose phosphate biosynthetic process	3/33	38/1882	6	3	OG_11607, OG_11871, OG_13147
GO:0072522	0.0273028326434	0.0674890784266	BP	e	purine-containing compound biosynthetic process	3/33	38/1882	5	3	OG_11607, OG_11871, OG_13147
GO:0008284	0.0292294097702	0.0705403089121	BP	e	positive regulation of cell population proliferation	3/33	39/1882	5	3	OG_14870, OG_15787, OG_17886
GO:0010605	0.0308169821874	0.0724399191678	BP	e	negative regulation of macromolecule metabolic process	7/33	178/1882	5	7	OG_11620, OG_12702, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0031328	0.0306199797978	0.0724399191678	BP	e	positive regulation of cellular biosynthetic process	6/33	139/1882	6	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0009891	0.0325788948069	0.0755997430776	BP	e	positive regulation of biosynthetic process	6/33	141/1882	5	6	OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_17128
GO:0010468	0.0340928377347	0.0781114383542	BP	e	regulation of gene expression	11/33	333/1882	5	11	OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_17128, OG_17886, OG_18990
GO:0051171	0.034983135314	0.0791493436479	BP	e	regulation of nitrogen compound metabolic process	13/33	434/1882	4	13	OG_11620, OG_11839, OG_12249, OG_12702, OG_14023, OG_14870, OG_15458, OG_15787, OG_15929, OG_16855, OG_17128, OG_17886, OG_18990
