GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051239	0.00128322381282	0.164252648041	BP	e	regulation of multicellular organismal process	13/43	268/2184	3	13	OG_11294, OG_11311, OG_12120, OG_12344, OG_13506, OG_14630, OG_15008, OG_15924, OG_16897, OG_17056, OG_17545, OG_17768, OG_18487
GO:2000026	0.00110256311065	0.164252648041	BP	e	regulation of multicellular organismal development	11/43	198/2184	4	11	OG_11294, OG_11311, OG_12120, OG_12344, OG_14630, OG_15008, OG_15924, OG_16897, OG_17545, OG_17768, OG_18487
GO:0006302	0.0199403195955	0.272201468545	BP	e	double-strand break repair	3/43	30/2184	8	3	OG_11294, OG_13958, OG_14546
GO:0071214	0.018192498471	0.272201468545	BP	e	cellular response to abiotic stimulus	3/43	29/2184	4	3	OG_11294, OG_16850, OG_17768
GO:0050793	0.0125869756822	0.272201468545	BP	e	regulation of developmental process	11/43	253/2184	3	11	OG_11294, OG_11311, OG_12120, OG_12344, OG_14630, OG_15008, OG_15924, OG_16897, OG_17545, OG_17768, OG_18487
GO:0051241	0.00737418102933	0.272201468545	BP	e	negative regulation of multicellular organismal process	6/43	90/2184	4	6	OG_12120, OG_14630, OG_15008, OG_16897, OG_17768, OG_18487
GO:1903507	0.0139872612408	0.272201468545	BP	e	negative regulation of nucleic acid-templated transcription	6/43	103/2184	9	6	OG_11294, OG_12344, OG_15008, OG_16850, OG_16897, OG_18487
GO:0045597	0.0169830859505	0.272201468545	BP	e	positive regulation of cell differentiation	5/43	78/2184	5	5	OG_11294, OG_11311, OG_14630, OG_15008, OG_17545
GO:0045595	0.0114629175693	0.272201468545	BP	e	regulation of cell differentiation	8/43	161/2184	4	8	OG_11294, OG_11311, OG_12344, OG_14630, OG_15008, OG_17545, OG_17768, OG_18487
GO:0045892	0.012187133127	0.272201468545	BP	e	negative regulation of transcription, DNA-templated	6/43	100/2184	10	6	OG_11294, OG_12344, OG_15008, OG_16850, OG_16897, OG_18487
GO:0032879	0.0202024527436	0.272201468545	BP	e	regulation of localization	10/43	234/2184	3	10	OG_11311, OG_11909, OG_12120, OG_12344, OG_13452, OG_15008, OG_16850, OG_16897, OG_17768, OG_18487
