GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0046843	0.000522728617878	0.0589576486125	BP	e	dorsal appendage formation	3/34	11/2184	3	3	OG_15430, OG_16911, OG_17144
GO:0007422	0.000689563141667	0.0589576486125	BP	e	peripheral nervous system development	3/34	12/2184	4	3	OG_11892, OG_16911, OG_17144
GO:2000147	0.00301175974823	0.128752729237	BP	e	positive regulation of cell motility	4/34	40/2184	6	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0030335	0.00248681922367	0.128752729237	BP	e	positive regulation of cell migration	4/34	38/2184	7	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0009987	0.00557754856702	0.135159008513	BP	p	cellular process	17/34	1586/2184	1	17	OG_11184, OG_11892, OG_12342, OG_13367, OG_13672, OG_13725, OG_14286, OG_14793, OG_15430, OG_16026, OG_16911, OG_17144, OG_17621, OG_17811, OG_17899, OG_18027, OG_18063
GO:0007476	0.00558226975232	0.135159008513	BP	e	imaginal disc-derived wing morphogenesis	3/34	24/2184	5	3	OG_11892, OG_15430, OG_16911
GO:0051272	0.00464687574442	0.135159008513	BP	e	positive regulation of cellular component movement	4/34	45/2184	5	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0040017	0.00632322846843	0.135159008513	BP	e	positive regulation of locomotion	4/34	49/2184	4	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0007610	0.00717470051154	0.136319309719	BP	e	behavior	6/34	114/2184	1	6	OG_11184, OG_11892, OG_13672, OG_15430, OG_17144, OG_18063
GO:0045165	0.0115093573057	0.149648398961	BP	e	cell fate commitment	3/34	31/2184	3	3	OG_15430, OG_16911, OG_18027
GO:0048731	0.0131270525404	0.149648398961	BP	e	system development	5/34	93/2184	3	5	OG_11892, OG_14793, OG_15430, OG_16911, OG_17144
GO:0035120	0.0115093573057	0.149648398961	BP	e	post-embryonic appendage morphogenesis	3/34	31/2184	4	3	OG_11892, OG_15430, OG_16911
GO:0007389	0.0125608469617	0.149648398961	BP	e	pattern specification process	5/34	92/2184	2	5	OG_11892, OG_15430, OG_16911, OG_17144, OG_18063
GO:0030334	0.01216788775	0.149648398961	BP	e	regulation of cell migration	4/34	59/2184	6	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0035114	0.0125660767569	0.149648398961	BP	e	imaginal disc-derived appendage morphogenesis	3/34	32/2184	4	3	OG_11892, OG_15430, OG_16911
GO:2000145	0.0144305213529	0.154226196959	BP	e	regulation of cell motility	4/34	62/2184	5	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0007611	0.0173389678318	0.164720194402	BP	e	learning or memory	3/34	36/2184	5	3	OG_11892, OG_13672, OG_17144
GO:0050890	0.0173389678318	0.164720194402	BP	e	cognition	3/34	36/2184	4	3	OG_11892, OG_13672, OG_17144
GO:0035107	0.0229997036976	0.193216210252	BP	e	appendage morphogenesis	3/34	40/2184	3	3	OG_11892, OG_15430, OG_16911
GO:0003002	0.0217248118691	0.193216210252	BP	e	regionalization	4/34	70/2184	3	4	OG_11892, OG_15430, OG_16911, OG_18063
GO:0044237	0.0237283065222	0.193216210252	BP	p	cellular metabolic process	10/34	1076/2184	2	10	OG_11184, OG_12342, OG_13367, OG_14793, OG_16026, OG_17144, OG_17621, OG_17899, OG_18027, OG_18063
GO:0051270	0.0249547800358	0.193966699369	BP	e	regulation of cellular component movement	4/34	73/2184	4	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0012501	0.0272629847953	0.202694365217	BP	e	programmed cell death	4/34	75/2184	3	4	OG_13725, OG_14286, OG_15430, OG_18027
GO:0040012	0.0284641102568	0.20280678558	BP	e	regulation of locomotion	4/34	76/2184	3	4	OG_11892, OG_13672, OG_16026, OG_17144
GO:0008219	0.0322574479595	0.220640944043	BP	e	cell death	4/34	79/2184	2	4	OG_13725, OG_14286, OG_15430, OG_18027
GO:0002252	0.0370079388258	0.243398366893	BP	e	immune effector process	3/34	48/2184	2	3	OG_13672, OG_17144, OG_18063
GO:0007167	0.0521565680013	0.32505904413	BP	e	enzyme linked receptor protein signaling pathway	3/34	55/2184	6	3	OG_11892, OG_17144, OG_17621
GO:0071840	0.0589288325615	0.32505904413	BP	p	cellular component organization or biogenesis	5/34	646/2184	1	5	OG_11892, OG_12342, OG_13672, OG_17144, OG_18027
GO:1901615	0.0569643061749	0.32505904413	BP	e	organic hydroxy compound metabolic process	3/34	57/2184	3	3	OG_17144, OG_17621, OG_17899
GO:0035239	0.0569643061749	0.32505904413	BP	e	tube morphogenesis	3/34	57/2184	3	3	OG_14793, OG_17144, OG_17621
GO:0050877	0.0573885708763	0.32505904413	BP	e	nervous system process	4/34	95/2184	3	4	OG_11892, OG_13672, OG_15430, OG_17144
GO:0007411	0.0619786570293	0.3311984485	BP	e	axon guidance	3/34	59/2184	4	3	OG_16911, OG_17144, OG_18027
GO:0006820	0.0671954834028	0.337953754761	BP	e	anion transport	3/34	61/2184	5	3	OG_13672, OG_16848, OG_17140
GO:0006915	0.0671954834028	0.337953754761	BP	e	apoptotic process	3/34	61/2184	4	3	OG_13725, OG_14286, OG_18027
GO:0097485	0.0698784475747	0.341406129579	BP	e	neuron projection guidance	3/34	62/2184	3	3	OG_16911, OG_17144, OG_18027
GO:0009886	0.0753905695997	0.358105205599	BP	e	post-embryonic animal morphogenesis	3/34	64/2184	3	3	OG_11892, OG_15430, OG_16911
GO:0016043	0.0846780074896	0.381051033703	BP	p	cellular component organization	5/34	636/2184	2	5	OG_11892, OG_12342, OG_13672, OG_17144, OG_18027
