GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0030198	0.000361336551497	0.0841376259362	BP	e	extracellular matrix organization	5/72	21/2298	4	5	OG_11751, OG_11834, OG_12010, OG_16263, OG_17588
GO:0030336	0.000699511146453	0.0841376259362	BP	e	negative regulation of cell migration	4/72	14/2298	7	4	OG_11547, OG_11751, OG_13146, OG_14847
GO:2000146	0.000931412833242	0.0841376259362	BP	e	negative regulation of cell motility	4/72	15/2298	6	4	OG_11547, OG_11751, OG_13146, OG_14847
GO:0051271	0.00194412392721	0.0930973723801	BP	e	negative regulation of cellular component movement	4/72	18/2298	5	4	OG_11547, OG_11751, OG_13146, OG_14847
GO:0008354	0.00147567043893	0.0930973723801	BP	e	germ cell migration	3/72	8/2298	5	3	OG_11611, OG_11751, OG_13552
GO:0043062	0.00236264333509	0.0930973723801	BP	e	extracellular structure organization	5/72	31/2298	3	5	OG_11751, OG_11834, OG_12010, OG_16263, OG_17588
GO:0040013	0.00240472917587	0.0930973723801	BP	e	negative regulation of locomotion	4/72	19/2298	4	4	OG_11547, OG_11751, OG_13146, OG_14847
GO:0006810	0.00564303892694	0.186766453387	BP	p	transport	5/72	443/2298	3	5	OG_11751, OG_12010, OG_14380, OG_16073, OG_17739
GO:0051179	0.00620257594275	0.186766453387	BP	p	localization	7/72	527/2298	1	7	OG_11751, OG_12010, OG_14380, OG_16073, OG_17373, OG_17588, OG_17739
GO:0040011	0.00853884822027	0.231402786769	BP	e	locomotion	9/72	115/2298	1	9	OG_11611, OG_11751, OG_12534, OG_13552, OG_13872, OG_14775, OG_15412, OG_16263, OG_18519
GO:0051234	0.010248159111	0.252477374462	BP	p	establishment of localization	6/72	459/2298	2	6	OG_11751, OG_12010, OG_14380, OG_16073, OG_17373, OG_17739
GO:0033157	0.0199315098744	0.45011993133	BP	e	regulation of intracellular protein transport	3/72	19/2298	7	3	OG_16060, OG_16073, OG_16263
GO:0048870	0.0230848070247	0.481229438746	BP	e	cell motility	7/72	92/2298	3	7	OG_11611, OG_11751, OG_13552, OG_14775, OG_15412, OG_16263, OG_18519
GO:0051707	0.0353384840553	0.672874880078	BP	e	response to other organism	5/72	59/2298	4	5	OG_11611, OG_11751, OG_13291, OG_13814, OG_14775
GO:0009615	0.0372439970523	0.672874880078	BP	e	response to virus	3/72	24/2298	5	3	OG_13291, OG_13814, OG_14775
GO:0007283	0.0501811228565	0.715741278637	BP	e	spermatogenesis	4/72	45/2298	5	4	OG_13146, OG_13814, OG_15412, OG_16073
GO:0016477	0.0499156138811	0.715741278637	BP	e	cell migration	6/72	86/2298	4	6	OG_11611, OG_11751, OG_13552, OG_14775, OG_16263, OG_18519
GO:1903827	0.0501811228565	0.715741278637	BP	e	regulation of cellular protein localization	4/72	45/2298	5	4	OG_13814, OG_16060, OG_16073, OG_16263
GO:0032879	0.0457560947446	0.715741278637	BP	e	regulation of localization	13/72	238/2298	3	13	OG_11547, OG_11751, OG_12010, OG_13146, OG_13814, OG_14847, OG_15166, OG_16060, OG_16073, OG_16251, OG_16263, OG_17430, OG_17588
GO:0048232	0.0573497689332	0.740085113376	BP	e	male gamete generation	4/72	47/2298	4	4	OG_13146, OG_13814, OG_15412, OG_16073
GO:0051641	0.0565014666732	0.740085113376	BP	p	cellular localization	3/72	258/2298	2	3	OG_12010, OG_16073, OG_17373
GO:0043207	0.0656632892559	0.808852335834	BP	e	response to external biotic stimulus	5/72	70/2298	3	5	OG_11611, OG_11751, OG_13291, OG_13814, OG_14775
GO:0090087	0.0732517579537	0.856743061008	BP	e	regulation of peptide transport	4/72	51/2298	5	4	OG_16060, OG_16073, OG_16263, OG_17430
GO:0009607	0.0758739242221	0.856743061008	BP	e	response to biotic stimulus	5/72	73/2298	2	5	OG_11611, OG_11751, OG_13291, OG_13814, OG_14775
GO:0012501	0.0831380354694	0.882441439186	BP	e	programmed cell death	5/72	75/2298	3	5	OG_11611, OG_13814, OG_14380, OG_16073, OG_18758
GO:0097435	0.0911747612443	0.882441439186	BP	e	supramolecular fiber organization	4/72	55/2298	3	4	OG_11834, OG_13146, OG_13936, OG_16263
GO:0008219	0.08690555354	0.882441439186	BP	e	cell death	5/72	76/2298	2	5	OG_11611, OG_13814, OG_14380, OG_16073, OG_18758
GO:0030334	0.0911747612443	0.882441439186	BP	e	regulation of cell migration	4/72	55/2298	6	4	OG_11547, OG_11751, OG_13146, OG_14847
GO:0051049	0.133567602888	0.929297930176	BP	e	regulation of transport	8/72	147/2298	4	8	OG_12010, OG_15166, OG_16060, OG_16073, OG_16251, OG_16263, OG_17430, OG_17588
GO:0032386	0.107442798387	0.929297930176	BP	e	regulation of intracellular transport	3/72	37/2298	5	3	OG_16060, OG_16073, OG_16263
