GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008104	0.79514871948	1.0	BP	p	protein localization	3/41	241/2298	3	3	OG_15330, OG_16070, OG_16087
GO:0019220	0.748767293307	1.0	BP	e	regulation of phosphate metabolic process	3/41	151/2298	6	3	OG_12394, OG_18058, OG_18605
GO:0080090	0.719755576816	1.0	BP	p	regulation of primary metabolic process	9/41	575/2298	4	9	OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_14865, OG_18058, OG_18089, OG_18605
GO:0019222	0.861873747663	1.0	BP	e	regulation of metabolic process	12/41	647/2298	3	12	OG_11639, OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_14865, OG_16486, OG_17427, OG_18058, OG_18089, OG_18605
GO:0048585	0.52570375317	1.0	BP	e	negative regulation of response to stimulus	4/41	159/2298	4	4	OG_12399, OG_14062, OG_14447, OG_18605
GO:0048583	0.824733571052	1.0	BP	p	regulation of response to stimulus	5/41	340/2298	3	5	OG_12394, OG_12399, OG_14062, OG_14447, OG_18605
GO:0007165	0.387540577956	1.0	BP	p	signal transduction	4/41	362/2298	4	4	OG_12394, OG_16069, OG_17260, OG_18605
GO:1901362	0.645937902978	1.0	BP	p	organic cyclic compound biosynthetic process	4/41	314/2298	4	4	OG_11765, OG_11783, OG_12399, OG_12416
GO:0071840	0.7312843306	1.0	BP	e	cellular component organization or biogenesis	13/41	675/2298	1	13	OG_10924, OG_11777, OG_12320, OG_12394, OG_13834, OG_13835, OG_14062, OG_14447, OG_16069, OG_16070, OG_16087, OG_17150, OG_18058
GO:0032774	1.0	1.0	BP	p	RNA biosynthetic process	3/41	218/2298	7	3	OG_11783, OG_12399, OG_12416
GO:0051716	1.0	1.0	BP	e	cellular response to stimulus	5/41	280/2298	2	5	OG_11783, OG_12394, OG_14447, OG_16069, OG_18058
GO:0010605	0.187706397545	1.0	BP	e	negative regulation of macromolecule metabolic process	7/41	238/2298	5	7	OG_11783, OG_12416, OG_14447, OG_14865, OG_16486, OG_17427, OG_18605
GO:0010604	1.0	1.0	BP	p	positive regulation of macromolecule metabolic process	5/41	296/2298	5	5	OG_11783, OG_12394, OG_12416, OG_18058, OG_18089
GO:0009966	0.619009406511	1.0	BP	p	regulation of signal transduction	3/41	265/2298	5	3	OG_12394, OG_14062, OG_18605
GO:0048869	0.511079111149	1.0	BP	e	cellular developmental process	8/41	356/2298	2	8	OG_11777, OG_12394, OG_12399, OG_12416, OG_16069, OG_16486, OG_17427, OG_18058
GO:0048513	1.0	1.0	BP	p	animal organ development	3/41	190/2298	3	3	OG_12394, OG_12399, OG_18089
GO:0044093	0.502054848261	1.0	BP	e	positive regulation of molecular function	3/41	130/2298	3	3	OG_12394, OG_13835, OG_18605
GO:0048518	1.0	1.0	BP	e	positive regulation of biological process	10/41	549/2298	3	10	OG_11783, OG_12394, OG_12399, OG_12416, OG_13835, OG_16070, OG_16087, OG_18058, OG_18089, OG_18605
GO:0048519	0.245232601926	1.0	BP	e	negative regulation of biological process	12/41	488/2298	3	12	OG_11783, OG_12394, OG_12399, OG_12416, OG_12939, OG_13558, OG_14062, OG_14447, OG_14865, OG_16486, OG_17427, OG_18605
GO:0033036	1.0	1.0	BP	p	macromolecule localization	4/41	252/2298	2	4	OG_15330, OG_16070, OG_16087, OG_18058
GO:0060255	0.858128865618	1.0	BP	e	regulation of macromolecule metabolic process	11/41	593/2298	4	11	OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_14865, OG_16486, OG_17427, OG_18058, OG_18089, OG_18605
GO:0045184	1.0	1.0	BP	p	establishment of protein localization	3/41	173/2298	4	3	OG_15330, OG_16070, OG_16087
GO:0003006	0.739270910157	1.0	BP	e	developmental process involved in reproduction	3/41	143/2298	2	3	OG_11783, OG_12320, OG_12394
GO:2001141	1.0	1.0	BP	e	regulation of RNA biosynthetic process	6/41	336/2298	7	6	OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_18058
GO:0010033	0.0471187743553	1.0	BP	e	response to organic substance	6/41	150/2298	3	6	OG_11783, OG_12320, OG_12394, OG_12416, OG_14447, OG_16069
GO:0055114	0.30426258735	1.0	BP	e	oxidation-reduction process	4/41	137/2298	2	4	OG_12320, OG_13843, OG_16903, OG_17294
GO:0046483	0.710277905514	1.0	BP	p	heterocycle metabolic process	8/41	542/2298	3	8	OG_11765, OG_11783, OG_12399, OG_12416, OG_14447, OG_14562, OG_14865, OG_18089
GO:0042325	0.498868194599	1.0	BP	e	regulation of phosphorylation	3/41	129/2298	7	3	OG_12394, OG_18058, OG_18605
GO:1901564	0.293244543837	1.0	BP	p	organonitrogen compound metabolic process	8/41	628/2298	3	8	OG_11765, OG_11777, OG_13558, OG_13834, OG_13843, OG_16069, OG_17260, OG_18058
GO:0016192	0.742676186153	1.0	BP	e	vesicle-mediated transport	3/41	146/2298	4	3	OG_14062, OG_16070, OG_16087
GO:0019538	0.242064242328	1.0	BP	p	protein metabolic process	5/41	478/2298	4	5	OG_11777, OG_13558, OG_13834, OG_16069, OG_17260
GO:0010243	0.107662294041	1.0	BP	e	response to organonitrogen compound	3/41	65/2298	4	3	OG_12394, OG_14447, OG_16069
GO:0034641	0.859364824311	1.0	BP	p	cellular nitrogen compound metabolic process	10/41	611/2298	3	10	OG_11765, OG_11783, OG_12399, OG_12416, OG_13834, OG_13843, OG_14447, OG_14562, OG_14865, OG_18089
GO:0033554	0.779096985584	1.0	BP	e	cellular response to stress	4/41	202/2298	3	4	OG_12394, OG_14447, OG_16069, OG_18058
GO:0019438	0.81329996676	1.0	BP	p	aromatic compound biosynthetic process	4/41	298/2298	4	4	OG_11765, OG_11783, OG_12399, OG_12416
GO:0044281	0.79274612719	1.0	BP	p	small molecule metabolic process	3/41	219/2298	2	3	OG_11765, OG_16074, OG_18058
GO:0022607	1.0	1.0	BP	p	cellular component assembly	5/41	304/2298	3	5	OG_10924, OG_11777, OG_12320, OG_13834, OG_16070
GO:0009892	0.316699040006	1.0	BP	e	negative regulation of metabolic process	7/41	264/2298	4	7	OG_11783, OG_12416, OG_14447, OG_14865, OG_16486, OG_17427, OG_18605
GO:0034645	1.0	1.0	BP	p	cellular macromolecule biosynthetic process	5/41	314/2298	5	5	OG_11783, OG_12399, OG_12416, OG_13834, OG_14447
GO:0009890	0.293049465141	1.0	BP	e	negative regulation of biosynthetic process	4/41	132/2298	5	4	OG_11783, OG_12416, OG_14447, OG_14865
GO:0022603	0.421873310193	1.0	BP	e	regulation of anatomical structure morphogenesis	3/41	100/2298	4	3	OG_10924, OG_12394, OG_13558
GO:0010629	0.0643017814844	1.0	BP	e	negative regulation of gene expression	6/41	162/2298	6	6	OG_11783, OG_12416, OG_14447, OG_14865, OG_16486, OG_17427
GO:0010628	0.221510473487	1.0	BP	e	positive regulation of gene expression	5/41	169/2298	6	5	OG_11783, OG_12394, OG_12416, OG_18058, OG_18089
GO:0050789	0.753545517111	1.0	BP	e	regulation of biological process	21/41	1107/2298	2	21	OG_10924, OG_11639, OG_11783, OG_12394, OG_12399, OG_12416, OG_12939, OG_13558, OG_13835, OG_14062, OG_14447, OG_14865, OG_16069, OG_16070, OG_16087, OG_16486, OG_17260, OG_17427, OG_18058, OG_18089, OG_18605
GO:0097659	1.0	1.0	BP	p	nucleic acid-templated transcription	3/41	204/2298	8	3	OG_11783, OG_12399, OG_12416
GO:0044267	0.136946118667	1.0	BP	p	cellular protein metabolic process	3/41	384/2298	5	3	OG_13558, OG_13834, OG_17260
GO:0010646	0.354552113069	1.0	BP	p	regulation of cell communication	3/41	311/2298	4	3	OG_12394, OG_14062, OG_18605
GO:0044260	0.303960031612	1.0	BP	p	cellular macromolecule metabolic process	9/41	698/2298	4	9	OG_11783, OG_12399, OG_12416, OG_13558, OG_13834, OG_14447, OG_14562, OG_16069, OG_17260
GO:0016043	0.728087737479	1.0	BP	e	cellular component organization	13/41	662/2298	2	13	OG_10924, OG_11777, OG_12320, OG_12394, OG_13834, OG_13835, OG_14062, OG_14447, OG_16069, OG_16070, OG_16087, OG_17150, OG_18058
GO:0065007	0.87549535455	1.0	BP	e	biological regulation	22/41	1193/2298	1	22	OG_10924, OG_11639, OG_11777, OG_11783, OG_12394, OG_12399, OG_12416, OG_12939, OG_13558, OG_13835, OG_14062, OG_14447, OG_14865, OG_16069, OG_16070, OG_16087, OG_16486, OG_17260, OG_17427, OG_18058, OG_18089, OG_18605
GO:0007049	0.229233661486	1.0	BP	e	cell cycle	3/41	93/2298	2	3	OG_11783, OG_14447, OG_16486
GO:0065009	1.0	1.0	BP	p	regulation of molecular function	4/41	240/2298	2	4	OG_12394, OG_12416, OG_13835, OG_18605
GO:0065008	0.0966945741198	1.0	BP	p	regulation of biological quality	3/41	403/2298	2	3	OG_11777, OG_12394, OG_16069
GO:0018130	0.812851113602	1.0	BP	p	heterocycle biosynthetic process	4/41	296/2298	4	4	OG_11765, OG_11783, OG_12399, OG_12416
GO:0043085	0.434509988049	1.0	BP	e	positive regulation of catalytic activity	3/41	106/2298	4	3	OG_12394, OG_13835, OG_18605
GO:0050790	1.0	1.0	BP	p	regulation of catalytic activity	3/41	189/2298	3	3	OG_12394, OG_13835, OG_18605
GO:0050793	0.627793768211	1.0	BP	e	regulation of developmental process	6/41	280/2298	3	6	OG_10924, OG_12394, OG_12399, OG_13558, OG_14062, OG_14865
GO:0006810	0.551789465624	1.0	BP	p	transport	6/41	443/2298	3	6	OG_11777, OG_14062, OG_15330, OG_16070, OG_16087, OG_17956
GO:0009889	0.684060048599	1.0	BP	e	regulation of biosynthetic process	8/41	407/2298	4	8	OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_14865, OG_18058, OG_18089
GO:0050794	1.0	1.0	BP	p	regulation of cellular process	18/41	1019/2298	3	18	OG_10924, OG_11639, OG_11783, OG_12394, OG_12399, OG_12416, OG_12939, OG_13558, OG_13835, OG_14062, OG_14447, OG_14865, OG_16069, OG_16070, OG_17260, OG_18058, OG_18089, OG_18605
GO:0012501	0.147639071305	1.0	BP	e	programmed cell death	3/41	75/2298	3	3	OG_11639, OG_11783, OG_12394
GO:0043412	0.263116949175	1.0	BP	p	macromolecule modification	3/41	339/2298	4	3	OG_13558, OG_14865, OG_17260
GO:0008150	0.504508002472	1.0	BP	e	biological_process	37/41	1961/2298	0	37	OG_10924, OG_11057, OG_11639, OG_11765, OG_11777, OG_11783, OG_12320, OG_12394, OG_12399, OG_12416, OG_12939, OG_13539, OG_13558, OG_13834, OG_13835, OG_13843, OG_14062, OG_14447, OG_14562, OG_14865, OG_15330, OG_16069, OG_16070, OG_16074, OG_16087, OG_16486, OG_16903, OG_17150, OG_17260, OG_17275, OG_17294, OG_17427, OG_17956, OG_18058, OG_18089, OG_18538, OG_18605
GO:0008152	0.529404668382	1.0	BP	e	metabolic process	24/41	1217/2298	1	24	OG_11639, OG_11765, OG_11777, OG_11783, OG_12320, OG_12394, OG_12399, OG_12416, OG_13539, OG_13558, OG_13834, OG_13843, OG_14447, OG_14562, OG_14865, OG_16069, OG_16074, OG_16903, OG_17260, OG_17275, OG_17294, OG_18058, OG_18089, OG_18538
GO:0034654	0.811208548435	1.0	BP	p	nucleobase-containing compound biosynthetic process	4/41	276/2298	5	4	OG_11765, OG_11783, OG_12399, OG_12416
GO:0051234	0.553278571963	1.0	BP	p	establishment of localization	6/41	459/2298	2	6	OG_11777, OG_14062, OG_15330, OG_16070, OG_16087, OG_17956
GO:0016070	0.668174089116	1.0	BP	p	RNA metabolic process	5/41	372/2298	6	5	OG_11783, OG_12399, OG_12416, OG_14865, OG_18089
GO:0051174	0.748767293307	1.0	BP	e	regulation of phosphorus metabolic process	3/41	151/2298	5	3	OG_12394, OG_18058, OG_18605
GO:0044271	0.667453558234	1.0	BP	p	cellular nitrogen compound biosynthetic process	5/41	362/2298	4	5	OG_11765, OG_11783, OG_12399, OG_12416, OG_13834
GO:0046907	1.0	1.0	BP	p	intracellular transport	3/41	181/2298	4	3	OG_15330, OG_16070, OG_16087
GO:0080134	0.457201761004	1.0	BP	e	regulation of response to stress	3/41	115/2298	4	3	OG_12394, OG_14447, OG_18605
GO:0080135	0.123082527884	1.0	BP	e	regulation of cellular response to stress	3/41	69/2298	5	3	OG_12394, OG_14447, OG_18605
GO:0006950	0.824649009589	1.0	BP	p	response to stress	5/41	337/2298	2	5	OG_12320, OG_12394, OG_14447, OG_16069, OG_18058
GO:0032502	0.486314991365	1.0	BP	e	developmental process	14/41	661/2298	1	14	OG_10924, OG_11777, OG_11783, OG_12320, OG_12394, OG_12399, OG_12416, OG_13835, OG_16069, OG_16486, OG_17427, OG_18058, OG_18089, OG_18605
GO:0006355	1.0	1.0	BP	e	regulation of transcription, DNA-templated	6/41	332/2298	9	6	OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_18058
GO:0010557	0.190787265495	1.0	BP	e	positive regulation of macromolecule biosynthetic process	5/41	153/2298	6	5	OG_11783, OG_12394, OG_12416, OG_18058, OG_18089
GO:0010556	0.67301704205	1.0	BP	e	regulation of macromolecule biosynthetic process	8/41	388/2298	5	8	OG_11783, OG_12394, OG_12399, OG_12416, OG_14447, OG_14865, OG_18058, OG_18089
GO:0006351	1.0	1.0	BP	p	transcription, DNA-templated	3/41	204/2298	9	3	OG_11783, OG_12399, OG_12416
GO:0097305	0.0114573447182	1.0	BP	e	response to alcohol	3/41	27/2298	4	3	OG_12320, OG_12416, OG_14447
GO:0010558	0.283149745654	1.0	BP	e	negative regulation of macromolecule biosynthetic process	4/41	127/2298	6	4	OG_11783, OG_12416, OG_14447, OG_14865
GO:0048638	0.0966481482518	1.0	BP	e	regulation of developmental growth	3/41	62/2298	4	3	OG_12394, OG_12399, OG_14062
GO:0051239	0.811803259139	1.0	BP	p	regulation of multicellular organismal process	4/41	290/2298	3	4	OG_12394, OG_12399, OG_14062, OG_14865
GO:0033043	0.189237497608	1.0	BP	e	regulation of organelle organization	5/41	152/2298	5	5	OG_10924, OG_12416, OG_12939, OG_13558, OG_13835
