GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0080090	0.0468640840263	0.555147720817	BP	p	regulation of primary metabolic process	5/41	566/2168	4	5	OG_12297, OG_12702, OG_13033, OG_13855, OG_18787
GO:0019222	0.0145067350834	0.555147720817	BP	p	regulation of metabolic process	5/41	633/2168	3	5	OG_12297, OG_12702, OG_13033, OG_13855, OG_18787
GO:0042440	0.00855166511738	0.555147720817	BP	e	pigment metabolic process	3/41	23/2168	2	3	OG_11545, OG_13528, OG_17591
GO:0060255	0.0321832066248	0.555147720817	BP	p	regulation of macromolecule metabolic process	5/41	591/2168	4	5	OG_12297, OG_12702, OG_13033, OG_13855, OG_18787
GO:0051186	0.035748548422	0.555147720817	BP	e	cofactor metabolic process	4/41	67/2168	3	4	OG_11545, OG_11593, OG_14022, OG_14228
GO:0051188	0.0231187887021	0.555147720817	BP	e	cofactor biosynthetic process	3/41	33/2168	4	3	OG_11545, OG_11593, OG_14022
GO:0006732	0.0459273078505	0.555147720817	BP	e	coenzyme metabolic process	3/41	43/2168	4	3	OG_11545, OG_11593, OG_14022
GO:0051270	0.0448467532797	0.555147720817	BP	e	regulation of cellular component movement	4/41	72/2168	4	4	OG_11545, OG_12702, OG_15859, OG_17591
GO:0031323	0.0472466145376	0.555147720817	BP	p	regulation of cellular metabolic process	5/41	574/2168	4	5	OG_12297, OG_12702, OG_13033, OG_13855, OG_18787
GO:0009108	0.0148170051927	0.555147720817	BP	e	coenzyme biosynthetic process	3/41	28/2168	5	3	OG_11545, OG_11593, OG_14022
GO:0051171	0.0470555420372	0.555147720817	BP	p	regulation of nitrogen compound metabolic process	5/41	559/2168	4	5	OG_12297, OG_12702, OG_13033, OG_13855, OG_18787
GO:0006399	0.0358196388458	0.555147720817	BP	e	tRNA metabolic process	3/41	39/2168	8	3	OG_12297, OG_15546, OG_16531
GO:0048519	0.0825028781648	0.603751151545	BP	p	negative regulation of biological process	4/41	471/2168	3	4	OG_12297, OG_12702, OG_13855, OG_18787
GO:0050789	0.0824361352399	0.603751151545	BP	p	regulation of biological process	14/41	1044/2168	2	14	OG_11545, OG_12297, OG_12702, OG_13033, OG_13656, OG_13855, OG_14645, OG_15859, OG_16588, OG_16837, OG_16907, OG_17591, OG_18309, OG_18787
GO:0065007	0.0825716757928	0.603751151545	BP	p	biological regulation	16/41	1147/2168	1	16	OG_11545, OG_12106, OG_12297, OG_12702, OG_13033, OG_13656, OG_13855, OG_14645, OG_15657, OG_15859, OG_16588, OG_16837, OG_16907, OG_17591, OG_18309, OG_18787
GO:0009889	0.0676767515506	0.603751151545	BP	p	regulation of biosynthetic process	3/41	398/2168	4	3	OG_12297, OG_12702, OG_18787
GO:0010556	0.0965179201782	0.603751151545	BP	p	regulation of macromolecule biosynthetic process	3/41	380/2168	5	3	OG_12297, OG_12702, OG_18787
GO:0031326	0.0979526412371	0.603751151545	BP	p	regulation of cellular biosynthetic process	3/41	393/2168	5	3	OG_12297, OG_12702, OG_18787
GO:0007389	0.0792884691371	0.603751151545	BP	e	pattern specification process	4/41	87/2168	2	4	OG_11545, OG_12702, OG_16837, OG_17591
GO:2000112	0.0966712570061	0.603751151545	BP	p	regulation of cellular macromolecule biosynthetic process	3/41	377/2168	6	3	OG_12297, OG_12702, OG_18787
GO:0007154	0.0874294776042	0.603751151545	BP	e	cell communication	4/41	90/2168	2	4	OG_12702, OG_15859, OG_18309, OG_18787
GO:0008610	0.0801113131077	0.603751151545	BP	e	lipid biosynthetic process	3/41	54/2168	4	3	OG_11593, OG_12106, OG_13548
GO:0098657	0.0984842303939	0.603751151545	BP	e	import into cell	3/41	59/2168	4	3	OG_13528, OG_14645, OG_15657
GO:0048518	0.107327191072	0.613390464445	BP	p	positive regulation of biological process	6/41	559/2168	3	6	OG_12702, OG_13855, OG_15859, OG_16588, OG_16837, OG_18787
