GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1903047	0.00188022102925	0.306476027768	BP	e	mitotic cell cycle process	7/50	81/2216	3	7	OG_13012, OG_13450, OG_13537, OG_13762, OG_16515, OG_17362, OG_17937
GO:0018205	0.00962385887161	0.784344498036	BP	e	peptidyl-lysine modification	4/50	38/2216	8	4	OG_11839, OG_12067, OG_16509, OG_17362
GO:0016569	0.0298101414178	0.788545425714	BP	e	covalent chromatin modification	4/50	53/2216	5	4	OG_11839, OG_12067, OG_16509, OG_17362
GO:0006887	0.0338639139877	0.788545425714	BP	e	exocytosis	3/50	32/2216	6	3	OG_13012, OG_13537, OG_14873
GO:0016570	0.028017014911	0.788545425714	BP	e	histone modification	4/50	52/2216	7	4	OG_11839, OG_12067, OG_16509, OG_17362
GO:0044242	0.0195083598956	0.788545425714	BP	e	cellular lipid catabolic process	3/50	26/2216	5	3	OG_13457, OG_13841, OG_15132
GO:0022402	0.0244931081093	0.788545425714	BP	e	cell cycle process	7/50	130/2216	2	7	OG_13012, OG_13450, OG_13537, OG_13762, OG_16515, OG_17362, OG_17937
GO:0010605	0.0978302159719	0.797316260171	BP	e	negative regulation of macromolecule metabolic process	9/50	233/2216	5	9	OG_12067, OG_12358, OG_13322, OG_13762, OG_14873, OG_16096, OG_16246, OG_16509, OG_18019
GO:0018193	0.0536927600269	0.797316260171	BP	e	peptidyl-amino acid modification	5/50	92/2216	7	5	OG_11839, OG_12067, OG_14584, OG_16509, OG_17362
GO:0009892	0.0690251452784	0.797316260171	BP	e	negative regulation of metabolic process	10/50	254/2216	4	10	OG_12067, OG_12358, OG_13322, OG_13450, OG_13762, OG_14873, OG_16096, OG_16246, OG_16509, OG_18019
GO:0016042	0.0791037922779	0.797316260171	BP	e	lipid catabolic process	3/50	45/2216	4	3	OG_13457, OG_13841, OG_15132
GO:0002682	0.0863956968695	0.797316260171	BP	e	regulation of immune system process	4/50	75/2216	3	4	OG_14019, OG_14584, OG_16096, OG_16509
GO:0043414	0.0670465403422	0.797316260171	BP	e	macromolecule methylation	3/50	42/2216	5	3	OG_11839, OG_12067, OG_16509
GO:0010563	0.0965458660594	0.797316260171	BP	e	negative regulation of phosphorus metabolic process	3/50	49/2216	6	3	OG_13450, OG_13762, OG_14873
GO:0032501	0.0535533946739	0.797316260171	BP	p	multicellular organismal process	5/50	470/2216	1	5	OG_12358, OG_13286, OG_14873, OG_16096, OG_16509
GO:0044255	0.0960056763988	0.797316260171	BP	e	cellular lipid metabolic process	5/50	109/2216	4	5	OG_13316, OG_13457, OG_13841, OG_14019, OG_15132
GO:0010629	0.087020676496	0.797316260171	BP	e	negative regulation of gene expression	7/50	160/2216	6	7	OG_12067, OG_12358, OG_13322, OG_16096, OG_16246, OG_16509, OG_18019
GO:0006325	0.0743855452775	0.797316260171	BP	e	chromatin organization	5/50	101/2216	3	5	OG_11839, OG_12067, OG_15275, OG_16509, OG_17362
GO:0045936	0.0965458660594	0.797316260171	BP	e	negative regulation of phosphate metabolic process	3/50	49/2216	7	3	OG_13450, OG_13762, OG_14873
GO:0051179	0.0620239495352	0.797316260171	BP	p	localization	6/50	518/2216	1	6	OG_13012, OG_13537, OG_14038, OG_14873, OG_15081, OG_17175
GO:0023051	0.102873169509	0.798491744284	BP	p	regulation of signaling	3/50	312/2216	3	3	OG_13762, OG_14873, OG_16509
GO:0032940	0.120349788057	0.817375643887	BP	e	secretion by cell	3/50	54/2216	5	3	OG_13012, OG_13537, OG_14873
GO:0032259	0.110577137484	0.817375643887	BP	e	methylation	3/50	52/2216	2	3	OG_11839, OG_12067, OG_16509
GO:0050896	0.116741524489	0.817375643887	BP	p	response to stimulus	6/50	479/2216	1	6	OG_13012, OG_13537, OG_14873, OG_15629, OG_16509, OG_17175
GO:0010646	0.144398488102	0.844009759637	BP	p	regulation of cell communication	3/50	309/2216	4	3	OG_13762, OG_14873, OG_16509
GO:1901137	0.140815287659	0.844009759637	BP	e	carbohydrate derivative biosynthetic process	3/50	58/2216	4	3	OG_13900, OG_14019, OG_17107
GO:0031324	0.144983271594	0.844009759637	BP	e	negative regulation of cellular metabolic process	8/50	217/2216	5	8	OG_12358, OG_13322, OG_13450, OG_13762, OG_14873, OG_16246, OG_16509, OG_18019
GO:0051173	0.143195324436	0.844009759637	BP	p	positive regulation of nitrogen compound metabolic process	3/50	293/2216	5	3	OG_13450, OG_16246, OG_16509
GO:0051234	0.156941533341	0.882119652917	BP	p	establishment of localization	6/50	455/2216	2	6	OG_13012, OG_13537, OG_14038, OG_14873, OG_15081, OG_17175
GO:0051301	0.173528083555	0.942835920649	BP	e	cell division	3/50	64/2216	2	3	OG_13450, OG_16509, OG_17937
GO:0019220	0.547252753532	1.0	BP	e	regulation of phosphate metabolic process	4/50	137/2216	6	4	OG_13450, OG_13762, OG_14873, OG_15629
GO:0080090	1.0	1.0	BP	p	regulation of primary metabolic process	12/50	564/2216	4	12	OG_11839, OG_12108, OG_12358, OG_13322, OG_13450, OG_13457, OG_13762, OG_14873, OG_15629, OG_16246, OG_16509, OG_18019
GO:0019222	1.0	1.0	BP	p	regulation of metabolic process	14/50	630/2216	3	14	OG_11839, OG_12067, OG_12108, OG_12358, OG_13322, OG_13450, OG_13457, OG_13762, OG_14873, OG_15629, OG_16096, OG_16246, OG_16509, OG_18019
GO:0048468	0.758575282685	1.0	BP	e	cell development	3/50	125/2216	3	3	OG_13012, OG_14019, OG_16096
GO:0044281	0.634230714382	1.0	BP	e	small molecule metabolic process	6/50	225/2216	2	6	OG_13316, OG_13841, OG_13900, OG_15132, OG_15629, OG_17107
GO:0044283	0.244332919095	1.0	BP	e	small molecule biosynthetic process	3/50	76/2216	3	3	OG_13316, OG_13900, OG_17107
GO:1901362	0.684733172701	1.0	BP	e	organic cyclic compound biosynthetic process	8/50	318/2216	4	8	OG_11839, OG_12108, OG_13841, OG_13884, OG_13900, OG_16509, OG_17107, OG_18019
GO:0071840	0.4296111621	1.0	BP	e	cellular component organization or biogenesis	17/50	636/2216	1	17	OG_11329, OG_11839, OG_12067, OG_12358, OG_13012, OG_13286, OG_13450, OG_13762, OG_13884, OG_14019, OG_14873, OG_15275, OG_15316, OG_16096, OG_16509, OG_16515, OG_17362
GO:0010604	0.300575992208	1.0	BP	p	positive regulation of macromolecule metabolic process	4/50	308/2216	5	4	OG_13450, OG_16246, OG_16509, OG_18019
GO:0009966	0.268053659699	1.0	BP	p	regulation of signal transduction	3/50	265/2216	5	3	OG_13762, OG_14873, OG_16509
GO:0048869	0.690063618812	1.0	BP	p	cellular developmental process	6/50	336/2216	2	6	OG_13012, OG_13450, OG_14019, OG_15316, OG_16096, OG_16246
GO:0044093	1.0	1.0	BP	e	positive regulation of molecular function	3/50	131/2216	3	3	OG_14869, OG_15629, OG_16509
GO:0048518	0.509246143054	1.0	BP	p	positive regulation of biological process	10/50	552/2216	3	10	OG_13012, OG_13450, OG_13457, OG_14584, OG_14717, OG_15629, OG_16096, OG_16246, OG_16509, OG_18019
GO:0048519	0.376596433472	1.0	BP	e	negative regulation of biological process	13/50	459/2216	3	13	OG_12067, OG_12358, OG_13322, OG_13450, OG_13457, OG_13762, OG_14019, OG_14873, OG_16096, OG_16246, OG_16509, OG_17937, OG_18019
GO:0051704	0.491328581025	1.0	BP	e	multi-organism process	3/50	100/2216	1	3	OG_12358, OG_14873, OG_17175
GO:0042127	0.73974720868	1.0	BP	e	regulation of cell population proliferation	3/50	113/2216	4	3	OG_14584, OG_14873, OG_16509
GO:0060255	0.870839889795	1.0	BP	p	regulation of macromolecule metabolic process	12/50	579/2216	4	12	OG_11839, OG_12067, OG_12108, OG_12358, OG_13322, OG_13450, OG_13762, OG_14873, OG_16096, OG_16246, OG_16509, OG_18019
GO:0048583	0.226402906175	1.0	BP	p	regulation of response to stimulus	4/50	331/2216	3	4	OG_13762, OG_14873, OG_16096, OG_16509
GO:0003006	1.0	1.0	BP	p	developmental process involved in reproduction	3/50	135/2216	2	3	OG_13012, OG_14717, OG_16096
GO:2001141	0.690057255272	1.0	BP	p	regulation of RNA biosynthetic process	6/50	327/2216	7	6	OG_11839, OG_12108, OG_12358, OG_16246, OG_16509, OG_18019
GO:0046483	0.738128051698	1.0	BP	e	heterocycle metabolic process	13/50	531/2216	3	13	OG_11839, OG_12108, OG_13841, OG_13884, OG_13900, OG_14383, OG_14899, OG_14998, OG_15275, OG_16096, OG_16509, OG_17107, OG_18019
GO:0042325	0.744048347583	1.0	BP	e	regulation of phosphorylation	3/50	116/2216	7	3	OG_13450, OG_14873, OG_15629
GO:0065008	0.351086191713	1.0	BP	p	regulation of biological quality	6/50	396/2216	2	6	OG_13012, OG_13316, OG_13457, OG_14873, OG_15132, OG_16509
GO:1901564	0.33334645984	1.0	BP	p	organonitrogen compound metabolic process	10/50	595/2216	3	10	OG_11329, OG_11839, OG_12067, OG_13322, OG_13900, OG_14019, OG_14584, OG_16509, OG_17107, OG_17362
GO:0016192	1.0	1.0	BP	p	vesicle-mediated transport	3/50	144/2216	4	3	OG_13012, OG_13537, OG_14873
GO:0009605	0.777611971163	1.0	BP	e	response to external stimulus	4/50	157/2216	2	4	OG_13537, OG_14873, OG_15629, OG_17175
GO:0019538	0.592868306826	1.0	BP	p	protein metabolic process	8/50	448/2216	4	8	OG_11329, OG_11839, OG_12067, OG_13322, OG_14019, OG_14584, OG_16509, OG_17362
GO:0019637	0.744048347583	1.0	BP	e	organophosphate metabolic process	3/50	116/2216	4	3	OG_13900, OG_15629, OG_17107
GO:0019438	0.675452461145	1.0	BP	e	aromatic compound biosynthetic process	8/50	303/2216	4	8	OG_11839, OG_12108, OG_13841, OG_13884, OG_13900, OG_16509, OG_17107, OG_18019
GO:0051253	0.320032343943	1.0	BP	e	negative regulation of RNA metabolic process	4/50	113/2216	7	4	OG_12358, OG_16246, OG_16509, OG_18019
GO:0022607	1.0	1.0	BP	p	cellular component assembly	6/50	267/2216	3	6	OG_12358, OG_13012, OG_14873, OG_15275, OG_15316, OG_16096
GO:0009893	0.690184805883	1.0	BP	p	positive regulation of metabolic process	6/50	337/2216	4	6	OG_13450, OG_13457, OG_15629, OG_16246, OG_16509, OG_18019
GO:0009890	0.541194154529	1.0	BP	e	negative regulation of biosynthetic process	4/50	134/2216	5	4	OG_12358, OG_13322, OG_16246, OG_16509
