GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009891	0.00145024468162	0.0828187019801	BP	e	positive regulation of biosynthetic process	10/39	195/2216	5	10	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_16681, OG_17425, OG_18089, OG_18955, OG_19269
GO:0010628	0.00378843792149	0.0828187019801	BP	e	positive regulation of gene expression	9/39	185/2216	6	9	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_18089, OG_18955, OG_19269
GO:0009880	0.00402032533884	0.0828187019801	BP	e	embryonic pattern specification	3/39	19/2216	3	3	OG_12256, OG_12579, OG_13415
GO:0010557	0.000561421468394	0.0828187019801	BP	e	positive regulation of macromolecule biosynthetic process	10/39	173/2216	6	10	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_16681, OG_17425, OG_18089, OG_18955, OG_19269
GO:1903508	0.00386555220757	0.0828187019801	BP	e	positive regulation of nucleic acid-templated transcription	8/39	151/2216	9	8	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_18955, OG_19269
GO:0035239	0.00257021112255	0.0828187019801	BP	e	tube morphogenesis	5/39	56/2216	3	5	OG_10924, OG_12579, OG_12948, OG_13415, OG_15832
GO:0045893	0.00355641053368	0.0828187019801	BP	e	positive regulation of transcription, DNA-templated	8/39	149/2216	10	8	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_18955, OG_19269
GO:1902680	0.00386555220757	0.0828187019801	BP	e	positive regulation of RNA biosynthetic process	8/39	151/2216	8	8	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_18955, OG_19269
GO:0031328	0.00123395632864	0.0828187019801	BP	e	positive regulation of cellular biosynthetic process	10/39	191/2216	6	10	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_16681, OG_17425, OG_18089, OG_18955, OG_19269
GO:0035295	0.00289874289064	0.0828187019801	BP	e	tube development	4/39	35/2216	3	4	OG_12256, OG_12579, OG_13161, OG_15832
GO:0045944	0.00454039190123	0.085029157423	BP	e	positive regulation of transcription by RNA polymerase II	7/39	122/2216	11	7	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_19269
GO:0008360	0.00616025677674	0.0980057739453	BP	e	regulation of cell shape	3/39	22/2216	6	3	OG_12948, OG_13415, OG_15369
GO:0051254	0.00666058657881	0.0980057739453	BP	e	positive regulation of RNA metabolic process	8/39	165/2216	7	8	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_18955, OG_19269
GO:0048729	0.00639635698266	0.0980057739453	BP	e	tissue morphogenesis	5/39	69/2216	3	5	OG_12256, OG_12579, OG_12948, OG_13415, OG_15832
GO:0044262	0.0110110454792	0.135186258056	BP	e	cellular carbohydrate metabolic process	3/39	27/2216	4	3	OG_12566, OG_14846, OG_17370
GO:0060562	0.00990707256898	0.135186258056	BP	e	epithelial tube morphogenesis	3/39	26/2216	5	3	OG_12579, OG_13415, OG_15832
GO:0045935	0.0111561475095	0.135186258056	BP	e	positive regulation of nucleobase-containing compound metabolic process	8/39	180/2216	6	8	OG_11912, OG_12256, OG_12948, OG_13161, OG_15832, OG_17425, OG_18955, OG_19269
GO:0045787	0.0161207256485	0.144725568674	BP	e	positive regulation of cell cycle	3/39	31/2216	5	3	OG_12256, OG_12579, OG_18955
GO:0060255	0.0164290852859	0.144725568674	BP	e	regulation of macromolecule metabolic process	17/39	579/2216	4	17	OG_11912, OG_12256, OG_12399, OG_12579, OG_12948, OG_13160, OG_13161, OG_13415, OG_15369, OG_15832, OG_16681, OG_16827, OG_17425, OG_17427, OG_18089, OG_18955, OG_19269
