GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0014823	3.24432337079e-05	0.00911654867192	BP	e	response to activity	3/47	4/2279	2	3	OG_14065, OG_15154, OG_15350
GO:0031100	0.000633416792381	0.0889950593295	BP	e	animal organ regeneration	3/47	9/2279	4	3	OG_11354, OG_15629, OG_16263
GO:0001775	0.00332321048276	0.153132592117	BP	e	cell activation	4/47	31/2279	2	4	OG_11354, OG_13672, OG_14132, OG_16263
GO:0031099	0.00314467200116	0.153132592117	BP	e	regeneration	3/47	15/2279	3	3	OG_11354, OG_15629, OG_16263
GO:0070302	0.00374101559879	0.153132592117	BP	e	regulation of stress-activated protein kinase signaling cascade	4/47	32/2279	7	4	OG_12484, OG_13300, OG_14132, OG_14665
GO:0032872	0.00332321048276	0.153132592117	BP	e	regulation of stress-activated MAPK cascade	4/47	31/2279	10	4	OG_12484, OG_13300, OG_14132, OG_14665
GO:0032868	0.00381469090684	0.153132592117	BP	e	response to insulin	3/47	16/2279	7	3	OG_14065, OG_15154, OG_15629
GO:0043408	0.00482669742773	0.169537747149	BP	e	regulation of MAPK cascade	5/47	55/2279	9	5	OG_12484, OG_13300, OG_14132, OG_14665, OG_15350
GO:0006915	0.00653099914623	0.203912306677	BP	e	apoptotic process	5/47	59/2279	4	5	OG_11354, OG_14132, OG_14665, OG_16073, OG_17671
GO:0019220	0.0267720337743	0.208970596961	BP	e	regulation of phosphate metabolic process	7/47	145/2279	6	7	OG_11354, OG_12484, OG_13300, OG_14132, OG_14665, OG_15350, OG_15629
GO:1901652	0.0187696046822	0.208970596961	BP	e	response to peptide	3/47	28/2279	5	3	OG_14065, OG_15154, OG_15629
GO:0009967	0.0121314827087	0.208970596961	BP	e	positive regulation of signal transduction	7/47	124/2279	6	7	OG_11354, OG_12531, OG_13872, OG_14132, OG_14665, OG_15350, OG_16073
GO:0043436	0.0216775497376	0.208970596961	BP	e	oxoacid metabolic process	6/47	108/2279	4	6	OG_13300, OG_13316, OG_13872, OG_14065, OG_15154, OG_15217
