GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0050877	0.0308618586965	0.312837010841	BP	e	nervous system process	4/17	68/923	3	4	OG_11642, OG_15572, OG_16084, OG_17433
GO:0009987	0.0323624493973	0.312837010841	BP	p	cellular process	8/17	658/923	1	8	OG_10879, OG_11642, OG_12937, OG_13142, OG_14485, OG_14545, OG_15572, OG_16026
GO:0044237	0.0256274885668	0.312837010841	BP	p	cellular metabolic process	3/17	416/923	2	3	OG_10879, OG_14485, OG_16026
GO:0008152	0.0476389646812	0.345382493939	BP	p	metabolic process	4/17	453/923	1	4	OG_10879, OG_14485, OG_14545, OG_16026
GO:0071704	0.0842327988151	0.348964452234	BP	p	organic substance metabolic process	4/17	423/923	2	4	OG_10879, OG_14485, OG_14545, OG_16026
GO:0032502	0.0816133266035	0.348964452234	BP	p	developmental process	3/17	358/923	1	3	OG_12937, OG_14485, OG_14545
GO:0003008	0.0699672654416	0.348964452234	BP	e	system process	4/17	88/923	2	4	OG_11642, OG_15572, OG_16084, OG_17433
GO:0007165	0.113586735752	0.36600170409	BP	e	signal transduction	6/17	177/923	4	6	OG_10879, OG_11642, OG_12937, OG_13142, OG_15572, OG_16026
GO:0035556	0.103780161146	0.36600170409	BP	e	intracellular signal transduction	3/17	63/923	5	3	OG_10879, OG_13142, OG_16026
GO:0051049	0.14059983827	0.370672300894	BP	e	regulation of transport	3/17	72/923	4	3	OG_10928, OG_15572, OG_16026
GO:0044238	0.136777234199	0.370672300894	BP	p	primary metabolic process	4/17	403/923	2	4	OG_10879, OG_14485, OG_14545, OG_16026
GO:0007610	0.18623433993	0.450066321497	BP	e	behavior	3/17	82/923	1	3	OG_11642, OG_15572, OG_16084
GO:0007166	0.230567721014	0.514343377647	BP	e	cell surface receptor signaling pathway	3/17	91/923	5	3	OG_10879, OG_11642, OG_12937
GO:0048518	0.296712776468	0.574003570855	BP	p	positive regulation of biological process	3/17	285/923	3	3	OG_10879, OG_14545, OG_16026
GO:0032501	0.296898398718	0.574003570855	BP	e	multicellular organismal process	7/17	276/923	1	7	OG_11642, OG_12937, OG_14485, OG_14545, OG_15572, OG_16084, OG_17433
GO:0050794	0.331351503338	0.6005745998	BP	p	regulation of cellular process	7/17	498/923	3	7	OG_10879, OG_11642, OG_12937, OG_13142, OG_14545, OG_15572, OG_16026
GO:0051128	0.45579857276	0.641971019863	BP	e	regulation of cellular component organization	3/17	114/923	4	3	OG_10879, OG_15572, OG_16026
GO:0050789	0.464875566108	0.641971019863	BP	p	regulation of biological process	8/17	523/923	2	8	OG_10879, OG_10928, OG_11642, OG_12937, OG_13142, OG_14545, OG_15572, OG_16026
GO:0071840	0.422211200688	0.641971019863	BP	p	cellular component organization or biogenesis	3/17	262/923	1	3	OG_10879, OG_12937, OG_14545
GO:0016043	0.423934427484	0.641971019863	BP	p	cellular component organization	3/17	258/923	2	3	OG_10879, OG_12937, OG_14545
GO:0048856	0.42135974821	0.641971019863	BP	p	anatomical structure development	3/17	273/923	2	3	OG_12937, OG_14485, OG_14545
GO:0032879	0.721221698826	0.86107689505	BP	e	regulation of localization	3/17	130/923	3	3	OG_10928, OG_15572, OG_16026
GO:0006810	0.729163446928	0.86107689505	BP	e	transport	3/17	137/923	3	3	OG_10928, OG_14071, OG_14545
GO:0008150	0.75076853056	0.86107689505	BP	p	biological_process	14/17	771/923	0	14	OG_10879, OG_10928, OG_11642, OG_12937, OG_13142, OG_14071, OG_14485, OG_14545, OG_15572, OG_15729, OG_15889, OG_16026, OG_16084, OG_17433
GO:0051234	0.741497161105	0.86107689505	BP	e	establishment of localization	3/17	146/923	2	3	OG_10928, OG_14071, OG_14545
GO:0050896	0.771999974872	0.86107689505	BP	e	response to stimulus	4/17	200/923	1	4	OG_15889, OG_16026, OG_16084, OG_17433
GO:0065007	1.0	1.0	BP	p	biological regulation	10/17	554/923	1	10	OG_10879, OG_10928, OG_11642, OG_12937, OG_13142, OG_14485, OG_14545, OG_15572, OG_15889, OG_16026
GO:0065008	1.0	1.0	BP	p	regulation of biological quality	3/17	170/923	2	3	OG_10879, OG_14485, OG_15889
GO:0051179	1.0	1.0	BP	p	localization	3/17	178/923	1	3	OG_10928, OG_14071, OG_14545
