GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048519	0.110908345806	0.793535266166	BP	p	negative regulation of biological process	4/38	390/1796	3	4	OG_13245, OG_15876, OG_17003, OG_17387
GO:0003008	0.0234433478164	0.793535266166	BP	e	system process	6/38	108/1796	2	6	OG_14980, OG_15427, OG_15625, OG_16137, OG_16158, OG_17003
GO:1901564	0.126388514658	0.793535266166	BP	p	organonitrogen compound metabolic process	5/38	442/1796	3	5	OG_11935, OG_12688, OG_14584, OG_16092, OG_18640
GO:0019538	0.0933728732488	0.793535266166	BP	p	protein metabolic process	3/38	343/1796	4	3	OG_12688, OG_14584, OG_18640
GO:0042391	0.0239339849575	0.793535266166	BP	e	regulation of membrane potential	3/38	30/1796	3	3	OG_14698, OG_17003, OG_18115
GO:0019098	0.0198811998544	0.793535266166	BP	e	reproductive behavior	3/38	28/1796	3	3	OG_11935, OG_16158, OG_16840
GO:0006812	0.0992003595282	0.793535266166	BP	e	cation transport	3/38	53/1796	5	3	OG_13248, OG_14698, OG_17003
GO:0006811	0.0624825403799	0.793535266166	BP	e	ion transport	5/38	103/1796	4	5	OG_13248, OG_14698, OG_14980, OG_16741, OG_17003
GO:0008152	0.1005860324	0.793535266166	BP	p	metabolic process	14/38	912/1796	1	14	OG_11935, OG_12688, OG_13881, OG_14584, OG_14639, OG_14697, OG_14980, OG_15564, OG_15625, OG_15876, OG_16092, OG_16137, OG_17387, OG_18640
GO:0051336	0.136034617057	0.793535266166	BP	e	regulation of hydrolase activity	3/38	61/1796	4	3	OG_13245, OG_15414, OG_18115
GO:0043087	0.0198811998544	0.793535266166	BP	e	regulation of GTPase activity	3/38	28/1796	5	3	OG_13245, OG_15414, OG_18115
GO:0022610	0.136034617057	0.793535266166	BP	e	biological adhesion	3/38	61/1796	1	3	OG_13901, OG_14980, OG_18115
GO:0048609	0.133836329943	0.793535266166	BP	e	multicellular organismal reproductive process	4/38	94/1796	2	4	OG_11935, OG_15876, OG_16158, OG_16840
GO:0050877	0.0383034239218	0.793535266166	BP	e	nervous system process	5/38	90/1796	3	5	OG_15427, OG_15625, OG_16137, OG_16158, OG_17003
GO:0055085	0.0736895315904	0.793535266166	BP	e	transmembrane transport	5/38	108/1796	4	5	OG_13248, OG_14698, OG_14980, OG_16741, OG_17003
GO:0048858	0.0949291810186	0.793535266166	BP	e	cell projection morphogenesis	3/38	52/1796	5	3	OG_15427, OG_15625, OG_16741
GO:0007275	0.126321989592	0.793535266166	BP	e	multicellular organism development	4/38	92/1796	3	4	OG_15876, OG_16137, OG_16158, OG_16840
GO:0032989	0.101579462775	0.793535266166	BP	e	cellular component morphogenesis	4/38	85/1796	3	4	OG_15427, OG_15625, OG_16741, OG_18115
GO:0034220	0.1035499052	0.793535266166	BP	e	ion transmembrane transport	3/38	54/1796	5	3	OG_14698, OG_16741, OG_17003
GO:0070925	0.0626770188794	0.793535266166	BP	e	organelle assembly	4/38	72/1796	4	4	OG_12737, OG_15427, OG_15704, OG_16158
GO:0005975	0.1035499052	0.793535266166	BP	e	carbohydrate metabolic process	3/38	54/1796	3	3	OG_11935, OG_15564, OG_18640
GO:0032990	0.112476758861	0.793535266166	BP	e	cell part morphogenesis	3/38	56/1796	4	3	OG_15427, OG_15625, OG_16741
GO:0044237	0.0728729745798	0.793535266166	BP	p	cellular metabolic process	12/38	827/1796	2	12	OG_11935, OG_12688, OG_13881, OG_14584, OG_14639, OG_14697, OG_15625, OG_15876, OG_16092, OG_16137, OG_17387, OG_18640
GO:0048523	0.0653783639451	0.793535266166	BP	p	negative regulation of cellular process	3/38	353/1796	4	3	OG_13245, OG_15876, OG_17387
GO:0007411	0.156029893114	0.809043890221	BP	e	axon guidance	3/38	65/1796	4	3	OG_13245, OG_13901, OG_15625
GO:0031329	0.150943124452	0.809043890221	BP	e	regulation of cellular catabolic process	3/38	64/1796	5	3	OG_14980, OG_15876, OG_17387
GO:0030030	0.149417895291	0.809043890221	BP	e	cell projection organization	4/38	98/1796	3	4	OG_15427, OG_15625, OG_15704, OG_16741
GO:0097485	0.171614573743	0.858072868715	BP	e	neuron projection guidance	3/38	68/1796	3	3	OG_13245, OG_13901, OG_15625
GO:0007154	0.193078207099	0.892799308564	BP	e	cell communication	3/38	72/1796	2	3	OG_13248, OG_15625, OG_17003
GO:0065008	0.197741780953	0.892799308564	BP	e	regulation of biological quality	10/38	323/1796	2	10	OG_14639, OG_14698, OG_14980, OG_15414, OG_16137, OG_16158, OG_16741, OG_17003, OG_17387, OG_18115
GO:0043085	0.198553371341	0.892799308564	BP	e	positive regulation of catalytic activity	3/38	73/1796	4	3	OG_13245, OG_14980, OG_15414
GO:0044087	0.204068413386	0.892799308564	BP	e	regulation of cellular component biogenesis	3/38	74/1796	3	3	OG_13245, OG_14697, OG_15876
GO:0022607	0.213188695149	0.904436888511	BP	e	cellular component assembly	7/38	218/1796	3	7	OG_12737, OG_13353, OG_15427, OG_15704, OG_15876, OG_16158, OG_17003
GO:0048878	0.243633458624	0.943678771178	BP	e	chemical homeostasis	3/38	81/1796	4	3	OG_14639, OG_14980, OG_17003
GO:0009894	0.249400818097	0.943678771178	BP	e	regulation of catabolic process	3/38	82/1796	4	3	OG_14980, OG_15876, OG_17387
GO:0006807	0.248262527049	0.943678771178	BP	p	nitrogen compound metabolic process	12/38	737/1796	2	12	OG_11935, OG_12688, OG_13881, OG_14584, OG_14639, OG_14697, OG_15625, OG_15876, OG_16092, OG_16137, OG_17387, OG_18640
GO:0043170	0.233456721789	0.943678771178	BP	p	macromolecule metabolic process	10/38	658/1796	3	10	OG_12688, OG_13881, OG_14584, OG_14639, OG_14697, OG_15625, OG_15876, OG_16137, OG_17387, OG_18640
GO:0071840	0.271420893266	0.999971712033	BP	e	cellular component organization or biogenesis	14/38	501/1796	1	14	OG_12737, OG_13353, OG_14697, OG_14980, OG_15427, OG_15625, OG_15704, OG_15866, OG_15876, OG_16137, OG_16158, OG_16741, OG_17003, OG_18115
GO:0008104	1.0	1.0	BP	p	protein localization	3/38	157/1796	3	3	OG_11470, OG_15866, OG_15876
GO:0080090	0.853205806276	1.0	BP	p	regulation of primary metabolic process	9/38	463/1796	4	9	OG_14588, OG_14639, OG_14697, OG_14980, OG_15625, OG_15876, OG_16137, OG_17003, OG_17387
GO:0019222	0.857462828639	1.0	BP	p	regulation of metabolic process	10/38	509/1796	3	10	OG_14588, OG_14639, OG_14697, OG_14980, OG_15625, OG_15876, OG_16137, OG_17003, OG_17387, OG_18115
GO:0051049	0.752298233272	1.0	BP	e	regulation of transport	3/38	130/1796	4	3	OG_14584, OG_16137, OG_17003
GO:0048583	0.82326869495	1.0	BP	p	regulation of response to stimulus	5/38	287/1796	3	5	OG_13245, OG_15706, OG_16158, OG_17003, OG_18640
GO:0007610	0.295954947852	1.0	BP	e	behavior	4/38	113/1796	1	4	OG_11935, OG_16137, OG_16158, OG_16840
GO:0007165	0.658473202717	1.0	BP	e	signal transduction	7/38	291/1796	4	7	OG_11935, OG_13245, OG_14584, OG_15414, OG_16092, OG_16158, OG_17003
GO:1901362	1.0	1.0	BP	p	organic cyclic compound biosynthetic process	5/38	268/1796	4	5	OG_14639, OG_14697, OG_15625, OG_16092, OG_16137
GO:1901360	0.851442415959	1.0	BP	e	organic cyclic compound metabolic process	10/38	453/1796	3	10	OG_11935, OG_13881, OG_14639, OG_14697, OG_14980, OG_15625, OG_15876, OG_16092, OG_16137, OG_17387
GO:0010604	1.0	1.0	BP	e	positive regulation of macromolecule metabolic process	5/38	234/1796	5	5	OG_14697, OG_15876, OG_16137, OG_17387, OG_18115
