GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048583	0.0323153441425	0.269738904701	BP	e	regulation of response to stimulus	9/28	287/1796	3	9	OG_10931, OG_11355, OG_11886, OG_12970, OG_13570, OG_15269, OG_15871, OG_16590, OG_16592
GO:0007611	0.018503100458	0.269738904701	BP	e	learning or memory	3/28	37/1796	5	3	OG_15269, OG_16592, OG_16915
GO:0099177	0.0348050199614	0.269738904701	BP	e	regulation of trans-synaptic signaling	3/28	47/1796	5	3	OG_15871, OG_16592, OG_16915
GO:0003008	0.0231831996048	0.269738904701	BP	e	system process	5/28	108/1796	2	5	OG_13570, OG_15269, OG_16590, OG_16592, OG_16915
GO:1902532	0.0228051536891	0.269738904701	BP	e	negative regulation of intracellular signal transduction	3/28	40/1796	7	3	OG_10931, OG_15269, OG_16590
GO:0050890	0.0198811998544	0.269738904701	BP	e	cognition	3/28	38/1796	4	3	OG_15269, OG_16592, OG_16915
GO:0048638	0.0243512241779	0.269738904701	BP	e	regulation of developmental growth	3/28	41/1796	4	3	OG_11886, OG_15269, OG_15871
GO:0050804	0.0348050199614	0.269738904701	BP	e	modulation of chemical synaptic transmission	3/28	47/1796	6	3	OG_15871, OG_16592, OG_16915
GO:0023051	0.0298467555173	0.269738904701	BP	e	regulation of signaling	9/28	280/1796	3	9	OG_10931, OG_11886, OG_12970, OG_13570, OG_15269, OG_15871, OG_16590, OG_16592, OG_16915
GO:0010646	0.0286680715717	0.269738904701	BP	e	regulation of cell communication	9/28	276/1796	4	9	OG_10931, OG_11886, OG_12970, OG_13570, OG_15269, OG_15871, OG_16590, OG_16592, OG_16915
GO:0032879	0.0339744418565	0.269738904701	BP	e	regulation of localization	7/28	206/1796	3	7	OG_11355, OG_11886, OG_12316, OG_12970, OG_15269, OG_15871, OG_16915
GO:0007154	0.0234507955849	0.269738904701	BP	e	cell communication	4/28	72/1796	2	4	OG_10931, OG_15871, OG_16590, OG_16592
GO:0032989	0.0401463070353	0.287200504176	BP	e	cellular component morphogenesis	4/28	85/1796	3	4	OG_10931, OG_14545, OG_15871, OG_16592
GO:0051049	0.0468570076681	0.287836508355	BP	e	regulation of transport	5/28	130/1796	4	5	OG_12316, OG_12970, OG_15269, OG_15871, OG_16915
GO:0050877	0.0480204134559	0.287836508355	BP	e	nervous system process	4/28	90/1796	3	4	OG_13570, OG_15269, OG_16592, OG_16915
GO:0005975	0.0495202595019	0.287836508355	BP	e	carbohydrate metabolic process	3/28	54/1796	3	3	OG_14140, OG_14846, OG_16590
GO:0048731	0.0549077562582	0.300377725413	BP	e	system development	4/28	94/1796	3	4	OG_10931, OG_12970, OG_15269, OG_16592
GO:0009968	0.0853318173041	0.317434360371	BP	e	negative regulation of signal transduction	4/28	109/1796	6	4	OG_10931, OG_11886, OG_15269, OG_16590
GO:0009966	0.0847593079475	0.317434360371	BP	e	regulation of signal transduction	7/28	238/1796	5	7	OG_10931, OG_11886, OG_12970, OG_13570, OG_15269, OG_16590, OG_16592
GO:0060255	0.0809160530744	0.317434360371	BP	p	regulation of macromolecule metabolic process	3/28	475/1796	4	3	OG_11886, OG_16590, OG_16607
GO:0012501	0.0695244571108	0.317434360371	BP	e	programmed cell death	3/28	62/1796	3	3	OG_11355, OG_14545, OG_16590
GO:0080134	0.083648550705	0.317434360371	BP	e	regulation of response to stress	3/28	67/1796	4	3	OG_10931, OG_11355, OG_16590
GO:0031323	0.0803803840283	0.317434360371	BP	p	regulation of cellular metabolic process	3/28	469/1796	4	3	OG_10931, OG_16590, OG_16607
GO:0008219	0.0722528751122	0.317434360371	BP	e	cell death	3/28	63/1796	2	3	OG_11355, OG_14545, OG_16590
GO:0051171	0.0813705634496	0.317434360371	BP	p	regulation of nitrogen compound metabolic process	3/28	453/1796	4	3	OG_11886, OG_16590, OG_16607
GO:0040008	0.0896268617429	0.32058839008	BP	e	regulation of growth	3/28	69/1796	3	3	OG_11886, OG_15269, OG_15871
GO:0023057	0.106935826052	0.342932131822	BP	e	negative regulation of signaling	4/28	118/1796	4	4	OG_10931, OG_11886, OG_15269, OG_16590
GO:0010648	0.106935826052	0.342932131822	BP	e	negative regulation of cell communication	4/28	118/1796	5	4	OG_10931, OG_11886, OG_15269, OG_16590
GO:1902531	0.10192759669	0.342932131822	BP	e	regulation of intracellular signal transduction	4/28	116/1796	6	4	OG_10931, OG_12970, OG_15269, OG_16590
GO:0048585	0.114663057384	0.343989172152	BP	e	negative regulation of response to stimulus	4/28	121/1796	4	4	OG_10931, OG_11886, OG_15269, OG_16590
GO:0048856	0.111141709983	0.343989172152	BP	e	anatomical structure development	10/28	408/1796	2	10	OG_10931, OG_11355, OG_11886, OG_12316, OG_12970, OG_14140, OG_14545, OG_15269, OG_15871, OG_16592
GO:0032501	0.156416377717	0.45458509774	BP	e	multicellular organismal process	9/28	373/1796	1	9	OG_10931, OG_12316, OG_13570, OG_14140, OG_14545, OG_15269, OG_16590, OG_16592, OG_16915
GO:1901135	0.169872969792	0.478732914868	BP	e	carbohydrate derivative metabolic process	3/28	92/1796	3	3	OG_14140, OG_14846, OG_16616
GO:0080090	0.19496172416	0.523176119742	BP	p	regulation of primary metabolic process	4/28	463/1796	4	4	OG_11886, OG_12316, OG_16590, OG_16607
GO:0009967	0.230744977046	0.523176119742	BP	e	positive regulation of signal transduction	3/28	107/1796	6	3	OG_11886, OG_12970, OG_16590
GO:0016192	0.247713489719	0.523176119742	BP	e	vesicle-mediated transport	3/28	111/1796	4	3	OG_12062, OG_14545, OG_15871
GO:0044249	0.24403129564	0.523176119742	BP	p	cellular biosynthetic process	3/28	366/1796	3	3	OG_16616, OG_17031, OG_17548
GO:0019538	0.222826470772	0.523176119742	BP	e	protein metabolic process	8/28	343/1796	4	8	OG_11886, OG_12062, OG_13570, OG_14545, OG_14846, OG_15269, OG_16616, OG_17548
GO:0006810	0.218066014742	0.523176119742	BP	e	transport	8/28	337/1796	3	8	OG_12062, OG_12316, OG_12970, OG_14545, OG_14846, OG_15871, OG_16590, OG_16915
GO:0051234	0.230505839905	0.523176119742	BP	e	establishment of localization	8/28	351/1796	2	8	OG_12062, OG_12316, OG_12970, OG_14545, OG_14846, OG_15871, OG_16590, OG_16915
GO:0016310	0.230744977046	0.523176119742	BP	e	phosphorylation	3/28	107/1796	5	3	OG_14846, OG_15269, OG_18283
GO:0032502	0.215943407032	0.523176119742	BP	e	developmental process	12/28	559/1796	1	12	OG_10931, OG_11355, OG_11886, OG_12316, OG_12970, OG_14140, OG_14545, OG_15269, OG_15871, OG_16590, OG_16592, OG_16915
GO:1901576	0.242696700946	0.523176119742	BP	p	organic substance biosynthetic process	3/28	374/1796	3	3	OG_16616, OG_17031, OG_17548
GO:0009058	0.242688856061	0.523176119742	BP	p	biosynthetic process	3/28	379/1796	2	3	OG_16616, OG_17031, OG_17548
GO:0051179	0.253149735359	0.523176119742	BP	e	localization	9/28	406/1796	1	9	OG_10931, OG_12062, OG_12316, OG_12970, OG_14545, OG_14846, OG_15871, OG_16590, OG_16915
GO:0048584	0.268993188213	0.543834054431	BP	e	positive regulation of response to stimulus	4/28	139/1796	4	4	OG_11355, OG_11886, OG_12970, OG_16590
GO:0019222	0.290814778474	0.57544200847	BP	p	regulation of metabolic process	5/28	509/1796	3	5	OG_10931, OG_11886, OG_12316, OG_16590, OG_16607
GO:1901564	0.376619212831	0.72969972486	BP	e	organonitrogen compound metabolic process	9/28	442/1796	3	9	OG_11886, OG_12062, OG_13570, OG_14140, OG_14545, OG_14846, OG_15269, OG_16616, OG_17548
GO:0051239	0.387522343233	0.735501590218	BP	e	regulation of multicellular organismal process	5/28	227/1796	3	5	OG_11886, OG_15269, OG_15871, OG_16592, OG_16915
GO:0007610	0.416082926541	0.755749646802	BP	e	behavior	3/28	113/1796	1	3	OG_15269, OG_16592, OG_16915
GO:0008150	0.425924672381	0.755749646802	BP	p	biological_process	22/28	1517/1796	0	22	OG_10931, OG_11355, OG_11886, OG_12062, OG_12316, OG_12970, OG_13348, OG_13570, OG_14140, OG_14545, OG_14846, OG_15269, OG_15871, OG_16583, OG_16590, OG_16592, OG_16607, OG_16616, OG_16915, OG_17031, OG_17548, OG_18283
GO:0023056	0.430696035274	0.755749646802	BP	e	positive regulation of signaling	3/28	121/1796	4	3	OG_11886, OG_12970, OG_16590
GO:0010647	0.426745089242	0.755749646802	BP	e	positive regulation of cell communication	3/28	119/1796	5	3	OG_11886, OG_12970, OG_16590
GO:0009605	0.441346471056	0.759475195193	BP	e	response to external stimulus	3/28	126/1796	2	3	OG_10931, OG_16590, OG_16915
