GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051056	0.0026073393444	0.385886222971	BP	e	regulation of small GTPase mediated signal transduction	3/24	13/1047	7	3	OG_13245, OG_13344, OG_14937
GO:0007424	0.012251471294	0.410786234805	BP	e	open tracheal system development	3/24	22/1047	5	3	OG_14081, OG_14937, OG_16155
GO:1901137	0.012251471294	0.410786234805	BP	e	carbohydrate derivative biosynthetic process	3/24	22/1047	4	3	OG_11540, OG_12218, OG_12417
GO:0060541	0.012251471294	0.410786234805	BP	e	respiratory system development	3/24	22/1047	4	3	OG_14081, OG_14937, OG_16155
GO:0043065	0.013877913338	0.410786234805	BP	e	positive regulation of apoptotic process	3/24	23/1047	7	3	OG_12218, OG_13344, OG_16198
GO:0010942	0.0194719124875	0.411691864021	BP	e	positive regulation of cell death	3/24	26/1047	5	3	OG_12218, OG_13344, OG_16198
GO:0043068	0.0194719124875	0.411691864021	BP	e	positive regulation of programmed cell death	3/24	26/1047	6	3	OG_12218, OG_13344, OG_16198
GO:0051272	0.0238055860175	0.440403341324	BP	e	positive regulation of cellular component movement	3/24	28/1047	5	3	OG_11203, OG_12702, OG_15859
GO:0050790	0.0307745673041	0.455463596101	BP	e	regulation of catalytic activity	5/24	80/1047	3	5	OG_11203, OG_11540, OG_12536, OG_13245, OG_14937
GO:0044255	0.0286267338811	0.455463596101	BP	e	cellular lipid metabolic process	3/24	30/1047	4	3	OG_11203, OG_11540, OG_12417
GO:0019220	0.0897812783057	0.511062661125	BP	e	regulation of phosphate metabolic process	4/24	76/1047	6	4	OG_11203, OG_11540, OG_12536, OG_14937
GO:0007166	0.0704474806504	0.511062661125	BP	e	cell surface receptor signaling pathway	5/24	100/1047	5	5	OG_11203, OG_11540, OG_12218, OG_14081, OG_15478
GO:0042981	0.0704023548126	0.511062661125	BP	e	regulation of apoptotic process	4/24	70/1047	6	4	OG_11203, OG_12218, OG_13344, OG_16198
GO:0043549	0.0637128134695	0.511062661125	BP	e	regulation of kinase activity	3/24	41/1047	8	3	OG_11203, OG_11540, OG_14937
GO:0065009	0.0380506397884	0.511062661125	BP	e	regulation of molecular function	6/24	114/1047	2	6	OG_11203, OG_11540, OG_12536, OG_13245, OG_14937, OG_15859
GO:0006629	0.0493113659189	0.511062661125	BP	e	lipid metabolic process	3/24	37/1047	3	3	OG_11203, OG_11540, OG_12417
GO:0051338	0.0637128134695	0.511062661125	BP	e	regulation of transferase activity	3/24	41/1047	4	3	OG_11203, OG_11540, OG_14937
GO:0023051	0.0861421367775	0.511062661125	BP	e	regulation of signaling	7/24	166/1047	3	7	OG_11203, OG_12218, OG_12702, OG_13245, OG_13344, OG_14937, OG_15859
GO:0010646	0.0831935631629	0.511062661125	BP	e	regulation of cell communication	7/24	164/1047	4	7	OG_11203, OG_12218, OG_12702, OG_13245, OG_13344, OG_14937, OG_15859
GO:0009987	0.0704406329387	0.511062661125	BP	e	cellular process	21/24	732/1047	1	21	OG_11203, OG_11540, OG_12218, OG_12221, OG_12293, OG_12417, OG_12536, OG_12702, OG_12945, OG_13245, OG_13344, OG_13473, OG_14081, OG_14168, OG_14937, OG_15478, OG_15859, OG_16155, OG_16198, OG_17076, OG_18055
GO:1901135	0.0493113659189	0.511062661125	BP	e	carbohydrate derivative metabolic process	3/24	37/1047	3	3	OG_11540, OG_12218, OG_12417
