GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0070727	0.00156988070024	0.0757467437866	BP	e	cellular macromolecule localization	8/38	123/2019	3	8	OG_10704, OG_12605, OG_13051, OG_13537, OG_14616, OG_15228, OG_15331, OG_17168
GO:0034613	0.00100625471462	0.0757467437866	BP	e	cellular protein localization	8/38	115/2019	4	8	OG_10704, OG_12605, OG_13051, OG_13537, OG_14616, OG_15228, OG_15331, OG_17168
GO:0023061	0.00120453881391	0.0757467437866	BP	e	signal release	3/38	12/2019	6	3	OG_13537, OG_16644, OG_17323
GO:0051648	0.00120453881391	0.0757467437866	BP	e	vesicle localization	3/38	12/2019	4	3	OG_13537, OG_15228, OG_17323
GO:0043065	0.0141490374429	0.265469924542	BP	e	positive regulation of apoptotic process	4/38	51/2019	7	4	OG_12605, OG_15934, OG_16081, OG_17028
GO:0031175	0.0175957530311	0.265469924542	BP	e	neuron projection development	3/38	30/2019	5	3	OG_10704, OG_13286, OG_17168
GO:0052548	0.0106341921882	0.265469924542	BP	e	regulation of endopeptidase activity	3/38	25/2019	8	3	OG_10704, OG_15934, OG_16081
GO:0006915	0.0151233524092	0.265469924542	BP	e	apoptotic process	4/38	52/2019	4	4	OG_12605, OG_14845, OG_16081, OG_17028
GO:0012501	0.0206323775551	0.265469924542	BP	e	programmed cell death	4/38	57/2019	3	4	OG_12605, OG_14845, OG_16081, OG_17028
GO:0010769	0.0175957530311	0.265469924542	BP	e	regulation of cell morphogenesis involved in differentiation	3/38	30/2019	6	3	OG_17028, OG_17168, OG_17277
GO:0010942	0.0194438584563	0.265469924542	BP	e	positive regulation of cell death	4/38	56/2019	5	4	OG_12605, OG_15934, OG_16081, OG_17028
GO:0008219	0.0206323775551	0.265469924542	BP	e	cell death	4/38	57/2019	2	4	OG_12605, OG_14845, OG_16081, OG_17028
GO:0043068	0.0182991837681	0.265469924542	BP	e	positive regulation of programmed cell death	4/38	55/2019	6	4	OG_12605, OG_15934, OG_16081, OG_17028
GO:0052547	0.0106341921882	0.265469924542	BP	e	regulation of peptidase activity	3/38	25/2019	7	3	OG_10704, OG_15934, OG_16081
GO:0051640	0.0151233524092	0.265469924542	BP	e	organelle localization	4/38	52/2019	3	4	OG_13537, OG_15228, OG_17168, OG_17323
GO:0051656	0.0246296583472	0.297095253813	BP	e	establishment of organelle localization	3/38	34/2019	4	3	OG_13537, OG_17168, OG_17323
GO:0008104	0.0313662461226	0.315424567294	BP	e	protein localization	9/38	226/2019	3	9	OG_10704, OG_12605, OG_13051, OG_13537, OG_14616, OG_15228, OG_15331, OG_16644, OG_17168
GO:0033036	0.03648132448	0.315424567294	BP	e	macromolecule localization	9/38	238/2019	2	9	OG_10704, OG_12605, OG_13051, OG_13537, OG_14616, OG_15228, OG_15331, OG_16644, OG_17168
GO:0032787	0.0426331671548	0.315424567294	BP	e	monocarboxylic acid metabolic process	3/38	42/2019	6	3	OG_13776, OG_14616, OG_15731
GO:0072657	0.0400989419814	0.315424567294	BP	e	protein localization to membrane	3/38	41/2019	5	3	OG_12605, OG_13537, OG_15331
GO:0010975	0.045246995456	0.315424567294	BP	e	regulation of neuron projection development	3/38	43/2019	8	3	OG_17028, OG_17168, OG_17277
GO:0032940	0.0400989419814	0.315424567294	BP	e	secretion by cell	3/38	41/2019	5	3	OG_13537, OG_16644, OG_17323
GO:0042981	0.0457066977566	0.315424567294	BP	e	regulation of apoptotic process	5/38	106/2019	6	5	OG_12605, OG_12929, OG_15934, OG_16081, OG_17028
GO:0051345	0.0426331671548	0.315424567294	BP	e	positive regulation of hydrolase activity	3/38	42/2019	5	3	OG_14488, OG_15934, OG_16081
GO:0051336	0.0458865952595	0.315424567294	BP	e	regulation of hydrolase activity	4/38	73/2019	4	4	OG_10704, OG_14488, OG_15934, OG_16081
GO:0015833	0.0490297254861	0.315424567294	BP	e	peptide transport	6/38	144/2019	6	6	OG_12605, OG_13051, OG_14616, OG_15331, OG_16644, OG_17168
GO:0033365	0.0420719370865	0.315424567294	BP	e	protein localization to organelle	4/38	71/2019	5	4	OG_13051, OG_14616, OG_15228, OG_17168
GO:0007275	0.0303725712056	0.315424567294	BP	e	multicellular organism development	5/38	95/2019	3	5	OG_12311, OG_12929, OG_15934, OG_16644, OG_17168
GO:0051641	0.03648132448	0.315424567294	BP	e	cellular localization	9/38	238/2019	2	9	OG_10704, OG_12605, OG_13051, OG_13537, OG_14616, OG_15228, OG_15331, OG_17168, OG_17323
GO:0015031	0.0490297254861	0.315424567294	BP	e	protein transport	6/38	144/2019	7	6	OG_12605, OG_13051, OG_14616, OG_15331, OG_16644, OG_17168
GO:0055114	0.0539910022381	0.320631973611	BP	e	oxidation-reduction process	5/38	111/2019	2	5	OG_13776, OG_14616, OG_15529, OG_15903, OG_16080
GO:0046903	0.0564843891335	0.320631973611	BP	e	secretion	3/38	47/2019	4	3	OG_13537, OG_16644, OG_17323
GO:0042886	0.0548399009181	0.320631973611	BP	e	amide transport	6/38	148/2019	5	6	OG_12605, OG_13051, OG_14616, OG_15331, OG_16644, OG_17168
