GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008104	0.819170601648	1.0	BP	e	protein localization	6/48	261/2250	3	6	OG_11336, OG_14078, OG_14530, OG_14861, OG_16308, OG_19024
GO:0019220	1.0	1.0	BP	p	regulation of phosphate metabolic process	3/48	156/2250	6	3	OG_10839, OG_13482, OG_15501
GO:0080090	0.870135555903	1.0	BP	p	regulation of primary metabolic process	12/48	617/2250	4	12	OG_10839, OG_13312, OG_13482, OG_13563, OG_14078, OG_14340, OG_15501, OG_15511, OG_15694, OG_17126, OG_17577, OG_18001
GO:0019222	0.875619678626	1.0	BP	p	regulation of metabolic process	14/48	691/2250	3	14	OG_10839, OG_11336, OG_13312, OG_13482, OG_13563, OG_14078, OG_14340, OG_15501, OG_15511, OG_15694, OG_17126, OG_17577, OG_18001, OG_19024
GO:0051049	1.0	1.0	BP	p	regulation of transport	3/48	142/2250	4	3	OG_11336, OG_13482, OG_19024
GO:0048584	0.782688271384	1.0	BP	e	positive regulation of response to stimulus	4/48	172/2250	4	4	OG_11207, OG_13482, OG_14078, OG_15501
GO:0048468	0.362883787456	1.0	BP	e	cell development	4/48	132/2250	3	4	OG_13153, OG_13312, OG_13482, OG_15501
GO:0007165	0.69290062976	1.0	BP	e	signal transduction	9/48	370/2250	4	9	OG_11336, OG_11742, OG_12510, OG_13150, OG_13153, OG_13482, OG_13563, OG_14530, OG_15501
GO:1901576	0.480674907556	1.0	BP	p	organic substance biosynthetic process	8/48	492/2250	3	8	OG_11336, OG_13005, OG_13563, OG_14078, OG_14340, OG_15241, OG_17577, OG_17819
GO:1901362	0.536373743186	1.0	BP	p	organic cyclic compound biosynthetic process	5/48	321/2250	4	5	OG_11336, OG_13563, OG_14078, OG_14340, OG_15241
GO:1901360	0.631470242427	1.0	BP	p	organic cyclic compound metabolic process	12/48	646/2250	3	12	OG_11336, OG_11768, OG_13482, OG_13563, OG_13770, OG_14078, OG_14340, OG_15241, OG_15302, OG_15419, OG_17126, OG_18565
GO:0032774	1.0	1.0	BP	p	RNA biosynthetic process	4/48	213/2250	7	4	OG_13563, OG_14078, OG_14340, OG_15241
GO:0051716	1.0	1.0	BP	p	cellular response to stimulus	6/48	310/2250	2	6	OG_11742, OG_13482, OG_13563, OG_15241, OG_15501, OG_19024
GO:0010605	1.0	1.0	BP	p	negative regulation of macromolecule metabolic process	5/48	241/2250	5	5	OG_10839, OG_13312, OG_13563, OG_17126, OG_18001
GO:0010604	0.837728982158	1.0	BP	p	positive regulation of macromolecule metabolic process	6/48	338/2250	5	6	OG_10839, OG_11336, OG_13482, OG_14078, OG_15501, OG_15511
GO:0070727	1.0	1.0	BP	p	cellular macromolecule localization	3/48	149/2250	3	3	OG_11336, OG_14861, OG_16308
GO:0009966	0.826477995715	1.0	BP	p	regulation of signal transduction	5/48	282/2250	5	5	OG_10839, OG_11207, OG_13482, OG_14078, OG_15501
GO:0009967	0.359186222035	1.0	BP	e	positive regulation of signal transduction	4/48	131/2250	6	4	OG_11207, OG_13482, OG_14078, OG_15501
GO:0070647	0.743012250881	1.0	BP	e	protein modification by small protein conjugation or removal	3/48	122/2250	7	3	OG_13561, OG_15511, OG_17758
GO:0051246	0.826468416168	1.0	BP	p	regulation of protein metabolic process	5/48	281/2250	5	5	OG_10839, OG_13312, OG_13482, OG_15501, OG_18001
GO:0044093	0.134367875535	1.0	BP	e	positive regulation of molecular function	6/48	152/2250	3	6	OG_11336, OG_13482, OG_14078, OG_15501, OG_15694, OG_18001
GO:0048518	1.0	1.0	BP	p	positive regulation of biological process	12/48	589/2250	3	12	OG_10839, OG_11207, OG_11336, OG_12440, OG_13312, OG_13482, OG_13563, OG_14078, OG_15501, OG_15511, OG_15694, OG_17577
GO:0048519	0.603323684535	1.0	BP	p	negative regulation of biological process	9/48	512/2250	3	9	OG_10839, OG_13312, OG_13482, OG_13561, OG_13563, OG_15501, OG_17126, OG_18001, OG_19024
