GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007032	0.000284046995901	0.0866343337498	BP	e	endosome organization	4/67	13/2493	5	4	OG_13376, OG_15891, OG_16638, OG_17807
GO:0110020	0.00138858800464	0.211759670708	BP	e	regulation of actomyosin structure organization	3/67	9/2493	8	3	OG_15618, OG_16110, OG_16855
GO:0000910	0.00972458511913	0.309999455563	BP	e	cytokinesis	4/67	32/2493	3	4	OG_12892, OG_13376, OG_13416, OG_18686
GO:0016050	0.00640970253961	0.309999455563	BP	e	vesicle organization	5/67	45/2493	4	5	OG_12959, OG_13376, OG_15891, OG_16638, OG_17807
GO:0061640	0.00868198467358	0.309999455563	BP	e	cytoskeleton-dependent cytokinesis	4/67	31/2493	4	4	OG_12892, OG_13376, OG_13416, OG_18686
GO:1901576	0.0118004952161	0.309999455563	BP	p	organic substance biosynthetic process	7/67	572/2493	3	7	OG_12469, OG_14126, OG_14681, OG_14729, OG_16047, OG_17103, OG_18360
GO:0033206	0.00546354946896	0.309999455563	BP	e	meiotic cytokinesis	3/67	14/2493	5	3	OG_12892, OG_13416, OG_18686
GO:0008333	0.00546354946896	0.309999455563	BP	e	endosome to lysosome transport	3/67	14/2493	6	3	OG_15891, OG_17807, OG_19769
GO:0044249	0.0119778012713	0.309999455563	BP	p	cellular biosynthetic process	7/67	566/2493	3	7	OG_12469, OG_14126, OG_14681, OG_14729, OG_16047, OG_17103, OG_18360
GO:1901990	0.0117977587299	0.309999455563	BP	e	regulation of mitotic cell cycle phase transition	5/67	52/2493	7	5	OG_12959, OG_13416, OG_13870, OG_14126, OG_18686
GO:0010212	0.0132130915486	0.309999455563	BP	e	response to ionizing radiation	3/67	19/2493	4	3	OG_13870, OG_14126, OG_15986
GO:0009058	0.00835397555563	0.309999455563	BP	p	biosynthetic process	7/67	584/2493	2	7	OG_12469, OG_14126, OG_14681, OG_14729, OG_16047, OG_17103, OG_18360
GO:0010389	0.0132130915486	0.309999455563	BP	e	regulation of G2/M transition of mitotic cell cycle	3/67	19/2493	8	3	OG_12959, OG_13416, OG_14126
GO:1901987	0.015966692956	0.347845810827	BP	e	regulation of cell cycle phase transition	5/67	56/2493	6	5	OG_12959, OG_13416, OG_13870, OG_14126, OG_18686
GO:1903046	0.0171451017803	0.348617069533	BP	e	meiotic cell cycle process	5/67	57/2493	3	5	OG_12892, OG_13309, OG_13416, OG_14126, OG_18686
GO:1902749	0.0198288929205	0.377988271297	BP	e	regulation of cell cycle G2/M phase transition	3/67	22/2493	7	3	OG_12959, OG_13416, OG_14126
GO:0051640	0.0223607354656	0.401177901	BP	e	organelle localization	6/67	83/2493	3	6	OG_12959, OG_13309, OG_13413, OG_15891, OG_18686, OG_19769
GO:1901991	0.0250861725748	0.402699086069	BP	e	negative regulation of mitotic cell cycle phase transition	3/67	24/2493	8	3	OG_13870, OG_14126, OG_18686
GO:0007041	0.0250861725748	0.402699086069	BP	e	lysosomal transport	3/67	24/2493	5	3	OG_15891, OG_17807, OG_19769
GO:1901988	0.0279698049705	0.4265395258	BP	e	negative regulation of cell cycle phase transition	3/67	25/2493	7	3	OG_13870, OG_14126, OG_18686
GO:0051168	0.0411888866101	0.546200452873	BP	e	nuclear export	3/67	29/2493	7	3	OG_12469, OG_13413, OG_16110
GO:0006302	0.0411888866101	0.546200452873	BP	e	double-strand break repair	3/67	29/2493	8	3	OG_12284, OG_14126, OG_17145
